TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
GO_Biological_Process_2025,Response to Unfolded Protein (GO:0006986),prerank,0.7693572303077253,2.511701538589063,0.0,0.0,0.0,21_43,21/43,12.00%,HSPA6;HSPA1A;HSPB1;SERPINH1;DNAJB1;HSPA1L;HSPB2;HSF1;DAXX;HSPD1;DDIT3;HERPUD1;HSP90AA1;HSPH1;DNAJA1;DNAJB4;HSPE1;BAX;HSP90AB1;HSPB8;HSPA4,HSPA6;HSPA1A;HSPB1;SERPINH1;DNAJB1;HSPA1L;HSPB2;HSF1;DAXX;HSPD1;DDIT3;HERPUD1;HSP90AA1;HSPH1;DNAJA1;DNAJB4;HSPE1;BAX;HSP90AB1;HSPB8;HSPA4;HSPA4L;DNAJB2;TOR1B;DNAJC4;TMBIM6;OPTN;DAB2IP;HSPA2;DERL1;HSPA8;BAK1;PACRG;RHBDD1;TRAM1;ERN1;STT3B;HSPB7;PTPN1;HSPB3;TM7SF3;ERP44;DNAJB5,"[0, 2, 3, 8, 9, 188, 298, 497, 554, 682, 729, 817, 876, 913, 1024, 1169, 1194, 1799, 1985, 2088, 2101, 2521, 2641, 2862, 4641, 4731, 6786, 6790, 6834, 7080, 7879, 8735, 9750, 10286, 10410, 10889, 11140, 11846, 12370, 13096, 13848, 14506, 15776]",GO_Biological_Process_2025__Response to Unfolded Protein (GO:0006986)
GO_Biological_Process_2025,Regulation of Interleukin-8 Production (GO:0032677),prerank,0.6716605314392534,2.3866775801456015,0.0,0.0,0.0,49_78,49/78,24.06%,HSPA1A;HSPA1B;NANOS2;RELA;TLR5;PRKD2;BCL3;LGALS9;DDIT3;TLR2;TLR8;LILRA2;LBP;HYAL2;NOD2;SYK;CD74;TLR9;CD33;BPI;FFAR2;IL6R;FADD;IL6;CACTIN;SSC5D;AIFM2;CD2;RIPK1;CALCA;KLF4;TLR7;PARK7;PYCARD;NOD1;STAT3;AFAP1L2;TNF;TLR4;C5AR2;PLA2G1B;TLR6;ZNF580;PTPRC;SERPINE1;CSRP1;MYD88;IL17D;CD58,HSPA1A;HSPA1B;NANOS2;RELA;TLR5;PRKD2;BCL3;LGALS9;DDIT3;TLR2;TLR8;LILRA2;LBP;HYAL2;NOD2;SYK;CD74;TLR9;CD33;BPI;FFAR2;IL6R;FADD;IL6;CACTIN;SSC5D;AIFM2;CD2;RIPK1;CALCA;KLF4;TLR7;PARK7;PYCARD;NOD1;STAT3;AFAP1L2;TNF;TLR4;C5AR2;PLA2G1B;TLR6;ZNF580;PTPRC;SERPINE1;CSRP1;MYD88;IL17D;CD58;IL1B;FCN1;DEFA5;CLEC7A;ANXA1;BCL10;CHI3L1;MAPKBP1;NDUFA2;IL10;APOA2;LAMTOR5;CD244;F2R;MAP2K5;TLR1;ANXA4;F2RL1;TLR3;ELANE;RAB1A;F3;MAVS;PTPN22;OTUD7B;CHAMP1;ARRB1;HMGB1;TIRAP,"[2, 7, 14, 68, 95, 224, 347, 718, 729, 745, 783, 958, 1099, 1152, 1266, 1267, 1313, 1414, 1612, 1898, 1966, 2017, 2019, 2121, 2205, 2206, 2207, 2509, 2701, 2750, 2806, 2886, 3030, 3056, 3101, 3143, 3475, 3515, 3516, 3651, 3744, 3775, 3934, 3989, 4011, 4051, 4132, 4138, 4213, 4629, 5015, 5080, 5747, 6173, 6271, 6323, 6455, 6766, 6941, 7104, 7709, 7718, 7751, 7975, 8679, 9157, 9196, 9420, 9713, 10946, 11051, 11317, 11540, 12630, 13414, 14181, 14226, 15108]",GO_Biological_Process_2025__Regulation of Interleukin-8 Production (GO:0032677)
GO_Biological_Process_2025,Cellular Response to Vascular Endothelial Growth Factor Stimulus (GO:0035924),prerank,0.7763342657292266,2.4335370714337112,0.0,0.0,0.0,15_35,15/35,8.76%,HSPB1;RELA;PRKD2;MAP2K3;MT1G;GAS1;DLL4;MAPKAPK2;FLT4;XBP1;PGF;FOXC1;VEGFA;VEGFB;FLT1,HSPB1;RELA;PRKD2;MAP2K3;MT1G;GAS1;DLL4;MAPKAPK2;FLT4;XBP1;PGF;FOXC1;VEGFA;VEGFB;FLT1;NOTCH1;PRKD1;SPHK1;VEGFC;SPRY2;NRP1;DAB2IP;RAMP2;PIK3CA;MAPK14;CLSTN1;PIGU;KDR;NR4A1;ERN1;MYO1E;SEMA6A;ITGB1BP1;NUS1;EGR3,"[3, 68, 224, 292, 302, 310, 332, 344, 525, 1084, 1138, 1187, 1439, 1509, 1534, 2437, 2628, 3596, 6620, 6637, 6661, 6790, 6924, 7105, 7304, 8057, 9539, 10163, 10627, 10889, 10970, 11718, 11730, 12144, 15206]",GO_Biological_Process_2025__Cellular Response to Vascular Endothelial Growth Factor Stimulus (GO:0035924)
GO_Biological_Process_2025,Positive Regulation of Interleukin-8 Production (GO:0032757),prerank,0.6854862854355616,2.3138627848097593,0.0,0.00027197984014661714,0.001,32_59,32/59,20.08%,HSPA1A;HSPA1B;NANOS2;RELA;TLR5;PRKD2;LGALS9;DDIT3;TLR2;TLR8;LILRA2;LBP;HYAL2;NOD2;SYK;CD74;TLR9;FFAR2;FADD;IL6;AIFM2;CD2;RIPK1;CALCA;TLR7;PARK7;PYCARD;NOD1;STAT3;AFAP1L2;TNF;TLR4,HSPA1A;HSPA1B;NANOS2;RELA;TLR5;PRKD2;LGALS9;DDIT3;TLR2;TLR8;LILRA2;LBP;HYAL2;NOD2;SYK;CD74;TLR9;FFAR2;FADD;IL6;AIFM2;CD2;RIPK1;CALCA;TLR7;PARK7;PYCARD;NOD1;STAT3;AFAP1L2;TNF;TLR4;PLA2G1B;ZNF580;SERPINE1;MYD88;IL17D;CD58;IL1B;FCN1;DEFA5;CLEC7A;BCL10;CHI3L1;NDUFA2;APOA2;LAMTOR5;CD244;F2R;TLR1;F2RL1;TLR3;ELANE;RAB1A;F3;MAVS;CHAMP1;HMGB1;TIRAP,"[2, 7, 14, 68, 95, 224, 718, 729, 745, 783, 958, 1099, 1152, 1266, 1267, 1313, 1414, 1966, 2019, 2121, 2207, 2509, 2701, 2750, 2886, 3030, 3056, 3101, 3143, 3475, 3515, 3516, 3744, 3934, 4011, 4132, 4138, 4213, 4629, 5015, 5080, 5747, 6271, 6323, 6766, 7104, 7709, 7718, 7751, 8679, 9196, 9420, 9713, 10946, 11051, 11317, 13414, 14226, 15108]",GO_Biological_Process_2025__Positive Regulation of Interleukin-8 Production (GO:0032757)
GO_Biological_Process_2025,Negative Regulation of Growth (GO:0045926),prerank,0.6177924903294618,2.3183185918046383,0.0,0.0003399748001832714,0.001,38_102,38/102,15.08%,HSPA1A;HSPA1B;MT1F;SESN2;MT2A;MT1M;SIPA1;MSX1;MT1G;MT1E;TGFB1;ALOX15B;MT1A;BCL6;MT1X;CDA;BTG1;CDKN2C;MT3;STK11;ING5;PML;OSGIN1;ING1;HYAL2;TGFB2;GJA1;ACVRL1;SERTAD3;MT1H;CFH;ENO1;NAIF1;BST2;SFRP2;SMAD4;ING4;DNAJB2,HSPA1A;HSPA1B;MT1F;SESN2;MT2A;MT1M;SIPA1;MSX1;MT1G;MT1E;TGFB1;ALOX15B;MT1A;BCL6;MT1X;CDA;BTG1;CDKN2C;MT3;STK11;ING5;PML;OSGIN1;ING1;HYAL2;TGFB2;GJA1;ACVRL1;SERTAD3;MT1H;CFH;ENO1;NAIF1;BST2;SFRP2;SMAD4;ING4;DNAJB2;HNF1A;IP6K2;CDKN2A;PRDM11;CYP27B1;CCDC85B;DCUN1D3;SPHK2;FGFR3;CRLF3;NPR1;OSGIN2;SMAD3;ENPP1;CDKN2D;SH3BP4;TSPYL2;CDKN2AIP;WFDC1;EI24;PSRC1;FBP1;VGLL4;CDKN1B;ZC3H12D;NPPB;SOX17;TCHP;DCSTAMP;FRZB;CGRRF1;ADAM15;RBBP7;BRCA1;TP53;DDX3X;RERG;WT1;RB1;SCGB3A1;BMPR2;DACT3;NME6;ESR2;NDRG3;PTPRJ;SMARCA4;SLIT3;TMEM196;SERTAD2;SLC48A1;TP53TG5;SMARCA2;TMPRSS4;CAPRIN2;SLIT2;PPT1;CDPF1;RTN4;SFRP1;GNG4;DCBLD2;INHBA;ST7L,"[2, 7, 55, 108, 129, 162, 226, 231, 302, 327, 386, 458, 463, 489, 544, 815, 856, 960, 967, 977, 982, 985, 996, 1121, 1152, 1191, 1579, 1627, 1830, 1911, 2051, 2285, 2370, 2419, 2606, 2618, 2621, 2641, 3074, 3474, 3605, 3802, 3820, 4067, 4095, 4366, 4371, 4953, 5045, 5287, 5844, 5903, 6003, 6200, 6410, 6496, 6524, 6944, 7247, 7260, 7380, 7452, 7485, 7489, 7508, 7564, 7581, 7828, 8055, 8085, 8460, 8479, 8693, 8765, 8874, 9281, 9620, 9724, 10005, 10495, 10916, 11385, 11883, 12148, 12442, 12463, 12960, 13109, 13158, 13744, 13818, 13875, 14413, 14538, 14691, 14966, 14995, 15127, 15235, 15459, 16208, 16490]",GO_Biological_Process_2025__Negative Regulation of Growth (GO:0045926)
GO_Biological_Process_2025,Positive Regulation of Apoptotic Signaling Pathway (GO:2001235),prerank,0.6507426947359013,2.2189130985993306,0.0,0.0003885426287808816,0.002,35_59,35/59,21.79%,G0S2;NUPR1;DEDD2;CLU;TPD52L1;TNFSF14;TNFRSF12A;LTA;S100A8;LTBR;DDIT3;BID;ING5;PML;LCK;HYAL2;BCAP31;TNFSF12;BAX;FADD;S100A9;RPS3;WWOX;RIPK1;CTSH;TRAF7;PYCARD;PPARG;TNF;TLR4;PMAIP1;NKX3-1;TLR6;BCL2L11;BBC3,G0S2;NUPR1;DEDD2;CLU;TPD52L1;TNFSF14;TNFRSF12A;LTA;S100A8;LTBR;DDIT3;BID;ING5;PML;LCK;HYAL2;BCAP31;TNFSF12;BAX;FADD;S100A9;RPS3;WWOX;RIPK1;CTSH;TRAF7;PYCARD;PPARG;TNF;TLR4;PMAIP1;NKX3-1;TLR6;BCL2L11;BBC3;BOK;SIAH1;TAF6;TGFBR1;PKN2;BCL10;LTB;DAB2IP;STYXL1;TRIM39;TP53;WNT5A;CRADD;FASN;FIS1;TANK;DAND5;CAV1;BCL2L14;TNFSF10;BECN1;CYLD;BCLAF1;APP,"[1, 70, 158, 216, 288, 291, 503, 631, 639, 640, 729, 779, 982, 985, 1019, 1152, 1256, 1308, 1799, 2019, 2310, 2390, 2505, 2701, 2919, 2926, 3056, 3284, 3515, 3516, 3544, 3726, 3775, 3812, 3816, 4634, 5011, 5501, 5624, 5765, 6271, 6278, 6790, 6989, 7410, 8693, 8910, 9669, 9820, 10664, 10953, 11864, 12109, 12934, 13874, 14024, 14772, 15650, 15665]",GO_Biological_Process_2025__Positive Regulation of Apoptotic Signaling Pathway (GO:2001235)
GO_Biological_Process_2025,Response to Copper Ion (GO:0046688),prerank,0.8536062930649404,2.184416211953295,0.0,0.00045329973357769517,0.003,10_16,10/16,5.53%,MT1F;MT2A;MT1M;MT1G;MT1E;MT1A;HSF1;MT1X;DAXX;MT3,MT1F;MT2A;MT1M;MT1G;MT1E;MT1A;HSF1;MT1X;DAXX;MT3;MT1H;LOXL2;ATP7B;PRNP;SNCA;IL1A,"[55, 129, 162, 302, 327, 463, 497, 544, 554, 967, 1911, 4066, 6310, 10924, 10959, 12614]",GO_Biological_Process_2025__Response to Copper Ion (GO:0046688)
GO_Biological_Process_2025,Cellular Response to Cadmium Ion (GO:0071276),prerank,0.9069972639355726,2.233185197430003,0.0,0.0004532997335776953,0.002,11_14,11/14,5.53%,MT1F;MT2A;MT1M;MT1G;MT1E;SLC11A1;MT1A;HSF1;MT1X;DAXX;MT3,MT1F;MT2A;MT1M;MT1G;MT1E;SLC11A1;MT1A;HSF1;MT1X;DAXX;MT3;MT1H;SUMO1;SLC39A8,"[55, 129, 162, 302, 327, 440, 463, 497, 544, 554, 967, 1911, 7337, 8529]",GO_Biological_Process_2025__Cellular Response to Cadmium Ion (GO:0071276)
GO_Biological_Process_2025,Cellular Response to Copper Ion (GO:0071280),prerank,0.8880238635419793,2.1572791733647683,0.0,0.0004945088002665766,0.004,10_13,10/13,5.53%,MT1F;MT2A;MT1M;MT1G;MT1E;MT1A;HSF1;MT1X;DAXX;MT3,MT1F;MT2A;MT1M;MT1G;MT1E;MT1A;HSF1;MT1X;DAXX;MT3;MT1H;PRNP;SNCA,"[55, 129, 162, 302, 327, 463, 497, 544, 554, 967, 1911, 10924, 10959]",GO_Biological_Process_2025__Cellular Response to Copper Ion (GO:0071280)
GO_Biological_Process_2025,Cellular Response to Heat (GO:0034605),prerank,0.721367870064959,2.203316797704636,0.0,0.0005099622002749071,0.003,12_34,12/34,7.26%,HSPA6;HSPA1A;HSPA1B;DNAJB1;BAG3;HSF1;DAXX;HSBP1L1;HMOX1;HSP90AA1;IER5;EEF1D,HSPA6;HSPA1A;HSPA1B;DNAJB1;BAG3;HSF1;DAXX;HSBP1L1;HMOX1;HSP90AA1;IER5;EEF1D;HSP90AB1;TRPV4;HDAC6;HTRA2;VCP;SUMO1;TRPV1;RBBP7;THBS1;HSBP1;PRKCA;MAPT;FGF1;CLPB;IL1A;YWHAE;SLU7;ZFAND1;TPR;PDCD6;DHX36;ATXN3,"[0, 2, 7, 9, 24, 497, 554, 601, 693, 876, 1066, 1270, 1985, 2377, 5473, 6990, 7245, 7337, 7656, 8460, 9307, 9489, 10873, 11206, 11280, 11710, 12614, 12907, 13377, 15802, 15832, 16075, 16832, 17153]",GO_Biological_Process_2025__Cellular Response to Heat (GO:0034605)
