TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
GO_Cellular_Component_2025,Motile Cilium (GO:0031514),prerank,-0.5521629814337999,-1.8912050333574861,0.0,0.027924644222192027,0.027,35_62,35/62,28.51%,IFT52;IFT27;INTU;DNAJB13;RSPH4A;RSPH3;BBS4;PAFAH1B1;AK8;BRWD1;DNAH6;DYNC2LI1;DNAH10;IFT74;TSGA10;IFT81;DNAH3;IQCG;SORD;DNAH9;ROPN1L;SPA17;DNAH5;SPEF1;MNS1;ARL13B;NME5;ROPN1B;IQUB;RSPH1;ROPN1;ENKUR;WDR19;DYNC2H1;MKKS,PRKD2;SCNN1A;CAMSAP3;DAAM1;BBS2;NPHP1;ANXA1;ARL13A;WDR54;IFT46;HAVCR1;CABYR;DNALI1;PKD1;GAS8;DNAH11;RSPH10B2;DNAH14;CATSPERG;OFD1;RSPH9;RSPH10B;DNAH2;IFT88;OXCT2;DNAH7;DNAH17;MKKS;DYNC2H1;WDR19;ENKUR;ROPN1;RSPH1;IQUB;ROPN1B;NME5;ARL13B;MNS1;SPEF1;DNAH5;SPA17;ROPN1L;DNAH9;SORD;IQCG;DNAH3;IFT81;TSGA10;IFT74;DNAH10;DYNC2LI1;DNAH6;BRWD1;AK8;PAFAH1B1;BBS4;RSPH3;RSPH4A;DNAJB13;INTU;IFT27;IFT52,"[224, 2441, 4359, 5546, 5842, 6080, 6173, 6546, 6907, 6923, 7015, 7139, 7572, 7769, 7798, 7925, 8578, 8960, 9989, 10126, 11120, 11194, 11690, 11814, 11918, 11941, 12263, 12525, 12600, 12653, 12904, 13113, 13175, 13388, 13512, 13629, 13999, 14135, 14331, 14339, 14390, 14443, 14870, 15002, 15219, 15253, 15796, 15864, 15947, 16147, 16177, 16211, 16263, 16351, 16518, 16874, 16891, 16953, 16974, 17133, 17168, 17336]",GO_Cellular_Component_2025__Motile Cilium (GO:0031514)
GO_Cellular_Component_2025,Small Ribosomal Subunit (GO:0015935),prerank,0.6308617637283757,1.955817782600474,0.0,0.03541596173112266,0.031,32_38,32/38,27.70%,MRPS6;RPS21;RPS19;RPS16;RPS8;RPS15;RPS10;RPS27L;RPS3;RPS5;RPS7;RPS24;RPS29;RPS11;RPS20;RPS25;RPS14;RPS27A;RPS28;RPS6;RPS12;RPS26;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;LARP4;RPS9;FAU;RPS2,MRPS6;RPS21;RPS19;RPS16;RPS8;RPS15;RPS10;RPS27L;RPS3;RPS5;RPS7;RPS24;RPS29;RPS11;RPS20;RPS25;RPS14;RPS27A;RPS28;RPS6;RPS12;RPS26;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;LARP4;RPS9;FAU;RPS2;RPS27;RPS17;RPS15A;RPS23;EIF2A;DHX29,"[21, 810, 1703, 1909, 1915, 1974, 2055, 2208, 2390, 2520, 2854, 3103, 3157, 3166, 3327, 3416, 3677, 3702, 3736, 3757, 3808, 4020, 4139, 4185, 4210, 4216, 4265, 4288, 4672, 4699, 4734, 4852, 5455, 5576, 5586, 6216, 14039, 15327]",GO_Cellular_Component_2025__Small Ribosomal Subunit (GO:0015935)
GO_Cellular_Component_2025,Cytosolic Large Ribosomal Subunit (GO:0022625),prerank,0.5628740876689198,1.8787914912062749,0.0,0.038888114842017034,0.1,32_49,32/49,25.84%,RPL36;RPLP1;RPL18A;RPL34;RPL8;RPL18;RPL9;RPL31;RPL27;RPL13A;RPL14;RPL36AL;RPL37A;RPLP2;RPL6;RPL35A;RPL7A;RPL3;RPL3L;RPL38;UBA52;RPL35;RPL28;RPL29;RPL7;RPL23A;RPL4;RPL19;RPL32;RPL27A;RPL23;RPL11,RPL36;RPLP1;RPL18A;RPL34;RPL8;RPL18;RPL9;RPL31;RPL27;RPL13A;RPL14;RPL36AL;RPL37A;RPLP2;RPL6;RPL35A;RPL7A;RPL3;RPL3L;RPL38;UBA52;RPL35;RPL28;RPL29;RPL7;RPL23A;RPL4;RPL19;RPL32;RPL27A;RPL23;RPL11;RPL36A;RPL5;RPL39;RPL22;RPLP0;RPL37;RPL26L1;RPL30;RPL41;RPL10A;RPL21;RPL39L;RSL24D1;RPL12;RPL15;RPL26;RPL7L1,"[1282, 1935, 2179, 2326, 2353, 2393, 2420, 2425, 2446, 2457, 2534, 2623, 2663, 2774, 2812, 2893, 2907, 2972, 3040, 3230, 3337, 3450, 3625, 3862, 3887, 3924, 3957, 4014, 4122, 4296, 4415, 4526, 5084, 5122, 5209, 5460, 5663, 5716, 5753, 5756, 6144, 6728, 7103, 8325, 8517, 8558, 11953, 14761, 15918]",GO_Cellular_Component_2025__Cytosolic Large Ribosomal Subunit (GO:0022625)
GO_Cellular_Component_2025,Ficolin-1-Rich Granule (GO:0101002),prerank,0.45518732610598694,1.830713938570738,0.0,0.04083252058411788,0.163,52_170,52/170,20.56%,HSPA6;HSPA1A;HSPA1B;MMP9;TCIRG1;GSDMD;IMPDH1;SLC11A1;NBEAL2;LRG1;CDA;SLC2A3;PRCP;HSP90AA1;ITGB2;DOK3;GMFG;SERPINA1;CSTB;COTL1;CD300A;MGAM;FCER1G;ADAM8;GLB1;PLEKHO2;GSTP1;PKP1;CTSZ;HSP90AB1;GAA;S100A9;CTSS;DYNLL1;FPR1;IDH1;CAPN1;CRISPLD2;CTSH;CSNK2B;CD93;SERPINB6;GNPDA1;PGM1;SIRPA;PSMB1;LILRB2;SIGLEC14;CTSD;BIN2;TNFAIP6;NME2,HSPA6;HSPA1A;HSPA1B;MMP9;TCIRG1;GSDMD;IMPDH1;SLC11A1;NBEAL2;LRG1;CDA;SLC2A3;PRCP;HSP90AA1;ITGB2;DOK3;GMFG;SERPINA1;CSTB;COTL1;CD300A;MGAM;FCER1G;ADAM8;GLB1;PLEKHO2;GSTP1;PKP1;CTSZ;HSP90AB1;GAA;S100A9;CTSS;DYNLL1;FPR1;IDH1;CAPN1;CRISPLD2;CTSH;CSNK2B;CD93;SERPINB6;GNPDA1;PGM1;SIRPA;PSMB1;LILRB2;SIGLEC14;CTSD;BIN2;TNFAIP6;NME2;PYGL;CCT8;PGM2;FCAR;ITGAX;FPR2;CD58;CR1;CTSB;PSMD6;TRPM2;PDAP1;NCKAP1L;SRP14;CANT1;DYNLT1;PSMD3;PFKL;FCN1;DIAPH1;AP2A2;JUP;QPCT;LAMTOR1;GSN;LILRA3;LGALS3;GUSB;CST3;KCMF1;PSMC3;PKM;SIGLEC5;TMEM179B;VCP;FGL2;MAPK14;PSMB7;CD55;GYG1;EEF1A1;PSMD11;FTH1;RHOA;HSPA8;LAMP1;LTA4H;PSMD12;PPIA;COPB1;PGAM4;PSMD2;MVP;PSMA2;MNDA;ARL8A;DDX3X;RCAN1;DERA;LAMP2;PSMD7;IMPDH2;ATP6V0C;EEF2;ALOX5;ATAD3B;UBR4;YPEL5;TIMP2;OSTF1;PRDX4;CDK13;GNS;ALDOC;HUWE1;ILF2;ATP6V0A1;ARPC5;COMMD9;COMMD3;ACTR1B;NFASC;XRCC6;VCL;PSMD14;CAB39;ATG7;PSMD13;KRT1;MAPK1;TBC1D10C;ATP6AP2;DSG1;ALAD;PAFAH1B2;APEH;APAF1;ASAH1;ANKRD44;HMGB1;PTPRN2;RNASE1;CAND1;KPNB1;ENPP4;PIKFYVE;ACTR10;DYNC1LI1;PSMA5;DBNL;HOOK3;ACLY;AGL;PSMC2;AMPD3;PPIE;ACTR2;HBB,"[0, 2, 7, 27, 208, 374, 434, 440, 717, 721, 815, 833, 842, 876, 902, 1057, 1113, 1224, 1263, 1300, 1311, 1496, 1513, 1533, 1582, 1790, 1811, 1833, 1973, 1985, 2218, 2310, 2465, 2497, 2561, 2666, 2681, 2899, 2919, 2962, 2967, 3029, 3073, 3151, 3184, 3303, 3308, 3352, 3494, 3511, 3571, 3600, 3749, 3814, 3889, 3926, 4130, 4171, 4213, 4307, 4381, 4459, 4738, 4796, 4799, 4885, 4905, 4939, 4956, 4981, 5015, 5025, 5162, 5286, 5439, 5458, 6007, 6044, 6287, 6432, 6578, 6756, 6885, 7001, 7082, 7093, 7245, 7289, 7304, 7404, 7474, 7652, 7703, 7716, 7737, 7817, 7879, 8117, 8186, 8225, 8248, 8333, 8448, 8522, 8574, 8576, 8616, 8688, 8765, 9045, 9122, 9133, 9152, 9186, 9303, 9332, 9403, 9571, 9816, 9885, 10271, 10320, 10397, 10426, 10538, 10567, 10571, 10675, 10804, 10877, 10931, 11101, 11105, 11262, 11348, 11575, 11848, 11898, 11948, 12242, 12750, 12772, 12905, 13252, 13365, 13422, 13515, 13691, 13773, 14148, 14217, 14226, 14383, 14461, 14466, 14483, 14597, 14617, 14687, 14924, 14940, 15173, 15433, 15559, 15777, 16078, 16083, 16307, 16913, 17049]",GO_Cellular_Component_2025__Ficolin-1-Rich Granule (GO:0101002)
GO_Cellular_Component_2025,Tertiary Granule (GO:0070820),prerank,0.46147153405542973,1.8338290491708598,0.0,0.05025941628019612,0.161,55_147,55/147,20.52%,MMP9;CD177;STXBP2;TCIRG1;PPBP;GSDMD;CYBA;SLC11A1;NBEAL2;LRG1;CDA;SLC2A3;PRCP;ITGB2;DOK3;LAIR1;CYSTM1;CSTB;CD300A;CD59;TSPAN14;OSCAR;SNAP23;GPR84;ITGAM;MGAM;FCER1G;ADAM8;LYZ;CD33;VAMP8;CXCL1;PKP1;STOM;PTAFR;AIFM2;GAA;CTSS;DYNLL1;CD53;FPR1;IDH1;PTPN6;CTSH;CD93;SERPINB6;PGM1;SIRPA;FOLR3;PRKCSH;LILRB2;SIGLEC14;CTSD;TNFAIP6;CLEC5A,MMP9;CD177;STXBP2;TCIRG1;PPBP;GSDMD;CYBA;SLC11A1;NBEAL2;LRG1;CDA;SLC2A3;PRCP;ITGB2;DOK3;LAIR1;CYSTM1;CSTB;CD300A;CD59;TSPAN14;OSCAR;SNAP23;GPR84;ITGAM;MGAM;FCER1G;ADAM8;LYZ;CD33;VAMP8;CXCL1;PKP1;STOM;PTAFR;AIFM2;GAA;CTSS;DYNLL1;CD53;FPR1;IDH1;PTPN6;CTSH;CD93;SERPINB6;PGM1;SIRPA;FOLR3;PRKCSH;LILRB2;SIGLEC14;CTSD;TNFAIP6;CLEC5A;ANO6;FCAR;ITGAX;FPR2;PRSS3;CD58;CR1;CLEC12A;DLC1;TRPM2;CYFIP1;TCN1;NCKAP1L;CANT1;DIAPH1;AP2A2;PLAU;LAMTOR2;TMC6;QPCT;LAMTOR1;GGH;RAP2B;LILRA3;LGALS3;LTF;CYBB;CST3;CNN2;CFP;SIGLEC5;TMEM179B;CD55;FTH1;RHOA;SPTAN1;LAMP1;LTA4H;COPB1;B2M;ARL8A;KCNAB2;VAMP1;RCAN1;LAMP2;ATP6V0C;ATP8B4;ATAD3B;UBR4;YPEL5;TMEM63A;FRMPD3;TIMP2;ATP11A;ALDOC;PTPRB;ILF2;OLR1;ATP6V0A1;GOLGA7;CEACAM1;OLFM4;NFASC;QSOX1;STXBP3;CHIT1;RAP2C;TBC1D10C;PTX3;ATP6AP2;SNAP25;DSG1;CHAMP1;CEACAM8;LAMTOR3;ARMC8;PGLYRP1;SVIP;ASAH1;PTPRN2;RNASE1;STX7;ENPP4;DYNC1LI1;RAB14;DBNL;NIT2;CHRNB4;HGSNAT;NRAS;CD47;HBB,"[27, 91, 197, 208, 294, 374, 417, 440, 717, 721, 815, 833, 842, 902, 1057, 1183, 1185, 1263, 1311, 1312, 1331, 1362, 1381, 1387, 1487, 1496, 1513, 1533, 1546, 1612, 1711, 1774, 1833, 2042, 2202, 2207, 2218, 2465, 2497, 2531, 2561, 2666, 2686, 2919, 2967, 3029, 3151, 3184, 3189, 3248, 3308, 3352, 3494, 3571, 3594, 3917, 3926, 4130, 4171, 4176, 4213, 4307, 4407, 4657, 4738, 4757, 4772, 4799, 4905, 5025, 5162, 5250, 5330, 5359, 5439, 5458, 5610, 6006, 6044, 6287, 6558, 6563, 6578, 6810, 7041, 7082, 7093, 7474, 7737, 7817, 8037, 8117, 8186, 8333, 8604, 8688, 8954, 8979, 9045, 9133, 9303, 9362, 9571, 9816, 9885, 10071, 10151, 10271, 10525, 10567, 10643, 10675, 10770, 10804, 10832, 11025, 11087, 11262, 11986, 12185, 12295, 12334, 12905, 13208, 13252, 13308, 13365, 13414, 13495, 13718, 13934, 14027, 14106, 14148, 14383, 14461, 14476, 14597, 14924, 15080, 15173, 15187, 15573, 15594, 16714, 17045, 17049]",GO_Cellular_Component_2025__Tertiary Granule (GO:0070820)
GO_Cellular_Component_2025,Cytosolic Small Ribosomal Subunit (GO:0022627),prerank,0.6093472247582544,1.8844792837634974,0.0,0.05260311963004982,0.091,31_37,31/37,27.70%,RPS21;RPS19;RPS16;RPS8;RPS15;RPS10;RPS27L;RPS3;RPS5;RPS7;RPS24;RPS29;RPS11;RPS20;RPS25;RPS14;RPS27A;RPS28;RPS6;RPS12;RPS26;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;LARP4;RPS9;FAU;RPS2,RPS21;RPS19;RPS16;RPS8;RPS15;RPS10;RPS27L;RPS3;RPS5;RPS7;RPS24;RPS29;RPS11;RPS20;RPS25;RPS14;RPS27A;RPS28;RPS6;RPS12;RPS26;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;LARP4;RPS9;FAU;RPS2;RPS27;RPS17;RPS15A;RPS23;EIF2A;DHX29,"[810, 1703, 1909, 1915, 1974, 2055, 2208, 2390, 2520, 2854, 3103, 3157, 3166, 3327, 3416, 3677, 3702, 3736, 3757, 3808, 4020, 4139, 4185, 4210, 4216, 4265, 4288, 4672, 4699, 4734, 4852, 5455, 5576, 5586, 6216, 14039, 15327]",GO_Cellular_Component_2025__Cytosolic Small Ribosomal Subunit (GO:0022627)
GO_Cellular_Component_2025,Ficolin-1-Rich Granule Membrane (GO:0101003),prerank,0.5159652431298483,1.73334456506949,0.0023148148148148147,0.05614471580316209,0.386,24_52,24/52,24.59%,TCIRG1;SLC11A1;NBEAL2;SLC2A3;PRCP;ITGB2;DOK3;CD300A;MGAM;FCER1G;PKP1;GAA;DYNLL1;FPR1;CD93;SERPINB6;SIRPA;LILRB2;SIGLEC14;FCAR;ITGAX;FPR2;CD58;CR1,TCIRG1;SLC11A1;NBEAL2;SLC2A3;PRCP;ITGB2;DOK3;CD300A;MGAM;FCER1G;PKP1;GAA;DYNLL1;FPR1;CD93;SERPINB6;SIRPA;LILRB2;SIGLEC14;FCAR;ITGAX;FPR2;CD58;CR1;TRPM2;NCKAP1L;DIAPH1;AP2A2;LAMTOR1;LILRA3;LGALS3;SIGLEC5;TMEM179B;CD55;RHOA;LAMP1;COPB1;ARL8A;RCAN1;LAMP2;ATP6V0C;ATAD3B;UBR4;ATP6V0A1;NFASC;TBC1D10C;ATP6AP2;DSG1;PTPRN2;RNASE1;ENPP4;DYNC1LI1,"[208, 440, 717, 833, 842, 902, 1057, 1311, 1496, 1513, 1833, 2218, 2497, 2561, 2967, 3029, 3184, 3308, 3352, 3926, 4130, 4171, 4213, 4307, 4738, 4799, 5025, 5162, 5458, 6044, 6287, 7082, 7093, 7474, 7817, 8117, 8333, 8688, 9045, 9133, 9303, 9571, 9816, 10804, 11262, 12905, 13252, 13365, 14383, 14461, 14597, 14924]",GO_Cellular_Component_2025__Ficolin-1-Rich Granule Membrane (GO:0101003)
GO_Cellular_Component_2025,Tertiary Granule Membrane (GO:0070821),prerank,0.5027086933227816,1.7657211654966773,0.0021929824561403508,0.056695300082175354,0.29,30_67,30/67,19.14%,CD177;CYBA;SLC11A1;NBEAL2;SLC2A3;ITGB2;LAIR1;CYSTM1;CD300A;CD59;TSPAN14;SNAP23;GPR84;ITGAM;MGAM;FCER1G;ADAM8;CD33;VAMP8;STOM;PTAFR;GAA;DYNLL1;CD53;CD93;SERPINB6;SIRPA;PRKCSH;LILRB2;SIGLEC14,CD177;CYBA;SLC11A1;NBEAL2;SLC2A3;ITGB2;LAIR1;CYSTM1;CD300A;CD59;TSPAN14;SNAP23;GPR84;ITGAM;MGAM;FCER1G;ADAM8;CD33;VAMP8;STOM;PTAFR;GAA;DYNLL1;CD53;CD93;SERPINB6;SIRPA;PRKCSH;LILRB2;SIGLEC14;CLEC5A;ANO6;FCAR;ITGAX;FPR2;CLEC12A;TRPM2;PLAU;LAMTOR2;TMC6;RAP2B;LILRA3;CYBB;SIGLEC5;COPB1;KCNAB2;VAMP1;ATP6V0C;ATP8B4;UBR4;TMEM63A;FRMPD3;ATP11A;PTPRB;OLR1;CEACAM1;RAP2C;ATP6AP2;SNAP25;CEACAM8;LAMTOR3;SVIP;RAB14;CHRNB4;HGSNAT;NRAS;CD47,"[91, 417, 440, 717, 833, 902, 1183, 1185, 1311, 1312, 1331, 1381, 1387, 1487, 1496, 1513, 1533, 1612, 1711, 2042, 2202, 2218, 2497, 2531, 2967, 3029, 3184, 3248, 3308, 3352, 3594, 3917, 3926, 4130, 4171, 4407, 4738, 5250, 5330, 5359, 6006, 6044, 6563, 7082, 8333, 8954, 8979, 9303, 9362, 9816, 10071, 10151, 10525, 10643, 10770, 11025, 12334, 13252, 13308, 13495, 13718, 14106, 15080, 15573, 15594, 16714, 17045]",GO_Cellular_Component_2025__Tertiary Granule Membrane (GO:0070821)
GO_Cellular_Component_2025,Secretory Granule Lumen (GO:0034774),prerank,0.4128316419253492,1.751398530407146,0.0,0.05846237800468408,0.333,85_286,85/286,17.77%,HSPA6;S100A12;SERPINF2;TOR4A;SLPI;CLU;S100A7;PPBP;GRN;FGR;GSDMD;TGFB1;IMPDH1;ADM;RNASET2;FERMT3;S100A8;APOA1;STK11IP;LRG1;HEBP2;RNASE3;S100P;CDA;IGF2;EGFL7;HSP90AA1;DPP7;UCMA;C3;GMFG;TGFB2;SERPINA1;CSTB;VAT1;COTL1;ORM2;CTSA;OSCAR;ARHGAP9;VEGFA;VEGFB;LYZ;F13A1;GLB1;DNAJC3;MMRN1;GAS6;TEX264;CXCL1;ISLR;GSTP1;RETN;LCN2;TGFB3;S100A11;BPI;RNASE2;PLAC8;CTSZ;HSP90AB1;TINAGL1;AIFM2;SRGN;POMC;S100A9;RARRES2;SERPINA3;IDH1;PTPN6;NFKB1;DOCK2;IST1;CRISPLD2;DBH;FTL;CTSH;CSNK2B;TIMP1;TIMP3;PYCARD;NPC2;GNPDA1;ANXA2;VWF,HSPA6;S100A12;SERPINF2;TOR4A;SLPI;CLU;S100A7;PPBP;GRN;FGR;GSDMD;TGFB1;IMPDH1;ADM;RNASET2;FERMT3;S100A8;APOA1;STK11IP;LRG1;HEBP2;RNASE3;S100P;CDA;IGF2;EGFL7;HSP90AA1;DPP7;UCMA;C3;GMFG;TGFB2;SERPINA1;CSTB;VAT1;COTL1;ORM2;CTSA;OSCAR;ARHGAP9;VEGFA;VEGFB;LYZ;F13A1;GLB1;DNAJC3;MMRN1;GAS6;TEX264;CXCL1;ISLR;GSTP1;RETN;LCN2;TGFB3;S100A11;BPI;RNASE2;PLAC8;CTSZ;HSP90AB1;TINAGL1;AIFM2;SRGN;POMC;S100A9;RARRES2;SERPINA3;IDH1;PTPN6;NFKB1;DOCK2;IST1;CRISPLD2;DBH;FTL;CTSH;CSNK2B;TIMP1;TIMP3;PYCARD;NPC2;GNPDA1;ANXA2;VWF;FOLR3;SERPING1;PSMB1;RAB27A;CTSD;BIN2;NME2;MAN2B1;PYGL;ACAA1;CCT8;GHDC;PGM2;PDXK;SERPINE1;AZU1;TUBB4B;EGF;PSMD6;ACTN1;DLC1;CTSC;CYFIP1;TCN1;SRP14;CANT1;DYNLT1;PSMD3;PFKL;FCN1;DEFA5;PRDX5;JUP;ECM1;QPCT;GGH;TUBB;SDCBP;MAGED2;SOS1;CTSW;GSN;UNC13D;CCT2;GALNS;CHI3L1;PYGB;GUSB;PDGFB;LTF;ROCK1;VEGFC;DNASE1L1;PTGES2;CNN2;SERPINB1;PSMC3;PKM;CFP;TOLLIP;VCP;MAPK14;LGALS3BP;PSMB7;LEFTY2;PDGFA;GYG1;EEF1A1;PSMD11;A2M;ARSA;HSPA8;VTI1B;SPTAN1;PF4;C1QTNF1;PROS1;CYB5R3;PSMD12;PPIA;PGAM4;GHRL;KNG1;PSMD2;MVP;PSMA2;B2M;MNDA;DDX3X;SCCPDH;GTPBP2;DERA;PSMD7;CLEC3B;IMPDH2;FBF1;TMSB4X;SPARC;THBS1;EEF2;ALOX5;PRKCD;ACTN4;ELANE;APRT;PLG;TIMP2;OSTF1;DSN1;PSMD1;TRAPPC1;PRDX4;GNS;ALDOC;HUWE1;CAP1;FN1;ILF2;FAF2;NHLRC2;F5;ARPC5;COMMD9;ITIH4;OLFM4;ACTR1B;HEXB;XRCC6;CEP290;VCL;CDC37L1;PSMD14;CAB39;ATG7;TF;QSOX1;FAM3C;PSMD13;PADI2;CHIT1;TTR;MPO;SGPP2;TXNDC5;MAPK1;SCG3;HPSE;SLC48A1;PTX3;AHSG;CHAMP1;ALAD;PAFAH1B2;F8;FABP5;APAF1;PA2G4;ARMC8;PGLYRP1;ANKRD44;HMGB1;FUCA1;CAND1;KPNB1;ERP44;PIKFYVE;ACTR10;FRK;FUCA2;OLA1;NAT8;PSMA5;CPPED1;LRRC7;GM2A;EPX;ITIH3;PRTN3;DBNL;NIT2;GDI2;CREG1;HOOK3;IGF1;DYNC1H1;ACLY;APP;HRNR;AGL;PCSK1;PSMC2;AMPD3;XRCC5;GCA;PPIE;AGA;ACTR2;APOOL;ACTN2;PCYOX1L;NHLRC3,"[0, 37, 96, 165, 207, 216, 235, 294, 330, 341, 374, 386, 434, 468, 482, 630, 639, 666, 668, 721, 731, 776, 786, 815, 826, 835, 876, 957, 1016, 1102, 1113, 1191, 1224, 1263, 1283, 1300, 1317, 1354, 1362, 1390, 1439, 1509, 1546, 1558, 1582, 1630, 1637, 1651, 1728, 1774, 1808, 1811, 1835, 1836, 1861, 1895, 1898, 1937, 1971, 1973, 1985, 2056, 2207, 2229, 2238, 2310, 2452, 2558, 2666, 2686, 2835, 2897, 2898, 2899, 2906, 2914, 2919, 2962, 2996, 3019, 3056, 3069, 3073, 3075, 3112, 3189, 3289, 3303, 3307, 3494, 3511, 3600, 3690, 3749, 3799, 3814, 3818, 3889, 3985, 4011, 4083, 4115, 4444, 4459, 4592, 4657, 4687, 4757, 4772, 4885, 4905, 4939, 4956, 4981, 5015, 5080, 5251, 5286, 5366, 5439, 5610, 5726, 5806, 5816, 5826, 5967, 6007, 6041, 6142, 6292, 6323, 6390, 6432, 6544, 6558, 6585, 6620, 6732, 6798, 6810, 6844, 6885, 7001, 7041, 7236, 7245, 7304, 7314, 7404, 7533, 7604, 7652, 7703, 7716, 7770, 7862, 7879, 7882, 8037, 8058, 8073, 8108, 8124, 8225, 8248, 8448, 8489, 8499, 8522, 8574, 8576, 8604, 8616, 8765, 8900, 8991, 9122, 9152, 9162, 9186, 9193, 9219, 9277, 9307, 9332, 9403, 9580, 9667, 9713, 9799, 9981, 10271, 10320, 10329, 10336, 10341, 10397, 10538, 10567, 10571, 10635, 10662, 10675, 10771, 10795, 10833, 10877, 10931, 11047, 11087, 11105, 11261, 11348, 11485, 11575, 11836, 11848, 11898, 11948, 11964, 11986, 12029, 12242, 12268, 12295, 12341, 12599, 12737, 12760, 12772, 12882, 13014, 13158, 13208, 13296, 13414, 13422, 13515, 13595, 13621, 13773, 13880, 13934, 14027, 14217, 14226, 14256, 14466, 14483, 14506, 14617, 14687, 14738, 14770, 14783, 14827, 14940, 15008, 15068, 15083, 15110, 15121, 15129, 15173, 15187, 15227, 15330, 15433, 15473, 15541, 15559, 15665, 15774, 15777, 15963, 16078, 16083, 16129, 16283, 16307, 16745, 16913, 16996, 17020, 17208, 17372]",GO_Cellular_Component_2025__Secretory Granule Lumen (GO:0034774)
GO_Cellular_Component_2025,Platelet Alpha Granule Lumen (GO:0031093),prerank,0.5084446408914146,1.7390940712122758,0.002145922746781116,0.05891086444817461,0.367,18_59,18/59,10.63%,SERPINF2;TOR4A;CLU;PPBP;TGFB1;FERMT3;IGF2;TGFB2;SERPINA1;ORM2;VEGFA;VEGFB;F13A1;MMRN1;GAS6;TEX264;ISLR;TGFB3,SERPINF2;TOR4A;CLU;PPBP;TGFB1;FERMT3;IGF2;TGFB2;SERPINA1;ORM2;VEGFA;VEGFB;F13A1;MMRN1;GAS6;TEX264;ISLR;TGFB3;SRGN;SERPINA3;TIMP1;VWF;SERPING1;SERPINE1;EGF;ACTN1;MAGED2;SOS1;PDGFB;VEGFC;LEFTY2;PDGFA;A2M;VTI1B;PF4;PROS1;KNG1;SCCPDH;GTPBP2;FBF1;TMSB4X;SPARC;THBS1;ACTN4;PLG;FN1;NHLRC2;F5;QSOX1;SLC48A1;AHSG;F8;PIKFYVE;OLA1;IGF1;APP;APOOL;ACTN2;PCYOX1L,"[96, 165, 216, 294, 386, 630, 826, 1191, 1224, 1317, 1439, 1509, 1558, 1637, 1651, 1728, 1808, 1861, 2229, 2558, 2996, 3112, 3289, 4011, 4444, 4592, 5816, 5826, 6544, 6620, 7533, 7604, 7770, 7882, 8058, 8108, 8499, 8900, 8991, 9193, 9219, 9277, 9307, 9667, 9981, 10662, 10795, 10833, 11986, 13158, 13296, 13595, 14617, 14783, 15473, 15665, 16996, 17020, 17208]",GO_Cellular_Component_2025__Platelet Alpha Granule Lumen (GO:0031093)
