TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
GO_Molecular_Function_2025,Histone Deacetylase Binding (GO:0042826),prerank,0.539042023376435,1.9655238724103894,0.0,0.08569855994232044,0.069,26_85,26/85,13.03%,HSPA1A;HSPA1B;RELA;TAL1;HDAC10;MEF2B;HIC1;BCL3;MIER2;NACC2;MAGEA12;SMG5;HSP90AA1;SPI1;KCTD21;TFAP4;KAT2A;HDAC4;PKN1;LEF1;MTA2;AKAP8L;TWIST1;HSP90AB1;HDAC1;GMNN,HSPA1A;HSPA1B;RELA;TAL1;HDAC10;MEF2B;HIC1;BCL3;MIER2;NACC2;MAGEA12;SMG5;HSP90AA1;SPI1;KCTD21;TFAP4;KAT2A;HDAC4;PKN1;LEF1;MTA2;AKAP8L;TWIST1;HSP90AB1;HDAC1;GMNN;MTA1;GLI3;USF1;NKX3-1;HDAC3;ZMYND15;GCM1;NCOR2;HDAC5;NACC1;RAD9A;HEY2;HDAC6;PKN2;NIPBL;MTA3;SIRT2;CHD4;CAMTA2;DACT1;MIER1;PHF6;BHLHE41;SATB2;KAT2B;TP53;THAP7;HDAC2;MIER3;LCOR;IKZF3;SMYD4;BCOR;MAGEA8;DAND5;ANKRD1;TRAF6;MEF2D;SP2;MEF2C;SUDS3;NCOR1;YWHAE;CIR1;KPNA2;CCND1;YWHAB;BRMS1L;ANKRA2;INSM1;MEF2A;FOXP3;BEX4;HDAC9;NUDT21;MAPK8;DHX36;SFPQ;RBBP4,"[2, 7, 68, 105, 117, 121, 124, 347, 398, 454, 624, 767, 876, 942, 946, 951, 986, 1124, 1248, 1377, 1393, 1593, 1908, 1985, 2268, 2281, 2852, 2987, 3578, 3726, 3950, 4128, 4527, 4578, 4646, 5026, 5087, 5306, 5473, 5765, 5994, 6330, 6743, 6811, 7483, 7544, 7648, 7707, 8086, 8399, 8626, 8693, 9471, 9498, 9510, 9523, 10278, 10475, 11173, 11359, 11864, 11940, 11998, 12103, 12439, 12683, 12712, 12807, 12907, 13043, 13366, 13673, 13801, 14782, 15333, 15438, 15464, 15494, 15631, 15818, 16113, 16304, 16832, 17028, 17106]",GO_Molecular_Function_2025__Histone Deacetylase Binding (GO:0042826)
GO_Molecular_Function_2025,Cytokine Receptor Binding (GO:0005126),prerank,0.5298456910186333,1.9079137026783088,0.0,0.0988390058001429,0.143,29_85,29/85,17.45%,TLR5;CSF1;EBI3;SOCS3;IL18;CLCF1;TGFBR3;TYK2;PGF;LIF;TGFB2;SYK;TLR9;VEGFA;VEGFB;ADAM8;IL27;CSF3;IL6R;FADD;IL6;CTF1;IL1RN;IL9;S100A9;CISH;SOCS2;OSMR;PYCARD,TLR5;CSF1;EBI3;SOCS3;IL18;CLCF1;TGFBR3;TYK2;PGF;LIF;TGFB2;SYK;TLR9;VEGFA;VEGFB;ADAM8;IL27;CSF3;IL6R;FADD;IL6;CTF1;IL1RN;IL9;S100A9;CISH;SOCS2;OSMR;PYCARD;SOCS1;IL34;IL23A;TRIP6;IL1B;CCRL2;TNFSF9;TIMM50;JAK3;CCM2;IL6ST;CCL25;SDCBP;IFNA21;SMAD3;SH2B3;SMAD2;CCL5;IL12B;LIFR;IL10;FKBP1A;XCL1;DDTL;S100A14;IL11;IL13;PXDN;SPRED2;IL4;TNFSF4;JAK2;SPRED1;JAK1;IFNA8;IFNW1;CRLF1;CNTF;INHBC;CD300LF;TSLP;IL12A;IFNL1;DNAJA3;IL25;IL12RB1;KITLG;TGFBRAP1;TNFSF18;ERAP1;USP15;EPX;PIBF1;CXCL12;CCL19;SMURF1,"[95, 137, 243, 619, 662, 750, 894, 1122, 1138, 1188, 1191, 1267, 1414, 1439, 1509, 1533, 1736, 1776, 2017, 2019, 2121, 2253, 2260, 2276, 2310, 2714, 2811, 3035, 3056, 3430, 3805, 3864, 3877, 4629, 4725, 4887, 5100, 5207, 5398, 5448, 5547, 5806, 5807, 5844, 6169, 6205, 6365, 6713, 6831, 6941, 7100, 7121, 7229, 7332, 8041, 8159, 8227, 8388, 8442, 8620, 8889, 9194, 9271, 9616, 9795, 9811, 9983, 10017, 10166, 10214, 10432, 10977, 11060, 12112, 12365, 12483, 12725, 12731, 13745, 14292, 15110, 15139, 15207, 15722, 15731]",GO_Molecular_Function_2025__Cytokine Receptor Binding (GO:0005126)
GO_Molecular_Function_2025,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",prerank,0.4266098642208772,1.727880382698193,0.0,0.11258438266932294,0.752,54_196,54/196,16.19%,JDP2;RELA;TFAP2C;NFIL3;HIC1;TCF7L1;NFATC4;CEBPB;NACC2;TGIF1;MAX;BCL6;HSF1;SAMD11;BCL6B;HEYL;PRDM16;ZNF692;NR2F1;IRF8;TBX3;TGIF2;MYC;GTF2IRD1;ZNF746;THAP11;ZNF263;NR1D1;MLXIPL;HHEX;PPARA;TBX2;CC2D1A;YY1;MXD1;GLIS3;ZNF219;FOXP4;MXI1;ASCL1;HIC2;ZNF217;ENO1;SOX13;NEUROG3;SNAI1;GATA3;ZGPAT;CREM;ZBTB34;ZBTB17;POU5F1;JUN;NFKB1,JDP2;RELA;TFAP2C;NFIL3;HIC1;TCF7L1;NFATC4;CEBPB;NACC2;TGIF1;MAX;BCL6;HSF1;SAMD11;BCL6B;HEYL;PRDM16;ZNF692;NR2F1;IRF8;TBX3;TGIF2;MYC;GTF2IRD1;ZNF746;THAP11;ZNF263;NR1D1;MLXIPL;HHEX;PPARA;TBX2;CC2D1A;YY1;MXD1;GLIS3;ZNF219;FOXP4;MXI1;ASCL1;HIC2;ZNF217;ENO1;SOX13;NEUROG3;SNAI1;GATA3;ZGPAT;CREM;ZBTB34;ZBTB17;POU5F1;JUN;NFKB1;ZBTB46;TBX21;TRPS1;PPARG;THAP1;PPARD;ZBTB2;TFEC;CTCF;ZBTB12;ZFHX3;ASCL2;BHLHE40;NFE2L1;MZF1;REST;FOXK2;NACC1;EN1;ZBTB5;ZBTB1;DEAF1;OTP;HEY2;ZNF202;FOXP1;MAFK;MYPOP;ATF3;ZNF750;ZBTB45;SKI;POU4F1;HES5;ATF7;OVOL2;ETV7;FOXP2;ZBTB33;IRX3;MNT;LRRFIP1;SAMD7;FOXK1;GFI1;ETV6;POU6F1;ZBTB21;ZBTB32;ZBTB16;NKX6-3;SNAI2;ARX;ZNF175;ZBTB10;PATZ1;NFATC3;ETS2;FOXO3;BHLHE41;TBX18;E4F1;E2F8;MITF;IKZF5;FOXR1;SKIL;ZBTB18;ZBTB26;ZNF140;TP53;INSM2;HEY1;BCL11A;SCRT2;ZNF512B;KLF12;SOX30;VSX2;ZBTB6;TCFL5;PRDM1;MSX2;ETF1;PURB;KCNIP3;ZBTB4;SREBF2;ZNF148;ZBTB14;SATB1;DACH1;BATF3;DLX4;ZNF131;E2F6;GZF1;ZNF239;SP2;BRIP1;SCRT1;ZBTB20;ZBTB39;ZEB1;ZNF224;CREB3L1;PLAGL1;TFAP2A;ZNF91;MYT1L;PURA;JPH2;ZNF350;ZNF589;NANOG;NR3C1;ZEB2;ZBTB49;IRX2;PRDM2;PRDM5;PROX1;ZBED6;ZBTB37;ZNF354C;ZNF281;NFX1;IRX1;ZNF134;INSM1;FOXP3;KLF8;ZNF536;ZNF85;ZBTB25;ZBTB8A;ZNF93;KCNH8;ZKSCAN3;HESX1;ZNF572;RORC,"[33, 68, 99, 110, 124, 230, 262, 311, 454, 481, 484, 489, 497, 584, 627, 830, 944, 949, 1093, 1129, 1154, 1215, 1232, 1304, 1403, 1453, 1577, 1578, 1621, 1628, 1634, 1641, 1730, 1746, 1793, 1807, 1864, 1965, 1986, 2116, 2184, 2197, 2285, 2337, 2375, 2526, 2530, 2583, 2587, 2717, 2776, 2795, 2824, 2835, 2963, 3251, 3276, 3284, 3555, 3681, 3722, 3880, 4074, 4416, 4417, 4691, 4717, 4722, 4955, 4978, 4996, 5026, 5068, 5081, 5093, 5255, 5299, 5306, 5418, 5437, 5461, 5503, 5684, 5867, 6124, 6189, 6361, 6408, 6701, 6704, 6714, 6903, 6927, 6933, 6945, 6976, 6986, 6994, 7032, 7047, 7077, 7124, 7184, 7188, 7379, 7384, 7449, 7496, 7778, 7785, 7891, 7937, 8003, 8086, 8129, 8149, 8154, 8314, 8343, 8423, 8425, 8440, 8456, 8542, 8693, 8748, 8866, 9018, 9050, 9158, 9297, 9368, 9678, 10138, 10274, 10431, 10513, 10790, 10912, 10999, 11009, 11150, 11195, 11245, 11290, 11356, 11362, 11465, 11544, 12060, 12281, 12302, 12439, 12449, 12606, 12625, 12654, 12675, 12711, 12752, 12860, 12910, 13189, 13473, 13584, 13716, 13735, 14003, 14064, 14123, 14204, 14237, 14340, 14421, 14441, 14536, 14596, 14683, 14711, 14857, 14908, 14999, 15124, 15438, 15494, 15505, 15970, 15985, 16027, 16175, 16184, 16430, 16462, 16551, 16841, 16946]","GO_Molecular_Function_2025__DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)"
GO_Molecular_Function_2025,L-amino Acid Transmembrane Transporter Activity (GO:0015179),prerank,0.5205438501928416,1.7628742865224665,0.002136752136752137,0.11321731974602113,0.648,16_54,16/54,12.83%,SLC7A9;SLC3A2;SLC1A7;SLC38A2;SLC7A5;SLC22A2;SLC7A2;SLC43A1;SLC47A1;SLC6A20;SLC38A10;SLC1A5;SLC7A7;SLC7A1;SLC7A10;SLC25A18,SLC7A9;SLC3A2;SLC1A7;SLC38A2;SLC7A5;SLC22A2;SLC7A2;SLC43A1;SLC47A1;SLC6A20;SLC38A10;SLC1A5;SLC7A7;SLC7A1;SLC7A10;SLC25A18;SLC38A5;SLC1A3;SLC25A22;SLC7A11;SLC7A3;SLC38A6;SLC1A4;SLC6A7;SLC7A8;SLC38A4;SLC38A11;SLC43A2;SLC38A8;SLC25A12;SFXN3;SLC17A7;SLC25A2;SLC1A1;SLC36A4;SLC38A7;UCP2;SLC16A10;SLC1A2;SLC1A6;SLC15A4;SLC17A6;SFXN1;SLC36A1;SLC3A1;SLC25A26;SLC7A6;SERINC5;SLC38A1;SLC17A8;SERINC3;SLC38A9;SLC25A13;SLC25A15,"[22, 40, 82, 301, 312, 342, 469, 1004, 1144, 1160, 1846, 1927, 1979, 2037, 2072, 2247, 3433, 3630, 4622, 4658, 5685, 5811, 6210, 7158, 7295, 8038, 8111, 8652, 8980, 9190, 9292, 9653, 9675, 9755, 10134, 10443, 10606, 10799, 11209, 11735, 11782, 11853, 11921, 12496, 12814, 13050, 13261, 14721, 16010, 16151, 16337, 16347, 16678, 16838]",GO_Molecular_Function_2025__L-amino Acid Transmembrane Transporter Activity (GO:0015179)
GO_Molecular_Function_2025,Icosanoid Transmembrane Transporter Activity (GO:0071714),prerank,0.7154351151222452,1.709050072005608,0.00625,0.11689283576132507,0.824,3_12,3/12,6.48%,SLCO4A1;SLC22A2;SLC22A8,SLCO4A1;SLC22A2;SLC22A8;SLCO2B1;ABCC4;SLC22A7;SLC22A1;SLC22A6;SLCO2A1;SLCO3A1;SLC22A11;SLCO1B1,"[46, 342, 1134, 2616, 4382, 4635, 5066, 6062, 7514, 8210, 9370, 10574]",GO_Molecular_Function_2025__Icosanoid Transmembrane Transporter Activity (GO:0071714)
GO_Molecular_Function_2025,Transforming Growth Factor Beta Binding (GO:0050431),prerank,0.6293699470892398,1.7187409866647054,0.014893617021276596,0.11750224774313714,0.792,11_21,11/21,10.63%,LRRC32;LRG1;TGFBR3;TSKU;HYAL2;VASN;WFIKKN2;LTBP3;ACVRL1;WFIKKN1;TGFB3,LRRC32;LRG1;TGFBR3;TSKU;HYAL2;VASN;WFIKKN2;LTBP3;ACVRL1;WFIKKN1;TGFB3;TGFBR2;LTBP4;TGFBR1;ENG;TGFBR3L;THBS1;ITGAV;LTBP1;TWSG1;CD36,"[671, 721, 894, 1128, 1152, 1226, 1298, 1388, 1627, 1813, 1861, 2773, 4551, 5624, 5813, 9254, 9307, 9460, 10550, 12336, 17434]",GO_Molecular_Function_2025__Transforming Growth Factor Beta Binding (GO:0050431)
GO_Molecular_Function_2025,Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175),prerank,0.5594787717688592,1.6951103082380994,0.011061946902654867,0.11789141028587038,0.865,10_32,10/32,11.83%,SLC7A9;SLC3A2;SLC1A7;SLC38A2;SLC7A5;SLC43A1;SLC6A20;SLC25A38;SLC1A5;SLC7A10,SLC7A9;SLC3A2;SLC1A7;SLC38A2;SLC7A5;SLC43A1;SLC6A20;SLC25A38;SLC1A5;SLC7A10;SLC6A9;SLC38A5;SLC1A3;SLC38A6;SLC1A4;SLC6A7;SLC7A8;SLC38A4;SLC43A2;SLC25A12;SLC1A1;SLC36A4;SLC38A7;SLC1A2;SLC6A6;SLC1A6;SLC36A1;SLC6A15;SLC38A1;SLC32A1;SLC38A9;SLC25A13,"[22, 40, 82, 301, 312, 1004, 1160, 1440, 1927, 2072, 2569, 3433, 3630, 5811, 6210, 7158, 7295, 8038, 8652, 9190, 9755, 10134, 10443, 11209, 11639, 11735, 12496, 15808, 16010, 16295, 16347, 16678]",GO_Molecular_Function_2025__Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175)
GO_Molecular_Function_2025,Amino Acid:Sodium Symporter Activity (GO:0005283),prerank,0.6557851505621212,1.6907627403540202,0.010775862068965518,0.11831162303148128,0.874,5_17,5/17,6.63%,SLC6A12;SLC1A7;SLC6A13;SLC38A2;SLC6A20,SLC6A12;SLC1A7;SLC6A13;SLC38A2;SLC6A20;SLC6A9;SLC1A3;SLC6A8;SLC6A11;SLC6A7;SLC38A4;SLC1A2;SLC6A6;SLC1A6;SLC6A15;SLC38A1;SLC6A1,"[6, 82, 199, 301, 1160, 2569, 3630, 5128, 6443, 7158, 8038, 11209, 11639, 11735, 15808, 16010, 16284]",GO_Molecular_Function_2025__Amino Acid:Sodium Symporter Activity (GO:0005283)
GO_Molecular_Function_2025,Monocarboxylate:Sodium Symporter Activity (GO:0140161),prerank,0.7055654087879459,1.728933244164734,0.008547008547008548,0.1185496745868766,0.749,2_12,2/12,1.14%,SLC6A12;SLC6A13,SLC6A12;SLC6A13;SLC10A3;SLC6A8;SLC10A6;SLC6A11;SLC5A8;SLC10A4;SLC6A6;SLC5A12;SLC10A5;SLC6A1,"[6, 199, 4477, 5128, 5911, 6443, 8898, 10038, 11639, 12260, 12767, 16284]",GO_Molecular_Function_2025__Monocarboxylate:Sodium Symporter Activity (GO:0140161)
GO_Molecular_Function_2025,MHC Class II Protein Complex Binding (GO:0023026),prerank,0.6141921560882347,1.7029160141031527,0.004310344827586207,0.11883533645335102,0.846,12_22,12/22,19.25%,CD4;HLA-DRB1;HSP90AA1;CD74;HLA-DRA;HLA-DMB;HLA-DRB5;HSP90AB1;HLA-DMA;CD81;HLA-DPA1;HLA-DQA1,CD4;HLA-DRB1;HSP90AA1;CD74;HLA-DRA;HLA-DMB;HLA-DRB5;HSP90AB1;HLA-DMA;CD81;HLA-DPA1;HLA-DQA1;HLA-DOA;PKM;HLA-DQB2;HSPA8;B2M;HLA-DQA2;MS4A1;YWHAE;ATP1B1;HLA-DOB,"[204, 784, 876, 1313, 1505, 1587, 1667, 1985, 2494, 2595, 2875, 3372, 4041, 7001, 7665, 7879, 8604, 8932, 12319, 12907, 14240, 15856]",GO_Molecular_Function_2025__MHC Class II Protein Complex Binding (GO:0023026)
