TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
Reactome_Pathways_2024,Peptide Chain Elongation,prerank,0.6344182107425239,2.325792886254169,0.0,0.0,0.0,77_88,77/88,32.86%,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30;RPL41;RPS23;RPL10A;RPL21;EEF1A1;RPL22L1;RPL39L;RPL12;EEF2;RPL15;RPL26,"[810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5753, 5756, 6144, 6216, 6728, 7103, 7703, 7773, 8325, 8558, 9332, 11953, 14761]",Reactome_Pathways_2024__Peptide Chain Elongation
Reactome_Pathways_2024,Viral mRNA Translation,prerank,0.6285908582445766,2.2950575316045256,0.0,0.0,0.0,78_88,78/88,32.86%,RPS21;RPL36;DNAJC3;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30,RPS21;RPL36;DNAJC3;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30;RPL41;RPS23;RPL10A;RPL21;RPL22L1;RPL39L;RPL12;RPL15;GRSF1;RPL26,"[810, 1282, 1630, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5753, 5756, 6144, 6216, 6728, 7103, 7773, 8325, 8558, 11953, 12597, 14761]",Reactome_Pathways_2024__Viral mRNA Translation
Reactome_Pathways_2024,HSF1 Activation,prerank,0.8579727912291175,2.4987769521219603,0.0,0.0,0.0,13_28,13/28,5.53%,HSPA6;HSPA1A;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6,HSPA6;HSPA1A;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6;HSP90AB1;PTGES3;UBB;HDAC6;CRYBA4;RPA1;VCP;EEF1A1;HSBP1;RPA2;RLN1;COL4A6;YWHAE;TNFRSF21;RPA3,"[0, 2, 7, 8, 9, 158, 173, 188, 497, 850, 876, 913, 968, 1985, 2761, 4750, 5473, 6311, 6545, 7245, 7703, 9489, 10282, 10363, 10672, 12907, 14131, 14991]",Reactome_Pathways_2024__HSF1 Activation
Reactome_Pathways_2024,Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC),prerank,0.6145869796085415,2.2768248438970864,0.0,0.0,0.0,78_94,78/94,32.86%,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;UPF1;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;UPF1;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30;PABPC1;RPL41;RPS23;EIF4G1;RPL10A;RPL21;RPL22L1;RPL39L;RPL12;NCBP2;GSPT2;GSPT1;ETF1;NCBP1;RPL15;RPL26,"[810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2591, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5753, 5756, 6002, 6144, 6216, 6233, 6728, 7103, 7773, 8325, 8558, 8656, 9375, 9773, 10790, 11282, 11953, 14761]",Reactome_Pathways_2024__Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC)
Reactome_Pathways_2024,HSF1-dependent Transactivation,prerank,0.8113356970673106,2.5158776555500006,0.0,0.0,0.0,18_35,18/35,12.06%,HSPA6;HSPA1A;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6;AKT1S1;CREBBP;HSP90AB1;HSPB8;CRYAB,HSPA6;HSPA1A;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6;AKT1S1;CREBBP;HSP90AB1;HSPB8;CRYAB;PTGES3;CAMK2B;UBB;MLST8;CRYBA4;CAMK2G;HSPA2;RPTOR;EP300;HSPA8;CAMK2A;HSBP1;RLN1;COL4A6;MTOR;CAMK2D;TNFRSF21,"[0, 2, 7, 8, 9, 158, 173, 188, 497, 850, 876, 913, 968, 1340, 1980, 1985, 2088, 2111, 2761, 4493, 4750, 5180, 6311, 6774, 6834, 7231, 7268, 7879, 8596, 9489, 10363, 10672, 13065, 13938, 14131]",Reactome_Pathways_2024__HSF1-dependent Transactivation
Reactome_Pathways_2024,Eukaryotic Translation Elongation,prerank,0.6239883898083048,2.2862427906332496,0.0,0.0,0.0,79_92,79/92,32.86%,RPS21;EEF1D;RPL36;RPS19;EEF1G;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30,RPS21;EEF1D;RPL36;RPS19;EEF1G;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30;EEF1A2;RPL41;RPS23;RPL10A;RPL21;EEF1A1;RPL22L1;RPL39L;RPL12;EEF2;RPL15;EEF1B2;RPL26,"[810, 1270, 1282, 1703, 1845, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5753, 5756, 5848, 6144, 6216, 6728, 7103, 7703, 7773, 8325, 8558, 9332, 11953, 12656, 14761]",Reactome_Pathways_2024__Eukaryotic Translation Elongation
Reactome_Pathways_2024,Attenuation Phase,prerank,0.8715189495233039,2.521547176702464,0.0,0.0,0.0,13_25,13/25,5.53%,HSPA6;HSPA1A;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6,HSPA6;HSPA1A;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6;CREBBP;HSP90AB1;PTGES3;UBB;CRYBA4;HSPA2;EP300;HSPA8;HSBP1;RLN1;COL4A6;TNFRSF21,"[0, 2, 7, 8, 9, 158, 173, 188, 497, 850, 876, 913, 968, 1980, 1985, 2761, 4750, 6311, 6834, 7268, 7879, 9489, 10363, 10672, 14131]",Reactome_Pathways_2024__Attenuation Phase
Reactome_Pathways_2024,Interleukin-10 Signaling,prerank,0.6766138604926893,2.1705901484988854,0.0,0.00012773412475322604,0.001,28_44,28/44,21.66%,CSF1;IL1R2;TNFRSF1A;IL18;TNFRSF1B;TYK2;LIF;IL10RB;CD86;CCL20;CXCL1;CSF3;CCL2;ICAM1;CCR2;IL6;PTAFR;IL1RN;IL10RA;FPR1;IL8;TIMP1;CD80;STAT3;CCR1;TNF;CXCL10;CCL22,CSF1;IL1R2;TNFRSF1A;IL18;TNFRSF1B;TYK2;LIF;IL10RB;CD86;CCL20;CXCL1;CSF3;CCL2;ICAM1;CCR2;IL6;PTAFR;IL1RN;IL10RA;FPR1;IL8;TIMP1;CD80;STAT3;CCR1;TNF;CXCL10;CCL22;CCR5;IL1B;IL1R1;CXCL2;CCL5;FCER2;IL12B;IL10;CCL3;CCL3L1;CCL4;JAK1;IL12A;PTGS2;IL1A;CCL19,"[137, 148, 390, 662, 720, 1122, 1188, 1462, 1574, 1617, 1774, 1776, 1826, 1872, 2082, 2121, 2202, 2260, 2448, 2561, 2920, 2996, 3114, 3143, 3341, 3515, 3676, 3794, 4246, 4629, 5151, 5578, 6365, 6557, 6713, 6941, 7600, 8611, 9267, 9271, 10432, 11182, 12614, 15722]",Reactome_Pathways_2024__Interleukin-10 Signaling
Reactome_Pathways_2024,Response of EIF2AK4 (GCN2) to Amino Acid Deficiency,prerank,0.5866691189137382,2.192045893040643,0.0,0.00014192680528136227,0.001,64_99,64/99,24.53%,CEBPG;CEBPB;ATF4;DDIT3;RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;EIF2S2;RPSA;RPS3A;RPS13;RPS4X;RPL27A,CEBPG;CEBPB;ATF4;DDIT3;RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;EIF2S2;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;ASNS;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;ATF3;RPL37;RPL26L1;RPL30;RPL41;RPS23;RPL10A;RPL21;TRIB3;RPL22L1;ATF2;RPL39L;RPL12;EIF2S3;RPL15;EIF2AK4;EIF2S1;RPL26;IMPACT,"[257, 311, 381, 729, 810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4201, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 4899, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5684, 5716, 5753, 5756, 6144, 6216, 6728, 7103, 7315, 7773, 8136, 8325, 8558, 10791, 11953, 13687, 14673, 14761, 16805]",Reactome_Pathways_2024__Response of EIF2AK4 (GCN2) to Amino Acid Deficiency
Reactome_Pathways_2024,Eukaryotic Translation Termination,prerank,0.5996292731127989,2.209334862688546,0.0,0.00015966765594153254,0.001,78_92,78/92,32.86%,RPS21;RPL36;TRMT112;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30,RPS21;RPL36;TRMT112;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30;RPL41;RPS23;RPL10A;RPL21;RPL22L1;RPL39L;RPL12;GSPT2;GSPT1;ETF1;RPL15;APEH;N6AMT1;RPL26,"[810, 1282, 1466, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5753, 5756, 6144, 6216, 6728, 7103, 7773, 8325, 8558, 9375, 9773, 10790, 11953, 13691, 14572, 14761]",Reactome_Pathways_2024__Eukaryotic Translation Termination
