TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c5.go.mf,GOMF_PROTEIN_FOLDING_CHAPERONE,prerank,0.5999485463391432,2.090095738811319,0.0,0.006034168838522592,0.005,24_62,24/62,13.22%,HSPA6;HSPA1A;HSPB1;HSPA1B;DNAJB1;AHSA1;HSPA1L;HSPD1;GAK;HSP90AA1;HSPH1;DNAJB6;HSPE1;CCT3;CD74;CCT5;HYPK;HSPA5;TAPBP;FKBP8;HSP90AB1;HSPA4;TCP1;KHSRP,HSPA6;HSPA1A;HSPB1;HSPA1B;DNAJB1;AHSA1;HSPA1L;HSPD1;GAK;HSP90AA1;HSPH1;DNAJB6;HSPE1;CCT3;CD74;CCT5;HYPK;HSPA5;TAPBP;FKBP8;HSP90AB1;HSPA4;TCP1;KHSRP;HSPA4L;CCT4;WDR83OS;CALR;CCT8;CCT7;HSP90B1;CCT6A;CCT2;ZMYND10;HSPA2;HSPB6;PFDN2;DNLZ;RIC8A;DFFA;RIC8B;HSPA8;HYOU1;PDCL3;APLF;HSPA9;RIC3;CCDC47;ANP32E;CLGN;PFDN1;TRAP1;CDC123;HSPA13;TSC1;WIPF1;CLPX;TOR1A;CCT6B;HSPA14;LYRM7;DNAJB7,"[0, 2, 3, 7, 9, 183, 188, 682, 736, 876, 913, 968, 1194, 1222, 1313, 1508, 1581, 1765, 1863, 1961, 1985, 2101, 2233, 2315, 2521, 3049, 3171, 3686, 3814, 5096, 5272, 5971, 6142, 6254, 6834, 7036, 7278, 7425, 7556, 7631, 7752, 7879, 9087, 10317, 11965, 12206, 12778, 12918, 13005, 13105, 13431, 13522, 13599, 13994, 14195, 14990, 16063, 16264, 17047, 17247, 17419, 17433]",c5.go.mf__GOMF_PROTEIN_FOLDING_CHAPERONE
c5.go.mf,GOMF_DEATH_RECEPTOR_ACTIVITY,prerank,0.7658521943528587,2.0200038271187957,0.00202020202020202,0.006999635852686207,0.028,6_17,6/17,4.12%,HSPA1A;TNFRSF4;TNFRSF1A;TNFRSF10B;TNFRSF10A;TNFRSF1B,HSPA1A;TNFRSF4;TNFRSF1A;TNFRSF10B;TNFRSF10A;TNFRSF1B;EDA;TNFRSF25;NGF;TNF;TNFRSF14;NGFR;TNFRSF19;TNFRSF18;EDA2R;FAS;TNFRSF11A,"[2, 373, 390, 539, 591, 720, 1963, 2404, 3051, 3515, 3763, 4970, 6177, 6954, 8894, 9493, 11457]",c5.go.mf__GOMF_DEATH_RECEPTOR_ACTIVITY
c5.go.mf,GOMF_IMMUNE_RECEPTOR_ACTIVITY,prerank,0.5309226059826274,2.0273855828964638,0.0,0.008146127932005498,0.026,51_127,51/127,19.48%,IL17RB;EPOR;CXCR4;IL1R2;GPR35;IL2RG;CD4;EBI3;IL4R;IL15RA;C3AR1;CXCR1;FCGR3B;FCGR2A;CXCR2;FCGR2B;HLA-DRB1;C5AR1;LILRB1;LILRA2;IFNGR2;LILRA5;CSF3R;CD74;KLRD1;FZD4;CNTFR;IL10RB;HLA-DRA;FCER1G;LILRB3;IL27RA;FCGR1A;FCER1A;IL6R;CCR2;FCGR3A;IL7R;CD160;IL10RA;FPR1;HLA-DPA1;CTSH;LILRB5;OSMR;IL18R1;IL17RC;LILRB2;CCR1;HLA-DQA1;KLRK1,IL17RB;EPOR;CXCR4;IL1R2;GPR35;IL2RG;CD4;EBI3;IL4R;IL15RA;C3AR1;CXCR1;FCGR3B;FCGR2A;CXCR2;FCGR2B;HLA-DRB1;C5AR1;LILRB1;LILRA2;IFNGR2;LILRA5;CSF3R;CD74;KLRD1;FZD4;CNTFR;IL10RB;HLA-DRA;FCER1G;LILRB3;IL27RA;FCGR1A;FCER1A;IL6R;CCR2;FCGR3A;IL7R;CD160;IL10RA;FPR1;HLA-DPA1;CTSH;LILRB5;OSMR;IL18R1;IL17RC;LILRB2;CCR1;HLA-DQA1;KLRK1;LILRA4;C5AR2;IL11RA;IL13RA1;IL18RAP;FCAR;IL21R;HLA-DOA;FPR2;LILRA6;CCR5;CR1;CCRL2;IL1RL1;IL17RA;IL1R1;FPR3;IL6ST;IFNGR1;LEPR;CD44;CCR9;HLA-DQB1;IL20RA;IL20RB;LILRA3;GFRAL;CMKLR1;LILRB4;NCR3;FCER2;IL12B;LIFR;GPR17;CCR10;GHR;IL17RD;MR1;CX3CR1;LILRA1;HLA-DQB2;IL22RA1;CSF2RB;KLRC2;CXCR6;HLA-DQA2;KLRF1;IFNAR2;GFRA2;CRLF1;IL1RL2;CCR7;GFRA1;IFNLR1;GFRA3;IFNAR1;F3;GFRA4;IL12RB1;PRLR;CR2;GPR75;IL1RAP;IL17RE;CCR6;IL12RB2;IL5RA;IL1RAPL2;IL2RB;CD200R1;KLRC1;HLA-DOB;IL13RA2;MPL;FLT3;IL17REL,"[34, 45, 77, 148, 156, 180, 204, 243, 462, 491, 582, 599, 611, 648, 680, 716, 784, 805, 820, 958, 1147, 1150, 1164, 1313, 1325, 1368, 1386, 1462, 1505, 1513, 1620, 1657, 1740, 2001, 2017, 2082, 2138, 2230, 2405, 2448, 2561, 2875, 2919, 2931, 3035, 3123, 3234, 3308, 3341, 3372, 3412, 3572, 3651, 3842, 3851, 3895, 3926, 3990, 4041, 4171, 4233, 4246, 4307, 4725, 4810, 5027, 5151, 5242, 5448, 5613, 5645, 5731, 5772, 5810, 5945, 6035, 6044, 6140, 6226, 6263, 6362, 6557, 6713, 6831, 7040, 7090, 7202, 7445, 7537, 7588, 7636, 7665, 7668, 7860, 8155, 8931, 8932, 9681, 9792, 9810, 9811, 10345, 10347, 10430, 10462, 10549, 10611, 11051, 11843, 12365, 12867, 12962, 13380, 13453, 13564, 13588, 13865, 13885, 14085, 14160, 15117, 15696, 15856, 16321, 16653, 17194, 17323]",c5.go.mf__GOMF_IMMUNE_RECEPTOR_ACTIVITY
c5.go.mf,GOMF_ANTIGEN_BINDING,prerank,0.6003282015569273,1.9906862081145242,0.0,0.008965050845804992,0.051,25_54,25/54,20.65%,SLC7A9;FCGRT;SLC7A5;HLA-DRB1;LILRA2;LCK;IGLL1;KLRD1;HLA-DRA;HLA-DMB;HLA-DPB1;HLA-DRB5;TAP1;CD40;TAPBP;TSPAN4;IL7R;HLA-DMA;HLA-DPA1;SIRPA;LAG3;HLA-E;HLA-DQA1;FCN3;HLA-B,SLC7A9;FCGRT;SLC7A5;HLA-DRB1;LILRA2;LCK;IGLL1;KLRD1;HLA-DRA;HLA-DMB;HLA-DPB1;HLA-DRB5;TAP1;CD40;TAPBP;TSPAN4;IL7R;HLA-DMA;HLA-DPA1;SIRPA;LAG3;HLA-E;HLA-DQA1;FCN3;HLA-B;HLA-DOA;HLA-F;FCN1;CD209;HLA-C;HLA-DQB1;TOPORS;TAP2;PPP2R1A;CLEC4M;CD1D;MAML1;HLA-A;FCN2;SLC7A8;LILRA1;HLA-DQB2;KLRC2;HFE;HLA-G;B2M;HLA-DQA2;DHCR24;PLG;EP400;SPON2;KLRC1;ITGA4;HLA-DOB,"[22, 266, 312, 784, 958, 1019, 1265, 1325, 1505, 1587, 1615, 1667, 1758, 1795, 1863, 2045, 2230, 2494, 2875, 3184, 3277, 3356, 3372, 3542, 3617, 4041, 4126, 5015, 5076, 5482, 5810, 5906, 6338, 6695, 6736, 6891, 6909, 7039, 7062, 7295, 7636, 7665, 8155, 8281, 8447, 8604, 8932, 9913, 9981, 12087, 13655, 15696, 15698, 15856]",c5.go.mf__GOMF_ANTIGEN_BINDING
c5.go.mf,GOMF_EXOGENOUS_PROTEIN_BINDING,prerank,0.5523386951491838,1.979698731079322,0.0,0.009252392219067974,0.065,25_78,25/78,14.82%,HSPA1A;HSPA1B;EPHA2;SLC3A2;CXCR4;ANPEP;CD4;TNFRSF4;ITGB5;CLDN9;CLDN6;BSG;HYAL2;CD86;AXL;ITGA5;ICAM1;SLC1A5;HYAL1;SLC7A1;EGFR;SELPLG;F11R;SCARB1;CD81,HSPA1A;HSPA1B;EPHA2;SLC3A2;CXCR4;ANPEP;CD4;TNFRSF4;ITGB5;CLDN9;CLDN6;BSG;HYAL2;CD86;AXL;ITGA5;ICAM1;SLC1A5;HYAL1;SLC7A1;EGFR;SELPLG;F11R;SCARB1;CD81;GYPA;CD80;PLSCR1;SLC10A1;MYH9;CLEC5A;TNFRSF14;RPSA;CCR5;CR1;EFNB2;SLC52A1;SLC52A2;LDLR;CD209;HYAL3;MRC1;DAG1;PVR;CLEC4M;TYRO3;HAVCR1;CLEC4G;ITGB7;CD55;SIVA1;ITGB3;LAMP1;CDK1;ITGB6;CDHR3;NPC1;ILF3;ITGAV;NCAM1;EFNB3;TFRC;ITGB1;IDE;XPR1;MYH10;ACE2;CLDN1;CR2;DPP4;CD46;MOG;ITGA2;HTR2A;CXADR;SCARB2;ALB;SLC20A2,"[2, 7, 39, 40, 77, 149, 204, 373, 577, 743, 864, 1058, 1152, 1574, 1739, 1748, 1872, 1927, 2015, 2037, 2347, 2361, 2397, 2430, 2595, 2930, 3114, 3220, 3513, 3551, 3594, 3763, 4210, 4246, 4307, 4454, 4478, 4711, 4749, 5076, 5399, 5858, 5871, 6517, 6736, 6772, 7015, 7084, 7085, 7474, 7692, 7795, 8117, 8376, 8865, 8984, 9041, 9070, 9460, 9574, 9803, 10105, 11311, 12047, 12247, 12400, 12402, 12800, 12962, 13510, 14150, 14190, 15635, 16012, 16037, 16804, 17145, 17179]",c5.go.mf__GOMF_EXOGENOUS_PROTEIN_BINDING
c5.go.mf,GOMF_PEPTIDE_ANTIGEN_BINDING,prerank,0.6597935549640839,1.9846128015212523,0.0,0.009352961699710017,0.06,17_32,17/32,23.56%,SLC7A9;FCGRT;SLC7A5;HLA-DRB1;HLA-DRA;HLA-DMB;HLA-DPB1;HLA-DRB5;TAP1;TAPBP;HLA-DMA;HLA-DPA1;HLA-E;HLA-DQA1;HLA-B;HLA-DOA;HLA-F,SLC7A9;FCGRT;SLC7A5;HLA-DRB1;HLA-DRA;HLA-DMB;HLA-DPB1;HLA-DRB5;TAP1;TAPBP;HLA-DMA;HLA-DPA1;HLA-E;HLA-DQA1;HLA-B;HLA-DOA;HLA-F;CD209;HLA-C;HLA-DQB1;TAP2;CLEC4M;MAML1;HLA-A;SLC7A8;HLA-DQB2;HFE;HLA-G;B2M;HLA-DQA2;DHCR24;HLA-DOB,"[22, 266, 312, 784, 1505, 1587, 1615, 1667, 1758, 1863, 2494, 2875, 3356, 3372, 3617, 4041, 4126, 5076, 5482, 5810, 6338, 6736, 6909, 7039, 7295, 7665, 8281, 8447, 8604, 8932, 9913, 15856]",c5.go.mf__GOMF_PEPTIDE_ANTIGEN_BINDING
c5.go.mf,GOMF_UNFOLDED_PROTEIN_BINDING,prerank,0.5393820607445066,2.0386488087529626,0.0,0.010056948064204319,0.024,29_105,29/105,12.75%,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;AHSA1;HSPA1L;CLU;HSPB2;NUDC;HSPD1;HSP90AA1;DNAJB6;DNAJA1;DNAJB4;HSPE1;CCT3;CCT5;AIP;RUVBL2;HSPA5;TAPBP;CDC37;CRYAA;HSP90AB1;DNAJA4;CRYAB;TCP1,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;AHSA1;HSPA1L;CLU;HSPB2;NUDC;HSPD1;HSP90AA1;DNAJB6;DNAJA1;DNAJB4;HSPE1;CCT3;CCT5;AIP;RUVBL2;HSPA5;TAPBP;CDC37;CRYAA;HSP90AB1;DNAJA4;CRYAB;TCP1;DNAJB2;PTGES3;PDRG1;CCT4;NACA;PET100;CALR;CCT8;SSUH2;SYVN1;TUBB4B;PFDN5;SIL1;NAP1L4;DNAJC4;CCT7;HSP90B1;TTC1;CCT6A;AIPL1;CCT2;GRPEL1;HSPA2;HTRA2;HSPB6;SCAP;PFDN2;SHQ1;PFDN6;PPIB;HSPA8;GRPEL2;RP2;SRSF10;PPIA;ERN2;NDUFAF1;DNAJB11;NUDCD2;CHAF1A;HYOU1;NUDCD3;SRSF12;SPG7;NACAD;LMAN1;DNAJA2;ERN1;DNAJA3;PFDN4;CDC37L1;HSPA9;MKKS;CANX;SCG5;CLGN;PFDN1;TRAP1;CCDC115;UGGT1;CHAF1B;VBP1;HEATR3;AFG3L2;ERLEC1;TMEM67;NPM1;DNAJB5;TOMM20;CLPX;TOR1A;DNAJB13;CCT6B;UGGT2;TIMM10B;DNAJB7,"[0, 2, 3, 7, 8, 9, 183, 188, 216, 298, 598, 682, 876, 968, 1024, 1169, 1194, 1222, 1508, 1644, 1716, 1765, 1863, 1874, 1964, 1985, 2067, 2111, 2233, 2641, 2761, 2884, 3049, 3349, 3377, 3686, 3814, 3947, 3975, 4115, 4241, 4508, 4529, 4641, 5096, 5272, 5820, 5971, 6054, 6142, 6733, 6834, 6990, 7036, 7042, 7278, 7342, 7436, 7641, 7879, 8029, 8063, 8142, 8248, 8676, 8747, 8807, 8930, 9035, 9087, 9279, 9490, 9934, 10056, 10266, 10597, 10889, 11060, 11296, 11836, 12206, 12525, 12788, 12854, 13105, 13431, 13522, 13797, 13932, 14111, 14758, 14869, 15046, 15151, 15575, 15766, 15776, 15815, 16063, 16264, 16974, 17047, 17251, 17374, 17433]",c5.go.mf__GOMF_UNFOLDED_PROTEIN_BINDING
c5.go.mf,GOMF_TRANSCRIPTION_REGULATOR_INHIBITOR_ACTIVITY,prerank,0.6306342217827746,1.9911536883824514,0.0,0.010258087025488406,0.05,13_36,13/36,10.99%,HSPA1A;DNAJB1;NFKBIA;DAXX;HEXIM1;DDIT3;ELK1;MDFI;LEF1;ID3;TAF3;SMAD7;KEAP1,HSPA1A;DNAJB1;NFKBIA;DAXX;HEXIM1;DDIT3;ELK1;MDFI;LEF1;ID3;TAF3;SMAD7;KEAP1;NFIB;SMAD6;NKX3-1;LYAR;SIRT1;ID2;NFKBIL1;ID4;ID1;HES6;PKD1;WWP2;ANXA4;SRI;TRIB1;SNIP1;NCOA2;CTNNBIP1;PURA;ZNF451;SIN3A;TAF1;PKD2,"[2, 9, 132, 554, 560, 729, 973, 1159, 1377, 1413, 1561, 1659, 1924, 2440, 3626, 3726, 3751, 3998, 4494, 4525, 5301, 6042, 7215, 7769, 8816, 9157, 9322, 10208, 12997, 13040, 13367, 13584, 14982, 15543, 16157, 16348]",c5.go.mf__GOMF_TRANSCRIPTION_REGULATOR_INHIBITOR_ACTIVITY
c5.go.mf,GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY,prerank,-0.6826264805222829,-2.030993599941771,0.0,0.010611579933173805,0.013,14_31,14/31,14.55%,NSUN3;TARBP1;ALKBH8;TRMT11;TRDMT1;METTL2A;METTL8;TRMT61B;LCMT2;NSUN2;TRMT5;METTL1;TRMT10A;TRMT13,TRMT1;TYW3;TRMT2B;BCDIN3D;THUMPD2;TRMT10C;TRMT2A;TRMT10B;FTSJ1;THUMPD3;METTL2B;TRMT12;TRMT61A;TRMT1L;NSUN6;METTL6;TRMT44;TRMT13;TRMT10A;METTL1;TRMT5;NSUN2;LCMT2;TRMT61B;METTL8;METTL2A;TRDMT1;TRMT11;ALKBH8;TARBP1;NSUN3,"[1643, 3608, 5408, 7526, 7602, 8166, 9008, 9371, 9685, 10279, 10866, 10911, 10980, 11725, 12350, 13263, 14025, 14971, 15181, 15400, 15441, 15669, 15944, 16237, 16897, 16994, 17078, 17085, 17364, 17389, 17495]",c5.go.mf__GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY
c5.go.mf,GOMF_IMMUNOGLOBULIN_BINDING,prerank,0.7456670717384857,1.9616096270136592,0.0,0.012189021053815636,0.092,10_19,10/19,12.21%,CD4;FCGRT;FCGR3B;FCGR2A;FCGR2B;LILRA2;FCER1G;FCGR1A;FCER1A;FCGR3A,CD4;FCGRT;FCGR3B;FCGR2A;FCGR2B;LILRA2;FCER1G;FCGR1A;FCER1A;FCGR3A;VWF;AMBP;FCAR;CD22;LGALS3;FCER2;GRIA1;HRG;MS4A1,"[204, 266, 611, 648, 716, 958, 1513, 1740, 2001, 2138, 3112, 3769, 3926, 5130, 6287, 6557, 8002, 9226, 12319]",c5.go.mf__GOMF_IMMUNOGLOBULIN_BINDING
