TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
CellMarker_2024,Myeloid Cell Lung Mouse,prerank,0.6580890049741145,2.392054433009002,0.0,0.0,0.0,37_51,37/51,26.58%,FCGR2B;NCF4;TLR2;FERMT3;F13A1;TYROBP;SPI1;FCGR1A;CD86;RUNX1;FCER1G;LAPTM5;CSF1R;TREM2;PTAFR;LY86;RAC2;CTSS;UNC93B1;CD53;PTPRC;PYCARD;UCKL1;MILR1;ARHGDIB;COTL1;RIN2;NCF2;LCP2;EFHD2;APOE;CD68;CTSC;MRC1;CLEC7A;SIRPA;CTSD,FCGR2B;NCF4;TLR2;FERMT3;F13A1;TYROBP;SPI1;FCGR1A;CD86;RUNX1;FCER1G;LAPTM5;CSF1R;TREM2;PTAFR;LY86;RAC2;CTSS;UNC93B1;CD53;PTPRC;PYCARD;UCKL1;MILR1;ARHGDIB;COTL1;RIN2;NCF2;LCP2;EFHD2;APOE;CD68;CTSC;MRC1;CLEC7A;SIRPA;CTSD;IGSF6;CTSB;CYBB;CST3;DAB2;FTH1;CSF2RB;CORO1A;CD3G;LGMN;TRPV2;CD19;TPD52;HEXA,"[180, 392, 493, 568, 631, 656, 677, 808, 827, 845, 857, 919, 973, 1129, 1412, 1509, 1635, 1687, 1894, 2172, 2422, 2517, 2631, 2672, 2742, 2856, 3113, 3164, 3280, 3718, 3783, 3896, 4088, 4351, 4462, 4625, 4656, 5466, 5660, 5847, 6273, 6756, 7728, 7897, 8030, 9585, 10504, 10723, 11727, 12197, 14133]",CellMarker_2024__Myeloid Cell Lung Mouse
CellMarker_2024,Macrophage Brain Human,prerank,0.6951588658072656,2.7963673952428953,0.0,0.0,0.0,53_91,53/91,14.54%,MS4A6A;C1QA;C1QC;NFIL3;C3AR1;FGR;METRNL;HMOX1;LYVE1;TLR2;HLA-DRB5;LYZ;FXYD5;F13A1;IFITM2;TYROBP;SPI1;CCR2;IRF1;IL1RN;FCGR1A;CIITA;CD163;FCER1G;CD74;HLA-DMB;SELL;FCGR3A;CSF1R;MARCO;PIM1;TMEM119;S100A11;PLTP;DOK3;CD14;CD80;CD93;FOSL2;YAP1;TREM1;MS4A4A;HLA-DQA1;SAMHD1;BST2;S1PR1;DSE;MSR1;SIGLEC1;PLBD1;PTPRC;MXD1;THBD,MS4A6A;C1QA;C1QC;NFIL3;C3AR1;FGR;METRNL;HMOX1;LYVE1;TLR2;HLA-DRB5;LYZ;FXYD5;F13A1;IFITM2;TYROBP;SPI1;CCR2;IRF1;IL1RN;FCGR1A;CIITA;CD163;FCER1G;CD74;HLA-DMB;SELL;FCGR3A;CSF1R;MARCO;PIM1;TMEM119;S100A11;PLTP;DOK3;CD14;CD80;CD93;FOSL2;YAP1;TREM1;MS4A4A;HLA-DQA1;SAMHD1;BST2;S1PR1;DSE;MSR1;SIGLEC1;PLBD1;PTPRC;MXD1;THBD;GPR132;CREM;KYNU;FPR3;SPINT2;ARG2;APOC1;CD68;BHLHE40;LY6E;MRC1;TCF7;TNFSF13;ISG15;CIB1;IFNGR1;SYNGR2;CYBB;GPR65;IL10;AIF1;PADI1;VOPP1;CX3CR1;TEK;EMB;NPM3;IQGAP1;MNDA;SH3BGRL;MXRA8;CYTH1;TGFBI;CCR7;PTPN7;PDE4B;IGF2BP3;ITGA4,"[137, 196, 280, 310, 349, 382, 409, 444, 485, 493, 542, 574, 601, 631, 633, 656, 677, 711, 753, 793, 808, 815, 818, 857, 908, 914, 928, 954, 973, 977, 991, 994, 1102, 1178, 1201, 1238, 1256, 1292, 1355, 1411, 1425, 1623, 1718, 1789, 1831, 1972, 2158, 2162, 2287, 2305, 2422, 2544, 2546, 2791, 3086, 3173, 3317, 3318, 3411, 3747, 3896, 4265, 4330, 4351, 4529, 4642, 4942, 5459, 5652, 5698, 5847, 6067, 6118, 6152, 6544, 7096, 7438, 7870, 8429, 8482, 8601, 9168, 9454, 10590, 11186, 11627, 12666, 14162, 14187, 15081, 16938]",CellMarker_2024__Macrophage Brain Human
CellMarker_2024,CD1C+ A Dendritic Cell Blood Human,prerank,0.7123554773019519,2.2814943945532793,0.0,0.0,0.0,11_26,11/26,8.07%,FCGR2B;CLIC2;CLEC10A;NOD2;FCER1A;ITGA5;CD2;SLC2A3;CD33;PER1;PTAFR,FCGR2B;CLIC2;CLEC10A;NOD2;FCER1A;ITGA5;CD2;SLC2A3;CD33;PER1;PTAFR;MBOAT7;LPCAT1;PEA15;NR4A2;CD1D;PTGS1;CACNA2D3;ETS2;SMN1;CLEC17A;PID1;CLEC4A;ENTPD1;CCR6;CREB5,"[180, 544, 585, 626, 722, 772, 933, 935, 998, 1212, 1412, 2576, 4103, 5340, 6025, 6182, 6627, 7780, 7952, 8212, 8401, 8655, 10843, 12396, 14555, 15011]",CellMarker_2024__CD1C+ A Dendritic Cell Blood Human
CellMarker_2024,Macrophage Breast Human,prerank,0.8050116113707579,2.4248067612706485,0.0,0.0,0.0,20_21,20/21,17.67%,CSF1;CD4;LYZ;CD163;CD86;CD74;LAPTM5;FCGR3A;CSF1R;CD33;ITGAM;VIM;CLEC5A;HLA-DPA1;MSR1;CDH5;PTPRC;IL1B;ITGAX;CD209,CSF1;CD4;LYZ;CD163;CD86;CD74;LAPTM5;FCGR3A;CSF1R;CD33;ITGAM;VIM;CLEC5A;HLA-DPA1;MSR1;CDH5;PTPRC;IL1B;ITGAX;CD209;CD68,"[185, 463, 574, 818, 827, 908, 919, 954, 973, 998, 1038, 1399, 1621, 1918, 2162, 2269, 2422, 2654, 2994, 3094, 3896]",CellMarker_2024__Macrophage Breast Human
CellMarker_2024,Macrophage Brain Mouse,prerank,0.7033400128641367,2.637155705091461,0.0,0.0,0.0,39_59,39/59,17.74%,C1QA;STAB1;RBM47;LYVE1;F13A1;IFITM2;STARD8;IKZF1;CCR2;FCGR1A;RUNX1;INPP5D;CFH;CSF1R;ITGAM;TBXAS1;RREB1;S100A11;ARG1;S100A6;ARHGAP15;MS4A4A;MAF;DOCK2;UNC93B1;CCR1;CD84;MERTK;HPGDS;PNPLA7;TGFBR2;WDFY4;P2RX7;PIK3AP1;ITGAX;AOAH;FLII;GAS6;DOCK8,C1QA;STAB1;RBM47;LYVE1;F13A1;IFITM2;STARD8;IKZF1;CCR2;FCGR1A;RUNX1;INPP5D;CFH;CSF1R;ITGAM;TBXAS1;RREB1;S100A11;ARG1;S100A6;ARHGAP15;MS4A4A;MAF;DOCK2;UNC93B1;CCR1;CD84;MERTK;HPGDS;PNPLA7;TGFBR2;WDFY4;P2RX7;PIK3AP1;ITGAX;AOAH;FLII;GAS6;DOCK8;APOE;MRC1;TNFAIP8;SIRPA;CTSB;AIF1;BANK1;LYN;EHD4;DAB2;DCLRE1C;SLC9A9;SNX2;ACE;LGMN;COLEC12;RBPJ;TNFRSF11A;P2RY12;DDX60,"[196, 357, 469, 485, 631, 633, 649, 693, 711, 808, 845, 868, 967, 973, 1038, 1085, 1095, 1102, 1261, 1299, 1319, 1623, 1694, 1779, 1894, 1907, 1992, 2013, 2037, 2043, 2124, 2166, 2249, 2944, 2994, 3002, 3030, 3078, 3107, 3783, 4351, 4544, 4625, 5660, 6152, 6502, 6593, 6731, 6756, 7117, 8070, 9357, 9399, 10504, 11989, 12042, 12165, 13973, 16525]",CellMarker_2024__Macrophage Brain Mouse
CellMarker_2024,Macrophage Undefined Human,prerank,0.736695044903027,2.656957920316229,0.0,0.0,0.0,33_45,33/45,13.83%,CSF1;C1QC;FCGR2A;CEL;C1QB;CD4;TLR2;CXCL11;CCL2;SPI1;CXCL9;CCR2;FCGR1A;CD163;CD86;HLA-DRA;FCGR3A;CSF1R;MARCO;CD33;ITGAM;TREM2;CD14;CD80;TREM1;CD40;CXCL10;MERTK;MSR1;SIGLEC1;CCR5;GPNMB;PTPRC,CSF1;C1QC;FCGR2A;CEL;C1QB;CD4;TLR2;CXCL11;CCL2;SPI1;CXCL9;CCR2;FCGR1A;CD163;CD86;HLA-DRA;FCGR3A;CSF1R;MARCO;CD33;ITGAM;TREM2;CD14;CD80;TREM1;CD40;CXCL10;MERTK;MSR1;SIGLEC1;CCR5;GPNMB;PTPRC;TLR4;CD63;APOE;CXCL2;CD68;MRC1;SPP1;FCER2;LAMP2;TNFSF18;FUT4;CD200R1,"[185, 280, 313, 336, 399, 463, 493, 511, 636, 677, 692, 711, 808, 818, 827, 855, 954, 973, 977, 998, 1038, 1129, 1238, 1256, 1425, 1644, 1647, 2013, 2162, 2287, 2393, 2421, 2422, 2939, 3076, 3783, 3816, 3896, 4351, 5115, 5371, 9877, 14890, 15348, 16168]",CellMarker_2024__Macrophage Undefined Human
CellMarker_2024,M2 Macrophage Kidney Human,prerank,0.8214266980375389,2.2274161762800877,0.0,0.0,0.0,12_15,12/15,13.06%,C1QA;C1QC;C1QB;CCL2;CD163;S100A9;FOLR2;CSF1R;TREM2;MERTK;MSR1;SIGLEC1,C1QA;C1QC;C1QB;CCL2;CD163;S100A9;FOLR2;CSF1R;TREM2;MERTK;MSR1;SIGLEC1;CD209;IL10;FGL2,"[196, 280, 399, 636, 818, 820, 862, 973, 1129, 2013, 2162, 2287, 3094, 6118, 6896]",CellMarker_2024__M2 Macrophage Kidney Human
CellMarker_2024,Myeloid Cell Brain Human,prerank,0.810578181708413,2.4248765320618566,0.0,0.0,0.0,15_22,15/22,7.07%,CXCR2;C1QA;C1QC;C1QB;TYROBP;CCR2;CD163;HLA-DRA;FCER1G;CD74;TMEM119;CD33;ITGAM;TREM2;CD14,CXCR2;C1QA;C1QC;C1QB;TYROBP;CCR2;CD163;HLA-DRA;FCER1G;CD74;TMEM119;CD33;ITGAM;TREM2;CD14;GPNMB;PTPRC;APOC1;CD68;MRC1;SPP1;CX3CR1,"[169, 196, 280, 399, 656, 711, 818, 855, 857, 908, 994, 998, 1038, 1129, 1238, 2421, 2422, 3747, 3896, 4351, 5115, 7438]",CellMarker_2024__Myeloid Cell Brain Human
CellMarker_2024,M2 Macrophage Lung Human,prerank,0.7714432829811794,2.4126599435811493,0.0,0.0,0.0,20_29,20/29,12.35%,MMP9;CCL17;SOCS3;IL4R;STAB1;TGFB1;MMP19;CD163;VEGFA;FCGR3A;TGFB2;MARCO;TGFB3;IL7R;TREM2;ARG1;TGM2;CCL22;MERTK;MSR1,MMP9;CCL17;SOCS3;IL4R;STAB1;TGFB1;MMP19;CD163;VEGFA;FCGR3A;TGFB2;MARCO;TGFB3;IL7R;TREM2;ARG1;TGM2;CCL22;MERTK;MSR1;STAT6;CD209;PPARG;CD68;MRC1;IL10;IRF4;CCL4;FN1,"[9, 67, 158, 222, 357, 664, 809, 818, 930, 954, 972, 977, 978, 1012, 1129, 1261, 1442, 1738, 2013, 2162, 2660, 3094, 3389, 3896, 4351, 6118, 9586, 10797, 12440]",CellMarker_2024__M2 Macrophage Lung Human
CellMarker_2024,Macrophage Lacrimal Gland Mouse,prerank,0.7891848876448068,2.3463062616795027,0.0,0.0,0.0,13_20,13/20,10.82%,C1QC;C1QB;F13A1;TYROBP;FOLR2;FCGR3A;SRGN;CD14;GMFG;MS4A4A;CTSS;PLD4;UNC93B1,C1QC;C1QB;F13A1;TYROBP;FOLR2;FCGR3A;SRGN;CD14;GMFG;MS4A4A;CTSS;PLD4;UNC93B1;RGS1;CXCL2;CD68;LSP1;GATM;CORO1A;PF4,"[280, 399, 631, 656, 862, 954, 1146, 1238, 1575, 1623, 1687, 1767, 1894, 2808, 3816, 3896, 5942, 6961, 8030, 8298]",CellMarker_2024__Macrophage Lacrimal Gland Mouse
