TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
GO_Biological_Process_2025,Negative Regulation of Growth (GO:0045926),prerank,0.5558813010412728,2.289674009906376,0.0,0.0,0.0,27_102,27/102,7.67%,HSPA1A;HSPA1B;MT1F;MT1M;MT1A;MT2A;MT1G;ALOX15B;MSX1;MT1E;MT1X;CDA;SESN2;SIPA1;BCL6;TGFB1;OSGIN1;MT1H;CFH;TGFB2;GJA1;MT3;HYAL2;CDKN2C;ACVRL1;BTG1;SFRP2,HSPA1A;HSPA1B;MT1F;MT1M;MT1A;MT2A;MT1G;ALOX15B;MSX1;MT1E;MT1X;CDA;SESN2;SIPA1;BCL6;TGFB1;OSGIN1;MT1H;CFH;TGFB2;GJA1;MT3;HYAL2;CDKN2C;ACVRL1;BTG1;SFRP2;BST2;PML;SERTAD3;DNAJB2;STK11;CDKN2A;CYP27B1;ING5;HNF1A;ING1;FGFR3;NPR1;SMAD4;CCDC85B;PRDM11;ENO1;NAIF1;SPHK2;ING4;IP6K2;DCUN1D3;ENPP1;OSGIN2;SH3BP4;SMAD3;CRLF3;CDKN2D;WFDC1;TSPYL2;CDKN2AIP;FBP1;PSRC1;NPPB;VGLL4;SOX17;DCSTAMP;EI24;CDKN1B;ZC3H12D;TCHP;FRZB;CGRRF1;ADAM15;RBBP7;DDX3X;BRCA1;TP53;RB1;RERG;BMPR2;DACT3;NME6;WT1;SCGB3A1;NDRG3;SMARCA4;SMARCA2;PPT1;SERTAD2;CAPRIN2;ESR2;ST7L;DCBLD2;SLC48A1;CDPF1;PTPRJ;RTN4;SLIT3;TMEM196;SLIT2;GNG4;TP53TG5;TMPRSS4;SFRP1;INHBA,"[2, 7, 57, 126, 138, 145, 165, 254, 265, 308, 318, 406, 586, 595, 611, 664, 703, 775, 967, 972, 1052, 1108, 1134, 1222, 1232, 1239, 1343, 1831, 2122, 2262, 2351, 2445, 2543, 2595, 2901, 2915, 3014, 3534, 3752, 3853, 4053, 4066, 4248, 4411, 4690, 4830, 4841, 5070, 5263, 5682, 5702, 5959, 6084, 6129, 6307, 6557, 6794, 7002, 7091, 7186, 7405, 7415, 7417, 7429, 7474, 7509, 7633, 7856, 8004, 8067, 8169, 8466, 8672, 8757, 9270, 9488, 9942, 10219, 10551, 10831, 11110, 11129, 11525, 12089, 12235, 12592, 12912, 13388, 13623, 13643, 13695, 13782, 13891, 13972, 13997, 14506, 15284, 15328, 15939, 16447, 16533, 17099]",GO_Biological_Process_2025__Negative Regulation of Growth (GO:0045926)
GO_Biological_Process_2025,Mononuclear Cell Differentiation (GO:1903131),prerank,0.6360986111042198,2.2551580687058843,0.0,0.0,0.0,18_43,18/43,10.10%,MMP9;MT1G;CSF1;IL2RG;LIF;CD4;LILRB1;BMP4;HLA-DRB1;IRF8;IKZF1;FLT3LG;VEGFA;GATA3;CSF1R;TREM2;AXL;SOCS1,MMP9;MT1G;CSF1;IL2RG;LIF;CD4;LILRB1;BMP4;HLA-DRB1;IRF8;IKZF1;FLT3LG;VEGFA;GATA3;CSF1R;TREM2;AXL;SOCS1;IL1RL1;GAS6;PPARG;MYH9;IL15;IFI16;SIRT1;TRPM2;PDE2A;LYN;CFLAR;RELB;PARP1;IL4;THOC5;PDE1B;CASP8;BATF3;PIR;UCP2;NPM1;CDC42;LY6D;IL33;FLT3,"[9, 165, 185, 264, 352, 463, 474, 483, 558, 613, 693, 883, 930, 951, 973, 1129, 1696, 1768, 2840, 3078, 3389, 3676, 3762, 4346, 4365, 4547, 4966, 6593, 6908, 7449, 8903, 9155, 9226, 10284, 11055, 11556, 11628, 11886, 12801, 13775, 13807, 14708, 17410]",GO_Biological_Process_2025__Mononuclear Cell Differentiation (GO:1903131)
GO_Biological_Process_2025,Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),prerank,0.6037586765042805,2.394586834809348,0.0,0.0,0.0,26_77,26/77,5.98%,HSPB1;FCGR3B;FCGR2B;LBP;FCGR2A;LILRA5;CYBA;TLR2;LILRA2;ORM2;NOD2;TYROBP;TLR9;TGFB1;LY96;CCR2;IL6;CLU;LGALS9;FCGR1A;SYK;S100A9;AGER;CD86;CD2;TWIST1,HSPB1;FCGR3B;FCGR2B;LBP;FCGR2A;LILRA5;CYBA;TLR2;LILRA2;ORM2;NOD2;TYROBP;TLR9;TGFB1;LY96;CCR2;IL6;CLU;LGALS9;FCGR1A;SYK;S100A9;AGER;CD86;CD2;TWIST1;ADAM8;PTPRC;PYCARD;HLA-E;TLR4;AZU1;IL23A;HAVCR2;FADD;STAT3;OAS1;RIPK1;TMEM106A;CLEC7A;SPHK2;FZD5;IFNGR1;IL12B;BCL10;FRMD8;IFIH1;NDUFA2;DDTL;CCL3;PLCG2;PF4;C1QTNF4;JAK2;WNT5A;TLR1;LPL;TLR3;OAS3;THBS1;DHX9;OAS2;SETD4;HMGB1;MAVS;ARFGEF2;EPHB2;APP;PTPRJ;PTPN11;ARHGEF2;PSEN1;IL33;TIRAP;IL1A;TNFRSF8;CCL19,"[4, 144, 180, 299, 313, 324, 470, 493, 572, 623, 626, 656, 658, 664, 686, 711, 719, 751, 764, 808, 810, 820, 822, 827, 933, 1046, 1742, 2422, 2517, 2908, 2939, 2992, 3039, 3229, 3465, 3562, 3619, 4099, 4408, 4462, 4690, 4914, 5652, 5684, 6561, 6607, 7032, 7042, 7336, 7409, 8064, 8298, 8458, 8819, 8926, 9285, 9605, 10466, 10622, 10764, 11224, 12167, 12542, 12555, 12697, 12850, 13801, 13823, 13891, 13915, 14371, 14594, 14708, 14796, 14936, 16935, 17102]",GO_Biological_Process_2025__Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)
GO_Biological_Process_2025,Response to Lipopolysaccharide (GO:0032496),prerank,0.5585243640634925,2.391125890107408,0.0,0.0,0.0,62_138,62/138,18.88%,NANOS2;MMP9;SLPI;CXCL6;PPBP;S100A7;SLC11A1;S100A8;CD180;CASP7;ZC3H12A;LBP;IL18;RELA;LILRB1;PALM3;TNFRSF1B;SBNO2;TNIP2;CASP1;NOD2;CCL2;LY96;CXCL9;IL6;BPI;LGALS9;CD86;MAPKAPK2;IRAK3;CD80;TNFAIP3;VIM;NR1D1;CXCL10;AXL;GIT1;XBP1;FCAR;ZFP36;LILRB2;NR1H3;SERPINE1;TICAM1;CD274;PABPN1;CARD16;SMAD6;CCR5;PYCARD;CXCL5;CYP27B1;IL1B;TAB2;NANOS3;GSTP1;TLR4;DEFA5;SCARB1;IRAK1;NANOS1;MYD88,NANOS2;MMP9;SLPI;CXCL6;PPBP;S100A7;SLC11A1;S100A8;CD180;CASP7;ZC3H12A;LBP;IL18;RELA;LILRB1;PALM3;TNFRSF1B;SBNO2;TNIP2;CASP1;NOD2;CCL2;LY96;CXCL9;IL6;BPI;LGALS9;CD86;MAPKAPK2;IRAK3;CD80;TNFAIP3;VIM;NR1D1;CXCL10;AXL;GIT1;XBP1;FCAR;ZFP36;LILRB2;NR1H3;SERPINE1;TICAM1;CD274;PABPN1;CARD16;SMAD6;CCR5;PYCARD;CXCL5;CYP27B1;IL1B;TAB2;NANOS3;GSTP1;TLR4;DEFA5;SCARB1;IRAK1;NANOS1;MYD88;CXCL13;TNIP1;NFKBIB;GCH1;CACTIN;CD68;UPF1;SHPK;GBP2;NFKB1;PAF1;TRIM41;NFKBIL1;MAPKAPK3;IL10;FER;FOXP1;GFI1;PELI1;BCL10;HMGB2;DAB2IP;NDUFA2;OTUD5;LDOC1;S100A14;CX3CR1;PDCD1LG2;MAPK14;CTR9;STAP1;F2R;RHOA;PM20D1;NUGGC;PF4;TNFSF4;B2M;PRDX3;FBXO3;WNT5A;RPS6KA3;IFNAR1;CCL28;CDC73;HNRNPA0;NLRP3;TRIB1;CITED1;SNCA;PDCD4;IL12A;TRAF6;CD6;SRR;TNFRSF11A;HMGB1;NR4A1;PTPN22;MAPK8;CHMP5;LIAS;SELE;PDE4B;MEF2C;IL36G;ADAM9;ANKRD1;ADAM17;TIRAP;IL1A;PLAA;ATL1;TNIP3;PPM1E;MMP3,"[6, 9, 42, 46, 65, 87, 132, 157, 253, 263, 273, 299, 366, 401, 474, 518, 525, 559, 565, 580, 626, 636, 686, 692, 719, 720, 764, 827, 941, 950, 1256, 1329, 1399, 1512, 1647, 1696, 1715, 1799, 1843, 1852, 1887, 1900, 1969, 2008, 2015, 2232, 2235, 2322, 2393, 2517, 2588, 2595, 2654, 2799, 2800, 2918, 2939, 3048, 3216, 3238, 3249, 3306, 3388, 3521, 3587, 3660, 3877, 3896, 3965, 3985, 4039, 4057, 5308, 5503, 5518, 5929, 6118, 6233, 6316, 6365, 6476, 6561, 6590, 6647, 7042, 7043, 7065, 7129, 7438, 7459, 7542, 7552, 7686, 7732, 7805, 7886, 7984, 8298, 8505, 8759, 8865, 8925, 8926, 9145, 9159, 9509, 9834, 10108, 10212, 10636, 10702, 10807, 10899, 11372, 11426, 11543, 11968, 12165, 12555, 12865, 13052, 13764, 13832, 13954, 14111, 14187, 14202, 14229, 14459, 14535, 14545, 14796, 14936, 15009, 15241, 16520, 17454, 17502]",GO_Biological_Process_2025__Response to Lipopolysaccharide (GO:0032496)
GO_Biological_Process_2025,Response to Cadmium Ion (GO:0046686),prerank,0.9007796547938417,2.302982210955029,0.0,0.0,0.0,10_12,10/12,9.45%,MT1F;MT1M;MT1A;MT2A;MT1G;MT1E;MT1X;MT1H;MT3;HSF1,MT1F;MT1M;MT1A;MT2A;MT1G;MT1E;MT1X;MT1H;MT3;HSF1;HAAO;SUMO1,"[57, 126, 138, 145, 165, 308, 318, 775, 1108, 1655, 7149, 7442]",GO_Biological_Process_2025__Response to Cadmium Ion (GO:0046686)
GO_Biological_Process_2025,Positive Regulation of Interleukin-8 Production (GO:0032757),prerank,0.6812456771107949,2.5814162987664044,0.0,0.0,0.0,36_59,36/59,20.82%,HSPA1A;NANOS2;HSPA1B;TLR5;TLR8;LBP;RELA;TLR2;LILRA2;NOD2;FFAR2;TLR9;PRKD2;IL6;LGALS9;SYK;CD74;CD2;HYAL2;CALCA;DDIT3;TNF;TLR7;PLA2G1B;SERPINE1;PYCARD;IL1B;AIFM2;TLR4;FCN1;DEFA5;MYD88;NOD1;FADD;STAT3;CD58,HSPA1A;NANOS2;HSPA1B;TLR5;TLR8;LBP;RELA;TLR2;LILRA2;NOD2;FFAR2;TLR9;PRKD2;IL6;LGALS9;SYK;CD74;CD2;HYAL2;CALCA;DDIT3;TNF;TLR7;PLA2G1B;SERPINE1;PYCARD;IL1B;AIFM2;TLR4;FCN1;DEFA5;MYD88;NOD1;FADD;STAT3;CD58;AFAP1L2;RIPK1;ZNF580;CLEC7A;PARK7;IL17D;CHI3L1;APOA2;BCL10;NDUFA2;CD244;LAMTOR5;F2R;TLR1;RAB1A;F2RL1;TLR3;ELANE;CHAMP1;HMGB1;MAVS;F3;TIRAP,"[2, 6, 7, 160, 203, 299, 401, 493, 572, 626, 655, 658, 707, 719, 764, 810, 908, 933, 1134, 1172, 1519, 1526, 1546, 1708, 1969, 2517, 2654, 2838, 2939, 2968, 3048, 3306, 3384, 3465, 3562, 3647, 4096, 4099, 4211, 4462, 4848, 4898, 4969, 6445, 6561, 7042, 7682, 7731, 7732, 9285, 9713, 10094, 10466, 11164, 12288, 12555, 12697, 13150, 14796]",GO_Biological_Process_2025__Positive Regulation of Interleukin-8 Production (GO:0032757)
GO_Biological_Process_2025,Regulation of Interleukin-6 Production (GO:0032675),prerank,0.5821118142708722,2.3870473830458594,0.0,0.0,0.0,43_96,43/96,15.16%,NANOS2;FOXJ1;CARD9;TLR8;ZC3H12A;LBP;LILRA5;RELA;CYBA;TLR2;LILRA2;NOD2;TYROBP;TLR9;TGFB1;IL6;BPI;LGALS9;ELF4;SYK;AGER;CD74;MAPKAPK2;IRAK3;HSPD1;TWIST1;TREM2;HYAL2;TNFAIP3;TNF;TLR7;IL6R;XBP1;LILRB2;PTPN6;C5AR2;GPNMB;BSG;PYCARD;TLR6;DEFB124;NLRP12;IL1B,NANOS2;FOXJ1;CARD9;TLR8;ZC3H12A;LBP;LILRA5;RELA;CYBA;TLR2;LILRA2;NOD2;TYROBP;TLR9;TGFB1;IL6;BPI;LGALS9;ELF4;SYK;AGER;CD74;MAPKAPK2;IRAK3;HSPD1;TWIST1;TREM2;HYAL2;TNFAIP3;TNF;TLR7;IL6R;XBP1;LILRB2;PTPN6;C5AR2;GPNMB;BSG;PYCARD;TLR6;DEFB124;NLRP12;IL1B;TLR4;GAS6;HLA-B;MYD88;NCKAP1L;STAT3;TMEM106A;CLEC7A;SIRPA;SPHK2;IL17D;IL17RA;LILRB4;POU2F2;IL10;AIF1;BCL10;IFIH1;F2R;CX3CL1;PLCG2;C1QTNF4;AKIRIN2;TNFSF4;GHRL;MAPK13;WNT5A;TLR1;LPL;F2RL1;TLR3;EREG;DHX9;NMBR;TSLP;SETD4;HMGB1;MAVS;PTPN22;SCIMP;APP;C1QTNF3;SYT12;ARHGEF2;CD200;ARRB1;IL33;TIRAP;CD47;IL1A;POU2AF1;CD200R1;IL16,"[6, 111, 147, 203, 273, 299, 324, 401, 470, 493, 572, 626, 656, 658, 664, 719, 720, 764, 803, 810, 822, 908, 941, 950, 987, 1046, 1129, 1134, 1329, 1526, 1546, 1632, 1799, 1887, 2040, 2120, 2421, 2433, 2517, 2518, 2563, 2620, 2654, 2939, 3078, 3273, 3306, 3466, 3562, 4408, 4462, 4625, 4690, 4898, 5292, 5483, 5761, 6118, 6152, 6561, 7032, 7732, 7987, 8064, 8458, 8488, 8505, 8763, 8840, 8926, 9285, 9605, 10094, 10466, 11223, 11224, 11538, 12394, 12542, 12555, 12697, 13052, 13597, 13823, 13918, 14351, 14371, 14551, 14689, 14708, 14796, 14865, 14936, 16081, 16168, 17050]",GO_Biological_Process_2025__Regulation of Interleukin-6 Production (GO:0032675)
GO_Biological_Process_2025,Positive Regulation of Interleukin-6 Production (GO:0032755),prerank,0.6039242341121306,2.2849342169944746,0.0,0.0,0.0,30_67,30/67,15.16%,NANOS2;CARD9;TLR8;LBP;LILRA5;RELA;CYBA;TLR2;LILRA2;NOD2;TYROBP;TLR9;TGFB1;IL6;LGALS9;SYK;CD74;HSPD1;TWIST1;HYAL2;TNF;TLR7;IL6R;XBP1;LILRB2;BSG;PYCARD;TLR6;DEFB124;IL1B,NANOS2;CARD9;TLR8;LBP;LILRA5;RELA;CYBA;TLR2;LILRA2;NOD2;TYROBP;TLR9;TGFB1;IL6;LGALS9;SYK;CD74;HSPD1;TWIST1;HYAL2;TNF;TLR7;IL6R;XBP1;LILRB2;BSG;PYCARD;TLR6;DEFB124;IL1B;TLR4;MYD88;STAT3;TMEM106A;CLEC7A;SPHK2;IL17D;IL17RA;POU2F2;AIF1;BCL10;IFIH1;F2R;PLCG2;C1QTNF4;AKIRIN2;TNFSF4;MAPK13;WNT5A;TLR1;LPL;F2RL1;TLR3;EREG;DHX9;TSLP;SETD4;HMGB1;MAVS;SCIMP;APP;ARHGEF2;IL33;TIRAP;IL1A;POU2AF1;IL16,"[6, 147, 203, 299, 324, 401, 470, 493, 572, 626, 656, 658, 664, 719, 764, 810, 908, 987, 1046, 1134, 1526, 1546, 1632, 1799, 1887, 2433, 2517, 2518, 2563, 2654, 2939, 3306, 3562, 4408, 4462, 4690, 4898, 5292, 5761, 6152, 6561, 7032, 7732, 8064, 8458, 8488, 8505, 8840, 8926, 9285, 9605, 10094, 10466, 11223, 11224, 12394, 12542, 12555, 12697, 13597, 13823, 14371, 14708, 14796, 14936, 16081, 17050]",GO_Biological_Process_2025__Positive Regulation of Interleukin-6 Production (GO:0032755)
GO_Biological_Process_2025,Positive Regulation of Defense Response (GO:0031349),prerank,0.5342750667737357,2.2547706636507208,0.0,0.0,0.0,43_116,43/116,15.34%,S100A12;GPR4;NLRP6;S100A8;TLR8;GPSM3;UCMA;LILRA5;IL18;CASP4;NFKBIA;TNFRSF1A;CYBA;TLR2;CASP1;GSDMD;TLR9;TGFB1;CCR2;MEFV;S100A9;SH2D1B;MMRN2;HYAL2;GRN;TNF;TLR7;NFKBIZ;CASP5;ADAM8;EMILIN2;SERPINE1;PLSCR1;MAP3K8;NINJ1;FPR2;EMILIN1;AGTR1;PYCARD;MGST2;NLRP12;IL1B;LGALS1,S100A12;GPR4;NLRP6;S100A8;TLR8;GPSM3;UCMA;LILRA5;IL18;CASP4;NFKBIA;TNFRSF1A;CYBA;TLR2;CASP1;GSDMD;TLR9;TGFB1;CCR2;MEFV;S100A9;SH2D1B;MMRN2;HYAL2;GRN;TNF;TLR7;NFKBIZ;CASP5;ADAM8;EMILIN2;SERPINE1;PLSCR1;MAP3K8;NINJ1;FPR2;EMILIN1;AGTR1;PYCARD;MGST2;NLRP12;IL1B;LGALS1;TLR4;IL23A;CEBPA;FADD;TNIP1;ETS1;IL15;TRIM56;TRADD;RIPK1;ZP3;NLRP1;NPAS2;GBP5;AIM2;CPT1A;PDE2A;NMI;LRSAM1;IL17RA;CCL5;LGALS3;IL12B;FEM1C;CCM2;CD1D;NLRC4;IFI35;CASP12;GPRC5B;OPTN;DDTL;CCL3;MDK;CX3CL1;RNF185;AKIRIN2;TNFSF4;MAPK13;WNT5A;KAT5;LPL;POLR3D;SLC15A4;NLRP3;TLR3;SNCA;PDCD4;EREG;DHX9;RIOK3;ZDHHC4;CAMK2N1;PLA2G7;NAIP;PTGER4;TSLP;SETD4;ZBP1;GRPR;APP;NAPEPLD;MEF2C;RNF31;IL33;POLR3C;CD47;POLR3G;POLR3B;POLR3F;NKG7;CCL1;IL16,"[11, 29, 107, 157, 203, 218, 290, 324, 366, 394, 438, 465, 470, 493, 580, 617, 658, 664, 711, 807, 820, 1076, 1118, 1134, 1328, 1526, 1546, 1641, 1649, 1742, 1794, 1969, 1987, 2038, 2130, 2137, 2457, 2466, 2517, 2579, 2620, 2654, 2686, 2939, 3039, 3219, 3465, 3521, 3740, 3762, 3945, 3997, 4099, 4136, 4228, 4321, 4474, 4484, 4523, 4966, 5088, 5264, 5292, 5546, 5562, 5684, 5738, 5829, 6182, 6386, 6730, 6850, 6909, 7154, 7336, 7409, 7521, 7987, 8223, 8488, 8505, 8840, 8926, 9382, 9605, 9675, 10174, 10212, 10466, 10807, 10899, 11223, 11224, 11232, 11877, 12135, 12277, 12297, 12343, 12394, 12542, 13120, 13518, 13823, 13922, 14202, 14663, 14708, 14787, 14865, 14891, 14902, 14993, 15287, 15342, 17050]",GO_Biological_Process_2025__Positive Regulation of Defense Response (GO:0031349)
GO_Biological_Process_2025,Neutrophil Migration (GO:1990266),prerank,0.6627408568809844,2.290405385989145,0.0,0.0,0.0,17_41,17/41,9.76%,S100A12;CD177;CXCL6;PPBP;CXCR1;S100A8;CXCR2;ITGB2;CXCL9;SYK;S100A9;FCER1G;CXCL3;TGFB2;TREM1;CXCL10;PLA2G1B,S100A12;CD177;CXCL6;PPBP;CXCR1;S100A8;CXCR2;ITGB2;CXCL9;SYK;S100A9;FCER1G;CXCL3;TGFB2;TREM1;CXCL10;PLA2G1B;EMP2;CXCL5;CXCL13;PIP5K1C;EDN1;LGALS3;PIK3CG;CKLF;XCL1;PTGES2;CCL3;PPIB;CLSTN1;PPIA;PF4;IRAK4;CCL28;PIKFYVE;PDE4B;SRP54;CXADR;EDN3;PRTN3;SAA2,"[11, 18, 46, 65, 142, 157, 169, 507, 692, 810, 820, 857, 873, 972, 1425, 1647, 1708, 2358, 2588, 3388, 3646, 4526, 5562, 5764, 6275, 6469, 6901, 7409, 7668, 8021, 8153, 8298, 8469, 9509, 13299, 14187, 14417, 15617, 15758, 16516, 16765]",GO_Biological_Process_2025__Neutrophil Migration (GO:1990266)
