TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
GO_Molecular_Function_2025,Cytokine Receptor Binding (GO:0005126),prerank,0.5214002723725047,2.091350374850126,0.0,0.015607868429538858,0.014,29_85,29/85,15.16%,SOCS3;TLR5;CSF1;EBI3;LIF;IL18;IL27;CLCF1;TLR9;CSF3;IL6;PGF;IL1RN;SYK;S100A9;TGFBR3;VEGFA;TGFB2;IL9;CISH;OSMR;IL6R;ADAM8;SOCS1;TYK2;CTF1;VEGFB;PYCARD;IL1B,SOCS3;TLR5;CSF1;EBI3;LIF;IL18;IL27;CLCF1;TLR9;CSF3;IL6;PGF;IL1RN;SYK;S100A9;TGFBR3;VEGFA;TGFB2;IL9;CISH;OSMR;IL6R;ADAM8;SOCS1;TYK2;CTF1;VEGFB;PYCARD;IL1B;IL23A;IL34;SOCS2;FADD;CCRL2;CCL25;TRIP6;TNFSF9;IFNA21;JAK3;CCL5;IL12B;IL6ST;CCM2;SMAD3;SDCBP;IL10;XCL1;TIMM50;LIFR;SH2B3;SMAD2;S100A14;FKBP1A;DDTL;IL11;PXDN;SPRED2;IL13;TNFSF4;JAK1;JAK2;SPRED1;IL4;DNAJA3;TGFBRAP1;CRLF1;CNTF;IL12A;IFNA8;IFNW1;CD300LF;INHBC;ERAP1;TSLP;USP15;PIBF1;IL12RB1;SMURF1;IFNL1;KITLG;TNFSF18;IL25;EPX;CXCL12;CCL19,"[158, 160, 185, 235, 352, 366, 577, 592, 658, 665, 719, 727, 793, 810, 820, 870, 930, 972, 995, 1417, 1558, 1632, 1742, 1768, 2267, 2407, 2475, 2517, 2654, 3039, 3071, 3433, 3465, 3794, 3814, 3875, 4374, 4584, 4746, 5546, 5684, 5726, 5829, 5959, 5990, 6118, 6469, 6634, 6638, 6650, 6984, 7129, 7174, 7336, 8126, 8273, 8384, 8393, 8505, 8760, 8819, 9042, 9155, 9245, 10582, 10678, 11175, 11372, 11566, 11701, 11980, 12045, 12354, 12394, 12743, 13060, 13309, 13647, 13767, 13937, 14890, 15154, 15502, 15960, 17102]",GO_Molecular_Function_2025__Cytokine Receptor Binding (GO:0005126)
GO_Molecular_Function_2025,Cytokine Activity (GO:0005125),prerank,0.4691313536821829,2.021977931919357,0.0,0.027871193624176532,0.045,46_133,46/133,15.44%,IFNA2;CXCL6;TNFSF14;PPBP;CSF1;LTA;TNFRSF11B;WNT6;BMP5;GDF15;LIF;IL18;BMP4;CXCL11;CLCF1;CCL2;CERS1;TGFB1;CSF3;CXCL9;IL6;S100A9;CXCL3;CCL26;VEGFA;TGFB2;TGFB3;IL9;INHBB;CXCL16;BMP6;TIMP1;TNF;CXCL10;EDA;CCL22;INHBE;WNT5B;TNFSF12;WNT4;CTF1;WNT3;BMP7;CXCL5;IL1B;FAM3B,IFNA2;CXCL6;TNFSF14;PPBP;CSF1;LTA;TNFRSF11B;WNT6;BMP5;GDF15;LIF;IL18;BMP4;CXCL11;CLCF1;CCL2;CERS1;TGFB1;CSF3;CXCL9;IL6;S100A9;CXCL3;CCL26;VEGFA;TGFB2;TGFB3;IL9;INHBB;CXCL16;BMP6;TIMP1;TNF;CXCL10;EDA;CCL22;INHBE;WNT5B;TNFSF12;WNT4;CTF1;WNT3;BMP7;CXCL5;IL1B;FAM3B;WNT7A;GDF10;CXCL13;GDF11;IL15;CCL25;WNT16;MSTN;NDP;WNT7B;EDN1;WNT10A;IFNA21;IL17D;WNT9A;LEFTY1;WNT9B;WNT11;FAM3D;CCL5;IL12B;CCM2;LTB;IL10;CKLF;XCL1;IFNE;GDF6;LEFTY2;CCL3;CX3CL1;GDF5;IL11;PF4;IL13;WNT10B;BMP8B;WNT5A;IL4;BMP8A;CCL3L1;CCL28;WNT2;IFNA1;AIMP1;CRLF1;WNT2B;IL24;BMP3;CCL4;SCGB3A1;CNTF;BMP2;IL12A;IFNA8;IFNW1;INHBC;GDF9;NRG1;IFNA6;TSLP;HMGB1;FAM3C;INHA;CCL8;KITLG;IL36G;GDF7;WNT8A;IL33;THPO;IL1A;TNFSF10;CCL1;EPX;FGF13;WNT8B;CXCL12;IL7;NODAL;WNT1;C5;SCG2;IL5;IL16;INHBA;CCL19,"[38, 46, 60, 65, 185, 209, 216, 223, 257, 325, 352, 366, 483, 511, 592, 636, 659, 664, 665, 692, 719, 820, 873, 913, 930, 972, 978, 995, 1148, 1455, 1492, 1515, 1526, 1647, 1697, 1738, 1859, 2073, 2129, 2294, 2407, 2447, 2536, 2588, 2654, 2703, 2958, 3310, 3388, 3510, 3762, 3814, 4362, 4498, 4500, 4515, 4526, 4577, 4584, 4898, 5109, 5143, 5192, 5310, 5359, 5546, 5684, 5829, 6057, 6118, 6275, 6469, 6643, 6789, 7266, 7409, 7987, 8121, 8126, 8298, 8393, 8460, 8875, 8926, 9155, 9294, 9302, 9509, 10192, 10376, 10676, 10678, 10700, 10727, 10771, 10797, 11110, 11175, 11288, 11372, 11566, 11701, 12045, 12095, 12108, 12258, 12394, 12555, 12782, 12859, 13457, 13937, 14229, 14276, 14641, 14708, 14921, 14936, 15232, 15342, 15502, 15618, 15778, 15960, 15968, 16015, 16459, 16539, 16902, 16971, 17050, 17099, 17102]",GO_Molecular_Function_2025__Cytokine Activity (GO:0005125)
GO_Molecular_Function_2025,MHC Class I Receptor Activity (GO:0032393),prerank,0.7405408946683038,1.9267794948497527,0.0020876826722338203,0.0490533007785507,0.217,7_12,7/12,15.09%,LILRA5;LILRB1;LILRA2;LILRB5;LILRA4;LILRB2;LILRA6,LILRA5;LILRB1;LILRA2;LILRB5;LILRA4;LILRB2;LILRA6;LILRA3;LILRB4;PNKD;LILRA1;KLRF1,"[324, 474, 572, 1241, 1689, 1887, 2643, 4588, 5483, 6449, 7496, 11397]",GO_Molecular_Function_2025__MHC Class I Receptor Activity (GO:0032393)
GO_Molecular_Function_2025,Transforming Growth Factor Beta Binding (GO:0050431),prerank,0.6311143541430152,1.8926753257446924,0.0,0.049672660636865734,0.308,12_21,12/21,12.13%,LRG1;LRRC32;WFIKKN2;TSKU;TGFBR3;TGFB3;VASN;HYAL2;WFIKKN1;ACVRL1;LTBP3;TGFBR2,LRG1;LRRC32;WFIKKN2;TSKU;TGFBR3;TGFB3;VASN;HYAL2;WFIKKN1;ACVRL1;LTBP3;TGFBR2;LTBP4;ENG;TGFBR1;ITGAV;TGFBR3L;THBS1;LTBP1;TWSG1;CD36,"[197, 402, 494, 861, 870, 978, 1056, 1134, 1152, 1232, 2010, 2124, 4010, 5298, 5314, 9683, 9909, 10764, 12051, 12551, 17499]",GO_Molecular_Function_2025__Transforming Growth Factor Beta Binding (GO:0050431)
GO_Molecular_Function_2025,Inhibitory MHC Class I Receptor Activity (GO:0032396),prerank,0.7837701483116053,1.8981032001009246,0.0020964360587002098,0.05253719998157276,0.297,7_10,7/10,15.09%,LILRA5;LILRB1;LILRA2;LILRB5;LILRA4;LILRB2;LILRA6,LILRA5;LILRB1;LILRA2;LILRB5;LILRA4;LILRB2;LILRA6;LILRA3;LILRB4;LILRA1,"[324, 474, 572, 1241, 1689, 1887, 2643, 4588, 5483, 7496]",GO_Molecular_Function_2025__Inhibitory MHC Class I Receptor Activity (GO:0032396)
GO_Molecular_Function_2025,MHC Class II Protein Complex Binding (GO:0023026),prerank,0.634583331123293,1.9285012265408847,0.003883495145631068,0.05730317409130695,0.212,12_22,12/22,14.93%,CD4;HLA-DRB5;HLA-DRB1;HLA-DRA;CD74;HLA-DMB;HSP90AA1;HLA-DMA;HLA-DQA1;HLA-DPA1;HSP90AB1;HLA-DOA,CD4;HLA-DRB5;HLA-DRB1;HLA-DRA;CD74;HLA-DMB;HSP90AA1;HLA-DMA;HLA-DQA1;HLA-DPA1;HSP90AB1;HLA-DOA;CD81;PKM;HLA-DQB2;HSPA8;B2M;YWHAE;HLA-DQA2;ATP1B1;MS4A1;HLA-DOB,"[463, 542, 558, 855, 908, 914, 996, 1712, 1718, 1918, 2454, 2615, 3757, 7140, 7528, 7892, 8759, 9903, 10139, 13412, 15249, 17030]",GO_Molecular_Function_2025__MHC Class II Protein Complex Binding (GO:0023026)
GO_Molecular_Function_2025,Death Receptor Activity (GO:0005035),prerank,0.7615898020606547,1.8983619115223722,0.0021551724137931034,0.05956472237395442,0.295,6_11,6/11,7.77%,TNFRSF4;TNFRSF10A;TNFRSF1A;TNFRSF1B;TNFRSF10B;TNFRSF25,TNFRSF4;TNFRSF10A;TNFRSF1A;TNFRSF1B;TNFRSF10B;TNFRSF25;NGFR;TNFRSF14;TNFRSF19;FASN;TNFRSF11A,"[335, 363, 465, 525, 900, 1360, 3192, 3651, 5926, 9932, 12165]",GO_Molecular_Function_2025__Death Receptor Activity (GO:0005035)
GO_Molecular_Function_2025,D-glucose Transmembrane Transporter Activity (GO:0055056),prerank,0.6337950877015662,1.8524827687016516,0.004424778761061947,0.06889759063896439,0.418,12_20,12/20,17.14%,SLC5A3;SLC2A5;SLC5A10;SLC2A3;SLC2A14;SLC2A4;SLC5A4;SLC45A2;SLC2A9;SLC5A9;SLC5A11;SLC2A1,SLC5A3;SLC2A5;SLC5A10;SLC2A3;SLC2A14;SLC2A4;SLC5A4;SLC45A2;SLC2A9;SLC5A9;SLC5A11;SLC2A1;SLC2A10;SLC2A12;SLC2A8;SLC2A6;SLC45A1;SLC5A2;SLC2A11;SLC5A1,"[155, 673, 923, 935, 983, 1137, 1637, 2034, 2165, 2349, 2641, 3001, 3792, 5461, 6526, 6672, 9637, 11192, 13598, 16665]",GO_Molecular_Function_2025__D-glucose Transmembrane Transporter Activity (GO:0055056)
GO_Molecular_Function_2025,C-C Chemokine Binding (GO:0019957),prerank,0.6856203154834792,1.8446475928321497,0.0020242914979757085,0.0691205601879578,0.451,7_14,7/14,13.67%,CXCR4;CXCR1;CXCR2;CCR2;ZFP36;CCR1;CCR5,CXCR4;CXCR1;CXCR2;CCR2;ZFP36;CCR1;CCR5;CCRL2;CCR9;CNOT6;CX3CR1;CXCR6;CCR7;CCR6,"[50, 142, 169, 711, 1852, 1907, 2393, 3794, 4219, 5920, 7438, 10133, 12666, 14555]",GO_Molecular_Function_2025__C-C Chemokine Binding (GO:0019957)
GO_Molecular_Function_2025,Chemokine Activity (GO:0008009),prerank,0.5982180812006174,1.833983875857388,0.0020920502092050207,0.0701425039541776,0.487,10_26,10/26,9.93%,CXCL6;PPBP;CXCL11;CCL2;CXCL9;CXCL3;CCL26;CXCL16;CXCL10;CCL22,CXCL6;PPBP;CXCL11;CCL2;CXCL9;CXCL3;CCL26;CXCL16;CXCL10;CCL22;CXCL5;CXCL13;CCL25;CCL5;CKLF;XCL1;CCL3;CX3CL1;PF4;CCL3L1;CCL28;CCL4;CCL8;CCL1;CXCL12;CCL19,"[46, 65, 511, 636, 692, 873, 913, 1455, 1647, 1738, 2588, 3388, 3814, 5546, 6275, 6469, 7409, 7987, 8298, 9302, 9509, 10797, 13457, 15342, 15960, 17102]",GO_Molecular_Function_2025__Chemokine Activity (GO:0008009)
