TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
Human_Phenotype_Ontology,Aplasia/Hypoplasia involving the femoral head and neck (HP:0009108),prerank,0.737677769357813,2.086869707107092,0.0,0.014353389676099174,0.045,11_18,11/18,20.18%,MMP9;IHH;TRPV4;COL2A1;CHST3;IFT140;SLC26A2;BMPR1B;MATN3;TRAPPC2;FGFR3,MMP9;IHH;TRPV4;COL2A1;CHST3;IFT140;SLC26A2;BMPR1B;MATN3;TRAPPC2;FGFR3;SLC39A13;CANT1;RUNX2;POC1A;IDUA;CTC1;B3GALT6,"[9, 51, 1149, 1158, 1489, 1905, 2127, 3189, 3358, 3533, 3534, 5549, 5946, 6869, 8184, 8754, 9098, 9379]",Human_Phenotype_Ontology__Aplasia/Hypoplasia involving the femoral head and neck (HP:0009108)
Human_Phenotype_Ontology,Abnormality of complement system (HP:0005339),prerank,0.7357143733786856,2.0941732358769682,0.0,0.016013305488981392,0.039,11_18,11/18,8.60%,DNASE1L3;C1QA;C1QC;C7;CFD;C1QB;C3;CFH;C4A;CFI;C1R,DNASE1L3;C1QA;C1QC;C7;CFD;C1QB;C3;CFH;C4A;CFI;C1R;C1S;LMNB2;C9;LMNA;CFP;C6;C5,"[74, 196, 280, 340, 367, 399, 554, 967, 1070, 1145, 1505, 3007, 3787, 4373, 4905, 6854, 15917, 16539]",Human_Phenotype_Ontology__Abnormality of complement system (HP:0005339)
Human_Phenotype_Ontology,Aplasia/Hypoplasia involving the pelvis (HP:0009103),prerank,0.651362649462372,2.1077634135311465,0.0,0.018747284474905045,0.031,15_30,15/30,20.18%,MMP9;IHH;TBX15;INPPL1;TRPV4;COL2A1;CHST3;IFT140;SLC26A2;WNT3;WNT7A;BMPR1B;MATN3;TRAPPC2;FGFR3,MMP9;IHH;TBX15;INPPL1;TRPV4;COL2A1;CHST3;IFT140;SLC26A2;WNT3;WNT7A;BMPR1B;MATN3;TRAPPC2;FGFR3;CUL7;SLC39A13;CANT1;RUNX2;ABCC9;POC1A;IDUA;CTC1;B3GALT6;KAT6B;NSDHL;COL11A2;ERCC8;ERCC6;SETBP1,"[9, 51, 134, 695, 1149, 1158, 1489, 1905, 2127, 2447, 2958, 3189, 3358, 3533, 3534, 4664, 5549, 5946, 6869, 7249, 8184, 8754, 9098, 9379, 10009, 10654, 10854, 11195, 11441, 14063]",Human_Phenotype_Ontology__Aplasia/Hypoplasia involving the pelvis (HP:0009103)
Human_Phenotype_Ontology,Meningitis (HP:0001287),prerank,0.5988744170775789,2.1253064056691118,0.0,0.018747284474905045,0.016,26_44,26/44,19.29%,DNASE1L3;CARD9;MNX1;NCF1;IGLL1;NCF4;CYBA;HLA-DRB1;BCL6;NOD2;MEFV;CIITA;WAS;C4A;HLA-DPB1;BTK;TCF3;BCL2;CD79B;CD79A;TLR4;RAB27A;PRF1;NCF2;HLA-B;SH2D1A,DNASE1L3;CARD9;MNX1;NCF1;IGLL1;NCF4;CYBA;HLA-DRB1;BCL6;NOD2;MEFV;CIITA;WAS;C4A;HLA-DPB1;BTK;TCF3;BCL2;CD79B;CD79A;TLR4;RAB27A;PRF1;NCF2;HLA-B;SH2D1A;BLNK;LRRC8A;JAK3;RAG2;RFXANK;CYBB;IL10;CTLA4;RAG1;RFX5;VANGL1;PTPN22;PIK3R1;STAT4;RFXAP;IL12RB2;WIPF1;PRTN3,"[74, 147, 174, 306, 373, 392, 470, 558, 611, 626, 807, 815, 985, 1070, 1268, 1801, 1891, 1935, 2306, 2657, 2939, 2940, 2997, 3164, 3273, 3378, 4333, 4397, 4746, 4814, 5643, 5847, 6118, 10060, 11033, 11605, 12711, 13052, 13367, 13432, 14723, 15565, 16279, 16516]",Human_Phenotype_Ontology__Meningitis (HP:0001287)
Human_Phenotype_Ontology,Aplasia/hypoplasia of the femur (HP:0005613),prerank,0.6731387717610198,2.0188424597070234,0.0,0.018877473950425216,0.114,12_23,12/23,20.18%,MMP9;IHH;TRPV4;COL2A1;CHST3;IFT140;SLC26A2;WNT7A;BMPR1B;MATN3;TRAPPC2;FGFR3,MMP9;IHH;TRPV4;COL2A1;CHST3;IFT140;SLC26A2;WNT7A;BMPR1B;MATN3;TRAPPC2;FGFR3;SLC39A13;CANT1;ZBTB16;RUNX2;GDF5;POC1A;IDUA;CTC1;B3GALT6;FLNB;AGPS,"[9, 51, 1149, 1158, 1489, 1905, 2127, 2958, 3189, 3358, 3533, 3534, 5549, 5946, 6815, 6869, 8121, 8184, 8754, 9098, 9379, 12351, 14140]",Human_Phenotype_Ontology__Aplasia/hypoplasia of the femur (HP:0005613)
Human_Phenotype_Ontology,Complement deficiency (HP:0004431),prerank,0.7753779282913289,2.0261010616462327,0.0,0.019040210794825436,0.104,10_13,10/13,8.60%,C1QA;C1QC;C7;CFD;C1QB;C3;CFH;C4A;CFI;C1R,C1QA;C1QC;C7;CFD;C1QB;C3;CFH;C4A;CFI;C1R;C9;C6;C5,"[196, 280, 340, 367, 399, 554, 967, 1070, 1145, 1505, 4373, 15917, 16539]",Human_Phenotype_Ontology__Complement deficiency (HP:0004431)
Human_Phenotype_Ontology,Mediastinal lymphadenopathy (HP:0100721),prerank,0.7055850352405775,2.0563882821109187,0.0,0.019215966586777673,0.072,9_20,9/20,11.05%,RHBDF2;NCF1;NCF4;CYBA;HLA-DRB1;BCL6;IL6;BIRC3;BCL2,RHBDF2;NCF1;NCF4;CYBA;HLA-DRB1;BCL6;IL6;BIRC3;BCL2;NCF2;MIF;APOE;CYBB;FOXP1;MALT1;PORCN;EWSR1;WT1;LEMD3;PTPN22,"[115, 306, 392, 470, 558, 611, 719, 1351, 1935, 3164, 3194, 3783, 5847, 6316, 7292, 7839, 8921, 10831, 12180, 13052]",Human_Phenotype_Ontology__Mediastinal lymphadenopathy (HP:0100721)
Human_Phenotype_Ontology,Aplasia/Hypoplasia of the phalanges of the toes (HP:0010173),prerank,0.7527358830804183,2.0017211132896877,0.0,0.020973524506300016,0.141,8_13,8/13,18.21%,IHH;RIPK4;TP63;TRPV4;NOG;NOTCH2;WNT7A;BMPR1B,IHH;RIPK4;TP63;TRPV4;NOG;NOTCH2;WNT7A;BMPR1B;RAB23;ROR2;GDF5;FIG4;BMP2,"[51, 316, 1135, 1149, 1617, 1705, 2958, 3189, 4983, 7717, 8121, 8472, 11288]",Human_Phenotype_Ontology__Aplasia/Hypoplasia of the phalanges of the toes (HP:0010173)
Human_Phenotype_Ontology,Glomerulonephritis (HP:0000099),prerank,0.8165685189561719,2.027744270045741,0.0,0.02142546797132005,0.102,7_11,7/11,6.54%,C1QA;C1QC;C1QB;C3;CFH;C4A;CFI,C1QA;C1QC;C1QB;C3;CFH;C4A;CFI;COL4A3;PRKCD;PGM3;CFHR5,"[196, 280, 399, 554, 967, 1070, 1145, 8125, 9634, 11424, 15948]",Human_Phenotype_Ontology__Glomerulonephritis (HP:0000099)
Human_Phenotype_Ontology,Short femoral neck (HP:0100864),prerank,0.7400630470089578,2.0361435451745034,0.0,0.021676547674108957,0.09,10_16,10/16,20.18%,MMP9;IHH;TRPV4;COL2A1;CHST3;IFT140;BMPR1B;MATN3;TRAPPC2;FGFR3,MMP9;IHH;TRPV4;COL2A1;CHST3;IFT140;BMPR1B;MATN3;TRAPPC2;FGFR3;SLC39A13;CANT1;RUNX2;POC1A;CTC1;B3GALT6,"[9, 51, 1149, 1158, 1489, 1905, 3189, 3358, 3533, 3534, 5549, 5946, 6869, 8184, 9098, 9379]",Human_Phenotype_Ontology__Short femoral neck (HP:0100864)
