TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
OMIM_Disease,asthma,prerank,0.7089164984005648,1.9452664963072452,0.0,0.007731182435824492,0.021,6_15,6/15,9.05%,PTGER2;PTGDR;IRAK3;TBX21;TNF;ADRB2,PTGER2;PTGDR;IRAK3;TBX21;TNF;ADRB2;CHI3L1;IL12B;PHF11;HNMT;IL13;HLA-G;ALOX5;PLA2G7;NPSR1,"[510, 740, 950, 1377, 1526, 1585, 4969, 5684, 7827, 8041, 8393, 9169, 10750, 12277, 12918]",OMIM_Disease__asthma
OMIM_Disease,lymphoma,prerank,0.7171976823292575,1.9487538529916617,0.002028397565922921,0.011596773653736738,0.021,8_15,8/15,19.15%,BCL3;BCL6;MYC;RAD54L;BCL2;IL21R;PRF1;CASP10,BCL3;BCL6;MYC;RAD54L;BCL2;IL21R;PRF1;CASP10;MAD1L1;BCL10;MALT1;RAD54B;PAX5;BCL7A;ATM,"[332, 611, 1027, 1327, 1935, 2346, 2997, 3353, 5848, 6561, 7292, 7380, 7588, 8588, 11714]",OMIM_Disease__lymphoma
OMIM_Disease,immunodeficiency,prerank,0.6956443704337663,1.9916339612651848,0.0,0.014357910237959771,0.013,10_19,10/19,16.91%,IL2RG;NFKBIA;IL7R;CD3E;RAC2;UNG;NHEJ1;CD79B;PTPRC;CD247,IL2RG;NFKBIA;IL7R;CD3E;RAC2;UNG;NHEJ1;CD79B;PTPRC;CD247;RAG2;ADA;STAT5B;DCLRE1C;IKBKG;SP110;CD3G;RAG1;DNMT3B,"[264, 438, 1012, 1555, 1635, 1665, 1975, 2306, 2422, 2961, 4814, 5260, 6102, 7117, 7641, 8508, 9585, 11033, 11642]",OMIM_Disease__immunodeficiency
OMIM_Disease,systemic lupus erythematosus,prerank,0.6905277030073579,1.8812820217751383,0.004219409282700422,0.014634023896382074,0.051,9_15,9/15,13.78%,TLR5;FCGR2B;CD4;FCGR3A;ITGAM;C4A;IRF5;DNASE1;CR1,TLR5;FCGR2B;CD4;FCGR3A;ITGAM;C4A;IRF5;DNASE1;CR1;TREX1;BANK1;PDCD1;PTPN22;STAT4;CR2,"[160, 180, 463, 954, 1038, 1070, 1337, 1678, 2413, 3778, 6502, 7295, 13052, 13432, 15881]",OMIM_Disease__systemic lupus erythematosus
OMIM_Disease,cdeficiency,prerank,0.631133151883681,1.5484740790447225,0.03896103896103896,0.154781427949874,0.626,6_10,6/10,11.52%,C7;C4B;C3;C4A;C2;CD59,C7;C4B;C3;C4A;C2;CD59;C9;CD8A;C6;C5,"[340, 535, 554, 1070, 1909, 2017, 4373, 9566, 15917, 16539]",OMIM_Disease__cdeficiency
OMIM_Disease,cataract,prerank,0.5005875406079198,1.5558839275846617,0.028629856850715747,0.17027008936042037,0.609,9_26,9/26,17.18%,SLC16A12;CRYAA;CRYAB;CRYBA1;HSF4;MAF;CRYBB2;CRYGS;FTL,SLC16A12;CRYAA;CRYAB;CRYBA1;HSF4;MAF;CRYBB2;CRYGS;FTL;PAX6;BFSP2;CRYBA4;CRYBB1;CRYBB3;GCNT2;GALK1;OPA3;MIP;CTDP1;CRYGD;CHMP4B;EYA1;SORD;BEST1;GJA3;BFSP1,"[97, 953, 969, 1074, 1613, 1694, 2150, 2881, 3009, 3830, 4557, 4940, 5740, 6235, 6676, 7576, 7625, 7860, 8131, 8308, 8315, 10655, 12758, 13222, 15597, 16200]",OMIM_Disease__cataract
OMIM_Disease,gastric cancer,prerank,0.6299386401349766,1.575323352509982,0.033707865168539325,0.1802469962180796,0.561,7_11,7/11,24.79%,IRF1;IL1RN;ERBB2;IL1B;CASP10;KLF6;MUTYH,IRF1;IL1RN;ERBB2;IL1B;CASP10;KLF6;MUTYH;PIK3CA;APC;CDH1;FGFR2,"[753, 793, 1996, 2654, 3353, 3544, 4341, 7246, 9727, 9857, 12121]",OMIM_Disease__gastric cancer
OMIM_Disease,obesity,prerank,0.48898103892803413,1.395383537154496,0.09937888198757763,0.3651603132634961,0.924,6_17,6/17,9.63%,AKR1C2;MC4R;AGRP;POMC;ADRB2;UCP3,AKR1C2;MC4R;AGRP;POMC;ADRB2;UCP3;PPARG;LEPR;ENPP1;NTRK2;GHRL;SDC3;UCP2;ADRB3;PPARGC1B;FTO;PCSK1,"[116, 685, 1235, 1372, 1585, 1686, 3389, 4592, 5263, 7118, 8763, 9841, 11886, 12806, 13876, 16580, 16952]",OMIM_Disease__obesity
OMIM_Disease,leukemia,prerank,0.3641234708995669,1.3503642987934523,0.06560636182902585,0.4113479924584714,0.961,18_57,18/57,16.49%,TAL1;BCL3;TAL2;PDGFRB;IKZF1;IRF1;RUNX1;NQO1;CHIC2;LMO1;LYL1;TCF3;BCL2;NOTCH1;PML;MKL1;CBFB;BAX,TAL1;BCL3;TAL2;PDGFRB;IKZF1;IRF1;RUNX1;NQO1;CHIC2;LMO1;LYL1;TCF3;BCL2;NOTCH1;PML;MKL1;CBFB;BAX;CEBPA;SEPT9;SH3GL1;RARA;RBM15;STAT5B;ABL1;ZBTB16;ETV6;BCR;DEK;NUP98;JAK2;BRCA2;NUMA1;NSD1;LPP;ABL2;ARHGEF12;LMO2;NUP214;ARNT;ATM;ARHGAP26;NPM1;MLL;PBX1;WHSC1L1;PTPN11;SETBP1;ACSL6;MLF1;RAP1GDS1;NF1;GMPS;GATA1;KIT;MYB;FLT3,"[293, 332, 543, 646, 693, 753, 845, 1507, 1601, 1608, 1861, 1891, 1935, 2094, 2122, 2458, 2635, 2888, 3219, 4241, 4604, 4735, 5873, 6102, 6536, 6815, 6925, 7045, 7099, 7489, 8819, 8964, 9416, 9453, 9547, 9622, 10337, 10397, 10473, 10553, 11714, 12568, 12801, 13350, 13428, 13910, 13915, 14063, 14298, 14632, 15032, 15474, 15630, 15745, 16477, 17052, 17410]",OMIM_Disease__leukemia
OMIM_Disease,retinitis pigmentosa,prerank,-0.39743227050240076,-1.3154305335152479,0.11434511434511435,0.4177672097083427,0.983,11_32,11/32,17.57%,RPE65;CERKL;CNGA1;RHO;SPATA7;CA4;PRCD;CNGB1;NRL;SAG;PROM1,TULP1;IMPDH1;ROM1;MERTK;PRPF31;RP9;PDE6A;ABCA4;EYS;RGR;SEMA4A;AIPL1;TOPORS;IDH3B;CRB1;PRPF8;FSCN2;RP2;RPGR;PDE6B;USH2A;PROM1;SAG;NRL;CNGB1;PRCD;CA4;SPATA7;RHO;CNGA1;CERKL;RPE65,"[878, 1304, 1693, 2013, 2793, 2795, 3452, 3701, 3839, 3915, 4312, 4590, 6360, 7393, 7676, 7960, 7961, 8072, 9946, 12077, 13133, 14441, 14559, 14710, 14839, 15246, 15600, 16407, 16416, 16863, 17300, 17455]",OMIM_Disease__retinitis pigmentosa
