TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
Reactome_2022,Interleukin-10 Signaling R-HSA-6783783,prerank,0.7089716917217083,2.4644942624281576,0.0,0.0,0.0,28_43,28/43,15.16%,IL1R2;CSF1;LIF;IL18;TNFRSF1A;TNFRSF1B;CCL20;CXCL1;CCL2;CSF3;CCR2;IL6;IL1RN;CD86;ICAM1;FPR1;CD80;PTAFR;TIMP1;TNF;CXCL10;IL10RA;CCL22;CCR1;IL10RB;TYK2;CCR5;IL1B,IL1R2;CSF1;LIF;IL18;TNFRSF1A;TNFRSF1B;CCL20;CXCL1;CCL2;CSF3;CCR2;IL6;IL1RN;CD86;ICAM1;FPR1;CD80;PTAFR;TIMP1;TNF;CXCL10;IL10RA;CCL22;CCR1;IL10RB;TYK2;CCR5;IL1B;IL1R1;STAT3;CXCL2;FCER2;CCL5;IL12B;IL10;CCL3;JAK1;CCL3L1;CCL4;IL12A;PTGS2;IL1A;CCL19,"[33, 185, 352, 366, 465, 525, 561, 594, 636, 665, 711, 719, 793, 827, 847, 1004, 1256, 1412, 1515, 1526, 1647, 1728, 1738, 1907, 2113, 2267, 2393, 2654, 3361, 3562, 3816, 5371, 5546, 5684, 6118, 7409, 8760, 9302, 10797, 11372, 13656, 14936, 17102]",Reactome_2022__Interleukin-10 Signaling R-HSA-6783783
Reactome_2022,HSF1-dependent Transactivation R-HSA-3371571,prerank,0.7380944901142893,2.455962378756017,0.0,0.0,0.0,17_35,17/35,14.01%,HSPA6;HSPA1A;SERPINH1;HSPA1B;DNAJB1;FKBP4;HSPA1L;DEDD2;HSPH1;CRYAB;HSP90AA1;HSF1;MRPL18;HSPB8;DNAJB6;AKT1S1;HSP90AB1,HSPA6;HSPA1A;SERPINH1;HSPA1B;DNAJB1;FKBP4;HSPA1L;DEDD2;HSPH1;CRYAB;HSP90AA1;HSF1;MRPL18;HSPB8;DNAJB6;AKT1S1;HSP90AB1;PTGES3;CREBBP;CAMK2B;CRYBA4;UBB;MLST8;HSPA2;CAMK2G;RPTOR;EP300;HSPA8;HSBP1;CAMK2A;MTOR;TNFRSF21;COL4A6;RLN1;CAMK2D,"[0, 2, 5, 7, 8, 331, 445, 630, 718, 969, 996, 1655, 1854, 2046, 2051, 2415, 2454, 2982, 3077, 4042, 4940, 5432, 5866, 6101, 6757, 7322, 7366, 7892, 8986, 9057, 11465, 12698, 12870, 12903, 13921]",Reactome_2022__HSF1-dependent Transactivation R-HSA-3371571
Reactome_2022,Eukaryotic Translation Elongation R-HSA-156842,prerank,0.5633330840558478,2.251477666049896,0.0,0.00015413974287631197,0.001,66_88,66/88,31.73%,EEF1G;RPL3L;RPS21;EEF1D;RPL36;RPS19;RPS15;RPS16;RPLP1;RPS27L;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPL36AL;RPS5;RPL27;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;EEF1A2;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1,EEF1G;RPL3L;RPS21;EEF1D;RPL36;RPS19;RPS15;RPS16;RPLP1;RPS27L;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPL36AL;RPS5;RPL27;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;EEF1A2;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1;RPS27;RPS15A;RPL30;RPL5;RPL22;RPL37;RPLP0;RPL26L1;RPL41;RPS23;RPL10A;RPL21;EEF1A1;RPL22L1;RSL24D1;RPL39L;RPL12;EEF2;RPL15;MRPL13;EEF1B2;RPL26,"[1035, 1405, 1679, 1776, 2297, 2336, 2583, 2683, 2741, 2875, 3058, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3464, 3478, 3513, 3549, 3614, 3634, 3685, 3894, 3907, 3938, 3947, 4056, 4093, 4125, 4156, 4163, 4202, 4212, 4220, 4247, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4782, 4803, 4863, 4864, 4883, 4925, 4984, 5014, 5032, 5044, 5154, 5294, 5360, 5363, 5365, 5443, 5472, 5557, 5753, 5993, 6030, 6075, 6109, 6213, 6265, 6327, 6566, 6735, 7111, 7173, 7718, 7768, 8365, 8368, 8419, 9092, 10085, 11367, 11512, 16730]",Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842
Reactome_2022,Chemokine Receptors Bind Chemokines R-HSA-380108,prerank,0.6454786757088876,2.266754247091308,0.0,0.00017615970614435656,0.001,17_40,17/40,10.89%,CXCL6;CXCR4;PPBP;CCL17;CXCR1;CXCR2;CXCL11;CCL20;CXCL1;CCL2;CXCL9;CCR2;CXCL3;CXCL16;CXCL10;CCL22;CCR1,CXCL6;CXCR4;PPBP;CCL17;CXCR1;CXCR2;CXCL11;CCL20;CXCL1;CCL2;CXCL9;CCR2;CXCL3;CXCL16;CXCL10;CCL22;CCR1;CCR5;CXCL5;CXCL13;CCRL2;CCL25;CXCL2;CCR9;CCL5;CNOT6;XCL1;CCL3;CX3CR1;CX3CL1;PF4;CCL3L1;CCL28;CXCR6;CCL4;CCR7;CCR6;CCL1;CXCL12;CCL19,"[46, 50, 65, 67, 142, 169, 511, 561, 594, 636, 692, 711, 873, 1455, 1647, 1738, 1907, 2393, 2588, 3388, 3794, 3814, 3816, 4219, 5546, 5920, 6469, 7409, 7438, 7987, 8298, 9302, 9509, 10133, 10797, 12666, 14555, 15342, 15960, 17102]",Reactome_2022__Chemokine Receptors Bind Chemokines R-HSA-380108
Reactome_2022,Antimicrobial Peptides R-HSA-6803157,prerank,0.6733960961720212,2.277679108922631,0.0,0.000205519657168416,0.001,18_36,18/36,8.96%,EPPIN;S100A7;SLC11A1;S100A8;RNASE3;CD4;TLR2;LYZ;RNASE6;CCR2;BPI;CLU;LCN2;S100A9;LEAP2;PI3;DEFB1;BPIFB1,EPPIN;S100A7;SLC11A1;S100A8;RNASE3;CD4;TLR2;LYZ;RNASE6;CCR2;BPI;CLU;LCN2;S100A9;LEAP2;PI3;DEFB1;BPIFB1;DEFB124;CHGA;DEFA5;PRSS3;TRIM21;LTF;GNLY;ATOX1;TLR1;ELANE;ATP7A;CHAMP1;PDZD11;TSPAN32;CCR6;DEFB134;PGLYRP1;PRTN3,"[77, 87, 132, 157, 210, 463, 493, 574, 662, 711, 720, 751, 756, 820, 1283, 1416, 1486, 1569, 2563, 2611, 3048, 3321, 4452, 5338, 8051, 8098, 9285, 11164, 11610, 12288, 12445, 14463, 14555, 15045, 16414, 16516]",Reactome_2022__Antimicrobial Peptides R-HSA-6803157
Reactome_2022,PD-1 Signaling R-HSA-389948,prerank,0.7702129752467367,2.212214705447668,0.0,0.000205519657168416,0.002,12_17,12/17,16.91%,LCK;CD4;HLA-DRB5;HLA-DRB1;HLA-DRA;CD3E;HLA-DQA1;HLA-DPA1;CD274;PTPN6;CSK;CD247,LCK;CD4;HLA-DRB5;HLA-DRB1;HLA-DRA;CD3E;HLA-DQA1;HLA-DPA1;CD274;PTPN6;CSK;CD247;PDCD1;PDCD1LG2;HLA-DQB2;HLA-DQA2;PTPN11,"[292, 463, 542, 558, 855, 1555, 1718, 1918, 2015, 2040, 2360, 2961, 7295, 7459, 7528, 10139, 13915]",Reactome_2022__PD-1 Signaling R-HSA-389948
Reactome_2022,Peptide Chain Elongation R-HSA-156902,prerank,0.5632402376792213,2.225057186868584,0.0,0.0002242032623655447,0.002,63_84,63/84,31.73%,RPL3L;RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPS27L;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPL36AL;RPS5;RPL27;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1,RPL3L;RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPS27L;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPL36AL;RPS5;RPL27;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1;RPS27;RPS15A;RPL30;RPL5;RPL22;RPL37;RPLP0;RPL26L1;RPL41;RPS23;RPL10A;RPL21;EEF1A1;RPL22L1;RSL24D1;RPL39L;RPL12;EEF2;RPL15;MRPL13;RPL26,"[1405, 1679, 2297, 2336, 2583, 2683, 2741, 2875, 3058, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3464, 3478, 3513, 3549, 3614, 3634, 3685, 3894, 3907, 3938, 3947, 4056, 4093, 4125, 4156, 4163, 4202, 4212, 4220, 4247, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4782, 4803, 4863, 4864, 4883, 4925, 4984, 5014, 5032, 5044, 5294, 5360, 5363, 5365, 5443, 5472, 5557, 5753, 5993, 6030, 6075, 6109, 6213, 6265, 6327, 6566, 6735, 7111, 7173, 7718, 7768, 8365, 8368, 8419, 9092, 10085, 11367, 16730]",Reactome_2022__Peptide Chain Elongation R-HSA-156902
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,prerank,0.5451131751660023,2.230484003220509,0.0,0.0002466235886020992,0.002,51_101,51/101,17.52%,NANOS2;MMP9;SOCS3;IL4R;IL2RG;LBP;CEBPD;LIF;IL18;HMOX1;ITGB2;BATF;TNFRSF1B;BCL6;F13A1;CCL2;TGFB1;CDKN1A;IL6;MUC1;LCN2;ICAM1;VEGFA;GATA3;HSP90AA1;LAMA5;MYC;ITGAM;TWIST1;FOS;POMC;VIM;TIMP1;TNF;MCL1;IL6R;SOX2;CCL22;SOCS1;BCL2;S1PR1;COL1A2;TYK2;BIRC5;IL1B;STAT6;BCL2L1;ITGAX;IL23A;FOXO1;IL13RA1,NANOS2;MMP9;SOCS3;IL4R;IL2RG;LBP;CEBPD;LIF;IL18;HMOX1;ITGB2;BATF;TNFRSF1B;BCL6;F13A1;CCL2;TGFB1;CDKN1A;IL6;MUC1;LCN2;ICAM1;VEGFA;GATA3;HSP90AA1;LAMA5;MYC;ITGAM;TWIST1;FOS;POMC;VIM;TIMP1;TNF;MCL1;IL6R;SOX2;CCL22;SOCS1;BCL2;S1PR1;COL1A2;TYK2;BIRC5;IL1B;STAT6;BCL2L1;ITGAX;IL23A;FOXO1;IL13RA1;STAT3;MAOA;JAK3;ANXA1;AKT1;FCER2;HSP90B1;IL12B;CCM2;IL10;LONP1;SOS1;ALOX15;HSPA8;FOXO3;RORA;HIF1A;IL13;TP53;JAK1;JAK2;IL4;NDN;IRF4;SOCS5;FSCN1;ALOX5;POU2F1;RNASEH2A;IL12A;ZEB1;ITGB1;FN1;PIK3R1;CCND1;PTGS2;MMP2;OPRD1;VCAM1;IL1A;OPRM1;RHOU;FGF13;STAT1;NANOG;SAA2;IL13RA2;RORC;CD36;MMP3,"[6, 9, 158, 222, 264, 299, 312, 352, 366, 444, 507, 521, 525, 611, 631, 636, 664, 715, 719, 723, 756, 847, 930, 951, 996, 1026, 1027, 1038, 1046, 1219, 1372, 1399, 1515, 1526, 1560, 1632, 1651, 1738, 1768, 1935, 1972, 2167, 2267, 2532, 2654, 2660, 2851, 2994, 3039, 3040, 3069, 3562, 4253, 4746, 5053, 5056, 5371, 5669, 5684, 5829, 6118, 6221, 6414, 6841, 7892, 7929, 7937, 8186, 8393, 8757, 8760, 8819, 9155, 9473, 9586, 10695, 10704, 10750, 10895, 10896, 11372, 11741, 11941, 12440, 13367, 13458, 13656, 14153, 14243, 14570, 14936, 14992, 15059, 15618, 16067, 16529, 16765, 17146, 17426, 17499, 17502]",Reactome_2022__Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807
Reactome_2022,Generation Of Second Messenger Molecules R-HSA-202433,prerank,0.7341300770420236,2.315864785853334,0.0,0.0002466235886020992,0.001,17_27,17/27,21.06%,LCK;CD4;HLA-DRB5;HLA-DRB1;VASP;HLA-DRA;WAS;PLCG1;GRAP2;CD3E;HLA-DQA1;HLA-DPA1;ZAP70;PKN1;CD247;LCP2;ITK,LCK;CD4;HLA-DRB5;HLA-DRB1;VASP;HLA-DRA;WAS;PLCG1;GRAP2;CD3E;HLA-DQA1;HLA-DPA1;ZAP70;PKN1;CD247;LCP2;ITK;CD101;PKN2;NCK1;EVL;HLA-DQB2;PLCG2;SPNS1;ARHGEF7;ENAH;HLA-DQA2,"[292, 463, 542, 558, 840, 855, 985, 1030, 1150, 1555, 1718, 1918, 1939, 2376, 2961, 3280, 3688, 5107, 6035, 6604, 7391, 7528, 8064, 8193, 8272, 9934, 10139]",Reactome_2022__Generation Of Second Messenger Molecules R-HSA-202433
Reactome_2022,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,prerank,0.5477401875783676,2.2005255389355725,0.0,0.00026423955921653483,0.003,73_90,73/90,36.25%,RPL3L;RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPS27L;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPL36AL;RPS5;RPL27;RPS11;RPL28;RPL38;UPF1;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1;RPS27;RPS15A;RPL30;RPL5;RPL22;RPL37;RPLP0;RPL26L1;PABPC1,RPL3L;RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPS27L;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPL36AL;RPS5;RPL27;RPS11;RPL28;RPL38;UPF1;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1;RPS27;RPS15A;RPL30;RPL5;RPL22;RPL37;RPLP0;RPL26L1;PABPC1;RPL41;RPS23;EIF4G1;RPL10A;RPL21;RPL22L1;NCBP2;RSL24D1;RPL39L;RPL12;GSPT1;GSPT2;ETF1;NCBP1;RPL15;MRPL13;RPL26,"[1405, 1679, 2297, 2336, 2583, 2683, 2741, 2875, 3058, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3464, 3478, 3513, 3549, 3614, 3634, 3685, 3894, 3907, 3938, 3947, 3965, 4056, 4093, 4125, 4156, 4163, 4202, 4212, 4220, 4247, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4782, 4803, 4863, 4864, 4883, 4925, 4984, 5014, 5032, 5044, 5294, 5360, 5363, 5365, 5443, 5472, 5557, 5753, 5993, 6030, 6075, 6109, 6213, 6265, 6327, 6350, 6566, 6735, 6785, 7111, 7173, 7768, 8264, 8365, 8368, 8419, 8612, 8952, 9442, 9972, 10085, 11367, 16730]",Reactome_2022__Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956
