TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
Tabula_Sapiens,Skin-cd4-positive Helper T Cell,prerank,0.5851608480727277,2.334639648265158,0.0,0.0,0.0,73_89,73/89,34.88%,CXCR4;IL7R;TSC22D3;SRGN;BTG1;ZFP36L2;VIM;RPS21;RPL36;RPS19;PTPRC;RPS15;RPS16;TPT1;RPLP1;FTL;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS5;RPS11;RPL28;RPL38;RPS29;RPL14;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;HLA-C;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;EIF1;TXNIP;RPS27;GAPDH;RPS15A;RPL30;RPL5;RPL22,CXCR4;IL7R;TSC22D3;SRGN;BTG1;ZFP36L2;VIM;RPS21;RPL36;RPS19;PTPRC;RPS15;RPS16;TPT1;RPLP1;FTL;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS5;RPS11;RPL28;RPL38;RPS29;RPL14;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;HLA-C;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;EIF1;TXNIP;RPS27;GAPDH;RPS15A;RPL30;RPL5;RPL22;RPL37;RPLP0;PABPC1;RPL41;RPS23;HLA-A;PTMA;RPL10A;RPL21;EEF1A1;FTH1;RPL12;B2M;TMSB4X;RPL15;RPL26,"[50, 1012, 1034, 1146, 1239, 1382, 1399, 1679, 2297, 2336, 2422, 2583, 2683, 2707, 2741, 3009, 3058, 3066, 3110, 3161, 3204, 3240, 3273, 3274, 3341, 3446, 3464, 3478, 3513, 3549, 3661, 3685, 3907, 3938, 3947, 4056, 4093, 4163, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4800, 4803, 4863, 4864, 4883, 4925, 5014, 5034, 5044, 5174, 5294, 5363, 5365, 5472, 5574, 5739, 5753, 5812, 5993, 6030, 6075, 6109, 6213, 6265, 6350, 6566, 6735, 7026, 7036, 7111, 7173, 7718, 7728, 8419, 8759, 8993, 10085, 16730]",Tabula_Sapiens__Skin-cd4-positive Helper T Cell
Tabula_Sapiens,Thymus-thymocyte,prerank,0.5696556164567788,2.280314701946464,0.0,0.0,0.0,70_90,70/90,34.68%,DDIT4;CXCR4;NFKBIA;TSC22D3;SRGN;BTG1;ZFP36L2;CD3E;RPS21;RPL36;RPS19;RPS15;RPS16;TPT1;RPLP1;ARHGDIB;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS5;RPL27;RPL28;RPL38;RPS29;RPL14;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;RPL11;NACA;RPS4X;RPL4;RPL39;FAU;RPS2;EIF1;TXNIP;RPS27;ITM2A;PFN1;RPS15A;RPL30;RPL5,DDIT4;CXCR4;NFKBIA;TSC22D3;SRGN;BTG1;ZFP36L2;CD3E;RPS21;RPL36;RPS19;RPS15;RPS16;TPT1;RPLP1;ARHGDIB;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS5;RPL27;RPL28;RPL38;RPS29;RPL14;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;RPL11;NACA;RPS4X;RPL4;RPL39;FAU;RPS2;EIF1;TXNIP;RPS27;ITM2A;PFN1;RPS15A;RPL30;RPL5;RPL37;RPLP0;RPL41;RPS23;PTMA;RPL10A;RPL21;EEF1A1;FTH1;RPL12;B2M;JAK1;TMSB4X;EEF2;RPL15;EEF1B2;ACTG1;HNRNPA1;SOX4;NDFIP1,"[17, 50, 438, 1034, 1146, 1239, 1382, 1555, 1679, 2297, 2336, 2583, 2683, 2707, 2741, 2742, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3446, 3464, 3478, 3513, 3549, 3661, 3685, 3894, 3938, 3947, 4056, 4093, 4163, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4800, 4803, 4863, 4864, 4883, 4925, 5014, 5044, 5174, 5294, 5360, 5363, 5365, 5472, 5574, 5739, 5753, 5805, 5977, 5993, 6030, 6075, 6213, 6265, 6566, 6735, 7036, 7111, 7173, 7718, 7728, 8419, 8759, 8760, 8993, 9092, 10085, 11512, 11600, 13047, 13059, 14033]",Tabula_Sapiens__Thymus-thymocyte
Tabula_Sapiens,"Thymus-cd8-positive, Alpha-Beta T Cell",prerank,0.5816141306462564,2.3552793854285388,0.0,0.0,0.0,68_89,68/89,31.82%,CXCR4;IL32;IL7R;TSC22D3;SRGN;FOS;BTG1;ZFP36L2;RPS21;RPL36;RPS19;PTPRC;RPS15;RPS16;TPT1;RPLP1;HLA-E;JUND;RPL34;RPL18;RPLP2;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;CCL5;EIF1,CXCR4;IL32;IL7R;TSC22D3;SRGN;FOS;BTG1;ZFP36L2;RPS21;RPL36;RPS19;PTPRC;RPS15;RPS16;TPT1;RPLP1;HLA-E;JUND;RPL34;RPL18;RPLP2;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;CCL5;EIF1;TXNIP;RPS27;RPS15A;RPL30;RPL5;RPL37;RPL41;RPS23;HLA-A;PTMA;RPL10A;RPL21;EEF1A1;RPL12;B2M;TMSB4X;DDX5;RPL15;CCL4;CALM1;RPL26,"[50, 314, 1012, 1034, 1146, 1219, 1239, 1382, 1679, 2297, 2336, 2422, 2583, 2683, 2707, 2741, 2908, 3051, 3066, 3110, 3161, 3204, 3240, 3273, 3274, 3341, 3446, 3464, 3478, 3513, 3549, 3661, 3907, 3938, 3947, 4056, 4093, 4125, 4163, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4800, 4803, 4863, 4864, 4883, 4925, 5014, 5032, 5044, 5174, 5294, 5363, 5365, 5472, 5546, 5574, 5739, 5753, 5993, 6030, 6075, 6213, 6566, 6735, 7026, 7036, 7111, 7173, 7718, 8419, 8759, 8993, 9867, 10085, 10797, 13283, 16730]","Tabula_Sapiens__Thymus-cd8-positive, Alpha-Beta T Cell"
Tabula_Sapiens,Bone Marrow-naive B Cell,prerank,0.5824246888357031,2.3491321661579065,0.0,0.0,0.0,67_89,67/89,30.63%,CD37;HLA-DRB5;CD52;HLA-DRA;CD74;LAPTM5;BTG1;RPS21;EEF1D;HLA-DPA1;RPL36;RPS19;RPS15;CD79A;RPS16;TPT1;RPLP1;FTL;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS5;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU,CD37;HLA-DRB5;CD52;HLA-DRA;CD74;LAPTM5;BTG1;RPS21;EEF1D;HLA-DPA1;RPL36;RPS19;RPS15;CD79A;RPS16;TPT1;RPLP1;FTL;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS5;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;TXNIP;RPS27;RPS15A;RPL30;RPL5;RPL37;RPLP0;RPL41;RPS23;PTMA;RPL10A;RPL21;EEF1A1;FTH1;RPL12;B2M;TMSB4X;RPL15;EEF1B2;MS4A1;RPL26,"[436, 542, 830, 855, 908, 919, 1239, 1679, 1776, 1918, 2297, 2336, 2583, 2657, 2683, 2707, 2741, 3009, 3058, 3066, 3110, 3161, 3204, 3240, 3273, 3274, 3341, 3446, 3464, 3478, 3513, 3549, 3661, 3685, 3907, 3938, 3947, 4056, 4093, 4125, 4163, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4800, 4803, 4863, 4864, 4883, 4925, 5014, 5032, 5044, 5174, 5294, 5363, 5365, 5472, 5739, 5753, 5993, 6030, 6075, 6213, 6265, 6566, 6735, 7036, 7111, 7173, 7718, 7728, 8419, 8759, 8993, 10085, 11512, 15249, 16730]",Tabula_Sapiens__Bone Marrow-naive B Cell
Tabula_Sapiens,Kidney-cd4-positive Helper T Cell,prerank,0.5647293284384078,2.263342441399586,0.0,0.0,0.0,64_86,64/86,30.63%,CXCR4;S100A4;IL7R;TSC22D3;FOS;BTG1;ZFP36L2;RPS21;RPL36;RPS19;RPS15;RPS16;TPT1;RPLP1;HLA-E;RPL34;RPL18;RPLP2;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS5;RPL27;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU,CXCR4;S100A4;IL7R;TSC22D3;FOS;BTG1;ZFP36L2;RPS21;RPL36;RPS19;RPS15;RPS16;TPT1;RPLP1;HLA-E;RPL34;RPL18;RPLP2;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS5;RPL27;RPS11;RPL28;RPL38;RPS29;RPL14;RPS20;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPSA;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;EIF1;TXNIP;RPS27;RPS15A;RPL30;RPL5;RPL37;RPL41;RPS23;PTMA;RPL10A;RPL21;EEF1A1;RPL12;B2M;TMSB4X;DDX5;RPL15;EEF1B2;CD69;RPL26,"[50, 245, 1012, 1034, 1219, 1239, 1382, 1679, 2297, 2336, 2583, 2683, 2707, 2741, 2908, 3066, 3110, 3161, 3204, 3240, 3273, 3274, 3341, 3446, 3464, 3478, 3513, 3549, 3661, 3685, 3894, 3907, 3938, 3947, 4056, 4093, 4125, 4163, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4800, 4803, 4863, 4864, 4883, 4925, 5014, 5032, 5044, 5174, 5294, 5363, 5365, 5472, 5574, 5739, 5753, 5993, 6030, 6075, 6213, 6566, 6735, 7036, 7111, 7173, 7718, 8419, 8759, 8993, 9867, 10085, 11512, 16391, 16730]",Tabula_Sapiens__Kidney-cd4-positive Helper T Cell
Tabula_Sapiens,Thymus-vein Endothelial Cell,prerank,0.5584041676215346,2.212439209345292,0.0,0.0,0.0,64_88,64/88,33.18%,MT2A;NFKBIA;CD74;IFITM3;FOS;VIM;RPS21;ZFP36;VWF;RPL36;RPS19;HSP90AB1;RPS15;RPS16;TPT1;RPLP1;HLA-E;FTL;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;ADAMTS1;RPL8;TMSB10;RPS5;RPL28;RPS29;RPL14;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPS18;RPL32;RPL19;RPS13;RPS9;RPL11;NACA;RPS4X;RPL39;FAU;GSN;RPS2;EIF1;TXNIP;RPS27;GAPDH,MT2A;NFKBIA;CD74;IFITM3;FOS;VIM;RPS21;ZFP36;VWF;RPL36;RPS19;HSP90AB1;RPS15;RPS16;TPT1;RPLP1;HLA-E;FTL;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;ADAMTS1;RPL8;TMSB10;RPS5;RPL28;RPS29;RPL14;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPS18;RPL32;RPL19;RPS13;RPS9;RPL11;NACA;RPS4X;RPL39;FAU;GSN;RPS2;EIF1;TXNIP;RPS27;GAPDH;RPS15A;RPL30;RPL5;RPL37;RPLP0;RPL41;RPS23;PTMA;RPL10A;RPL21;EEF1A1;FTH1;SPARCL1;RPL12;PLVAP;B2M;TMSB4X;MGP;FABP4;RPL15;ITM2B;IGFBP7;ACTG1;RPL26,"[145, 438, 908, 970, 1219, 1399, 1679, 1852, 1921, 2297, 2336, 2454, 2583, 2683, 2707, 2741, 2908, 3009, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3464, 3478, 3513, 3516, 3549, 3661, 3685, 3938, 4056, 4093, 4163, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4800, 4803, 4864, 4883, 4925, 5044, 5174, 5294, 5363, 5365, 5373, 5472, 5574, 5739, 5753, 5812, 5993, 6030, 6075, 6213, 6265, 6566, 6735, 7036, 7111, 7173, 7718, 7728, 7992, 8419, 8694, 8759, 8993, 9257, 9876, 10085, 11214, 11361, 11600, 16730]",Tabula_Sapiens__Thymus-vein Endothelial Cell
Tabula_Sapiens,Mammary-pericyte Cell,prerank,0.5540947694096039,2.2075673198822265,0.0,0.0,0.0,54_88,54/88,28.12%,DDIT4;MT2A;CEBPD;PLIN2;PDGFRB;IFITM3;BTG1;VIM;TIMP1;TFPI;SERPINE1;PDK4;RPL36;RPS19;RPS15;TIMP3;RPS16;TPT1;RPLP1;FTL;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPS5;RPS11;RPL28;RPL14;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9,DDIT4;MT2A;CEBPD;PLIN2;PDGFRB;IFITM3;BTG1;VIM;TIMP1;TFPI;SERPINE1;PDK4;RPL36;RPS19;RPS15;TIMP3;RPS16;TPT1;RPLP1;FTL;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPS5;RPS11;RPL28;RPL14;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL11;RPS4X;RPL39;FAU;RPS2;EIF1;RPS27;GAPDH;RPS15A;RPL30;RPL5;CALD1;RPL37;RPLP0;CST3;RPL41;RPS23;AKAP12;PTMA;RPL10A;RPL21;EEF1A1;FTH1;RPL12;COL4A2;B2M;TMSB4X;EEF2;LDHA;RPL15;IGFBP7;COL4A1;ADAMTS4;RPL26,"[17, 145, 312, 537, 646, 970, 1239, 1399, 1515, 1966, 1969, 2104, 2297, 2336, 2583, 2602, 2683, 2707, 2741, 3009, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3464, 3478, 3513, 3549, 3685, 3907, 3938, 4093, 4163, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4601, 4603, 4699, 4751, 4800, 4803, 4863, 4864, 4883, 4925, 5044, 5294, 5363, 5365, 5472, 5574, 5753, 5812, 5993, 6030, 6075, 6176, 6213, 6265, 6273, 6566, 6735, 6752, 7036, 7111, 7173, 7718, 7728, 8419, 8521, 8759, 8993, 9092, 9695, 10085, 11361, 11830, 16093, 16730]",Tabula_Sapiens__Mammary-pericyte Cell
Tabula_Sapiens,Blood-monocyte,prerank,0.5954854525213329,2.3940646971700597,0.0,0.0,0.0,65_88,65/88,30.63%,S100A8;S100A4;CYBA;LYZ;TYROBP;S100A9;S100A11;S100A6;VIM;S100A10;RPS21;CTSS;RPL36;RPS19;RPS15;RPS16;LGALS1;TPT1;RPLP1;SH3BGRL3;COTL1;FTL;RPL34;OAZ1;RPL18;RPLP2;VCAN;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS11;RPL28;RPS29;RPL14;RPS20;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS14;RPL7A;RPL29;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU,S100A8;S100A4;CYBA;LYZ;TYROBP;S100A9;S100A11;S100A6;VIM;S100A10;RPS21;CTSS;RPL36;RPS19;RPS15;RPS16;LGALS1;TPT1;RPLP1;SH3BGRL3;COTL1;FTL;RPL34;OAZ1;RPL18;RPLP2;VCAN;RPL9;RPS8;HLA-B;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;TMSB10;RPS11;RPL28;RPS29;RPL14;RPS20;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS14;RPL7A;RPL29;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;EIF1;TXNIP;RPS27;GAPDH;RPS15A;RPL30;RPL5;AIF1;RPL37;CST3;RPL41;RPS23;PTMA;RPL21;EEF1A1;FTH1;RPL12;B2M;TMSB4X;RPL15;ACTG1;RPL26,"[157, 245, 470, 574, 656, 820, 1102, 1299, 1399, 1551, 1679, 1687, 2297, 2336, 2583, 2683, 2686, 2707, 2741, 2777, 2856, 3009, 3066, 3070, 3110, 3161, 3195, 3204, 3240, 3273, 3274, 3341, 3464, 3478, 3513, 3549, 3661, 3907, 3938, 4056, 4093, 4125, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4601, 4603, 4699, 4800, 4803, 4863, 4864, 4883, 4925, 5032, 5044, 5174, 5294, 5363, 5365, 5472, 5574, 5739, 5753, 5812, 5993, 6030, 6075, 6152, 6213, 6273, 6566, 6735, 7036, 7173, 7718, 7728, 8419, 8759, 8993, 10085, 11600, 16730]",Tabula_Sapiens__Blood-monocyte
Tabula_Sapiens,Prostate-cd8b-positive Nk T Cell,prerank,0.5947822440921826,2.375139959747556,0.0,0.0,0.0,67_88,67/88,31.82%,HSPA1A;HSPA1B;DNAJB1;CXCR4;HSP90AA1;IL7R;TSC22D3;SRGN;DNAJA1;BTG1;RPS21;RPL36;RPS19;JUN;HSP90AB1;RPS15;RPS16;TPT1;RPLP1;FTL;JUND;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPS5;RPS11;RPL28;RPS29;RPL14;RPS20;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;CCL5;EIF1,HSPA1A;HSPA1B;DNAJB1;CXCR4;HSP90AA1;IL7R;TSC22D3;SRGN;DNAJA1;BTG1;RPS21;RPL36;RPS19;JUN;HSP90AB1;RPS15;RPS16;TPT1;RPLP1;FTL;JUND;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS28;RPL13A;RPL37A;RPL8;RPS5;RPS11;RPL28;RPS29;RPL14;RPS20;RPL35;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL27A;RPL11;NACA;RPS4X;RPL39;FAU;RPS2;CCL5;EIF1;TXNIP;RPS27;RPS15A;RPL30;RPL5;RPL37;RPL41;RPS23;PTMA;RPL10A;RPL21;EEF1A1;HSPA8;GNLY;RPL12;B2M;TMSB4X;RPL15;CCL4;CD69;RPL26,"[2, 7, 8, 50, 996, 1012, 1034, 1146, 1202, 1239, 1679, 2297, 2336, 2405, 2454, 2583, 2683, 2707, 2741, 3009, 3051, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3464, 3478, 3513, 3549, 3685, 3907, 3938, 4056, 4093, 4125, 4163, 4202, 4212, 4220, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4800, 4803, 4863, 4864, 4883, 4925, 5032, 5044, 5174, 5294, 5363, 5365, 5472, 5546, 5574, 5739, 5753, 5993, 6030, 6075, 6213, 6566, 6735, 7036, 7111, 7173, 7718, 7892, 8051, 8419, 8759, 8993, 10085, 10797, 16391, 16730]",Tabula_Sapiens__Prostate-cd8b-positive Nk T Cell
Tabula_Sapiens,Bone Marrow-monocyte,prerank,0.609447441182753,2.452633714681788,0.0,0.0,0.0,62_89,62/89,28.85%,S100A12;IL1R2;S100A8;S100A4;NFKBIA;LYZ;CD163;S100A9;CD74;SRGN;FOS;S100A6;VIM;S100A10;RPS21;CTSS;RPS19;JUN;RPS15;LGALS1;TPT1;RPLP1;SH3BGRL3;FTL;RPL34;OAZ1;RPL18;RPLP2;VCAN;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;KLF6;RPL8;TMSB10;RPS11;RPL28;RPL38;RPS29;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPS7;RPS3A;RPS14;RPL7A;RPL29;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL11;ANXA1,S100A12;IL1R2;S100A8;S100A4;NFKBIA;LYZ;CD163;S100A9;CD74;SRGN;FOS;S100A6;VIM;S100A10;RPS21;CTSS;RPS19;JUN;RPS15;LGALS1;TPT1;RPLP1;SH3BGRL3;FTL;RPL34;OAZ1;RPL18;RPLP2;VCAN;RPS8;HLA-B;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;KLF6;RPL8;TMSB10;RPS11;RPL28;RPL38;RPS29;RPL35A;RPS24;RPL6;RPS6;RPS27A;RPS7;RPS3A;RPS14;RPL7A;RPL29;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL11;ANXA1;RPS4X;RPL39;FAU;RPS2;TXNIP;RPS27;GAPDH;RPS15A;RPL30;AIF1;RPL37;CST3;PABPC1;RPL41;RPS23;PTMA;RPL21;EEF1A1;FTH1;RPL12;B2M;TMSB4X;MNDA;RPL15;EREG;ACTG1;RPL26,"[11, 33, 157, 245, 438, 574, 818, 820, 908, 1146, 1219, 1299, 1399, 1551, 1679, 1687, 2336, 2405, 2583, 2686, 2707, 2741, 2777, 3009, 3066, 3070, 3110, 3161, 3195, 3240, 3273, 3274, 3341, 3446, 3464, 3478, 3513, 3544, 3549, 3661, 3907, 3938, 3947, 4056, 4202, 4212, 4220, 4340, 4464, 4486, 4491, 4601, 4603, 4699, 4800, 4803, 4863, 4864, 4883, 4925, 5044, 5053, 5294, 5363, 5365, 5472, 5739, 5753, 5812, 5993, 6030, 6152, 6213, 6273, 6350, 6566, 6735, 7036, 7173, 7718, 7728, 8419, 8759, 8993, 9168, 10085, 11223, 11600, 16730]",Tabula_Sapiens__Bone Marrow-monocyte
