TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp.biocarta,BIOCARTA_INFLAM_PATHWAY,prerank,0.704846588848096,2.1149553274254567,0.0,0.009589530489066056,0.006,11_21,11/21,8.72%,CSF1;CD4;HLA-DRB5;HLA-DRB1;TGFB1;CSF3;IL6;HLA-DRA;TGFB2;TGFB3;TNF,CSF1;CD4;HLA-DRB5;HLA-DRB1;TGFB1;CSF3;IL6;HLA-DRA;TGFB2;TGFB3;TNF;IL15;IL10;PDGFA;IL11;IL13;IL4;IFNA1;IL1A;IL7;IL5,"[185, 463, 542, 558, 664, 665, 719, 855, 972, 978, 1526, 3762, 6118, 7605, 8126, 8393, 9155, 10376, 14936, 15968, 16971]",c2.cp.biocarta__BIOCARTA_INFLAM_PATHWAY
c2.cp.biocarta,BIOCARTA_ASBCELL_PATHWAY,prerank,0.811334183809753,1.9908271553153751,0.0,0.010988003685388189,0.046,6_10,6/10,9.39%,CD4;HLA-DRB5;HLA-DRB1;HLA-DRA;CD80;CD40,CD4;HLA-DRB5;HLA-DRB1;HLA-DRA;CD80;CD40;IL10;IL4;FAS;CD28,"[463, 542, 558, 855, 1256, 1644, 6118, 9155, 10342, 11843]",c2.cp.biocarta__BIOCARTA_ASBCELL_PATHWAY
c2.cp.biocarta,BIOCARTA_BLYMPHOCYTE_PATHWAY,prerank,0.7987976026613939,2.0757079496875086,0.001976284584980237,0.011187785570577063,0.013,11_12,11/12,13.83%,FCGR2B;ITGB2;HLA-DRB5;HLA-DRB1;ICAM1;HLA-DRA;CD80;CD40;ITGAL;CR1;PTPRC,FCGR2B;ITGB2;HLA-DRB5;HLA-DRB1;ICAM1;HLA-DRA;CD80;CD40;ITGAL;CR1;PTPRC;CR2,"[180, 507, 542, 558, 847, 855, 1256, 1644, 1702, 2413, 2422, 15881]",c2.cp.biocarta__BIOCARTA_BLYMPHOCYTE_PATHWAY
c2.cp.biocarta,BIOCARTA_STRESS_PATHWAY,prerank,0.6502655053345696,1.969658938654264,0.0,0.011365369468522733,0.055,12_23,12/23,23.40%,RELA;NFKBIA;TNFRSF1A;MAP2K3;TRAF2;TNF;JUN;IKBKB;ATF1;TRADD;NFKB1;RIPK1,RELA;NFKBIA;TNFRSF1A;MAP2K3;TRAF2;TNF;JUN;IKBKB;ATF1;TRADD;NFKB1;RIPK1;CASP2;MAP3K1;MAPK14;IKBKG;MAP2K6;MAP2K4;MAP4K2;CRADD;TANK;CHUK;MAPK8,"[401, 438, 465, 1025, 1193, 1526, 2405, 3163, 3239, 3997, 4057, 4099, 6168, 7092, 7542, 7641, 7669, 8171, 8476, 9024, 10158, 10904, 13764]",c2.cp.biocarta__BIOCARTA_STRESS_PATHWAY
c2.cp.biocarta,BIOCARTA_P53HYPOXIA_PATHWAY,prerank,0.6745407858108953,2.0295362734905087,0.0,0.011587349340954815,0.027,6_21,6/21,8.61%,HSPA1A;DNAJB1;HIC1;CDKN1A;HSP90AA1;NQO1,HSPA1A;DNAJB1;HIC1;CDKN1A;HSP90AA1;NQO1;ABCB1;BAX;NFKBIB;AKT1;GADD45A;RPA1;EP300;IGFBP3;HIF1A;FHL2;TP53;ATM;MDM2;MAPK8;TAF1,"[2, 8, 124, 715, 996, 1507, 2773, 2888, 3587, 5056, 6156, 7252, 7366, 7422, 8186, 8700, 8757, 11714, 13617, 13764, 14800]",c2.cp.biocarta__BIOCARTA_P53HYPOXIA_PATHWAY
c2.cp.biocarta,BIOCARTA_THELPER_PATHWAY,prerank,0.7655116057317315,1.9619939773407582,0.001953125,0.011667262095030368,0.063,8_11,8/11,16.91%,CD4;ITGB2;ICAM1;CD2;CD3E;ITGAL;PTPRC;CD247,CD4;ITGB2;ICAM1;CD2;CD3E;ITGAL;PTPRC;CD247;THY1;CD3G;CD28,"[463, 507, 847, 933, 1555, 1702, 2422, 2961, 6446, 9585, 11843]",c2.cp.biocarta__BIOCARTA_THELPER_PATHWAY
c2.cp.biocarta,BIOCARTA_TCRA_PATHWAY,prerank,0.7982206445969279,2.0083872876137843,0.0,0.011986913111332568,0.04,10_11,10/11,18.92%,LCK;CD4;HLA-DRB5;HLA-DRB1;HLA-DRA;CD3E;ZAP70;PTPRC;CD247;FYN,LCK;CD4;HLA-DRB5;HLA-DRB1;HLA-DRA;CD3E;ZAP70;PTPRC;CD247;FYN;CD3G,"[292, 463, 542, 558, 855, 1555, 1939, 2422, 2961, 3313, 9585]",c2.cp.biocarta__BIOCARTA_TCRA_PATHWAY
c2.cp.biocarta,BIOCARTA_NTHI_PATHWAY,prerank,0.6609574602624877,1.9932682142049098,0.002061855670103093,0.0125577184975865,0.046,13_21,13/21,23.16%,RELA;NFKBIA;MAP2K3;TNF;TGFBR2;MAPK11;IL1B;DUSP1;CREBBP;IKBKB;MYD88;SMAD4;NFKB1,RELA;NFKBIA;MAP2K3;TNF;TGFBR2;MAPK11;IL1B;DUSP1;CREBBP;IKBKB;MYD88;SMAD4;NFKB1;TGFBR1;SMAD3;EP300;MAPK14;MAP2K6;MAP3K7;CHUK;NR3C1,"[401, 438, 1025, 1526, 2124, 2200, 2654, 2914, 3077, 3163, 3306, 3853, 4057, 5314, 5959, 7366, 7542, 7669, 9199, 10904, 12532]",c2.cp.biocarta__BIOCARTA_NTHI_PATHWAY
c2.cp.biocarta,BIOCARTA_IL1R_PATHWAY,prerank,0.6367318344038166,2.01091237394907,0.0,0.013425342684692478,0.038,17_29,17/29,19.19%,RELA;NFKBIA;TGFB1;IL6;IL1RN;IRAK3;TGFB2;TGFB3;MAP2K3;IRAK2;TNF;JUN;IL1B;IKBKB;IRAK1;MYD88;IL1R1,RELA;NFKBIA;TGFB1;IL6;IL1RN;IRAK3;TGFB2;TGFB3;MAP2K3;IRAK2;TNF;JUN;IL1B;IKBKB;IRAK1;MYD88;IL1R1;NFKB1;MAP3K1;MAPK14;MAP2K6;MAP3K7;IFNA1;CHUK;TRAF6;TAB1;MAPK8;IL1RAP;IL1A,"[401, 438, 664, 719, 793, 950, 972, 978, 1025, 1247, 1526, 2405, 2654, 3163, 3238, 3306, 3361, 4057, 7092, 7542, 7669, 9199, 10376, 10904, 11426, 12654, 13764, 14062, 14936]",c2.cp.biocarta__BIOCARTA_IL1R_PATHWAY
c2.cp.biocarta,BIOCARTA_TID_PATHWAY,prerank,0.708416150375634,2.033667935691181,0.0,0.01438429573359908,0.025,6_18,6/18,8.72%,HSPA1A;RELA;NFKBIA;TNFRSF1A;TNFRSF1B;TNF,HSPA1A;RELA;NFKBIA;TNFRSF1A;TNFRSF1B;TNF;IFNGR2;IKBKB;NFKB1;IFNGR1;TAX1BP3;TP53;JAK2;DNAJA3;RB1;LIN7A;WT1;USH1C,"[2, 401, 438, 465, 525, 1526, 2560, 3163, 4057, 5652, 7522, 8757, 8819, 9245, 9270, 9805, 10831, 13074]",c2.cp.biocarta__BIOCARTA_TID_PATHWAY
c2.cp.biocarta,BIOCARTA_TH1TH2_PATHWAY,prerank,0.6742578298915141,1.92433650737482,0.0,0.01627314264811209,0.094,8_17,8/17,9.39%,IL4R;IL18;HLA-DRB5;HLA-DRB1;CD86;HLA-DRA;IL18R1;CD40,IL4R;IL18;HLA-DRB5;HLA-DRB1;CD86;HLA-DRA;IL18R1;CD40;IFNGR2;NR1I2;IFNGR1;IL12B;IL4;IL12A;CD28;IL12RB1;IL12RB2,"[222, 366, 542, 558, 827, 855, 1289, 1644, 2560, 5117, 5652, 5684, 9155, 11372, 11843, 13309, 15565]",c2.cp.biocarta__BIOCARTA_TH1TH2_PATHWAY
