TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp,REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,prerank,0.75271914015088,2.551926778352219,0.0,0.0,0.0,19_37,19/37,14.01%,HSPA6;HSPA1A;HSPB1;SERPINH1;HSPA1B;DNAJB1;FKBP4;HSPA1L;DEDD2;HSPB2;HSPH1;CRYAB;HSP90AA1;HSF1;MRPL18;HSPB8;DNAJB6;AKT1S1;HSP90AB1,HSPA6;HSPA1A;HSPB1;SERPINH1;HSPA1B;DNAJB1;FKBP4;HSPA1L;DEDD2;HSPB2;HSPH1;CRYAB;HSP90AA1;HSF1;MRPL18;HSPB8;DNAJB6;AKT1S1;HSP90AB1;PTGES3;CREBBP;CAMK2B;CRYBA4;UBB;MLST8;HSPA2;CAMK2G;RPTOR;EP300;HSPA8;HSBP1;CAMK2A;MTOR;TNFRSF21;COL4A6;RLN1;CAMK2D,"[0, 2, 4, 5, 7, 8, 331, 445, 630, 704, 718, 969, 996, 1655, 1854, 2046, 2051, 2415, 2454, 2982, 3077, 4042, 4940, 5432, 5866, 6101, 6757, 7322, 7366, 7892, 8986, 9057, 11465, 12698, 12870, 12903, 13921]",c2.cp__REACTOME_HSF1_DEPENDENT_TRANSACTIVATION
c2.cp,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,prerank,0.5420372035857857,2.4621024889305905,0.0,0.0,0.0,80_194,80/194,14.78%,IL1R2;IFNA2;CXCL6;CXCR4;TNFSF14;PPBP;CXCR1;CXCR2;CSF1;IL17RB;LTA;TNFRSF11B;IL4R;TNFRSF12A;BMP5;IL2RG;GDF15;TNFRSF4;LIF;TNFRSF10A;IL18;TNFRSF1A;BMP4;EPOR;CXCL11;TNFRSF1B;CCL20;IL27;IL15RA;CLCF1;CXCL1;CCL2;TGFB1;CSF3;LTBR;CXCL9;CCR2;IL6;IL1RN;CSF3R;CXCL3;TNFRSF10B;CCL26;TGFB2;CSF1R;TGFB3;IL9;TNFRSF10C;IL7R;TPO;INHBB;CNTFR;ACVRL1;IL18R1;TNFRSF25;CXCL16;BMP6;TNF;IFNL3;IL6R;CD40;CXCL10;EDA;IL10RA;CCL22;INHBE;CCR1;IL18RAP;NGF;IL27RA;IL10RB;TGFBR2;TNFSF12;IL17B;IL21R;CCR5;BMP7;IFNGR2;AMH;CXCL5,IL1R2;IFNA2;CXCL6;CXCR4;TNFSF14;PPBP;CXCR1;CXCR2;CSF1;IL17RB;LTA;TNFRSF11B;IL4R;TNFRSF12A;BMP5;IL2RG;GDF15;TNFRSF4;LIF;TNFRSF10A;IL18;TNFRSF1A;BMP4;EPOR;CXCL11;TNFRSF1B;CCL20;IL27;IL15RA;CLCF1;CXCL1;CCL2;TGFB1;CSF3;LTBR;CXCL9;CCR2;IL6;IL1RN;CSF3R;CXCL3;TNFRSF10B;CCL26;TGFB2;CSF1R;TGFB3;IL9;TNFRSF10C;IL7R;TPO;INHBB;CNTFR;ACVRL1;IL18R1;TNFRSF25;CXCL16;BMP6;TNF;IFNL3;IL6R;CD40;CXCL10;EDA;IL10RA;CCL22;INHBE;CCR1;IL18RAP;NGF;IL27RA;IL10RB;TGFBR2;TNFSF12;IL17B;IL21R;CCR5;BMP7;IFNGR2;AMH;CXCL5;IL1RL1;IL23A;TNFSF13B;IL13RA1;IL34;BMPR1B;NGFR;GDF10;IL1R1;CXCL13;GDF11;IL17RC;TNFRSF14;IL15;CCL25;CXCL2;TNFRSF17;ANP32B;CCR9;IL11RA;TNFSF9;MSTN;LEPR;IL17D;IL20RB;IL17RA;TGFBR1;IL20RA;CCL5;IFNGR1;IL6ST;NFIC;TNFRSF19;LTB;IL10;XCL1;TNFRSF18;LIFR;BMPR1A;GDF6;CCR10;GHR;CCL3;CX3CR1;CCL4L2;IL22RA1;CSF2RB;CX3CL1;ACVR1B;RELT;GDF5;IL11;PF4;IL13;TNFSF4;BMP8B;IL4;IFNAR1;EDA2R;CCL28;IFNAR2;ACVR2A;BMPR2;CXCR6;CXCL14;FAS;IL24;BMP3;CCL4;CD70;CNTF;ACVR1;EPO;IL1RL2;IFNW1;INHBC;GDF9;TNFRSF11A;IFNLR1;TSLP;CD27;TNFRSF13C;CCR7;TNFRSF21;IL17C;INHA;IL12RB1;CCL8;IFNL1;IL1RAP;IL36G;GDF7;CCR6;IL33;IL1A;IL25;TNFSF10;CCL1;EDAR;PRLR;IL12RB2;CXCL12;IL7;NODAL;IL5RA;IL2RB;TNFRSF8;ACVR1C;IL5;INHBA;CCL19;ACVR2B;IL13RA2;MPL,"[33, 38, 46, 50, 60, 65, 142, 169, 185, 192, 209, 216, 222, 251, 257, 264, 325, 335, 352, 363, 366, 465, 483, 484, 511, 525, 561, 577, 589, 592, 594, 636, 664, 665, 679, 692, 711, 719, 793, 848, 873, 900, 913, 972, 973, 978, 995, 1007, 1012, 1080, 1148, 1224, 1232, 1289, 1360, 1455, 1492, 1526, 1553, 1632, 1644, 1647, 1697, 1728, 1738, 1859, 1907, 1930, 1990, 2078, 2113, 2124, 2129, 2179, 2346, 2393, 2536, 2560, 2585, 2588, 2840, 3039, 3052, 3069, 3071, 3189, 3192, 3310, 3361, 3388, 3510, 3518, 3651, 3762, 3814, 3816, 3818, 4144, 4219, 4359, 4374, 4498, 4592, 4898, 5266, 5292, 5314, 5409, 5546, 5652, 5726, 5820, 5926, 6057, 6118, 6469, 6535, 6638, 6667, 6789, 7107, 7125, 7409, 7438, 7512, 7534, 7897, 7987, 8050, 8078, 8121, 8126, 8298, 8393, 8505, 8875, 9155, 9159, 9446, 9509, 9657, 9698, 9942, 10133, 10280, 10342, 10727, 10771, 10797, 10811, 11175, 11255, 11631, 11687, 11701, 12045, 12095, 12165, 12204, 12394, 12505, 12512, 12666, 12698, 12789, 12859, 13309, 13457, 13767, 14062, 14229, 14276, 14555, 14708, 14936, 15154, 15232, 15342, 15487, 15519, 15565, 15960, 15968, 16015, 16261, 16545, 16935, 16946, 16971, 17099, 17102, 17133, 17146, 17192]",c2.cp__WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION
c2.cp,WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,prerank,0.7888640082287499,2.3960552742145977,0.0,0.0,0.0,15_23,15/23,10.10%,BAG3;CXCR4;CSF1;HLA-DRB1;IFITM2;CCL2;TGFB1;CCR2;CD86;HLA-DRA;VEGFA;CSF1R;CD80;CXCL10;LAG3,BAG3;CXCR4;CSF1;HLA-DRB1;IFITM2;CCL2;TGFB1;CCR2;CD86;HLA-DRA;VEGFA;CSF1R;CD80;CXCL10;LAG3;CCR5;CCL5;NRP1;ITGB6;CTLA4;FAS;KDR;CXCL12,"[15, 50, 185, 558, 633, 636, 664, 711, 827, 855, 930, 973, 1256, 1647, 1769, 2393, 5546, 6343, 10001, 10060, 10342, 11145, 15960]",c2.cp__WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT
c2.cp,WP_APOPTOSIS_MODULATION_AND_SIGNALING,prerank,0.6177111514781997,2.4593201852982514,0.0,0.0,0.0,48_83,48/83,23.40%,HSPA1A;BAG3;TNFRSF10D;IL1R2;CASP7;TNFRSF10A;CASP4;NFKBIA;TNFRSF1A;TNFRSF1B;CASP1;TNFRSF10B;TNFRSF10C;BCL2A1;FOS;BIRC3;TNFRSF25;MCL1;BID;BMF;BCL2;CASP6;BIRC7;PMAIP1;BCL2L10;DAXX;MAPK3;JUN;BIRC5;CDKN2A;AIFM2;BCL2L1;BAX;BOK;IKBKB;BAD;IRAK1;MYD88;CASP10;IL1R1;FADD;PRKD1;BBC3;BIK;TRADD;NFKB1;BCL2L11;RIPK1,HSPA1A;BAG3;TNFRSF10D;IL1R2;CASP7;TNFRSF10A;CASP4;NFKBIA;TNFRSF1A;TNFRSF1B;CASP1;TNFRSF10B;TNFRSF10C;BCL2A1;FOS;BIRC3;TNFRSF25;MCL1;BID;BMF;BCL2;CASP6;BIRC7;PMAIP1;BCL2L10;DAXX;MAPK3;JUN;BIRC5;CDKN2A;AIFM2;BCL2L1;BAX;BOK;IKBKB;BAD;IRAK1;MYD88;CASP10;IL1R1;FADD;PRKD1;BBC3;BIK;TRADD;NFKB1;BCL2L11;RIPK1;MAP3K5;PEA15;DFFB;PTRH2;CASP2;CAPNS1;BIRC2;CFLAR;CASP9;TOLLIP;HTRA2;DFFA;TRAF3;BAK1;TP53;CRADD;ENDOG;XIAP;MADD;FAS;AIFM1;PTPN13;CASP8;TRAF6;APAF1;BNIP3;CASP3;BCL2L2;CYCS;NAIP;HRK;MAPK8;DIABLO;TNFSF10;BLK,"[2, 15, 26, 33, 263, 363, 394, 438, 465, 525, 580, 900, 1007, 1133, 1219, 1351, 1360, 1560, 1667, 1929, 1935, 2147, 2182, 2205, 2292, 2350, 2396, 2405, 2532, 2543, 2838, 2851, 2888, 2972, 3163, 3228, 3238, 3306, 3353, 3361, 3465, 3703, 3828, 3914, 3997, 4057, 4089, 4099, 4683, 5340, 5586, 6012, 6168, 6549, 6635, 6908, 6927, 7314, 7337, 7685, 7749, 8374, 8757, 9024, 9035, 9351, 10289, 10342, 10367, 10692, 11055, 11426, 11485, 11691, 11745, 12028, 12163, 12297, 12663, 13764, 14118, 15232, 16162]",c2.cp__WP_APOPTOSIS_MODULATION_AND_SIGNALING
c2.cp,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,prerank,0.5555718512352172,2.540028167032137,0.0,0.0,0.0,86_202,86/202,15.16%,TNFRSF10D;IL1R2;IFNA2;CXCL6;CXCR4;TNFSF14;PPBP;CCL17;CXCR1;CXCR2;CSF1;IL17RB;LTA;TNFRSF11B;IL4R;TNFRSF12A;IL2RG;TNFRSF4;LIF;TNFRSF10A;IL18;HGF;TNFRSF1A;EPOR;CXCL11;TNFRSF1B;CCL20;IL15RA;CLCF1;CXCL1;CCL2;PDGFRB;TGFB1;CSF3;LTBR;CXCL9;FLT4;CCR2;IL6;CSF3R;CXCL3;FLT3LG;TNFRSF10B;CCL26;VEGFA;TGFB2;CSF1R;TGFB3;IL9;TNFRSF10C;IL7R;TPO;FLT1;INHBB;CNTFR;ACVRL1;IL18R1;TNFRSF25;CXCL16;TNF;IFNL3;OSMR;IL6R;CD40;CXCL10;EDA;IL10RA;CCL22;INHBE;EGFR;CCR1;IL18RAP;PLEKHO2;IL10RB;TGFBR2;TNFSF12;IL17B;IL21R;CCR5;CTF1;VEGFB;BMP7;IFNGR2;AMH;CXCL5;IL1B,TNFRSF10D;IL1R2;IFNA2;CXCL6;CXCR4;TNFSF14;PPBP;CCL17;CXCR1;CXCR2;CSF1;IL17RB;LTA;TNFRSF11B;IL4R;TNFRSF12A;IL2RG;TNFRSF4;LIF;TNFRSF10A;IL18;HGF;TNFRSF1A;EPOR;CXCL11;TNFRSF1B;CCL20;IL15RA;CLCF1;CXCL1;CCL2;PDGFRB;TGFB1;CSF3;LTBR;CXCL9;FLT4;CCR2;IL6;CSF3R;CXCL3;FLT3LG;TNFRSF10B;CCL26;VEGFA;TGFB2;CSF1R;TGFB3;IL9;TNFRSF10C;IL7R;TPO;FLT1;INHBB;CNTFR;ACVRL1;IL18R1;TNFRSF25;CXCL16;TNF;IFNL3;OSMR;IL6R;CD40;CXCL10;EDA;IL10RA;CCL22;INHBE;EGFR;CCR1;IL18RAP;PLEKHO2;IL10RB;TGFBR2;TNFSF12;IL17B;IL21R;CCR5;CTF1;VEGFB;BMP7;IFNGR2;AMH;CXCL5;IL1B;IFNA13;IL23A;TNFSF13B;IL13RA1;BMPR1B;NGFR;IL1R1;CXCL13;OSM;EGF;TNFRSF14;IL15;CCL25;CXCL2;TNFRSF17;TNFSF8;CCR9;IL11RA;TNFSF9;PDGFC;IFNA21;LEPR;TNFSF13;IL20RB;IL17RA;TGFBR1;IL20RA;CCL5;IFNGR1;IL12B;IL6ST;TNFRSF19;VEGFC;LTB;IL10;XCL1;TNFRSF18;LIFR;IFNE;BMPR1A;PDGFB;CCR10;GHR;CCL3;CX3CR1;CCL4L2;IL22RA1;PDGFA;CSF2RB;CX3CL1;ACVR1B;RELT;GDF5;IL11;PF4;IL13;TNFSF4;IL4;IFNAR1;EDA2R;CCL28;IFNAR2;ACVR2A;BMPR2;CXCR6;CXCL14;FAS;IFNA1;IL24;PDGFRA;CCL4;CD70;KDR;CNTF;ACVR1;BMP2;IL12A;IFNA8;EPO;IFNW1;INHBC;TNFRSF11A;IFNLR1;IFNA6;TSLP;CD27;TNFRSF13C;CCR7;TNFRSF21;IL12RB1;CCL8;IFNL1;KITLG;IL1RAP;CCR6;TNFSF18;IL1A;IL25;TNFSF10;MET;CCL1;EDAR;PRLR;IL12RB2;CXCL12;IL7;IL5RA;KIT;IL2RB;TNFRSF8;IL5;INHBA;CCL19;ACVR2B;MPL;FLT3,"[26, 33, 38, 46, 50, 60, 65, 67, 142, 169, 185, 192, 209, 216, 222, 251, 264, 335, 352, 363, 366, 374, 465, 484, 511, 525, 561, 589, 592, 594, 636, 646, 664, 665, 679, 692, 701, 711, 719, 848, 873, 883, 900, 913, 930, 972, 973, 978, 995, 1007, 1012, 1080, 1094, 1148, 1224, 1232, 1289, 1360, 1455, 1526, 1553, 1558, 1632, 1644, 1647, 1697, 1728, 1738, 1859, 1890, 1907, 1930, 2053, 2113, 2124, 2129, 2179, 2346, 2393, 2407, 2475, 2536, 2560, 2585, 2588, 2654, 2889, 3039, 3052, 3069, 3189, 3192, 3361, 3388, 3455, 3525, 3651, 3762, 3814, 3816, 3818, 3935, 4219, 4359, 4374, 4382, 4584, 4592, 4642, 5266, 5292, 5314, 5409, 5546, 5652, 5684, 5726, 5926, 6029, 6057, 6118, 6469, 6535, 6638, 6643, 6667, 6686, 7107, 7125, 7409, 7438, 7512, 7534, 7605, 7897, 7987, 8050, 8078, 8121, 8126, 8298, 8393, 8505, 9155, 9159, 9446, 9509, 9657, 9698, 9942, 10133, 10280, 10342, 10376, 10727, 10756, 10797, 10811, 11145, 11175, 11255, 11288, 11372, 11566, 11631, 11701, 12045, 12165, 12204, 12258, 12394, 12505, 12512, 12666, 12698, 13309, 13457, 13767, 13937, 14062, 14555, 14890, 14936, 15154, 15232, 15339, 15342, 15487, 15519, 15565, 15960, 15968, 16261, 16477, 16545, 16935, 16971, 17099, 17102, 17133, 17192, 17410]",c2.cp__KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
c2.cp,WP_COMPLEMENT_AND_COAGULATION_CASCADES,prerank,0.6608331991247605,2.412189712964866,0.0,0.0,0.0,31_55,31/55,14.89%,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;CFB;CLU;PROC;F10;CFH;KLKB1;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;SERPING1;CR1;THBD;C8G,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;CFB;CLU;PROC;F10;CFH;KLKB1;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;SERPING1;CR1;THBD;C8G;C1S;F12;PLAU;C9;PLAT;F2;CD55;F2R;PROS1;BDKRB1;KNG1;LMAN1;PLG;CPB2;F5;F3;MASP1;F8;CD46;CLTC;MASP2;CR2;C6;F7,"[121, 164, 178, 196, 280, 295, 340, 349, 367, 399, 459, 497, 535, 554, 742, 751, 782, 817, 967, 968, 1107, 1145, 1505, 1909, 1921, 1966, 1969, 2181, 2413, 2546, 2608, 3007, 3527, 3981, 4373, 5388, 7278, 7327, 7732, 8219, 9088, 9160, 9969, 11564, 11762, 12241, 13150, 13721, 13730, 14057, 14540, 15416, 15881, 15917, 16191]",c2.cp__WP_COMPLEMENT_AND_COAGULATION_CASCADES
c2.cp,REACTOME_HSF1_ACTIVATION,prerank,0.7799513813355143,2.532909766174545,0.0,0.0,0.0,12_30,12/30,5.69%,HSPA6;HSPA1A;HSPB1;SERPINH1;HSPA1B;DNAJB1;FKBP4;HSPA1L;DEDD2;HSPB2;HSPH1;HSP90AA1,HSPA6;HSPA1A;HSPB1;SERPINH1;HSPA1B;DNAJB1;FKBP4;HSPA1L;DEDD2;HSPB2;HSPH1;HSP90AA1;HSF1;MRPL18;DNAJB6;HSP90AB1;PTGES3;CRYBA4;UBB;HDAC6;RPA1;VCP;EEF1A1;HSBP1;RPA2;YWHAE;TNFRSF21;COL4A6;RLN1;RPA3,"[0, 2, 4, 5, 7, 8, 331, 445, 630, 704, 718, 996, 1655, 1854, 2051, 2454, 2982, 4940, 5432, 5736, 7252, 7515, 7718, 8986, 9373, 9903, 12698, 12870, 12903, 14624]",c2.cp__REACTOME_HSF1_ACTIVATION
c2.cp,WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,prerank,0.7162124566863867,2.677931604971318,0.0,0.0,0.0,39_58,39/58,18.07%,HCLS1;C1QC;IL18;RUNX3;CD37;TCIRG1;CD4;RBM47;ITGB2;TNFRSF1B;PPP1R18;C3;TYROBP;RNASE6;HLX;ELF4;SLC1A5;ITGAM;ZFP36L2;CXCL16;SLC7A7;GIMAP2;MAF;IL10RA;GAPT;LYL1;LHFPL2;CD84;CAPG;APBB1IP;PLEK;PYCARD;GPX1;BIN2;NPC2;RGS1;ITGAX;IL13RA1;NCF2,HCLS1;C1QC;IL18;RUNX3;CD37;TCIRG1;CD4;RBM47;ITGB2;TNFRSF1B;PPP1R18;C3;TYROBP;RNASE6;HLX;ELF4;SLC1A5;ITGAM;ZFP36L2;CXCL16;SLC7A7;GIMAP2;MAF;IL10RA;GAPT;LYL1;LHFPL2;CD84;CAPG;APBB1IP;PLEK;PYCARD;GPX1;BIN2;NPC2;RGS1;ITGAX;IL13RA1;NCF2;NCKAP1L;STAT5A;ABCC4;SAMSN1;RPS6KA1;TMEM106A;GAL3ST4;SPP1;CYTL1;TGFBR1;IGSF6;ADAP2;SH2B3;LOXL3;CREB3L2;KCNE3;SFT2D2;FKBP15;DPYD,"[219, 280, 366, 371, 436, 437, 463, 469, 507, 525, 538, 554, 656, 662, 799, 803, 916, 1038, 1382, 1455, 1607, 1677, 1694, 1728, 1759, 1861, 1956, 1992, 2112, 2337, 2474, 2517, 2540, 2679, 2760, 2808, 2994, 3069, 3164, 3466, 3694, 3712, 4147, 4277, 4408, 4461, 5115, 5182, 5314, 5466, 6130, 6650, 6962, 7479, 7981, 9300, 11210, 13053]",c2.cp__WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA
c2.cp,REACTOME_ATTENUATION_PHASE,prerank,0.7898811272662295,2.47585101329082,0.0,0.0,0.0,12_27,12/27,5.69%,HSPA6;HSPA1A;HSPB1;SERPINH1;HSPA1B;DNAJB1;FKBP4;HSPA1L;DEDD2;HSPB2;HSPH1;HSP90AA1,HSPA6;HSPA1A;HSPB1;SERPINH1;HSPA1B;DNAJB1;FKBP4;HSPA1L;DEDD2;HSPB2;HSPH1;HSP90AA1;HSF1;MRPL18;DNAJB6;HSP90AB1;PTGES3;CREBBP;CRYBA4;UBB;HSPA2;EP300;HSPA8;HSBP1;TNFRSF21;COL4A6;RLN1,"[0, 2, 4, 5, 7, 8, 331, 445, 630, 704, 718, 996, 1655, 1854, 2051, 2454, 2982, 3077, 4940, 5432, 6101, 7366, 7892, 8986, 12698, 12870, 12903]",c2.cp__REACTOME_ATTENUATION_PHASE
c2.cp,WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,prerank,0.6588700326789649,2.417819407366009,0.0,0.0,0.0,31_56,31/56,14.89%,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;CFB;CLU;PROC;F10;CFH;KLKB1;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;SERPING1;CR1;THBD;C8G,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;CFB;CLU;PROC;F10;CFH;KLKB1;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;SERPING1;CR1;THBD;C8G;C1S;F12;PLAU;C9;PLAT;APOA2;F2;CD55;F2R;PROS1;BDKRB1;KNG1;LMAN1;PLG;CPB2;F5;F3;MASP1;F8;CD46;CLTC;MASP2;CR2;C6;F7,"[121, 164, 178, 196, 280, 295, 340, 349, 367, 399, 459, 497, 535, 554, 742, 751, 782, 817, 967, 968, 1107, 1145, 1505, 1909, 1921, 1966, 1969, 2181, 2413, 2546, 2608, 3007, 3527, 3981, 4373, 5388, 6445, 7278, 7327, 7732, 8219, 9088, 9160, 9969, 11564, 11762, 12241, 13150, 13721, 13730, 14057, 14540, 15416, 15881, 15917, 16191]",c2.cp__WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES
