TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,prerank,0.582506341050557,2.273476658947838,0.0,0.0,0.0,73_80,73/80,35.77%,RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPL13;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPS5;RPL27;RPS11;RPL28;RPL38;RPL24;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1;RPS27;RPL10;RPS15A;RPL30;RPL5;RPL22;RPL17;RPL37;RPLP0,RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPL13;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPS5;RPL27;RPS11;RPL28;RPL38;RPL24;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1;RPS27;RPL10;RPS15A;RPL30;RPL5;RPL22;RPL17;RPL37;RPLP0;RPL41;RPS23;RPL10A;RPL21;RPL12;RPL15;RPL26,"[1679, 2297, 2336, 2583, 2683, 2741, 2917, 3058, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3446, 3464, 3478, 3513, 3549, 3614, 3685, 3894, 3907, 3938, 3947, 4014, 4056, 4093, 4125, 4156, 4163, 4202, 4212, 4220, 4247, 4340, 4464, 4465, 4486, 4491, 4542, 4601, 4603, 4699, 4751, 4782, 4800, 4803, 4863, 4864, 4883, 4925, 4984, 5014, 5032, 5044, 5294, 5360, 5363, 5365, 5443, 5472, 5557, 5753, 5905, 5993, 6030, 6075, 6109, 6172, 6213, 6265, 6566, 6735, 7111, 7173, 8419, 10085, 16730]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION
c2.cp.kegg_medicus,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT,prerank,-0.6755249355453047,-2.151815477495126,0.0,0.0014544344995931651,0.002,17_27,17/27,24.79%,DNAI2;DNAH12;DNAL1;DNAH3;DNAH10;DNAH6;DNAH8;DNAH5;DNAH9;DNAH17;DCTN5;DNAH1;DNAH7;DCTN6;ACTR10;DNAH2;DCTN4,SOD1;DCTN3;DNALI1;DNAL4;ACTR1A;DNAH11;DCTN2;ACTR1B;DCTN1;DNAI1;DCTN4;DNAH2;ACTR10;DCTN6;DNAH7;DNAH1;DCTN5;DNAH17;DNAH9;DNAH5;DNAH8;DNAH6;DNAH10;DNAH3;DNAL1;DNAH12;DNAI2,"[4670, 6496, 7575, 7761, 7841, 8027, 8641, 9971, 11154, 11414, 13176, 13392, 13416, 13556, 13637, 13770, 14359, 14508, 15775, 16008, 16096, 16444, 16693, 16960, 17036, 17187, 17329]",c2.cp.kegg_medicus__KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY,prerank,0.7098508165030492,2.027201012455259,0.0,0.03340411977065194,0.04,13_18,13/18,18.92%,LAT;LCK;CD4;ITPR3;PLCG1;GRAP2;VAV3;CD3E;ZAP70;VAV1;CD247;LCP2;FYN,LAT;LCK;CD4;ITPR3;PLCG1;GRAP2;VAV3;CD3E;ZAP70;VAV1;CD247;LCP2;FYN;PLCG2;VAV2;CD3G;ITPR2;ITPR1,"[152, 292, 463, 721, 1030, 1150, 1461, 1555, 1939, 2128, 2961, 3280, 3313, 8064, 8155, 9585, 12687, 16164]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY,prerank,0.7105593849985892,1.8850311628446859,0.0,0.11081174346995115,0.171,8_14,8/14,12.70%,IHH;EVC2;GLI1;SMO;GLI2;KIF7;PTCH2;GLI3,IHH;EVC2;GLI1;SMO;GLI2;KIF7;PTCH2;GLI3;EVC;SUFU;SHH;PTCH1;DHH;HHIP,"[51, 96, 198, 567, 787, 1180, 1928, 2224, 3258, 3617, 5253, 9434, 11511, 15085]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,prerank,0.7291137395731605,1.7620843887516555,0.006122448979591836,0.12333828838394563,0.466,7_10,7/10,21.59%,AKR1C2;EPHX1;CYP1B1;AKR1C1;AKR1C3;EPHX3;CYP1A1,AKR1C2;EPHX1;CYP1B1;AKR1C1;AKR1C3;EPHX3;CYP1A1;EPHX4;AKR1A1;EPHX2,"[116, 942, 993, 1008, 1888, 2879, 3781, 8094, 9825, 10819]",c2.cp.kegg_medicus__KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY,prerank,0.6003990033178584,1.897101761177779,0.0,0.12419480427550081,0.145,15_25,15/25,20.34%,IL4R;LIF;IL27;CLCF1;IL6;CNTFR;OSMR;IL6R;IL27RA;TYK2;CTF1;STAT6;IL13RA1;OSM;STAT3,IL4R;LIF;IL27;CLCF1;IL6;CNTFR;OSMR;IL6R;IL27RA;TYK2;CTF1;STAT6;IL13RA1;OSM;STAT3;IL11RA;IL6ST;LIFR;IL11;IL13;JAK1;JAK2;CNTF;STAT1;IL13RA2,"[222, 352, 577, 592, 719, 1224, 1558, 1632, 2078, 2267, 2407, 2660, 3069, 3455, 3562, 4359, 5726, 6638, 8126, 8393, 8760, 8819, 11175, 16067, 17146]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY,prerank,0.6601529626538709,1.8259809424580535,0.0020408163265306124,0.12609137517823013,0.295,9_16,9/16,16.30%,DLL4;HEYL;FLT4;NOTCH4;DLL1;ERBB2;NOTCH1;HES1;JAG2,DLL4;HEYL;FLT4;NOTCH4;DLL1;ERBB2;NOTCH1;HES1;JAG2;JAG1;HEY2;HES5;HEY1;DLL3;RBPJ;RBPJL,"[350, 462, 701, 1183, 1813, 1996, 2094, 2380, 2854, 4378, 4509, 5566, 8717, 9056, 12042, 14170]",c2.cp.kegg_medicus__KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY,prerank,0.4981449077565005,1.7642993726537701,0.0,0.13061867346216466,0.458,18_44,18/44,16.89%,WNT6;FZD9;FZD8;FZD2;TCF7L1;MYC;LEF1;FRAT2;AXIN1;FZD1;WNT5B;FZD4;DVL1;WNT4;FRAT1;WNT3;DVL2;WNT7A,WNT6;FZD9;FZD8;FZD2;TCF7L1;MYC;LEF1;FRAT2;AXIN1;FZD1;WNT5B;FZD4;DVL1;WNT4;FRAT1;WNT3;DVL2;WNT7A;WNT16;WNT7B;TCF7;DVL3;WNT10A;AXIN2;FZD5;WNT9A;WNT9B;TCF7L2;FZD7;FZD10;WNT10B;WNT5A;APC;WNT2;WNT2B;FZD3;LRP6;CCND1;FZD6;CTNNB1;GSK3B;WNT8A;WNT8B;WNT1,"[223, 246, 277, 534, 550, 1027, 1357, 1407, 1850, 2005, 2073, 2143, 2240, 2294, 2381, 2447, 2896, 2958, 4362, 4515, 4529, 4572, 4577, 4815, 4914, 5109, 5192, 5609, 7139, 7142, 8460, 8926, 9727, 10192, 10700, 12372, 13399, 13458, 13464, 13480, 13944, 14641, 15778, 16459]",c2.cp.kegg_medicus__KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY,prerank,0.6681952512326117,1.8510334506773818,0.00392156862745098,0.13541516245487364,0.241,9_17,9/17,18.88%,TLR5;RELA;NFKBIA;IL6;TNF;TAB2;IKBKB;IRAK1;MYD88,TLR5;RELA;NFKBIA;IL6;TNF;TAB2;IKBKB;IRAK1;MYD88;NFKB1;IL12B;IKBKG;IRAK4;MAP3K7;CHUK;IL12A;TRAF6,"[160, 401, 438, 719, 1526, 2799, 3163, 3238, 3306, 4057, 5684, 7641, 8469, 9199, 10904, 11372, 11426]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY,prerank,0.4451366729776889,1.7141329576037942,0.0,0.1369711663245322,0.621,26_73,26/73,14.13%,EPHA2;ANGPT2;CSF1;IGF2;FGF17;HGF;PIK3R2;PDGFRB;EFNA4;FLT4;PGF;FLT3LG;VEGFA;CSF1R;FGFR4;FLT1;EFNA2;FGF2;PIK3CD;FGF22;EGFR;NGF;ERBB2;EFNA1;IGF1R;VEGFB,EPHA2;ANGPT2;CSF1;IGF2;FGF17;HGF;PIK3R2;PDGFRB;EFNA4;FLT4;PGF;FLT3LG;VEGFA;CSF1R;FGFR4;FLT1;EFNA2;FGF2;PIK3CD;FGF22;EGFR;NGF;ERBB2;EFNA1;IGF1R;VEGFB;NGFR;EGF;FGFR3;FGF8;INSR;AKT2;FGFR1;PDGFC;AKT1;EFNA3;FGF16;FGF20;VEGFC;PDGFD;EFNA5;PIK3R3;PDGFB;NTRK2;PIK3CA;PDGFA;TEK;ANGPT4;FGF18;NTRK1;PDGFRA;KDR;EREG;ERBB3;FGFR2;PIK3CB;FGF1;ANGPT1;ERBB4;PIK3R1;FGF9;KITLG;AKT3;FGF7;FGF10;MET;TGFA;IGF1;KIT;NTF3;FGF5;BDNF;FLT3,"[66, 102, 185, 278, 282, 374, 526, 646, 689, 701, 727, 883, 930, 973, 980, 1094, 1225, 1446, 1757, 1860, 1890, 1990, 1996, 2118, 2274, 2475, 3192, 3525, 3534, 3675, 3939, 4256, 4268, 4382, 5056, 5647, 5693, 5911, 6029, 6282, 6393, 6685, 6686, 7118, 7246, 7605, 7870, 7976, 8285, 10238, 10756, 11145, 11223, 11491, 12121, 12207, 12761, 13199, 13244, 13367, 13601, 13937, 14271, 14280, 14980, 15339, 16269, 16385, 16477, 17073, 17354, 17407, 17410]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY
