TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp.pid,PID_TOLL_ENDOGENOUS_PATHWAY,prerank,0.7030016662346757,2.168935991539117,0.0,0.0,0.0,15_23,15/23,18.88%,S100A8;TLR2;LY96;S100A9;HSPD1;CD14;IRAK2;TICAM1;BGN;TLR6;TLR4;IKBKB;VCAN;IRAK1;MYD88,S100A8;TLR2;LY96;S100A9;HSPD1;CD14;IRAK2;TICAM1;BGN;TLR6;TLR4;IKBKB;VCAN;IRAK1;MYD88;IKBKG;RHOA;IRAK4;TLR1;TLR3;CHUK;HMGB1;TIRAP,"[157, 493, 686, 820, 987, 1238, 1247, 2008, 2213, 2518, 2939, 3163, 3195, 3238, 3306, 7641, 7805, 8469, 9285, 10466, 10904, 12555, 14796]",c2.cp.pid__PID_TOLL_ENDOGENOUS_PATHWAY
c2.cp.pid,PID_FRA_PATHWAY,prerank,0.7243275677949448,2.3760147038070074,0.0,0.0,0.0,22_34,22/34,14.78%,MMP9;NOS3;PLAUR;LIF;HMOX1;CCL2;IL6;CCNA2;FOSL1;BGLAP;ITGB4;GJA1;NFATC2;ATF4;FOSL2;DCN;NFATC1;COL1A2;JUN;CDKN2A;THBD;USF2,MMP9;NOS3;PLAUR;LIF;HMOX1;CCL2;IL6;CCNA2;FOSL1;BGLAP;ITGB4;GJA1;NFATC2;ATF4;FOSL2;DCN;NFATC1;COL1A2;JUN;CDKN2A;THBD;USF2;JUND;LAMA3;PLAU;SP1;JUNB;EP300;NFATC3;MGP;TXLNG;CCND1;MMP2;DMTF1,"[9, 242, 295, 352, 444, 636, 719, 750, 828, 849, 867, 1052, 1221, 1272, 1355, 1395, 1445, 2167, 2405, 2543, 2546, 2589, 3051, 3503, 3981, 4636, 5749, 7366, 7917, 9257, 10369, 13458, 14153, 15101]",c2.cp.pid__PID_FRA_PATHWAY
c2.cp.pid,PID_IL6_7_PATHWAY,prerank,0.6020524894263449,2.128993007873672,0.0,0.0011680537304716017,0.002,19_45,19/45,17.36%,SOCS3;LBP;CEBPD;CEBPB;IL6;IRF1;MYC;CRP;FOS;TIMP1;MCL1;IL6R;HCK;VAV1;MAPK11;TYK2;JUN;BCL2L1;FOXO1,SOCS3;LBP;CEBPD;CEBPB;IL6;IRF1;MYC;CRP;FOS;TIMP1;MCL1;IL6R;HCK;VAV1;MAPK11;TYK2;JUN;BCL2L1;FOXO1;STAT3;AKT1;LMO4;HSP90B1;IL6ST;JUNB;GAB1;SOS1;PIK3CA;MAPK14;MAP2K6;A2M;MAP2K4;PIAS3;MITF;JAK1;JAK2;PRKCD;RAC1;GRB2;GAB2;PTPRE;PIK3R1;PIAS1;PTPN11;STAT1,"[158, 299, 312, 464, 719, 753, 1027, 1140, 1219, 1515, 1560, 1632, 1914, 2128, 2200, 2267, 2405, 2851, 3040, 3562, 5056, 5402, 5669, 5726, 5749, 5970, 6414, 7246, 7542, 7669, 7759, 8171, 8246, 8468, 8760, 8819, 9634, 9784, 10155, 12098, 12557, 13367, 13646, 13915, 16067]",c2.cp.pid__PID_IL6_7_PATHWAY
c2.cp.pid,PID_SMAD2_3NUCLEAR_PATHWAY,prerank,0.5238515180094999,2.015710340102565,0.0,0.006132282084975909,0.014,39_77,39/77,24.99%,IRF7;RUNX3;CEBPB;TGIF1;CDKN1A;RUNX1;GATA3;CDK2;MYC;FOXO4;FOS;ITGB5;KAT2A;E2F4;TCF3;TGIF2;PIAS4;SERPINE1;COL1A2;MAX;JUN;MYOD1;SMAD7;HDAC1;CBFB;FOXH1;FOXO1;CREBBP;SAP30;VDR;ZBTB17;SMAD4;FOXG1;E2F5;TFE3;CDKN2B;CTBP1;ATF3;MED15,IRF7;RUNX3;CEBPB;TGIF1;CDKN1A;RUNX1;GATA3;CDK2;MYC;FOXO4;FOS;ITGB5;KAT2A;E2F4;TCF3;TGIF2;PIAS4;SERPINE1;COL1A2;MAX;JUN;MYOD1;SMAD7;HDAC1;CBFB;FOXH1;FOXO1;CREBBP;SAP30;VDR;ZBTB17;SMAD4;FOXG1;E2F5;TFE3;CDKN2B;CTBP1;ATF3;MED15;SP1;AKT1;SIN3B;RBL1;SKI;SMAD3;IL10;TFDP1;RUNX2;SMAD2;EP300;AR;LAMC1;CDK4;HSPA8;FOXO3;ATF2;RBBP7;PIAS3;NCOA1;SKIL;KAT2B;HDAC2;SAP18;SP3;CREB1;CITED1;NCOR1;SNIP1;HNF4A;SIN3A;NCOA2;NR3C1;DLX1;MEF2C;RBBP4;ESR1;IL5,"[229, 371, 464, 475, 715, 845, 951, 966, 1027, 1086, 1219, 1262, 1719, 1736, 1891, 1912, 1960, 1969, 2167, 2237, 2405, 2484, 2510, 2627, 2635, 3028, 3040, 3077, 3104, 3453, 3500, 3853, 3867, 3936, 3973, 3977, 4072, 4249, 4376, 4636, 5056, 5517, 5625, 5856, 5959, 6118, 6570, 6869, 6984, 7366, 7574, 7583, 7809, 7892, 7929, 8026, 8169, 8246, 8350, 8404, 8615, 8857, 9180, 9600, 9625, 10702, 10785, 11034, 11254, 11790, 11841, 12532, 14038, 14202, 15563, 16823, 16971]",c2.cp.pid__PID_SMAD2_3NUCLEAR_PATHWAY
c2.cp.pid,PID_PI3KCI_PATHWAY,prerank,0.5538731196071107,1.9643789186953375,0.0,0.00675802515487141,0.027,20_47,20/47,21.06%,LAT;LCK;FGR;PIK3R2;PIK3R5;INPPL1;SYK;HSP90AA1;PLCG1;PIK3CD;BTK;HCK;ZAP70;SRC;ARAP3;FYN;DAPP1;SGK1;YES1;ITK,LAT;LCK;FGR;PIK3R2;PIK3R5;INPPL1;SYK;HSP90AA1;PLCG1;PIK3CD;BTK;HCK;ZAP70;SRC;ARAP3;FYN;DAPP1;SGK1;YES1;ITK;BLNK;HRAS;CYTH3;ADAP1;PLEKHA2;RAP1A;PIK3CG;LYN;PIK3R3;ARF6;ARF1;CYTH2;PIK3CA;ARF5;RHOA;FOXO3;PLCG2;PDPK1;RAC1;PTEN;PLEKHA1;CYTH1;PIK3CB;KRAS;PIK3R1;NRAS;BLK,"[152, 292, 382, 526, 564, 695, 810, 996, 1030, 1757, 1801, 1914, 1939, 2680, 3144, 3313, 3322, 3436, 3581, 3688, 4333, 4564, 5149, 5243, 5603, 5674, 5764, 6593, 6685, 6875, 6886, 6988, 7246, 7719, 7805, 7929, 8064, 9782, 9784, 9891, 10960, 11186, 12207, 12990, 13367, 14556, 16162]",c2.cp.pid__PID_PI3KCI_PATHWAY
c2.cp.pid,PID_MYC_REPRESS_PATHWAY,prerank,0.5314465114436979,1.9898454989159733,0.0,0.007008322382829611,0.02,27_61,27/61,23.12%,S100A7;SLC11A1;CEBPD;IRF8;PDGFRB;SPI1;CDKN1A;CLU;ITGB4;MYC;DNTT;DDIT3;ZFP36L1;BCL2;ERBB2;MXD4;COL1A2;MAX;HDAC1;LGALS1;CEBPA;ZBTB17;DKK1;ITGA6;SMAD4;CDKN2B;GTF2H2,S100A7;SLC11A1;CEBPD;IRF8;PDGFRB;SPI1;CDKN1A;CLU;ITGB4;MYC;DNTT;DDIT3;ZFP36L1;BCL2;ERBB2;MXD4;COL1A2;MAX;HDAC1;LGALS1;CEBPA;ZBTB17;DKK1;ITGA6;SMAD4;CDKN2B;GTF2H2;ID2;TMEM126A;SP1;NDRG1;CCL5;RBL1;NFYC;TJP2;HDAC3;SMAD3;GADD45A;GFI1;CFLAR;SMAD2;NDRG2;EP300;CDKN1B;FTH1;FOXO3;TSC2;BRCA1;SFXN3;WNT5A;CREB1;ALDH9A1;CSDE1;NFYB;ITGB1;TBP;NFYA;DNMT3A;CCND1;TMEFF2;SFRP1,"[87, 132, 312, 613, 646, 677, 715, 751, 867, 1027, 1429, 1519, 1595, 1935, 1996, 2086, 2167, 2237, 2627, 2686, 3219, 3500, 3672, 3749, 3853, 3977, 4049, 4384, 4415, 4636, 5400, 5546, 5625, 5668, 5751, 5797, 5959, 6156, 6365, 6908, 6984, 7189, 7366, 7474, 7728, 7929, 8001, 8672, 8858, 8926, 9625, 10914, 11091, 11242, 11941, 12963, 13054, 13268, 13458, 14837, 16533]",c2.cp.pid__PID_MYC_REPRESS_PATHWAY
c2.cp.pid,PID_P53_DOWNSTREAM_PATHWAY,prerank,0.4584724674124065,1.972812678432047,0.0,0.0073003358154475105,0.025,50_131,50/131,19.72%,DDIT4;TNFRSF10D;EPHA2;HIC1;GDF15;LIF;TNFRSF10A;HGF;CASP1;BCL6;E2F2;CDKN1A;TNFRSF10B;PERP;TNFRSF10C;BCL2A1;TP63;IRF5;RGCC;MCL1;BID;KAT2A;S100A2;TP53I3;EGFR;TAP1;BCL2;SERPINE1;ARID3A;PML;CASP6;PMAIP1;RNF144B;JUN;PYCARD;GPX1;TP53BP2;ZNF385A;DDB2;AIFM2;BCL2L1;RPS27L;BAX;DUSP1;CREBBP;VCAN;CASP10;SESN1;SH2D1A;VDR,DDIT4;TNFRSF10D;EPHA2;HIC1;GDF15;LIF;TNFRSF10A;HGF;CASP1;BCL6;E2F2;CDKN1A;TNFRSF10B;PERP;TNFRSF10C;BCL2A1;TP63;IRF5;RGCC;MCL1;BID;KAT2A;S100A2;TP53I3;EGFR;TAP1;BCL2;SERPINE1;ARID3A;PML;CASP6;PMAIP1;RNF144B;JUN;PYCARD;GPX1;TP53BP2;ZNF385A;DDB2;AIFM2;BCL2L1;RPS27L;BAX;DUSP1;CREBBP;VCAN;CASP10;SESN1;SH2D1A;VDR;DKK1;CCNG1;BBC3;STEAP3;CCNK;ATF3;TADA2B;SP1;CTSD;SPP1;POU4F1;NDRG1;CARM1;NFYC;PRMT1;TP53INP1;GADD45A;AFP;NLRC4;PCNA;TFDP1;JMY;MAP4K4;FDXR;PPP1R13B;SNAI2;EP300;TRIAP1;IGFBP3;E2F1;CX3CL1;TSC2;CCNB1;DGCR8;RCHY1;CEBPZ;BAK1;FOXA1;TP53;HDAC2;PPM1J;RB1;TAF9;BTG2;APC;DDX5;PTEN;TRRAP;COL18A1;FAS;PRKAB1;PRDM1;NFYB;HTT;APAF1;SMARCA4;BCL2L2;SFN;CSE1L;PCBP4;NFYA;DROSHA;MDM2;SCN3B;PLK3;MLH1;CAV1;MMP2;RRM2B;DUSP5;E2F3;CD82;BNIP3L;MET;BCL2L14;MSH2;BDKRB2;TYRP1;TGFA;PMS2;TP73,"[17, 26, 66, 124, 325, 352, 363, 374, 580, 611, 628, 715, 900, 937, 1007, 1133, 1135, 1337, 1356, 1560, 1667, 1719, 1766, 1822, 1890, 1919, 1935, 1969, 2088, 2122, 2147, 2205, 2390, 2405, 2517, 2540, 2692, 2716, 2801, 2838, 2851, 2875, 2888, 2914, 3077, 3195, 3353, 3375, 3378, 3453, 3672, 3763, 3828, 3911, 3968, 4249, 4276, 4636, 4656, 5115, 5188, 5400, 5421, 5668, 5708, 5872, 6156, 6203, 6386, 6509, 6570, 6665, 6824, 6882, 6985, 7184, 7366, 7399, 7422, 7791, 7987, 8001, 8100, 8138, 8275, 8306, 8374, 8586, 8757, 8857, 9192, 9270, 9374, 9417, 9727, 9867, 9891, 10279, 10285, 10342, 10371, 11133, 11242, 11247, 11485, 11525, 12028, 12219, 12352, 12910, 13054, 13447, 13617, 13766, 13899, 13955, 13967, 14153, 14193, 14554, 14682, 14722, 15148, 15339, 15504, 16102, 16109, 16195, 16269, 16933, 17010]",c2.cp.pid__PID_P53_DOWNSTREAM_PATHWAY
c2.cp.pid,PID_FCER1_PATHWAY,prerank,0.5166647060478555,1.9326327650209258,0.0,0.01073149364870784,0.043,24_57,24/57,18.92%,LAT;FCGR2B;HCLS1;LAT2;RELA;FCER1A;SYK;PXN;FCER1G;PLCG1;DOK1;FOS;NFATC2;PLA2G1B;BTK;S1PR1;VAV1;SPHK1;MAPK3;JUN;DUSP1;IKBKB;LCP2;FYN,LAT;FCGR2B;HCLS1;LAT2;RELA;FCER1A;SYK;PXN;FCER1G;PLCG1;DOK1;FOS;NFATC2;PLA2G1B;BTK;S1PR1;VAV1;SPHK1;MAPK3;JUN;DUSP1;IKBKB;LCP2;FYN;ITK;MAP2K2;NFKB1;MAP2K7;SHC1;HRAS;RAF1;CBL;AKT1;MAP2K1;FER;SOS1;LYN;MAP3K1;PIK3CA;PAK2;IKBKG;MAP2K4;PLD2;PLA2G4A;GRB2;PTPN13;CHUK;MAPK1;GAB2;PIK3R1;MAPK8;PTPN11;CBLB;RASA1;PRKCB;PTK2;WIPF1,"[152, 180, 219, 368, 401, 722, 810, 856, 857, 1030, 1103, 1219, 1221, 1708, 1801, 1972, 2128, 2315, 2396, 2405, 2914, 3163, 3280, 3313, 3688, 3848, 4057, 4266, 4467, 4564, 4575, 4760, 5056, 5838, 6233, 6414, 6593, 7092, 7246, 7541, 7641, 8171, 8523, 9780, 10155, 10692, 10904, 11454, 12098, 13367, 13764, 13915, 14616, 15014, 15245, 15420, 16279]",c2.cp.pid__PID_FCER1_PATHWAY
c2.cp.pid,PID_IL12_STAT4_PATHWAY,prerank,0.5978320681343451,1.9263939486040458,0.0,0.01168053730471602,0.053,16_28,16/28,17.57%,IL18;CD4;TGFB1;IRF1;CD86;HLA-DRA;FOS;CD80;IL18R1;TBX21;CD3E;IL18RAP;JUN;CD247;PRF1;CREBBP,IL18;CD4;TGFB1;IRF1;CD86;HLA-DRA;FOS;CD80;IL18R1;TBX21;CD3E;IL18RAP;JUN;CD247;PRF1;CREBBP;STAT3;IL13;CD3G;PPP3CA;CD28;PPP3R1;PPP3CB;STAT4;MAPK9;MAPK8;PIAS2;ETV5,"[366, 463, 664, 753, 827, 855, 1219, 1256, 1289, 1377, 1555, 1930, 2405, 2961, 2997, 3077, 3562, 8393, 9585, 11614, 11843, 11883, 12709, 13432, 13747, 13764, 13866, 15078]",c2.cp.pid__PID_IL12_STAT4_PATHWAY
c2.cp.pid,PID_PTP1B_PATHWAY,prerank,0.5340169048248204,1.917767207319553,0.0,0.011738939991239598,0.06,25_48,25/48,23.58%,LAT;SOCS3;CSF1;LCK;FCGR2A;FGR;PDGFRB;CSF1R;DOK1;EGFR;HCK;TYK2;CSK;SRC;ITGA2B;FYN;CAPN1;BCAR1;EGF;STAT3;YES1;YBX1;STAT5A;INSR;CDH2,LAT;SOCS3;CSF1;LCK;FCGR2A;FGR;PDGFRB;CSF1R;DOK1;EGFR;HCK;TYK2;CSK;SRC;ITGA2B;FYN;CAPN1;BCAR1;EGF;STAT3;YES1;YBX1;STAT5A;INSR;CDH2;SHC1;LEPR;CRK;IRS1;AKT1;STAT5B;FER;LYN;PDGFB;SPRY2;PIK3CA;ITGB3;RHOA;JAK2;TXN;GRB2;PTPN1;PIK3R1;CAV1;TRPV6;PRLR;NOX4;BLK,"[152, 158, 185, 292, 313, 382, 646, 973, 1103, 1890, 1914, 2267, 2360, 2680, 2928, 3313, 3314, 3506, 3525, 3562, 3581, 3681, 3694, 3939, 4129, 4467, 4592, 4758, 4919, 5056, 6102, 6233, 6593, 6686, 6728, 7246, 7794, 7805, 8819, 8900, 10155, 10235, 13367, 13967, 14510, 15519, 16161, 16162]",c2.cp.pid__PID_PTP1B_PATHWAY
