TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c4.3ca,GAVISH_3CA_METAPROGRAM_MACROPHAGES_MONOCYTE_SECRETED,prerank,0.6855423325016673,2.501838812779029,0.0,0.0,0.0,22_47,22/47,15.16%,G0S2;SLC11A1;S100A8;SOCS3;PLAUR;NFKBIA;PLIN2;CCL20;LYZ;IL1RN;S100A9;CXCL3;SLC2A3;BCL2A1;TNFAIP3;TREM1;TIMP1;NFKBIZ;IER3;PPP1R15A;RGS2;IL1B,G0S2;SLC11A1;S100A8;SOCS3;PLAUR;NFKBIA;PLIN2;CCL20;LYZ;IL1RN;S100A9;CXCL3;SLC2A3;BCL2A1;TNFAIP3;TREM1;TIMP1;NFKBIZ;IER3;PPP1R15A;RGS2;IL1B;FCN1;VCAN;CXCL2;SAMSN1;ATF3;NR4A2;CD83;C15orf48;GPR183;CD55;CCL3;CCL4L2;FOSB;DUSP2;NAMPT;SOD2;NLRP3;THBS1;CCL4;EREG;AQP9;OLR1;SLC25A37;HBEGF;PTGS2,"[1, 132, 157, 158, 295, 438, 537, 561, 574, 793, 820, 873, 935, 1133, 1329, 1425, 1515, 1641, 2252, 2264, 2412, 2654, 2968, 3195, 3816, 4147, 4249, 6025, 6688, 6717, 7031, 7327, 7409, 7512, 7914, 8683, 9148, 9365, 10212, 10764, 10797, 11223, 12114, 12129, 12360, 12920, 13656]",c4.3ca__GAVISH_3CA_METAPROGRAM_MACROPHAGES_MONOCYTE_SECRETED
c4.3ca,GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_ENDO_3,prerank,0.6464885599319721,2.285064923046074,0.0,0.0,0.0,22_47,22/47,10.97%,MT1M;MT2A;MT1E;MT1X;RAMP3;TMEM100;TM4SF1;CLDN5;EGFL7;IL7R;ESAM;AQP1;HYAL2;NOTCH4;CD93;FAM107A;RGCC;BTNL9;SLC6A4;GNG11;FCN3;VWF,MT1M;MT2A;MT1E;MT1X;RAMP3;TMEM100;TM4SF1;CLDN5;EGFL7;IL7R;ESAM;AQP1;HYAL2;NOTCH4;CD93;FAM107A;RGCC;BTNL9;SLC6A4;GNG11;FCN3;VWF;IFI27;GPIHBP1;EDN1;ENG;ID1;GIMAP7;IFNGR1;HSPG2;LIFR;RAMP2;CALCRL;A2M;EPAS1;SPARCL1;GPX3;PLVAP;CLEC14A;MGP;SPARC;PTPRB;IGFBP7;TNFSF10;CA4;RNASE1;CD36,"[126, 145, 308, 318, 536, 582, 694, 781, 1001, 1012, 1058, 1068, 1134, 1183, 1292, 1332, 1356, 1638, 1802, 1851, 1910, 1921, 3312, 4383, 4526, 5298, 5430, 5480, 5652, 5784, 6638, 6745, 6831, 7759, 7874, 7992, 7997, 8694, 8843, 9257, 9882, 10822, 11361, 15232, 15600, 16286, 17499]",c4.3ca__GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_ENDO_3
c4.3ca,GAVISH_3CA_METAPROGRAM_MACROPHAGES_STRESS_HSP,prerank,0.7525587662931045,2.7357313269606482,0.0,0.0,0.0,30_49,30/49,14.01%,HSPA6;HSPA1A;HSPB1;HSPA1B;DNAJB1;BAG3;DDIT4;CXCR4;FKBP4;HSPH1;GADD45B;KLF2;HSPD1;HSP90AA1;TSC22D3;IER5;DNAJA1;FOS;HSPE1;ZFP36L2;KLF4;DNAJA4;CACYBP;ZFP36;IER2;PMAIP1;PPP1R15A;JUN;RGS2;HSP90AB1,HSPA6;HSPA1A;HSPB1;HSPA1B;DNAJB1;BAG3;DDIT4;CXCR4;FKBP4;HSPH1;GADD45B;KLF2;HSPD1;HSP90AA1;TSC22D3;IER5;DNAJA1;FOS;HSPE1;ZFP36L2;KLF4;DNAJA4;CACYBP;ZFP36;IER2;PMAIP1;PPP1R15A;JUN;RGS2;HSP90AB1;RGS1;DUSP1;SGK1;KLF6;ZFAND2A;UBC;ATF3;CLK1;JUNB;NR4A2;MAFB;CCL3;HSPA8;FOSB;RHOB;BTG2;CCL4;NR4A1;EGR1,"[0, 2, 4, 7, 8, 15, 17, 50, 331, 718, 762, 811, 987, 996, 1034, 1186, 1202, 1219, 1341, 1382, 1437, 1646, 1798, 1852, 2071, 2205, 2264, 2405, 2412, 2454, 2808, 2914, 3436, 3544, 3859, 4171, 4249, 5156, 5749, 6025, 6096, 7409, 7892, 7914, 8680, 9417, 10797, 12865, 17016]",c4.3ca__GAVISH_3CA_METAPROGRAM_MACROPHAGES_STRESS_HSP
c4.3ca,GAVISH_3CA_METAPROGRAM_FIBROBLASTS_CAF_7,prerank,0.6805181420300234,2.4276955067763737,0.0,0.0,0.0,20_46,20/46,11.03%,CXCL6;MRPS6;SLC5A3;STC1;ADM;CRABP1;TNFRSF11B;IGF2;BMP4;CP;CXCL1;TMEM176B;CCL2;FMOD;GGT5;CRABP2;RGCC;WLS;DLL1;PTGDS,CXCL6;MRPS6;SLC5A3;STC1;ADM;CRABP1;TNFRSF11B;IGF2;BMP4;CP;CXCL1;TMEM176B;CCL2;FMOD;GGT5;CRABP2;RGCC;WLS;DLL1;PTGDS;APOD;SPRY1;APCDD1;MGST1;IGFBP2;AKR1B1;CPE;CPXM2;DPT;F2R;CACNA2D3;WNT5A;MGP;WNT2;CXCL14;SERPINE2;CH25H;PDGFRA;GPM6B;DIO2;PAPPA;TNFRSF21;PRSS12;MASP1;MFAP4;TWIST2,"[46, 80, 155, 156, 159, 181, 216, 278, 483, 546, 594, 597, 636, 795, 905, 982, 1356, 1657, 1813, 1932, 2562, 2866, 3469, 3531, 3564, 4628, 4663, 7055, 7407, 7732, 7780, 8926, 9257, 10192, 10280, 10488, 10558, 10756, 10948, 11177, 12605, 12698, 13112, 13721, 14836, 15149]",c4.3ca__GAVISH_3CA_METAPROGRAM_FIBROBLASTS_CAF_7
c4.3ca,GAVISH_3CA_MALIGNANT_METAPROGRAM_5_STRESS,prerank,0.6982469356946972,2.552782847247022,0.0,0.0,0.0,30_49,30/49,13.73%,HSPA6;HSPA1A;HSPA1B;DNAJB1;DDIT4;MAFF;SOCS3;SERTAD1;NFKBIA;CDKN1A;HSPH1;IRF1;GADD45B;ID3;DNAJA1;FOS;RASD1;KLF4;DDIT3;MCL1;NFKBIZ;ZFP36;SAT1;IER2;PMAIP1;IER3;PPP1R15A;HERPUD1;HES1;JUN,HSPA6;HSPA1A;HSPA1B;DNAJB1;DDIT4;MAFF;SOCS3;SERTAD1;NFKBIA;CDKN1A;HSPH1;IRF1;GADD45B;ID3;DNAJA1;FOS;RASD1;KLF4;DDIT3;MCL1;NFKBIZ;ZFP36;SAT1;IER2;PMAIP1;IER3;PPP1R15A;HERPUD1;HES1;JUN;DUSP1;KLF6;TOB1;CXCL2;ATF3;ID2;ID1;JUNB;FOSB;RHOB;BTG2;TRIB1;PLK2;NR4A1;CCNL1;CITED2;KLF10;EGR1;EGR2,"[0, 2, 7, 8, 17, 25, 158, 411, 438, 715, 718, 753, 762, 956, 1202, 1219, 1331, 1437, 1519, 1560, 1641, 1852, 2029, 2071, 2205, 2252, 2264, 2276, 2380, 2405, 2914, 3544, 3777, 3816, 4249, 4384, 5430, 5749, 7914, 8680, 9417, 10636, 11728, 12865, 13575, 14327, 15725, 17016, 17423]",c4.3ca__GAVISH_3CA_MALIGNANT_METAPROGRAM_5_STRESS
c4.3ca,GAVISH_3CA_METAPROGRAM_FIBROBLASTS_METAL_RESPONSE,prerank,0.7053780119494939,2.4679025647301196,0.0,0.0,0.0,24_45,24/45,11.43%,SLPI;CXCL6;MT1F;HP;MT2A;MT1G;KRT18;MT1E;MT1X;UPK1B;ADAMTS9;PDZK1IP1;CXCL1;TMEM176B;EZR;TM4SF1;CFB;MT1H;CD74;ID3;KRT19;KRT8;YPEL3;CYSTM1,SLPI;CXCL6;MT1F;HP;MT2A;MT1G;KRT18;MT1E;MT1X;UPK1B;ADAMTS9;PDZK1IP1;CXCL1;TMEM176B;EZR;TM4SF1;CFB;MT1H;CD74;ID3;KRT19;KRT8;YPEL3;CYSTM1;ADIRF;MGST1;GBP2;CHI3L1;PLAT;ID1;DAB2;WFDC2;SEL1L3;PRG4;SLC39A8;SLC34A2;UPK3B;SLC40A1;RARRES1;CALB2;CLDN1;EGFL6;PROCR;SAA2;IL13RA2,"[42, 46, 57, 85, 145, 165, 166, 308, 318, 384, 386, 388, 594, 597, 669, 694, 742, 775, 908, 956, 1151, 1580, 1965, 2001, 2504, 3531, 4039, 4969, 5388, 5430, 6756, 7784, 7843, 8380, 8507, 8600, 9314, 11228, 12374, 12454, 13418, 13455, 16717, 16765, 17146]",c4.3ca__GAVISH_3CA_METAPROGRAM_FIBROBLASTS_METAL_RESPONSE
c4.3ca,GAVISH_3CA_METAPROGRAM_FIBROBLASTS_STRESS,prerank,0.7564059553512859,2.7263438440202084,0.0,0.0,0.0,33_49,33/49,14.32%,HSPA1A;HSPA1B;DNAJB1;BAG3;MAFF;SOCS3;GEM;SERTAD1;NFKBIA;CCL2;CDKN1A;HSPH1;IL6;IRF1;GADD45B;ICAM1;MYC;DNAJA1;FOS;TNFAIP3;KLF4;MCL1;NFKBIZ;CSRNP1;ZFP36;SAT1;IER2;IER3;PPP1R15A;KDM6B;HES1;JUN;C11orf96,HSPA1A;HSPA1B;DNAJB1;BAG3;MAFF;SOCS3;GEM;SERTAD1;NFKBIA;CCL2;CDKN1A;HSPH1;IL6;IRF1;GADD45B;ICAM1;MYC;DNAJA1;FOS;TNFAIP3;KLF4;MCL1;NFKBIZ;CSRNP1;ZFP36;SAT1;IER2;IER3;PPP1R15A;KDM6B;HES1;JUN;C11orf96;DUSP1;ADAMTS1;CXCL2;ATF3;ID2;ID1;JUNB;NR4A2;BRD2;FOSB;NAMPT;SOD2;BTG2;NR4A1;CCNL1;EGR1,"[2, 7, 8, 15, 25, 158, 249, 411, 438, 636, 715, 718, 719, 753, 762, 847, 1027, 1202, 1219, 1329, 1437, 1560, 1641, 1721, 1852, 2029, 2071, 2252, 2264, 2299, 2380, 2405, 2507, 2914, 3516, 3816, 4249, 4384, 5430, 5749, 6025, 7076, 7914, 9148, 9365, 9417, 12865, 13575, 17016]",c4.3ca__GAVISH_3CA_METAPROGRAM_FIBROBLASTS_STRESS
c4.3ca,GAVISH_3CA_METAPROGRAM_FIBROBLASTS_CAF_9,prerank,0.6607651473000236,2.3178562740980633,0.0,0.0,0.0,26_47,26/47,14.63%,KCNE4;MT1A;GEM;TNFRSF12A;GPRC5A;LIF;HMOX1;CCL2;TM4SF1;IL6;FOSL1;CXCL3;VEGFA;AKR1C1;MYC;VASN;ITPRIP;EMP1;THAP2;SERPINE1;CD59;HSPA5;IER3;PHLDA1;C11orf96;APOD,KCNE4;MT1A;GEM;TNFRSF12A;GPRC5A;LIF;HMOX1;CCL2;TM4SF1;IL6;FOSL1;CXCL3;VEGFA;AKR1C1;MYC;VASN;ITPRIP;EMP1;THAP2;SERPINE1;CD59;HSPA5;IER3;PHLDA1;C11orf96;APOD;CREM;IL1R1;UGDH;ANXA1;HMGA1;SPSB1;SPRY2;TXNRD1;FTH1;TXN;SOD2;THBS1;IGFBP7;NR3C1;DDX21;SLC4A7;THBS2;PTGS2;PTX3;MAP1B;INHBA,"[3, 138, 249, 251, 252, 352, 444, 636, 694, 719, 828, 873, 930, 1008, 1027, 1056, 1258, 1664, 1832, 1969, 2017, 2084, 2252, 2253, 2507, 2562, 3086, 3361, 4930, 5053, 5375, 6032, 6728, 7394, 7728, 8900, 9365, 10764, 11361, 12532, 12765, 13502, 13590, 13656, 15139, 15271, 17099]",c4.3ca__GAVISH_3CA_METAPROGRAM_FIBROBLASTS_CAF_9
c4.3ca,GAVISH_3CA_MALIGNANT_METAPROGRAM_22_SECRETED_1,prerank,0.7198281140858737,2.552836500849989,0.0,0.0,0.0,27_45,27/45,14.48%,MAFF;EPHA2;GEM;TNFRSF12A;ZC3H12A;PLAUR;LIF;CCL20;CXCL1;CCL2;TM4SF1;CDKN1A;FOSL1;ICAM1;PIM1;MYC;ITPKC;TNFAIP3;BIRC3;FOSL2;EMP1;CSRNP1;PIM3;IER3;PHLDA1;KDM6B;PFKFB3,MAFF;EPHA2;GEM;TNFRSF12A;ZC3H12A;PLAUR;LIF;CCL20;CXCL1;CCL2;TM4SF1;CDKN1A;FOSL1;ICAM1;PIM1;MYC;ITPKC;TNFAIP3;BIRC3;FOSL2;EMP1;CSRNP1;PIM3;IER3;PHLDA1;KDM6B;PFKFB3;ERRFI1;CXCL2;EDN1;MIDN;ANXA1;ARL5B;FHL2;NAMPT;ARID5B;ZBTB43;TRIB1;PHLDA2;NCOA7;MYADM;DDX21;HBEGF;DUSP5;MLF1,"[25, 66, 249, 251, 273, 295, 352, 561, 594, 636, 694, 715, 828, 847, 991, 1027, 1153, 1329, 1351, 1355, 1664, 1721, 1911, 2252, 2253, 2299, 2535, 3734, 3816, 4526, 5018, 5053, 7150, 8700, 9148, 9174, 9719, 10636, 11321, 12171, 12214, 12765, 12920, 14554, 14632]",c4.3ca__GAVISH_3CA_MALIGNANT_METAPROGRAM_22_SECRETED_1
c4.3ca,GAVISH_3CA_MALIGNANT_METAPROGRAM_39_METAL_RESPONSE,prerank,0.6563401358839631,2.3376481995366474,0.0,0.0,0.0,28_44,28/44,19.33%,DDIT4;MT1F;MT1M;MT1A;MT2A;STC1;FKBP5;MT1E;MT1X;EMP3;CEBPB;CP;TSC22D3;MT3;FSTL3;S100A6;TMEM91;KLF4;C1R;IGFBP5;IER2;BGN;LGALS1;GLUL;TMEM45A;C1S;VCAN;CKB,DDIT4;MT1F;MT1M;MT1A;MT2A;STC1;FKBP5;MT1E;MT1X;EMP3;CEBPB;CP;TSC22D3;MT3;FSTL3;S100A6;TMEM91;KLF4;C1R;IGFBP5;IER2;BGN;LGALS1;GLUL;TMEM45A;C1S;VCAN;CKB;NOL3;ID4;EDN1;ANXA1;ID1;ZBTB16;PLP2;RSL24D1;LOX;TGFBI;SOX4;CAV1;VCAM1;PMP22;NPTX2;TUBA1A,"[17, 57, 126, 138, 145, 156, 215, 308, 318, 387, 464, 546, 1034, 1108, 1116, 1299, 1419, 1437, 1505, 1810, 2071, 2213, 2686, 2868, 3005, 3007, 3195, 3385, 3946, 4488, 4526, 5053, 5430, 6815, 6879, 8365, 10644, 11627, 13059, 13967, 14570, 14599, 15230, 16804]",c4.3ca__GAVISH_3CA_MALIGNANT_METAPROGRAM_39_METAL_RESPONSE
