TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
Human_Phenotype_Ontology,Meningitis (HP:0001287),prerank,0.6216312327479625,1.9878828394545427,0.0,0.05291230189033229,0.079,16_44,16/44,9.22%,CARD9;DNASE1L3;CYBA;NCF1;BCL6;NCF4;MNX1;TCF3;HLA-DRB1;WAS;MEFV;CIITA;BCL2;IGLL1;NOD2;HLA-DPB1,CARD9;DNASE1L3;CYBA;NCF1;BCL6;NCF4;MNX1;TCF3;HLA-DRB1;WAS;MEFV;CIITA;BCL2;IGLL1;NOD2;HLA-DPB1;C4A;BTK;RAB27A;CD79B;TLR4;HLA-B;LRRC8A;CD79A;PRF1;NCF2;RFXANK;JAK3;SH2D1A;BLNK;RAG2;CYBB;IL10;CTLA4;RAG1;PTPN22;STAT4;VANGL1;RFX5;IL12RB2;PIK3R1;RFXAP;WIPF1;PRTN3,"[16, 307, 417, 461, 489, 553, 714, 734, 784, 1067, 1190, 1218, 1238, 1265, 1266, 1615, 2614, 2617, 3307, 3339, 3516, 3617, 4227, 4455, 4709, 4720, 5078, 5207, 5268, 5354, 6247, 6563, 6941, 8921, 10241, 11540, 11706, 12377, 12736, 13865, 14526, 14979, 14990, 15129]",Human_Phenotype_Ontology__Meningitis (HP:0001287)
Human_Phenotype_Ontology,Mediastinal lymphadenopathy (HP:0100721),prerank,0.7447220401827642,1.993435974102158,0.0,0.09245728540837012,0.071,10_20,10/20,14.13%,RHBDF2;CYBA;NCF1;BCL6;NCF4;HLA-DRB1;BCL2;BIRC3;IL6;MIF,RHBDF2;CYBA;NCF1;BCL6;NCF4;HLA-DRB1;BCL2;BIRC3;IL6;MIF;APOE;NCF2;FOXP1;CYBB;MALT1;PORCN;WT1;EWSR1;PTPN22;LEMD3,"[103, 417, 461, 489, 553, 784, 1238, 1994, 2121, 2475, 4072, 4720, 5437, 6563, 7227, 7857, 9281, 10050, 11540, 13265]",Human_Phenotype_Ontology__Mediastinal lymphadenopathy (HP:0100721)
Human_Phenotype_Ontology,Aplasia/Hypoplasia involving the femoral head and neck (HP:0009108),prerank,0.695295893010729,1.8713128947954767,0.0,0.15483810447907764,0.408,13_18,13/18,28.01%,MMP9;IHH;IFT140;TRAPPC2;TRPV4;CHST3;COL2A1;SLC26A2;BMPR1B;FGFR3;MATN3;SLC39A13;CANT1,MMP9;IHH;IFT140;TRAPPC2;TRPV4;CHST3;COL2A1;SLC26A2;BMPR1B;FGFR3;MATN3;SLC39A13;CANT1;RUNX2;POC1A;IDUA;CTC1;B3GALT6,"[27, 168, 797, 1457, 2377, 2417, 2752, 3546, 4114, 4371, 4656, 4742, 4905, 6841, 8178, 8588, 9079, 9753]",Human_Phenotype_Ontology__Aplasia/Hypoplasia involving the femoral head and neck (HP:0009108)
Human_Phenotype_Ontology,Thin ribs (HP:0000883),prerank,0.693778011231764,1.8754842777065797,0.0021598272138228943,0.1835221418196262,0.394,8_18,8/18,16.33%,SERPINH1;RAPSN;SCARF2;SOX9;LEPRE1;COL2A1;DOK7;ORC1,SERPINH1;RAPSN;SCARF2;SOX9;LEPRE1;COL2A1;DOK7;ORC1;COL11A1;CHRNA1;HDAC6;SKI;LIFR;DNM2;CHRND;CHRNG;TBCE;WNT1,"[8, 871, 1288, 2005, 2081, 2752, 2853, 2860, 4498, 4686, 5473, 6189, 6831, 6861, 8390, 9061, 10389, 14329]",Human_Phenotype_Ontology__Thin ribs (HP:0000883)
Human_Phenotype_Ontology,Blue sclerae (HP:0000592),prerank,0.5781859125692148,1.876259761992338,0.0,0.24246830269745254,0.394,12_44,12/44,12.36%,SERPINH1;PLOD1;INPPL1;ADAMTS2;FKBP10;PYCR1;CHSY1;BMP1;TGFB3;CTSK;CHST14;DSE,SERPINH1;PLOD1;INPPL1;ADAMTS2;FKBP10;PYCR1;CHSY1;BMP1;TGFB3;CTSK;CHST14;DSE;TGFBR2;B3GAT3;SLC26A2;COL1A2;COL5A1;SLC39A13;CANT1;COL1A1;CRTAP;TGFBR1;HSPG2;GHR;ALPL;IKBKG;PPIB;ABCC6;ROR2;WNT5A;FAM111A;B3GALT6;ESCO2;NFIX;COL5A2;XYLT1;KDM6A;MVK;ZNF469;HGD;COL3A1;WNT1;PRDM5;KIAA1279,"[8, 54, 157, 255, 752, 1529, 1689, 1768, 1861, 2008, 2062, 2164, 2773, 3006, 3546, 3978, 4715, 4742, 4905, 5109, 5300, 5624, 6635, 7202, 7488, 7584, 7641, 7661, 7746, 8910, 9663, 9753, 10339, 10671, 10693, 11204, 11256, 11336, 12066, 12856, 12899, 14329, 14441, 16803]",Human_Phenotype_Ontology__Blue sclerae (HP:0000592)
Human_Phenotype_Ontology,Short femoral neck (HP:0100864),prerank,0.708240625108318,1.8206182448915744,0.0,0.25564996387013184,0.632,7_16,7/16,15.72%,MMP9;IHH;IFT140;TRAPPC2;TRPV4;CHST3;COL2A1,MMP9;IHH;IFT140;TRAPPC2;TRPV4;CHST3;COL2A1;BMPR1B;FGFR3;MATN3;SLC39A13;CANT1;RUNX2;POC1A;CTC1;B3GALT6,"[27, 168, 797, 1457, 2377, 2417, 2752, 4114, 4371, 4656, 4742, 4905, 6841, 8178, 9079, 9753]",Human_Phenotype_Ontology__Short femoral neck (HP:0100864)
Human_Phenotype_Ontology,Abnormality of complement system (HP:0005339),prerank,0.6750633115316624,1.7717907748948916,0.002008032128514056,0.27313887207388376,0.816,12_18,12/18,16.03%,CFD;DNASE1L3;C1QA;C1QC;C1QB;C3;C7;LMNB2;CFH;CFI;C4A;C1R,CFD;DNASE1L3;C1QA;C1QC;C1QB;C3;C7;LMNB2;CFH;CFI;C4A;C1R;C1S;LMNA;C9;CFP;C6;C5,"[280, 307, 479, 771, 1031, 1102, 1107, 1800, 2051, 2455, 2614, 2808, 4215, 5411, 5937, 7041, 13010, 17107]",Human_Phenotype_Ontology__Abnormality of complement system (HP:0005339)
Human_Phenotype_Ontology,Recurrent skin infections (HP:0001581),prerank,0.6050916233965912,1.7621478042617917,0.002173913043478261,0.27716932109825737,0.849,13_29,13/29,14.94%,CARD9;IL2RG;CYBA;NCF1;MNX1;GJB2;AIRE;PSTPIP1;CIITA;CHST14;IL10RA;CFI;BTK,CARD9;IL2RG;CYBA;NCF1;MNX1;GJB2;AIRE;PSTPIP1;CIITA;CHST14;IL10RA;CFI;BTK;CTSC;NCF2;IL17RA;RFXANK;CLEC7A;CYBB;BTD;PSENEN;GJC2;RFX5;LYST;DSG1;PSEN1;RFXAP;EPG5;STAT1,"[16, 180, 417, 461, 714, 724, 847, 1136, 1218, 2062, 2448, 2455, 2617, 4687, 4720, 5027, 5078, 5747, 6563, 7627, 8093, 9900, 12736, 13016, 13365, 13571, 14979, 15759, 16938]",Human_Phenotype_Ontology__Recurrent skin infections (HP:0001581)
Human_Phenotype_Ontology,Chronic obstructive pulmonary disease (HP:0006510),prerank,0.629785071897983,1.7214536097996218,0.006607929515418502,0.2786168515637064,0.937,9_20,9/20,13.00%,DNASE1L3;CYBA;NCF1;NCF4;WAS;SERPINA1;HLA-DPB1;UFD1L;TBX1,DNASE1L3;CYBA;NCF1;NCF4;WAS;SERPINA1;HLA-DPB1;UFD1L;TBX1;HIRA;COMT;NCF2;CYBB;GLA;ARVCF;CTLA4;PTPN22;DYX1C1;WIPF1;PRTN3,"[307, 417, 461, 553, 1067, 1224, 1615, 2107, 2277, 3092, 4271, 4720, 6563, 7530, 7909, 8921, 11540, 14804, 14990, 15129]",Human_Phenotype_Ontology__Chronic obstructive pulmonary disease (HP:0006510)
Human_Phenotype_Ontology,Obstructive lung disease (HP:0006536),prerank,0.629785071897983,1.7214536097996218,0.006607929515418502,0.2786168515637064,0.937,9_20,9/20,13.00%,DNASE1L3;CYBA;NCF1;NCF4;WAS;SERPINA1;HLA-DPB1;UFD1L;TBX1,DNASE1L3;CYBA;NCF1;NCF4;WAS;SERPINA1;HLA-DPB1;UFD1L;TBX1;HIRA;COMT;NCF2;CYBB;GLA;ARVCF;CTLA4;PTPN22;DYX1C1;WIPF1;PRTN3,"[307, 417, 461, 553, 1067, 1224, 1615, 2107, 2277, 3092, 4271, 4720, 6563, 7530, 7909, 8921, 11540, 14804, 14990, 15129]",Human_Phenotype_Ontology__Obstructive lung disease (HP:0006536)
