TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
OMIM_Disease,immunodeficiency,prerank,0.6828009915261862,1.8170575076141602,0.0,0.02799972208712569,0.074,10_19,10/19,22.78%,NFKBIA;IL2RG;UNG;IL7R;CD247;RAC2;CD79B;CD3E;NHEJ1;PTPRC,NFKBIA;IL2RG;UNG;IL7R;CD247;RAC2;CD79B;CD3E;NHEJ1;PTPRC;STAT5B;ADA;RAG2;DCLRE1C;IKBKG;SP110;CD3G;RAG1;DNMT3B,"[132, 180, 940, 2230, 2564, 2938, 3339, 3429, 3592, 3989, 5095, 6139, 6247, 7037, 7584, 8383, 8645, 10241, 11295]",OMIM_Disease__immunodeficiency
OMIM_Disease,lymphoma,prerank,0.728739619479012,1.817430660124643,0.004056795131845842,0.041999583130688536,0.074,5_15,5/15,7.07%,BCL3;BCL6;RAD54L;MYC;BCL2,BCL3;BCL6;RAD54L;MYC;BCL2;CASP10;IL21R;PRF1;MAD1L1;BCL10;MALT1;RAD54B;PAX5;BCL7A;ATM,"[347, 489, 1094, 1232, 1238, 3306, 3990, 4709, 5308, 6271, 7227, 7392, 7690, 9166, 11270]",OMIM_Disease__lymphoma
OMIM_Disease,systemic lupus erythematosus,prerank,0.7143053414462539,1.8227085703194004,0.002188183807439825,0.07969151670951156,0.071,8_15,8/15,14.93%,TLR5;CD4;FCGR2B;IRF5;DNASE1;ITGAM;FCGR3A;C4A,TLR5;CD4;FCGR2B;IRF5;DNASE1;ITGAM;FCGR3A;C4A;TREX1;CR1;BANK1;PDCD1;PTPN22;STAT4;CR2,"[95, 204, 716, 1040, 1235, 1487, 2138, 2614, 3447, 4307, 6877, 7552, 11540, 11706, 12962]",OMIM_Disease__systemic lupus erythematosus
OMIM_Disease,asthma,prerank,0.6541433217226731,1.6463952418737167,0.01702127659574468,0.11092197596053638,0.334,6_15,6/15,20.07%,IRAK3;PTGER2;ADRB2;PTGDR;TBX21;TNF,IRAK3;PTGER2;ADRB2;PTGDR;TBX21;TNF;CHI3L1;IL12B;PHF11;HNMT;IL13;HLA-G;ALOX5;NPSR1;PLA2G7,"[1369, 1376, 1595, 2128, 3251, 3515, 6323, 6713, 7833, 8092, 8159, 8447, 9403, 10447, 11738]",OMIM_Disease__asthma
OMIM_Disease,spinocerebellar ataxia,prerank,-0.5920543691312691,-1.507911451680791,0.023809523809523808,0.26750791581300054,0.656,10_17,10/17,24.45%,TDP1;PPP2R2B;SYNE1;ATXN10;TBP;ITPR1;ATXN1;PLEKHG4;ATXN7;FGF14,POLG;PRKCG;ATXN2;TTBK2;KCNC3;CACNA1A;SPTBN2;FGF14;ATXN7;PLEKHG4;ATXN1;ITPR1;TBP;ATXN10;SYNE1;PPP2R2B;TDP1,"[3012, 9622, 10049, 10276, 11145, 11635, 12210, 13236, 13292, 13812, 14916, 15616, 15689, 15760, 16088, 16160, 17172]",OMIM_Disease__spinocerebellar ataxia
OMIM_Disease,long qt syndrome,prerank,-0.6570935926008857,-1.544816619002648,0.028142589118198873,0.26758552182281,0.554,5_12,5/12,13.67%,ALG10;KCNE1;AKAP9;ANK2;SCN5A,KCNQ1;KCNH2;CACNA1C;CAV3;KCNJ2;SCN4B;KCNE2;SCN5A;ANK2;AKAP9;KCNE1;ALG10,"[1330, 6843, 7402, 8160, 8539, 9786, 9854, 15125, 15234, 16195, 16624, 16836]",OMIM_Disease__long qt syndrome
OMIM_Disease,thyroid carcinoma,prerank,-0.6095403768941487,-1.472399484221372,0.0423572744014733,0.2799403985844664,0.755,7_14,7/14,14.98%,NRAS;PRKAR1A;TRIM24;GOLGA5;NCOA4;TRIM33;TSHR,NDUFA13;HRAS;MINPP1;NTRK1;RET;PTEN;PCM1;TSHR;TRIM33;NCOA4;GOLGA5;TRIM24;PRKAR1A;NRAS,"[1357, 3976, 8140, 9253, 10215, 10528, 13706, 14895, 14904, 15564, 15873, 16520, 16685, 16714]",OMIM_Disease__thyroid carcinoma
OMIM_Disease,gastric cancer,prerank,0.6415876135524007,1.4744931795683494,0.06345733041575492,0.33664281247828803,0.805,7_11,7/11,26.54%,IRF1;IL1RN;ERBB2;CASP10;KLF6;IL1B;MUTYH,IRF1;IL1RN;ERBB2;CASP10;KLF6;IL1B;MUTYH;PIK3CA;CDH1;APC;FGFR2,"[538, 2260, 2593, 3306, 3324, 4629, 4649, 7105, 8970, 9884, 11001]",OMIM_Disease__gastric cancer
OMIM_Disease,bardet-biedl syndrome,prerank,-0.6436467060437964,-1.557529273644091,0.02676864244741874,0.36831812255541074,0.512,10_14,10/14,29.74%,BBS4;BBS7;TMEM67;TTC8;BBS5;ARL6;BBS10;MKS1;MKKS;TRIM32,BBS2;BBS1;BBS12;CEP290;TRIM32;MKKS;MKS1;BBS10;ARL6;BBS5;TTC8;TMEM67;BBS7;BBS4,"[5842, 7968, 8769, 11485, 12309, 12525, 12780, 13209, 14704, 15453, 15461, 15575, 15589, 16874]",OMIM_Disease__bardet-biedl syndrome
OMIM_Disease,leigh syndrome,prerank,-0.5588728336715246,-1.3183649781306714,0.12878787878787878,0.3733469919910598,0.975,2_13,2/13,1.20%,COX15;LRPPRC,NDUFS8;SURF1;NDUFS7;BCS1L;PDHA1;NDUFA2;NDUFS3;NDUFV1;NDUFS4;SDHA;DLD;LRPPRC;COX15,"[1492, 4851, 5669, 5886, 6459, 6766, 7168, 7591, 11106, 13860, 15272, 17309, 17405]",OMIM_Disease__leigh syndrome
OMIM_Disease,"cardiomyopathy, hypertrophic",prerank,-0.5435793978946537,-1.3556293246849618,0.11213235294117647,0.3836841124976718,0.953,5_15,5/15,19.76%,MYLK2;COX15;TTN;ACTC1;TPM1,MYH7;TNNC1;MYL3;TNNT2;CAV3;PRKAG2;MYH6;MYBPC3;TNNI3;MYO6;TPM1;ACTC1;TTN;COX15;MYLK2,"[2695, 3173, 3253, 5671, 8160, 8791, 8823, 9128, 11027, 12363, 14058, 14935, 15422, 17405, 17453]","OMIM_Disease__cardiomyopathy, hypertrophic"
