TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
Tabula_Muris,Leukocyte Lung CL:0000738,prerank,0.6494652778328764,2.2502632343216438,0.0,0.0,0.0,28_64,28/64,13.19%,MMP9;IL1R2;HK3;SLPI;FGR;HP;FOXD4;NCF1;S100A8;CXCR2;ASPRV1;C5AR1;TYROBP;CLEC4E;CSF3R;CD300A;FCER1G;ADAM8;IFITM1;LILRB3;SLC16A3;MXD1;RETN;PRAM1;SELL;ALOX5AP;IL1RN;S100A9,MMP9;IL1R2;HK3;SLPI;FGR;HP;FOXD4;NCF1;S100A8;CXCR2;ASPRV1;C5AR1;TYROBP;CLEC4E;CSF3R;CD300A;FCER1G;ADAM8;IFITM1;LILRB3;SLC16A3;MXD1;RETN;PRAM1;SELL;ALOX5AP;IL1RN;S100A9;FPR1;TREM1;CCR1;PYGL;ARG2;FPR2;LILRA6;DHRS9;NLRP12;LST1;IL1B;SLC7A11;TRPM2;RDH12;STK17B;OSM;CXCL2;CD101;CLEC7A;SFXN5;LILRB4;PILRA;BST1;TNFAIP2;CSF2RB;ALOX5;NLRP3;CD300LF;PADI4;LMNB1;SLC40A1;PLA2G7;GDA;PGLYRP1;SLC32A1;HDC,"[27, 148, 200, 207, 341, 396, 416, 461, 639, 680, 684, 805, 865, 910, 1164, 1311, 1513, 1533, 1596, 1620, 1750, 1793, 1835, 2024, 2053, 2249, 2260, 2310, 2561, 3333, 3341, 3749, 3931, 4171, 4233, 4302, 4356, 4379, 4629, 4658, 4738, 4770, 4901, 5273, 5578, 5660, 5747, 6019, 6263, 6494, 7161, 7216, 7860, 9403, 9658, 10166, 10245, 10489, 11015, 11738, 13532, 14027, 16295, 16771]",Tabula_Muris__Leukocyte Lung CL:0000738
Tabula_Muris,Leukocyte Kidney CL:0000738,prerank,0.6265647387846928,2.174761784311377,0.0,0.0,0.0,29_64,29/64,20.21%,HCLS1;SLC11A1;C3AR1;FCGR2B;TLR2;SLC15A3;C5AR1;TYROBP;IRF5;DOK3;LILRA5;ARRB2;RUNX1;LRRC25;CD52;FCER1G;LCP1;CD86;LILRB3;AXL;ALOX5AP;LY86;IL10RA;CD14;CYTH4;PLBD1;PLEK;HCK;MS4A7,HCLS1;SLC11A1;C3AR1;FCGR2B;TLR2;SLC15A3;C5AR1;TYROBP;IRF5;DOK3;LILRA5;ARRB2;RUNX1;LRRC25;CD52;FCER1G;LCP1;CD86;LILRB3;AXL;ALOX5AP;LY86;IL10RA;CD14;CYTH4;PLBD1;PLEK;HCK;MS4A7;PTPRC;ITGAX;LST1;PIK3AP1;ARHGAP30;IL1B;NCKAP1L;STK17B;CLEC7A;MRC1;POU2F2;P2RY6;RGS10;LILRB4;PILRA;CYBB;AIF1;GPR65;SLAMF9;ARHGAP22;CCL3;PID1;CCL4;HPGD;NLRP3;BASP1;CD72;CORO2A;FNBP1;CAMK1D;PTCHD1;MPEG1;GLIPR1;SLAMF7;PRKCB,"[286, 440, 582, 716, 745, 773, 805, 865, 1040, 1057, 1150, 1250, 1384, 1467, 1470, 1513, 1537, 1574, 1620, 1739, 2249, 2387, 2448, 2611, 2659, 3210, 3296, 3336, 3539, 3989, 4130, 4379, 4411, 4436, 4629, 4799, 4901, 5747, 5858, 6013, 6180, 6190, 6263, 6494, 6563, 6768, 6823, 6856, 6987, 7600, 8511, 9267, 9608, 9658, 9875, 10026, 10065, 10211, 10673, 11039, 11170, 11479, 11492, 14648]",Tabula_Muris__Leukocyte Kidney CL:0000738
Tabula_Muris,Kupffer Cell Liver CL:0000091,prerank,0.6625807024011675,2.2645348440818944,0.0,0.0,0.0,29_61,29/61,15.62%,HK3;SLC11A1;C1QA;DMPK;HMOX1;C1QC;SLC15A3;VSIG4;TLR8;TYROBP;ITGB2;LILRA5;NFAM1;CD300A;LRRC25;CD52;FCER1G;CSF1R;CD86;LILRB3;FOLR2;AXL;CD163;LY86;CTSS;FPR1;MARCO;PLD4;ITGAL,HK3;SLC11A1;C1QA;DMPK;HMOX1;C1QC;SLC15A3;VSIG4;TLR8;TYROBP;ITGB2;LILRA5;NFAM1;CD300A;LRRC25;CD52;FCER1G;CSF1R;CD86;LILRB3;FOLR2;AXL;CD163;LY86;CTSS;FPR1;MARCO;PLD4;ITGAL;HCK;RASSF4;PTPRC;SIGLEC1;FPR2;LST1;CLEC12A;CD68;FABP7;CLEC7A;TMEM26;MYOF;TIMD4;LILRB4;LGALS3;IGSF6;CD300E;PILRA;GBP1;CYBB;AIF1;GPR65;CFP;LPL;KCNA2;BASP1;SDC3;CD5L;MPEG1;MYO9A;PLA2G7;CLEC4F,"[200, 440, 479, 529, 693, 771, 773, 774, 783, 865, 902, 1150, 1281, 1311, 1467, 1470, 1513, 1549, 1574, 1620, 1729, 1739, 2304, 2387, 2465, 2561, 2594, 2727, 2736, 3336, 3564, 3989, 4124, 4171, 4379, 4407, 5305, 5549, 5747, 5880, 6084, 6125, 6263, 6287, 6339, 6458, 6494, 6521, 6563, 6768, 6823, 7041, 8940, 9477, 9875, 10352, 10464, 11170, 11401, 11738, 17059]",Tabula_Muris__Kupffer Cell Liver CL:0000091
Tabula_Muris,Smooth Muscle Cell Brain Non-Microglia CL:0000192,prerank,0.6548531090988416,2.291441565034803,0.0,0.0,0.0,29_69,29/69,12.84%,SLC6A12;HIGD1B;HIC1;TCF15;ANPEP;SLC6A13;DDIT4L;PTH1R;TEAD2;PLA1A;PDGFRB;GJA4;SLC16A12;SIX2;ART3;IGF2;BMP5;NDUFA4L2;NID1;GGT5;GYPC;S1PR3;ARHGAP42;IFITM1;ATP1A4;TBXA2R;LAMC3;TREX2;ADCY4,SLC6A12;HIGD1B;HIC1;TCF15;ANPEP;SLC6A13;DDIT4L;PTH1R;TEAD2;PLA1A;PDGFRB;GJA4;SLC16A12;SIX2;ART3;IGF2;BMP5;NDUFA4L2;NID1;GGT5;GYPC;S1PR3;ARHGAP42;IFITM1;ATP1A4;TBXA2R;LAMC3;TREX2;ADCY4;SFRP2;KCNJ8;CD248;PLXDC1;PCDH18;CYSLTR2;TFPI;EGFLAM;IL34;NOTCH3;FAP;GPC3;P2RY14;ATP13A5;MRC2;SLC30A10;CCR9;NXPH4;ADAP2;PDE4C;ABCC9;ABCC6;COX4I2;PLA2R1;GGT1;REM1;ENPEP;FOXD1;COLEC12;ECM2;NOX3;ACE2;SEBOX;PSCA;NODAL;ANO1;RGS4;CASQ2;RGS5;ATP2A3,"[6, 66, 124, 133, 149, 199, 212, 218, 314, 365, 420, 430, 446, 474, 518, 826, 925, 928, 998, 1341, 1383, 1504, 1589, 1596, 1902, 2131, 2141, 2245, 2248, 2606, 2848, 3050, 3081, 3131, 3223, 3378, 3641, 3805, 3857, 3972, 4351, 4593, 4708, 5456, 5505, 5772, 5943, 6457, 6761, 7417, 7661, 8271, 8579, 8643, 9314, 9470, 9543, 10638, 10963, 11627, 12402, 12616, 12758, 13579, 14132, 14643, 15353, 15962, 16443]",Tabula_Muris__Smooth Muscle Cell Brain Non-Microglia CL:0000192
Tabula_Muris,Endothelial Cell Kidney CL:0000115,prerank,0.5896812635279151,2.1215817145847433,0.0,0.0,0.0,35_85,35/85,17.54%,HSPA1A;HSPB1;NUP210L;SBNO2;SERTAD1;NOS3;GJA4;IRF1;TNFRSF10B;SOCS3;LRRC32;EGFL7;ESAM;ECE1;SLC9A3R2;PODXL;IER2;TBX3;TM4SF1;MMRN2;RASIP1;KLF2;FLT1;CDKN1A;CRIP2;RASD1;IFITM3;KDM6B;GIMAP6;TIE1;S1PR1;KLF4;JUN;CDH5;PLSCR2,HSPA1A;HSPB1;NUP210L;SBNO2;SERTAD1;NOS3;GJA4;IRF1;TNFRSF10B;SOCS3;LRRC32;EGFL7;ESAM;ECE1;SLC9A3R2;PODXL;IER2;TBX3;TM4SF1;MMRN2;RASIP1;KLF2;FLT1;CDKN1A;CRIP2;RASD1;IFITM3;KDM6B;GIMAP6;TIE1;S1PR1;KLF4;JUN;CDH5;PLSCR2;PLSCR4;IER3;UBC;APOLD1;CBFA2T3;THBD;LRRC8A;LY6E;DUSP1;EFNB2;SGK1;ADAMTS1;USHBP1;LMNA;TAF7;ENG;PLAT;JUNB;EMCN;NRP1;EHD4;CALCRL;ERG;SOX17;FOSB;EPAS1;TEK;PI16;ETS2;RHOB;FABP4;PALMD;FAS;ALOX12;PTPRB;PLK2;KLF7;DUSP3;GNB1;KLF13;HBEGF;RASGRP3;DKK2;CLIC4;PBX1;RSAD2;CD200;EGR1;ICA1L;SLFN5,"[2, 3, 113, 303, 304, 335, 430, 538, 539, 619, 671, 835, 846, 972, 1008, 1091, 1118, 1154, 1244, 1319, 1432, 1446, 1534, 1714, 1816, 1847, 1873, 2172, 2224, 2491, 2528, 2806, 2824, 2999, 3072, 3423, 3480, 3543, 3868, 3915, 4174, 4227, 4334, 4446, 4454, 4545, 5129, 5351, 5411, 5526, 5813, 5897, 6511, 6592, 6661, 6662, 6921, 7244, 7508, 7855, 7864, 7870, 7894, 7937, 8719, 8786, 8918, 9493, 9781, 10643, 10655, 11636, 11967, 12079, 12216, 12285, 12728, 12906, 13304, 15130, 15449, 15606, 15627, 16061, 17439]",Tabula_Muris__Endothelial Cell Kidney CL:0000115
Tabula_Muris,Myeloid Cell Spleen CL:0000763,prerank,0.6384263112812194,2.1592387824168213,0.0,0.0,0.0,25_60,25/60,15.54%,MMP9;TLR5;ANPEP;GPR35;FGR;SLC11A1;S100A4;C5AR1;TYROBP;CLEC4E;CSF3R;MEFV;CD300A;CD300LB;APOBR;FCER1G;ADAM8;IFITM1;LILRB3;PRAM1;EMILIN2;APOC2;ALOX5AP;FPR1;SLAMF8,MMP9;TLR5;ANPEP;GPR35;FGR;SLC11A1;S100A4;C5AR1;TYROBP;CLEC4E;CSF3R;MEFV;CD300A;CD300LB;APOBR;FCER1G;ADAM8;IFITM1;LILRB3;PRAM1;EMILIN2;APOC2;ALOX5AP;FPR1;SLAMF8;ZBTB46;SIRPA;HAVCR2;PYGL;ITGAX;FPR2;DHRS9;LST1;IL1B;TCF7L2;TBC1D8;CLEC7A;LILRB4;IGSF6;CD300E;PILRA;TNFAIP2;DOCK5;CADM3;CSF2RB;HFE;ATP1A3;ACE;GPR141;NLRP3;TGFBI;NAV1;MPEG1;BATF3;ADAM23;PTPRO;GDA;PRR5L;GSR;TBC1D9,"[27, 95, 149, 156, 341, 440, 576, 805, 865, 910, 1164, 1190, 1311, 1333, 1434, 1513, 1533, 1596, 1620, 2024, 2129, 2165, 2249, 2561, 2721, 2963, 3184, 3593, 3749, 4130, 4171, 4302, 4379, 4629, 4922, 5675, 5747, 6263, 6339, 6458, 6494, 7216, 7321, 7484, 7860, 8281, 8842, 8966, 9469, 9658, 9768, 10407, 11170, 11362, 13317, 13395, 13532, 13956, 14462, 15410]",Tabula_Muris__Myeloid Cell Spleen CL:0000763
Tabula_Muris,Leukocyte Pancreas CL:0000738,prerank,0.6833570090750842,2.3485183815202677,0.0,0.0,0.0,40_67,40/67,20.24%,GPSM3;HCLS1;LAT2;MYO1F;PPP1R18;SLC11A1;INPP5D;NCF1;NCF4;FCGR2B;RUNX3;SLC15A3;SLA;IRF5;WAS;IKZF1;SYK;NFAM1;CD300A;RUNX1;LRRC25;CD52;CD86;LILRB3;ARHGAP15;CCR2;LY86;IL10RA;CYTH4;PLD4;VAV1;PLCB2;DOCK2;TNFAIP8L2;CD84;APBB1IP;HCK;LCP2;MS4A7;PMAIP1,GPSM3;HCLS1;LAT2;MYO1F;PPP1R18;SLC11A1;INPP5D;NCF1;NCF4;FCGR2B;RUNX3;SLC15A3;SLA;IRF5;WAS;IKZF1;SYK;NFAM1;CD300A;RUNX1;LRRC25;CD52;CD86;LILRB3;ARHGAP15;CCR2;LY86;IL10RA;CYTH4;PLD4;VAV1;PLCB2;DOCK2;TNFAIP8L2;CD84;APBB1IP;HCK;LCP2;MS4A7;PMAIP1;PTPRC;ITGAX;ARHGAP30;CD48;IL1B;NCF2;NCKAP1L;RGS1;ARHGAP25;CLEC7A;POU2F2;RGS10;LILRB4;CYBB;AIF1;GPR65;SLAMF9;CCL3;CSF2RB;CCL4;AMZ1;MPEG1;SLAMF7;PTPN22;PLA2G7;PTPRO;LPXN,"[72, 286, 325, 339, 340, 440, 448, 461, 553, 716, 751, 773, 778, 1040, 1067, 1092, 1267, 1281, 1311, 1384, 1467, 1470, 1574, 1620, 1933, 2082, 2387, 2448, 2659, 2727, 2843, 2865, 2897, 3027, 3150, 3320, 3336, 3402, 3539, 3544, 3989, 4130, 4436, 4535, 4629, 4720, 4799, 4861, 5553, 5747, 6013, 6190, 6263, 6563, 6768, 6823, 6856, 7600, 7860, 9267, 10982, 11170, 11492, 11540, 11738, 13395, 15176]",Tabula_Muris__Leukocyte Pancreas CL:0000738
Tabula_Muris,Monocyte Lung CL:0000576,prerank,0.6685399353265513,2.2988497226261053,0.0,0.0,0.0,32_63,32/63,15.57%,CD177;MYO1F;FGR;SLC11A1;NCF4;S100A4;FCGR2B;F10;SLA;TLR8;TYROBP;IRF5;DOK3;CSF3R;SYK;NFAM1;CD300A;LRRC25;ITGAM;FCER1G;CSF1R;F13A1;LILRB3;PLAC8;CCR2;EMILIN2;APOC2;ALOX5AP;LY86;IL10RA;CD14;PLD4,CD177;MYO1F;FGR;SLC11A1;NCF4;S100A4;FCGR2B;F10;SLA;TLR8;TYROBP;IRF5;DOK3;CSF3R;SYK;NFAM1;CD300A;LRRC25;ITGAM;FCER1G;CSF1R;F13A1;LILRB3;PLAC8;CCR2;EMILIN2;APOC2;ALOX5AP;LY86;IL10RA;CD14;PLD4;PLBD1;HCK;LCP2;RASSF4;MSR1;PSTPIP2;LILRA6;LST1;CLEC12A;NCF2;ADAP1;OSM;CD68;FMNL1;CLEC7A;POU2F2;LILRB4;IGSF6;CYBB;CFP;MNDA;ATP1A3;GPR141;ARL5C;CAMK1D;MPEG1;PLA2G7;EVI2A;PTPRO;EPSTI1;TNFRSF21,"[91, 339, 341, 440, 553, 576, 716, 770, 778, 783, 865, 1040, 1057, 1164, 1267, 1281, 1311, 1467, 1487, 1513, 1549, 1558, 1620, 1971, 2082, 2129, 2165, 2249, 2387, 2448, 2611, 2727, 3210, 3336, 3402, 3564, 4026, 4034, 4233, 4379, 4407, 4720, 5054, 5273, 5305, 5729, 5747, 6013, 6263, 6339, 6563, 7041, 8616, 8842, 9469, 10252, 10673, 11170, 11738, 12873, 13395, 13524, 14131]",Tabula_Muris__Monocyte Lung CL:0000576
Tabula_Muris,Endothelial Cell Fat CL:0000115,prerank,0.5639019453979708,2.0459225823490863,0.0,0.0,0.0,34_82,34/82,17.13%,HSPB1;GPR4;TCF15;DLL4;NOS3;FLT4;ICAM2;EGFL7;ESAM;SLC9A3R2;CLDN5;PODXL;BCAM;TM4SF1;MMRN2;CYP4B1;AFAP1L1;RASIP1;FLT1;KANK3;TINAGL1;BTNL9;SOX7;JAM2;ADCY4;F11R;SCARB1;GNG11;TIE1;S1PR1;AQP1;CYYR1;CD93;CDH5,HSPB1;GPR4;TCF15;DLL4;NOS3;FLT4;ICAM2;EGFL7;ESAM;SLC9A3R2;CLDN5;PODXL;BCAM;TM4SF1;MMRN2;CYP4B1;AFAP1L1;RASIP1;FLT1;KANK3;TINAGL1;BTNL9;SOX7;JAM2;ADCY4;F11R;SCARB1;GNG11;TIE1;S1PR1;AQP1;CYYR1;CD93;CDH5;ARAP3;MYCT1;ARHGEF15;ROBO4;APOLD1;ITGA6;MCF2L;SNCG;ECSCR;USHBP1;PDE2A;APLNR;ENG;GPIHBP1;ID1;MALL;KCNA5;SHANK3;PDGFB;EMCN;MGLL;ERG;ITGA1;SOX17;EPAS1;DYSF;TSPAN7;SEMA7A;FABP4;SOX18;PALMD;THRSP;PCDH17;KDR;PTPRB;CAV1;CLIC5;CCDC85A;ABLIM3;RBP7;CD300LG;CAV2;C1QTNF9;TIMP4;AQP7;CD200;LMCD1;CD36,"[3, 51, 133, 332, 335, 525, 814, 835, 846, 1008, 1059, 1091, 1209, 1244, 1319, 1352, 1358, 1432, 1534, 1623, 2056, 2092, 2124, 2156, 2248, 2397, 2430, 2472, 2491, 2528, 2580, 2859, 2967, 2999, 3182, 3441, 3664, 3844, 3868, 4120, 4532, 4604, 5343, 5351, 5434, 5520, 5813, 5835, 6042, 6187, 6341, 6413, 6544, 6592, 7099, 7244, 7251, 7508, 7864, 8098, 8501, 8591, 8786, 8914, 8918, 9260, 9333, 10163, 10643, 12109, 12662, 12785, 12952, 13418, 13911, 14528, 14535, 14682, 14801, 15606, 16655, 17434]",Tabula_Muris__Endothelial Cell Fat CL:0000115
Tabula_Muris,Leukocyte Trachea CL:0000738,prerank,0.6293218705014415,2.2904805235206926,0.0,0.0,0.0,47_83,47/83,20.07%,GPSM3;CXCR4;IL2RG;HCLS1;INPP5D;NCF4;CD37;FERMT3;FCGR2B;SLC15A3;SLA;DOK2;TYROBP;ITGB2;SNX20;WAS;GMFG;SYK;LAPTM5;COTL1;LRRC25;CD52;FCER1G;LCP1;CD86;ARHGAP15;CCR2;PTAFR;SRGN;IL7R;SELPLG;LY86;IL10RA;CTSS;NFKBID;CD53;CYTH4;ITGAL;VAV1;GPR171;DOCK2;RAC2;GPR132;CD84;PLEK;LCP2;TNF,GPSM3;CXCR4;IL2RG;HCLS1;INPP5D;NCF4;CD37;FERMT3;FCGR2B;SLC15A3;SLA;DOK2;TYROBP;ITGB2;SNX20;WAS;GMFG;SYK;LAPTM5;COTL1;LRRC25;CD52;FCER1G;LCP1;CD86;ARHGAP15;CCR2;PTAFR;SRGN;IL7R;SELPLG;LY86;IL10RA;CTSS;NFKBID;CD53;CYTH4;ITGAL;VAV1;GPR171;DOCK2;RAC2;GPR132;CD84;PLEK;LCP2;TNF;PTPN18;PTPRC;PIK3AP1;ARHGAP30;CD48;IL1B;NCKAP1L;RGS1;SAMSN1;ITK;CYTIP;FMNL1;CLEC7A;MYO1G;LILRB4;CD83;AIF1;GPR65;PTK2B;LYN;GPR183;CORO1A;NLRP3;UCP2;GNG2;MPEG1;GLIPR1;SLAMF7;PTPN22;TM6SF1;EVI2A;PRKCB;LPXN;DOCK10;SLC38A1;KCNA3,"[72, 77, 180, 286, 448, 553, 617, 630, 716, 773, 778, 821, 865, 902, 936, 1067, 1113, 1267, 1292, 1300, 1467, 1470, 1513, 1537, 1574, 1933, 2082, 2202, 2229, 2230, 2361, 2387, 2448, 2465, 2471, 2531, 2659, 2736, 2843, 2871, 2897, 2938, 3058, 3150, 3296, 3402, 3515, 3962, 3989, 4411, 4436, 4535, 4629, 4799, 4861, 5279, 5489, 5717, 5729, 5747, 5914, 6263, 6724, 6768, 6823, 6883, 6930, 7403, 8042, 9658, 10606, 10725, 11170, 11479, 11492, 11540, 12181, 12873, 14648, 15176, 15305, 16010, 16219]",Tabula_Muris__Leukocyte Trachea CL:0000738
