TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
Tabula_Sapiens,"Large Intestine-cd4-positive, Alpha-Beta T Cell",prerank,0.6330713744566092,2.283334150233711,0.0,0.0,0.0,65_89,65/89,27.03%,TSC22D3;RPS21;BTG1;HSP90AA1;RPL36;ZFP36L2;RPS19;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;SRGN;IL7R;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;VIM;RPL27;RPL13A;JUND;RPS5;RPL14;RPL37A;RPLP2;RPL6;RPS7;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;NACA;RPS25;RPL35;HLA-B;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL23A;RPL19;TMSB10;RPL32;RPS18;RPSA;RPS3A;RPS13;RPS4X;RPL27A;EIF1;RPL11;RPS9;FAU,TSC22D3;RPS21;BTG1;HSP90AA1;RPL36;ZFP36L2;RPS19;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;SRGN;IL7R;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;VIM;RPL27;RPL13A;JUND;RPS5;RPL14;RPL37A;RPLP2;RPL6;RPS7;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;NACA;RPS25;RPL35;HLA-B;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL23A;RPL19;TMSB10;RPL32;RPS18;RPSA;RPS3A;RPS13;RPS4X;RPL27A;EIF1;RPL11;RPS9;FAU;RPS2;RPL5;RPL39;RPS27;RPS15A;RPLP0;RPL37;RPL30;RPL41;ANXA1;RPS23;RPL10A;HLA-A;PTMA;RPL21;EEF1A1;FTH1;RPL12;B2M;TMSB4X;RPL15;EEF1B2;RPL26;CALM1,"[366, 810, 856, 876, 1282, 1465, 1703, 1909, 1915, 1935, 1974, 2036, 2179, 2229, 2230, 2326, 2353, 2390, 2393, 2420, 2425, 2436, 2446, 2457, 2470, 2520, 2534, 2663, 2774, 2812, 2854, 2893, 2907, 2914, 2972, 3103, 3157, 3166, 3230, 3327, 3337, 3349, 3416, 3450, 3617, 3625, 3677, 3702, 3736, 3757, 3862, 3924, 4014, 4055, 4122, 4139, 4210, 4216, 4265, 4288, 4296, 4426, 4526, 4699, 4734, 4852, 5122, 5209, 5455, 5586, 5663, 5716, 5756, 6144, 6173, 6216, 6728, 7039, 7095, 7103, 7703, 7737, 8558, 8604, 9219, 11953, 12656, 14761, 14779]","Tabula_Sapiens__Large Intestine-cd4-positive, Alpha-Beta T Cell"
Tabula_Sapiens,Small Intestine-duodenum Glandular Cell,prerank,0.6413525017732475,2.3057078929654042,0.0,0.0,0.0,56_82,56/82,26.83%,HSPA1A;S100A6;HSP90AA1;IER2;CYSTM1;RPL36;LYZ;RPS19;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;CXCL3;RPL34;RPL8;RPS3;RPL18;RPL9;RPL13A;JUND;RPL14;RPL37A;RPLP2;RPL6;JUN;RPS7;FOS;RPL35A;RPL7A;FTL;RPL3;GOLM1;RPS24;RPS29;RPS11;KLF6;RPS20;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL19;RPL32;RPS18;RPS3A;RPS13;RPS4X;RPL27A;EIF1;RPL11;TFF3;RPS9,HSPA1A;S100A6;HSP90AA1;IER2;CYSTM1;RPL36;LYZ;RPS19;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;CXCL3;RPL34;RPL8;RPS3;RPL18;RPL9;RPL13A;JUND;RPL14;RPL37A;RPLP2;RPL6;JUN;RPS7;FOS;RPL35A;RPL7A;FTL;RPL3;GOLM1;RPS24;RPS29;RPS11;KLF6;RPS20;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL19;RPL32;RPS18;RPS3A;RPS13;RPS4X;RPL27A;EIF1;RPL11;TFF3;RPS9;PGC;RPL5;RPL39;RPS27;RPS15A;ATF3;RPL37;RPL30;RPL41;RPS23;SSR4;CST3;RPL10A;RPL21;EEF1A1;FTH1;FOSB;RPL12;B2M;RHOB;MUC6;NUCB2;TMSB4X;RPL15;ACTG1;EGR1,"[2, 722, 876, 1118, 1185, 1282, 1546, 1703, 1909, 1915, 1935, 1974, 2036, 2179, 2258, 2326, 2353, 2390, 2393, 2420, 2457, 2470, 2534, 2663, 2774, 2812, 2824, 2854, 2889, 2893, 2907, 2914, 2972, 3018, 3103, 3157, 3166, 3324, 3327, 3625, 3677, 3702, 3736, 3757, 3862, 4014, 4122, 4139, 4216, 4265, 4288, 4296, 4426, 4526, 4669, 4699, 4840, 5122, 5209, 5455, 5586, 5684, 5716, 5756, 6144, 6216, 6308, 6578, 6728, 7103, 7703, 7737, 7855, 8558, 8604, 8719, 8785, 9098, 9219, 11953, 13331, 15627]",Tabula_Sapiens__Small Intestine-duodenum Glandular Cell
Tabula_Sapiens,Muscle-endothelial Cell Of Artery,prerank,0.6710441790949426,2.473520459541682,0.0,0.0,0.0,50_90,50/90,21.45%,HSPA1A;HSPB1;HSPA1B;DNAJB1;NFKBIA;CLU;SOCS3;S100A6;RPS21;HSP90AA1;DNAJA1;TM4SF1;RPL36;KLF2;GADD45B;RPS19;CCL2;IFITM3;RPS8;RPLP1;HSP90AB1;TPT1;RPL18A;SRGN;RPL34;RPL8;RPS3;RPL9;VIM;RPL37A;RPLP2;JUN;FOS;RPL35A;RPL7A;FTL;RPL3;TIMP3;RPS24;RPS29;HLA-E;IER3;IFI27;HLA-B;RPL28;RPS14;RPS27A;RPS28;ZFP36;RPS6,HSPA1A;HSPB1;HSPA1B;DNAJB1;NFKBIA;CLU;SOCS3;S100A6;RPS21;HSP90AA1;DNAJA1;TM4SF1;RPL36;KLF2;GADD45B;RPS19;CCL2;IFITM3;RPS8;RPLP1;HSP90AB1;TPT1;RPL18A;SRGN;RPL34;RPL8;RPS3;RPL9;VIM;RPL37A;RPLP2;JUN;FOS;RPL35A;RPL7A;FTL;RPL3;TIMP3;RPS24;RPS29;HLA-E;IER3;IFI27;HLA-B;RPL28;RPS14;RPS27A;RPS28;ZFP36;RPS6;RPL19;TMSB10;RPL32;RPS18;RPS13;RPS4X;EIF1;RPL11;RPS9;FAU;RPS2;SRP14;ADAMTS1;RPL39;RPS27;HLA-C;CXCL2;RPS15A;RPL37;RPL30;KCTD12;RPL41;RPS23;HLA-A;PTMA;RPL21;IGFBP3;EEF1A1;FTH1;EPAS1;HSPA8;SPARCL1;MGP;RPL12;B2M;TMSB4X;RPL15;CAV1;RPL26;EGR1,"[2, 3, 7, 9, 132, 216, 619, 722, 810, 876, 1024, 1244, 1282, 1446, 1626, 1703, 1826, 1873, 1915, 1935, 1985, 2036, 2179, 2229, 2326, 2353, 2390, 2420, 2436, 2663, 2774, 2824, 2889, 2893, 2907, 2914, 2972, 3019, 3103, 3157, 3356, 3480, 3603, 3617, 3625, 3677, 3702, 3736, 3755, 3757, 4014, 4055, 4122, 4139, 4265, 4288, 4426, 4526, 4699, 4734, 4852, 4885, 5129, 5209, 5455, 5482, 5578, 5586, 5716, 5756, 5968, 6144, 6216, 7039, 7095, 7103, 7570, 7703, 7737, 7864, 7879, 7967, 8492, 8558, 8604, 9219, 11953, 12109, 14761, 15627]",Tabula_Sapiens__Muscle-endothelial Cell Of Artery
Tabula_Sapiens,Lung-macrophage,prerank,0.6622330603028962,2.4081748367342577,0.0,0.0,0.0,68_89,68/89,27.70%,CEBPB;GRN;CYBA;C1QA;S100A4;S100A6;TSPO;TYROBP;HSP90AA1;C1QB;SERF2;GPX1;CSTB;CD74;OAZ1;CD52;HLA-DRA;FCER1G;LYZ;CD63;RPS19;S100A11;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;ALOX5AP;S100A9;RPL34;RPL8;RPS3;RPL18;VIM;RPL13A;CTSS;CD81;S100A10;HLA-DPA1;RPL7A;FTL;RPL3;ANXA2;YBX1;RPS24;UBA52;CTSD;RPL28;RPS14;RPS27A;RPL29;RPL19;TMSB10;APOE;MYL6;RPL32;RPS18;RPS13;RPS4X;EIF1;ACP5;RPL11;RPS9;FAU;UBB;APOC1;RPS2,CEBPB;GRN;CYBA;C1QA;S100A4;S100A6;TSPO;TYROBP;HSP90AA1;C1QB;SERF2;GPX1;CSTB;CD74;OAZ1;CD52;HLA-DRA;FCER1G;LYZ;CD63;RPS19;S100A11;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;ALOX5AP;S100A9;RPL34;RPL8;RPS3;RPL18;VIM;RPL13A;CTSS;CD81;S100A10;HLA-DPA1;RPL7A;FTL;RPL3;ANXA2;YBX1;RPS24;UBA52;CTSD;RPL28;RPS14;RPS27A;RPL29;RPL19;TMSB10;APOE;MYL6;RPL32;RPS18;RPS13;RPS4X;EIF1;ACP5;RPL11;RPS9;FAU;UBB;APOC1;RPS2;RPS27;RPS15A;RPL30;RPL41;RPS23;LGALS3;HLA-A;PTMA;FBP1;EEF1A1;FTH1;RPL12;B2M;FABP4;TMSB4X;FN1;RPL15;CHIT1;CD9;ACTG1;FABP5,"[311, 330, 417, 479, 576, 722, 780, 865, 876, 1031, 1178, 1260, 1263, 1313, 1344, 1470, 1505, 1513, 1546, 1647, 1703, 1895, 1909, 1915, 1935, 1974, 2036, 2179, 2249, 2310, 2326, 2353, 2390, 2393, 2436, 2457, 2465, 2595, 2652, 2875, 2907, 2914, 2972, 3075, 3086, 3103, 3337, 3494, 3625, 3677, 3702, 3862, 4014, 4055, 4072, 4094, 4122, 4139, 4265, 4288, 4426, 4430, 4526, 4699, 4734, 4750, 4775, 4852, 5455, 5586, 5756, 6144, 6216, 6287, 7039, 7095, 7260, 7703, 7737, 8558, 8604, 8786, 9219, 10662, 11953, 12295, 13114, 13331, 13621]",Tabula_Sapiens__Lung-macrophage
Tabula_Sapiens,Blood-myeloid Progenitor,prerank,0.5681460125780783,2.0611025742774816,0.0,0.0,0.0,58_89,58/89,24.53%,S100A4;RPS21;RPL36;ZFP36L2;RPS19;RPS16;RPS8;RPLP1;RPS15;HSP90AB1;TPT1;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL27;RPL13A;RPS5;RPL14;RPL37A;RPLP2;RPL6;RPS7;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;NACA;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;TMSB10;RPL32;RPS18;RPSA;RPS3A;RPS13;RPS4X;RPL27A,S100A4;RPS21;RPL36;ZFP36L2;RPS19;RPS16;RPS8;RPLP1;RPS15;HSP90AB1;TPT1;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL27;RPL13A;RPS5;RPL14;RPL37A;RPLP2;RPL6;RPS7;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;NACA;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;TMSB10;RPL32;RPS18;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL11;RPS9;FAU;GAPDH;RPS2;RPL5;RPL39;RPS27;RPS15A;RPLP0;RPL37;RPL30;RPL41;RPS23;RPL10A;PTMA;RPL21;HINT1;EEF1A1;FTH1;RPL12;B2M;EEF2;RPL15;EEF1B2;SOX4;ACTG1;HMGB1;RPL26;HNRNPA1;NPM1,"[576, 810, 1282, 1465, 1703, 1909, 1915, 1935, 1974, 1985, 2036, 2055, 2179, 2326, 2353, 2390, 2393, 2420, 2446, 2457, 2520, 2534, 2663, 2774, 2812, 2854, 2893, 2907, 2914, 2972, 3103, 3157, 3166, 3230, 3327, 3337, 3349, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3862, 3887, 3924, 3957, 4014, 4020, 4055, 4122, 4139, 4210, 4216, 4265, 4288, 4296, 4526, 4699, 4734, 4761, 4852, 5122, 5209, 5455, 5586, 5663, 5716, 5756, 6144, 6216, 6728, 7095, 7103, 7246, 7703, 7737, 8558, 8604, 9332, 11953, 12656, 12801, 13331, 14226, 14761, 15588, 15766]",Tabula_Sapiens__Blood-myeloid Progenitor
Tabula_Sapiens,Liver-monocyte,prerank,0.6686162191630259,2.4010430513743195,0.0,0.0,0.0,56_86,56/86,24.48%,G0S2;S100A12;NFKBIA;PLAUR;CEBPB;CYBA;S100A4;S100A8;S100A6;BTG1;COTL1;OAZ1;HLA-DRA;FCER1G;LYZ;RPS19;S100A11;RPS8;RPLP1;RPS15;TPT1;RPL18A;SRGN;LGALS1;S100A9;RPL34;SH3BGRL3;RPL9;VIM;CTSS;JUND;S100A10;RPLP2;RPL6;RPS7;FTL;TIMP1;RPS24;RPS11;UBA52;NACA;HLA-B;RPL28;VCAN;RPS14;RPS27A;RPS28;ZFP36;RPS6;RPL19;TMSB10;RPL32;RPS18;RPS3A;RPS13;RPS4X,G0S2;S100A12;NFKBIA;PLAUR;CEBPB;CYBA;S100A4;S100A8;S100A6;BTG1;COTL1;OAZ1;HLA-DRA;FCER1G;LYZ;RPS19;S100A11;RPS8;RPLP1;RPS15;TPT1;RPL18A;SRGN;LGALS1;S100A9;RPL34;SH3BGRL3;RPL9;VIM;CTSS;JUND;S100A10;RPLP2;RPL6;RPS7;FTL;TIMP1;RPS24;RPS11;UBA52;NACA;HLA-B;RPL28;VCAN;RPS14;RPS27A;RPS28;ZFP36;RPS6;RPL19;TMSB10;RPL32;RPS18;RPS3A;RPS13;RPS4X;EIF1;RPL11;IL1B;FAU;GAPDH;RPS2;RPL39;RPS27;CXCL2;RPS15A;RPL37;RPL30;PABPC1;RPL41;RPS23;CST3;PTMA;RPL21;EEF1A1;FTH1;RPL12;B2M;NAMPT;TMSB4X;THBS1;SOD2;EREG;RPL15;ACTG1;RPL26,"[1, 37, 132, 296, 311, 417, 576, 639, 722, 856, 1300, 1344, 1505, 1513, 1546, 1703, 1895, 1915, 1935, 1974, 2036, 2179, 2229, 2269, 2310, 2326, 2356, 2420, 2436, 2465, 2470, 2652, 2774, 2812, 2854, 2914, 2996, 3103, 3166, 3337, 3349, 3617, 3625, 3662, 3677, 3702, 3736, 3755, 3757, 4014, 4055, 4122, 4139, 4216, 4265, 4288, 4426, 4526, 4629, 4734, 4761, 4852, 5209, 5455, 5578, 5586, 5716, 5756, 6002, 6144, 6216, 6578, 7095, 7103, 7703, 7737, 8558, 8604, 8789, 9219, 9307, 9445, 9491, 11953, 13331, 14761]",Tabula_Sapiens__Liver-monocyte
Tabula_Sapiens,Blood-nk Cell,prerank,0.5833926650413346,2.1324326586318567,0.0,0.0,0.0,54_87,54/87,24.48%,TSC22D3;CYBA;S100A4;S100A8;RPS21;BTG1;KLRD1;RPS19;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;SRGN;S100A9;RPL34;SH3BGRL3;RPS3;RPL18;RPL9;RPL13A;JUND;RPL14;RPLP2;RPL6;JUN;RPS7;FOS;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;UBA52;NACA;HLA-E;HLA-B;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;PTPRC;RPL19;TMSB10;RPL32;RPS18;RPS3A;RPS13;RPS4X,TSC22D3;CYBA;S100A4;S100A8;RPS21;BTG1;KLRD1;RPS19;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;SRGN;S100A9;RPL34;SH3BGRL3;RPS3;RPL18;RPL9;RPL13A;JUND;RPL14;RPLP2;RPL6;JUN;RPS7;FOS;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;UBA52;NACA;HLA-E;HLA-B;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;PTPRC;RPL19;TMSB10;RPL32;RPS18;RPS3A;RPS13;RPS4X;EIF1;RPL11;RPS9;FAU;RPS2;RPL5;RPL39;PFN1;RPS27;HLA-C;RPS15A;RPL37;RPL30;RPL41;RPS23;CCL5;TXNIP;HLA-A;PTMA;RPL21;EEF1A1;FTH1;GNLY;RPL12;B2M;TMSB4X;DDX5;RPL15;NKG7;ARL4C;RPL26;CALM1;HBA2,"[366, 417, 576, 639, 810, 856, 1325, 1703, 1909, 1915, 1935, 1974, 2036, 2179, 2229, 2310, 2326, 2356, 2390, 2393, 2420, 2457, 2470, 2534, 2774, 2812, 2824, 2854, 2889, 2893, 2907, 2914, 2972, 3103, 3157, 3166, 3337, 3349, 3356, 3617, 3625, 3677, 3702, 3736, 3757, 3862, 3989, 4014, 4055, 4122, 4139, 4216, 4265, 4288, 4426, 4526, 4699, 4734, 4852, 5122, 5209, 5360, 5455, 5482, 5586, 5716, 5756, 6144, 6216, 6365, 6506, 7039, 7095, 7103, 7703, 7737, 7939, 8558, 8604, 9219, 11020, 11953, 13309, 13903, 14761, 14779, 16398]",Tabula_Sapiens__Blood-nk Cell
Tabula_Sapiens,"Eye-cd4-positive, Alpha-Beta T Cell",prerank,0.6112542354919415,2.228887550393676,0.0,0.0,0.0,65_87,65/87,30.33%,TCAP;S100A6;RPS21;BTG1;HSP90AA1;TM4SF1;RPL36;LYZ;RPS19;IFITM3;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;SRGN;RPL34;RPL8;RPS3;RPL18;RPL9;VIM;RPL13A;RPL14;RPL37A;RPLP2;RPS7;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPL38;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL23A;RPL19;TMSB10;RPL32;RPS18;RPS3A;RPS13;RPS4X;RPL27A;EIF1;RPL11;RPS9;FAU;RPS2;SRP14;PMEL;RPL5;ADAMTS1;RPL39;JAG1;SRSF7,TCAP;S100A6;RPS21;BTG1;HSP90AA1;TM4SF1;RPL36;LYZ;RPS19;IFITM3;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;SRGN;RPL34;RPL8;RPS3;RPL18;RPL9;VIM;RPL13A;RPL14;RPL37A;RPLP2;RPS7;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPL38;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL23A;RPL19;TMSB10;RPL32;RPS18;RPS3A;RPS13;RPS4X;RPL27A;EIF1;RPL11;RPS9;FAU;RPS2;SRP14;PMEL;RPL5;ADAMTS1;RPL39;JAG1;SRSF7;RPS27;RPS15A;RPL37;RPL30;RPL41;RPS23;PTMA;RPL21;EEF1A1;FTH1;GPX3;MGP;RPL12;B2M;TMSB4X;CCL4;SERPINE2;DDX5;RPL15;LCN1;RPL26;TYRP1,"[17, 722, 810, 856, 876, 1244, 1282, 1546, 1703, 1873, 1909, 1915, 1935, 1974, 2036, 2179, 2229, 2326, 2353, 2390, 2393, 2420, 2436, 2457, 2534, 2663, 2774, 2854, 2893, 2907, 2914, 2972, 3103, 3157, 3166, 3230, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3862, 3924, 4014, 4055, 4122, 4139, 4216, 4265, 4288, 4296, 4426, 4526, 4699, 4734, 4852, 4885, 4924, 5122, 5129, 5209, 5281, 5313, 5455, 5586, 5716, 5756, 6144, 6216, 7095, 7103, 7703, 7737, 7945, 8492, 8558, 8604, 9219, 9267, 10534, 11020, 11953, 13567, 14761, 14819]","Tabula_Sapiens__Eye-cd4-positive, Alpha-Beta T Cell"
Tabula_Sapiens,"Lymph Node-cd4-positive, Alpha-Beta Memory T Cell",prerank,0.6382339113413813,2.32179305484222,0.0,0.0,0.0,63_91,63/91,24.53%,CXCR4;TSC22D3;RPS21;BTG1;HSP90AA1;RPL36;KLF2;ZFP36L2;RPS19;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;IL7R;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;JUND;RPS5;RPL14;RPL37A;RPLP2;RPL6;JUN;RPS7;FOS;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;NACA;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL23A;RPL19;RPS26;TMSB10;RPL32;RPS18;RPSA;RPS3A;RPS13;RPS4X;RPL27A,CXCR4;TSC22D3;RPS21;BTG1;HSP90AA1;RPL36;KLF2;ZFP36L2;RPS19;RPS16;RPS8;RPLP1;RPS15;TPT1;RPL18A;IL7R;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;JUND;RPS5;RPL14;RPL37A;RPLP2;RPL6;JUN;RPS7;FOS;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;NACA;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL23A;RPL19;RPS26;TMSB10;RPL32;RPS18;RPSA;RPS3A;RPS13;RPS4X;RPL27A;EIF1;RPL11;RPS9;FAU;RPS2;RPL5;RPL39;RPS27;RPS15A;RPLP0;RPL37;RPL30;RPL41;RPS23;TXNIP;RPL10A;PTMA;RPL21;EEF1A1;FTH1;RPL12;B2M;TMSB4X;RPL15;EEF1B2;ACTG1;CD69;RPL26,"[77, 366, 810, 856, 876, 1282, 1446, 1465, 1703, 1909, 1915, 1935, 1974, 2036, 2179, 2230, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2470, 2520, 2534, 2663, 2774, 2812, 2824, 2854, 2889, 2893, 2907, 2914, 2972, 3103, 3157, 3166, 3230, 3327, 3337, 3349, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3862, 3924, 4014, 4020, 4055, 4122, 4139, 4210, 4216, 4265, 4288, 4296, 4426, 4526, 4699, 4734, 4852, 5122, 5209, 5455, 5586, 5663, 5716, 5756, 6144, 6216, 6506, 6728, 7095, 7103, 7703, 7737, 8558, 8604, 9219, 11953, 12656, 13331, 13891, 14761]","Tabula_Sapiens__Lymph Node-cd4-positive, Alpha-Beta Memory T Cell"
Tabula_Sapiens,Bladder-t Cell,prerank,0.6876399234999198,2.4815718531499944,0.0,0.0,0.0,63_89,63/89,24.53%,HSPA1A;DNAJB1;CXCR4;TSC22D3;S100A4;HSPD1;RPS21;BTG1;HSP90AA1;HSPH1;RPL36;ZFP36L2;RPS19;RPS16;RPS8;RPLP1;RPS15;HSP90AB1;TPT1;RPL18A;SRGN;IL7R;RPL34;RPL8;RPS3;RPL18;RPL9;VIM;RPL13A;JUND;RPS5;RPL14;RPL37A;RPLP2;RPS7;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPS20;UBA52;NACA;HLA-B;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL23A;RPL19;RPS26;TMSB10;RPL32;RPS18;RPSA;RPS3A;RPS13;RPS4X;RPL27A,HSPA1A;DNAJB1;CXCR4;TSC22D3;S100A4;HSPD1;RPS21;BTG1;HSP90AA1;HSPH1;RPL36;ZFP36L2;RPS19;RPS16;RPS8;RPLP1;RPS15;HSP90AB1;TPT1;RPL18A;SRGN;IL7R;RPL34;RPL8;RPS3;RPL18;RPL9;VIM;RPL13A;JUND;RPS5;RPL14;RPL37A;RPLP2;RPS7;RPL35A;RPL7A;FTL;RPL3;RPS24;RPS29;RPS11;RPS20;UBA52;NACA;HLA-B;RPL28;RPS14;RPS27A;RPS28;RPS6;RPL29;RPL23A;RPL19;RPS26;TMSB10;RPL32;RPS18;RPSA;RPS3A;RPS13;RPS4X;RPL27A;EIF1;RPL11;RPS9;FAU;RPS2;RPL5;RPL39;RPS27;RPS15A;RPL37;RPL30;RPL41;ANXA1;RPS23;RPL10A;HLA-A;PTMA;RPL21;EEF1A1;FTH1;HSPA8;RPL12;B2M;TMSB4X;RPL15;RPL26,"[2, 9, 77, 366, 576, 682, 810, 856, 876, 913, 1282, 1465, 1703, 1909, 1915, 1935, 1974, 1985, 2036, 2179, 2229, 2230, 2326, 2353, 2390, 2393, 2420, 2436, 2457, 2470, 2520, 2534, 2663, 2774, 2854, 2893, 2907, 2914, 2972, 3103, 3157, 3166, 3327, 3337, 3349, 3617, 3625, 3677, 3702, 3736, 3757, 3862, 3924, 4014, 4020, 4055, 4122, 4139, 4210, 4216, 4265, 4288, 4296, 4426, 4526, 4699, 4734, 4852, 5122, 5209, 5455, 5586, 5716, 5756, 6144, 6173, 6216, 6728, 7039, 7095, 7103, 7703, 7737, 7879, 8558, 8604, 9219, 11953, 14761]",Tabula_Sapiens__Bladder-t Cell
