TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
WikiPathways_2024_Human,Cytokine Cytokine Receptor Interaction WP5473,prerank,0.5548589758692022,2.273070071553985,0.0,0.0,0.0,64_194,64/194,13.98%,IL17RB;EPOR;CXCR4;CSF1;IL1R2;IFNA2;IL2RG;CXCL6;TNFSF14;PPBP;TNFRSF4;TGFB1;TNFRSF1A;IL4R;IL15RA;TNFRSF12A;TNFRSF10B;TNFRSF10A;CXCR1;LTA;LTBR;IL18;TNFRSF11B;CXCR2;TNFRSF1B;BMP4;CLCF1;BMP5;CXCL16;INHBB;GDF15;IFNGR2;CSF3R;LIF;TGFB2;TNFSF12;CNTFR;IL10RB;CSF1R;CXCL11;CCL20;ACVRL1;IL27RA;IL27;CXCL1;CSF3;CD40;CCL2;TGFB3;EDA;IL6R;CXCL9;BMP7;CCR2;IL6;TNFRSF10C;TPO;IL7R;CXCL3;IL1RN;IL9;CCL26;TNFRSF25;IL10RA,IL17RB;EPOR;CXCR4;CSF1;IL1R2;IFNA2;IL2RG;CXCL6;TNFSF14;PPBP;TNFRSF4;TGFB1;TNFRSF1A;IL4R;IL15RA;TNFRSF12A;TNFRSF10B;TNFRSF10A;CXCR1;LTA;LTBR;IL18;TNFRSF11B;CXCR2;TNFRSF1B;BMP4;CLCF1;BMP5;CXCL16;INHBB;GDF15;IFNGR2;CSF3R;LIF;TGFB2;TNFSF12;CNTFR;IL10RB;CSF1R;CXCL11;CCL20;ACVRL1;IL27RA;IL27;CXCL1;CSF3;CD40;CCL2;TGFB3;EDA;IL6R;CXCL9;BMP7;CCR2;IL6;TNFRSF10C;TPO;IL7R;CXCL3;IL1RN;IL9;CCL26;TNFRSF25;IL10RA;BMP6;TGFBR2;INHBE;NGF;GDF11;IL18R1;AMH;IL17RC;CCR1;TNF;TNFSF13B;IFNL3;GDF10;CXCL10;TNFRSF14;CCL22;IL34;IL11RA;IL13RA1;IL23A;CXCL5;IL18RAP;IL21R;IL17B;BMPR1B;IL17D;CCR5;IL15;MSTN;IL1RL1;ANP32B;TNFSF9;NGFR;IL17RA;IL1R1;CXCL13;IL6ST;CCL25;CXCL2;IFNGR1;TNFRSF17;TGFBR1;LEPR;CCR9;NFIC;IL20RA;IL20RB;TNFRSF19;LTB;CCL5;BMPR1A;LIFR;IL10;TNFRSF18;GDF6;CCR10;XCL1;GHR;CX3CR1;CCL3;CCL4L2;IL22RA1;CSF2RB;CX3CL1;GDF5;IL11;PF4;ACVR1B;RELT;IL13;IL4;TNFSF4;BMP8B;EDA2R;CXCR6;IL24;CCL28;CCL4;CXCL14;CD70;FAS;EPO;BMP3;IFNAR2;IFNW1;CNTF;BMPR2;INHBC;ACVR2A;TSLP;IL17C;IL1RL2;CCR7;TNFRSF13C;IFNLR1;IFNAR1;CD27;CCL8;IFNL1;IL36G;INHA;TNFRSF11A;GDF7;IL25;GDF9;IL12RB1;CCL1;EDAR;IL1A;ACVR1;PRLR;IL33;IL1RAP;NODAL;CCR6;IL12RB2;TNFSF10;IL5RA;TNFRSF21;IL2RB;IL7;TNFRSF8;CXCL12;IL5;CCL19;ACVR1C;INHBA;IL13RA2;MPL;ACVR2B,"[34, 45, 77, 137, 148, 178, 180, 232, 291, 294, 373, 386, 390, 462, 491, 503, 539, 591, 599, 631, 640, 662, 664, 680, 720, 730, 750, 925, 983, 1020, 1105, 1147, 1164, 1188, 1191, 1308, 1386, 1462, 1549, 1566, 1617, 1627, 1657, 1736, 1774, 1776, 1795, 1826, 1861, 1963, 2017, 2028, 2039, 2082, 2121, 2135, 2192, 2230, 2258, 2260, 2276, 2380, 2404, 2448, 2547, 2773, 2822, 3051, 3076, 3123, 3211, 3234, 3341, 3515, 3536, 3560, 3659, 3676, 3763, 3794, 3805, 3842, 3851, 3864, 3891, 3895, 3990, 4039, 4114, 4138, 4246, 4728, 4756, 4810, 4820, 4887, 4970, 5027, 5151, 5314, 5448, 5547, 5578, 5613, 5623, 5624, 5645, 5772, 5825, 5945, 6035, 6177, 6278, 6365, 6579, 6831, 6941, 6954, 7066, 7090, 7121, 7202, 7588, 7600, 7660, 7668, 7860, 7950, 7956, 8041, 8058, 8084, 8099, 8159, 8442, 8620, 8796, 8894, 8931, 9230, 9263, 9267, 9270, 9283, 9493, 9692, 9778, 9792, 9795, 9983, 10005, 10017, 10101, 10214, 10343, 10345, 10347, 10364, 10462, 10611, 10630, 10836, 10977, 11347, 11372, 11457, 11771, 12112, 12163, 12365, 12414, 12495, 12614, 12679, 12867, 13145, 13453, 13579, 13588, 13865, 13874, 13885, 14131, 14160, 14894, 15094, 15207, 15390, 15722, 15998, 16208, 16321, 16653, 16673]",WikiPathways_2024_Human__Cytokine Cytokine Receptor Interaction WP5473
WikiPathways_2024_Human,TYROBP Causal Network In Microglia WP3945,prerank,0.6981414915655074,2.360601353082938,0.0,0.0,0.0,34_58,34/58,18.96%,CD4;TCIRG1;HCLS1;HLX;PPP1R18;CD37;IL18;TNFRSF1B;RUNX3;C1QC;TYROBP;ITGB2;RBM47;CXCL16;MAF;RNASE6;C3;GPX1;ZFP36L2;ELF4;ITGAM;LHFPL2;SLC1A5;SLC7A7;GIMAP2;LYL1;IL10RA;CAPG;PYCARD;NPC2;CD84;PLEK;GAPT;APBB1IP,CD4;TCIRG1;HCLS1;HLX;PPP1R18;CD37;IL18;TNFRSF1B;RUNX3;C1QC;TYROBP;ITGB2;RBM47;CXCL16;MAF;RNASE6;C3;GPX1;ZFP36L2;ELF4;ITGAM;LHFPL2;SLC1A5;SLC7A7;GIMAP2;LYL1;IL10RA;CAPG;PYCARD;NPC2;CD84;PLEK;GAPT;APBB1IP;BIN2;IL13RA1;STAT5A;ITGAX;GAL3ST4;ABCC4;NCF2;NCKAP1L;RGS1;RPS6KA1;SAMSN1;TMEM106A;TGFBR1;CYTL1;SH2B3;SPP1;IGSF6;ADAP2;LOXL3;CREB3L2;KCNE3;SFT2D2;DPYD;FKBP15,"[204, 208, 286, 337, 340, 617, 662, 720, 751, 771, 865, 902, 921, 983, 1021, 1044, 1102, 1260, 1465, 1471, 1487, 1607, 1927, 1979, 2018, 2171, 2448, 2484, 3056, 3069, 3150, 3296, 3311, 3320, 3511, 3851, 4109, 4130, 4269, 4382, 4720, 4799, 4861, 5141, 5279, 5334, 5624, 6137, 6169, 6253, 6339, 6457, 6824, 7542, 7931, 8750, 12366, 13060]",WikiPathways_2024_Human__TYROBP Causal Network In Microglia WP3945
WikiPathways_2024_Human,Apoptosis Modulation And Signaling WP1772,prerank,0.6185696295706704,2.2388628877369685,0.0,0.0,0.0,35_83,35/83,16.50%,HSPA1A;BAG3;TNFRSF10D;CASP7;NFKBIA;IL1R2;TNFRSF1A;CASP4;TNFRSF10B;DAXX;TNFRSF10A;CASP1;TNFRSF1B;BID;BCL2L1;MAPK3;BCL2;MCL1;BAX;BIRC3;FADD;TNFRSF10C;BMF;AIFM2;CASP6;IKBKB;IRAK1;BAD;TNFRSF25;PRKD1;RIPK1;JUN;NFKB1;BCL2A1;FOS,HSPA1A;BAG3;TNFRSF10D;CASP7;NFKBIA;IL1R2;TNFRSF1A;CASP4;TNFRSF10B;DAXX;TNFRSF10A;CASP1;TNFRSF1B;BID;BCL2L1;MAPK3;BCL2;MCL1;BAX;BIRC3;FADD;TNFRSF10C;BMF;AIFM2;CASP6;IKBKB;IRAK1;BAD;TNFRSF25;PRKD1;RIPK1;JUN;NFKB1;BCL2A1;FOS;CASP10;PMAIP1;CDKN2A;BCL2L10;BCL2L11;BBC3;PEA15;TRADD;BIRC7;MYD88;BIRC5;MAP3K5;BOK;PTRH2;IL1R1;DFFB;BIK;CASP2;CAPNS1;BIRC2;CASP9;HTRA2;CFLAR;TOLLIP;DFFA;TRAF3;TP53;BAK1;ENDOG;FAS;CRADD;CASP8;PTPN13;MADD;NAIP;XIAP;HRK;CYCS;TRAF6;BNIP3;AIFM1;CASP3;BLK;APAF1;TNFSF10;BCL2L2;MAPK8;DIABLO,"[2, 24, 48, 112, 132, 148, 390, 515, 539, 554, 591, 645, 720, 779, 1087, 1114, 1238, 1483, 1799, 1994, 2019, 2135, 2180, 2207, 2212, 2341, 2376, 2388, 2404, 2628, 2701, 2824, 2835, 2841, 2889, 3306, 3544, 3605, 3669, 3812, 3816, 3824, 4084, 4089, 4132, 4324, 4419, 4634, 4959, 5151, 5280, 5375, 6081, 6148, 6219, 6429, 6990, 7112, 7236, 7631, 7749, 8693, 8735, 8993, 9493, 9669, 10378, 10575, 10705, 10862, 11034, 11201, 11932, 11998, 12352, 12943, 12945, 13357, 13773, 13874, 14527, 16304, 16448]",WikiPathways_2024_Human__Apoptosis Modulation And Signaling WP1772
WikiPathways_2024_Human,Prostaglandin Signaling WP5088,prerank,0.7289538829861038,2.1857839651183992,0.0,0.0,0.0,13_28,13/28,12.11%,MMP9;CSF1;IRF7;TGFB1;CASP1;KLRD1;PTGER2;VEGFA;CXCL1;CCL2;CXCL9;CCR2;IL6,MMP9;CSF1;IRF7;TGFB1;CASP1;KLRD1;PTGER2;VEGFA;CXCL1;CCL2;CXCL9;CCR2;IL6;NFKB1;PYCARD;TNF;CXCL10;IL1B;PIK3CG;PTGES;CCL3;IFNA1;AHR;NLRP3;CD28;PTGER4;IL12A;IL1A,"[27, 137, 161, 386, 645, 1325, 1376, 1439, 1774, 1826, 2028, 2082, 2121, 2835, 3056, 3515, 3676, 4629, 6453, 6773, 7600, 9040, 9293, 9658, 9793, 10354, 10432, 12614]",WikiPathways_2024_Human__Prostaglandin Signaling WP5088
WikiPathways_2024_Human,Nucleotide Binding Oligomerization Domain NOD Pathway WP1433,prerank,0.6852297554053829,2.173194861044107,0.0,0.0,0.0,23_38,23/38,23.16%,CARD9;RELA;CASP7;NFKBIA;CASP1;IL18;HSP90AA1;MEFV;NLRP4;NOD2;NDUFA13;CARD6;SUGT1;IKBKB;COPS6;PYCARD;NOD1;DUOX2;CASP5;CARD8;AAMP;NLRP1;RIPK2,CARD9;RELA;CASP7;NFKBIA;CASP1;IL18;HSP90AA1;MEFV;NLRP4;NOD2;NDUFA13;CARD6;SUGT1;IKBKB;COPS6;PYCARD;NOD1;DUOX2;CASP5;CARD8;AAMP;NLRP1;RIPK2;NLRP12;IL1B;NLRP2;AIM2;NLRC4;CASP9;ACAP1;IKBKG;NLRP3;CASP8;PRDM1;NAIP;XIAP;RAC1;CHUK,"[16, 68, 112, 132, 645, 662, 876, 1190, 1202, 1266, 1357, 1779, 1946, 2341, 2781, 3056, 3101, 3366, 3624, 3717, 3845, 3955, 4056, 4356, 4629, 5443, 5965, 6231, 6429, 7079, 7584, 9658, 10378, 10431, 10862, 11034, 11471, 12017]",WikiPathways_2024_Human__Nucleotide Binding Oligomerization Domain NOD Pathway WP1433
WikiPathways_2024_Human,Cytoplasmic Ribosomal Proteins WP477,prerank,0.5856778733021252,2.1450761080281735,0.0,0.00026101248373769874,0.001,75_88,75/88,32.86%,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPS6KA1;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL30,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPS6KA1;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL30;RPL41;RPS23;RPL10A;RPL21;RPS6KB2;RPS6KB1;RPL12;RPS6KA2;RPS6KA3;RPL15;MRPL19;RPL26;RPS6KA6,"[810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5141, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5756, 6144, 6216, 6728, 7103, 7191, 8326, 8558, 9145, 9363, 11953, 14599, 14761, 16192]",WikiPathways_2024_Human__Cytoplasmic Ribosomal Proteins WP477
WikiPathways_2024_Human,Interactions Immune Cells And miRNAs In Tumor Microenvironment WP4559,prerank,0.734340272830829,2.1394169069075857,0.0,0.000671174958182654,0.002,19_27,19/27,20.99%,NFKB2;IL2RG;TGFB1;IL4R;TLR8;TGFB2;CD274;CD86;CCL2;TGFB3;STAT6;TGFBR2;NFKB1;TLR7;CD80;STAT3;SOCS1;TLR4;CXCL10,NFKB2;IL2RG;TGFB1;IL4R;TLR8;TGFB2;CD274;CD86;CCL2;TGFB3;STAT6;TGFBR2;NFKB1;TLR7;CD80;STAT3;SOCS1;TLR4;CXCL10;CCL5;PDCD1;PIAS3;IL4;IRAK4;CTLA4;TRAF6;IL2RB,"[56, 180, 386, 462, 783, 1191, 1524, 1574, 1826, 1861, 2644, 2773, 2835, 2886, 3114, 3143, 3430, 3516, 3676, 6365, 7552, 8362, 8442, 8568, 8921, 11998, 14160]",WikiPathways_2024_Human__Interactions Immune Cells And miRNAs In Tumor Microenvironment WP4559
WikiPathways_2024_Human,Hematopoietic SC Differentiation WP2849,prerank,0.6333353226232419,2.114818666887283,0.0,0.0006960332899671967,0.003,27_51,27/51,17.74%,CXCR4;CSF1;NFE2;PIM1;SPI1;IRF5;IKZF1;MUC1;CIITA;NFATC2;LEF1;RUNX1;GATA2;CSF3;RHOH;MXI1;IL6;CD34;LYL1;TPO;HMGN5;NOTCH1;FLI1;VAV1;FOS;GYPA;TNXB,CXCR4;CSF1;NFE2;PIM1;SPI1;IRF5;IKZF1;MUC1;CIITA;NFATC2;LEF1;RUNX1;GATA2;CSF3;RHOH;MXI1;IL6;CD34;LYL1;TPO;HMGN5;NOTCH1;FLI1;VAV1;FOS;GYPA;TNXB;ITGA2B;TRAF3IP3;CBFA2T3;STAT5A;TRIM29;KLF1;IL1B;NCKAP1L;ZNF835;SEC14L2;KCNH2;HES6;ITGB3;FOSB;ACVR1B;THRB;EPO;LMO2;KITLG;RIOK3;IL1A;GATA1;IL5;MYB,"[77, 137, 688, 858, 942, 1040, 1092, 1180, 1218, 1367, 1377, 1384, 1766, 1776, 1975, 1986, 2121, 2142, 2171, 2192, 2305, 2437, 2838, 2843, 2889, 2930, 3106, 3407, 3697, 3915, 4109, 4206, 4600, 4629, 4799, 5432, 6673, 6843, 7215, 7795, 7855, 8084, 8336, 9692, 10086, 12483, 12545, 12614, 12826, 15390, 15452]",WikiPathways_2024_Human__Hematopoietic SC Differentiation WP2849
WikiPathways_2024_Human,IL4 Signaling WP395,prerank,0.6357655482416542,2.13081885061487,0.0,0.0007830374512130963,0.003,26_50,26/50,19.59%,RELA;NFKBIA;IL2RG;CEBPB;FES;PIK3R2;INPP5D;IL4R;SOCS3;PIK3CD;DOK2;ELK1;MAPK3;TYK2;IKBKB;MAPK11;IRS2;BAD;STAT6;PTPN6;NFKB1;FOS;CBL;STAT3;AKT1;SOCS1,RELA;NFKBIA;IL2RG;CEBPB;FES;PIK3R2;INPP5D;IL4R;SOCS3;PIK3CD;DOK2;ELK1;MAPK3;TYK2;IKBKB;MAPK11;IRS2;BAD;STAT6;PTPN6;NFKB1;FOS;CBL;STAT3;AKT1;SOCS1;STAT5A;SHC1;STAT5B;CEBPA;IRS1;JAK3;SOS1;PIK3CA;FLNA;EP300;MAPK14;ATF2;RPS6KB1;IL4;JAK2;JAK1;GAB2;GRB2;SOCS5;CHUK;MAPK1;PIK3R1;PTPN11;STAT1,"[68, 132, 180, 311, 329, 350, 448, 462, 619, 790, 821, 973, 1114, 1122, 2341, 2344, 2357, 2388, 2644, 2686, 2835, 2889, 3071, 3143, 3267, 3430, 4109, 4654, 5095, 5110, 5115, 5207, 5826, 7105, 7192, 7268, 7304, 8136, 8326, 8442, 8889, 9271, 10756, 11405, 11475, 12017, 12772, 14526, 16007, 16938]",WikiPathways_2024_Human__IL4 Signaling WP395
WikiPathways_2024_Human,Dengue 2 Interactions With Complement And Coagulation Cascades WP3896,prerank,0.6205191429567861,2.0771970744115418,0.0,0.0009637384014930416,0.007,28_56,28/56,19.29%,SERPINF2;CLU;CFD;PLAUR;PROC;SERPINC1;C1QA;C3AR1;SERPINA5;F10;C1QC;C5AR1;CFB;KLKB1;C1QB;C3;C7;SERPINA1;C4B;CFH;CFI;C2;C1R;SERPIND1;VWF;C8G;SERPING1;TFPI,SERPINF2;CLU;CFD;PLAUR;PROC;SERPINC1;C1QA;C3AR1;SERPINA5;F10;C1QC;C5AR1;CFB;KLKB1;C1QB;C3;C7;SERPINA1;C4B;CFH;CFI;C2;C1R;SERPIND1;VWF;C8G;SERPING1;TFPI;SERPINE1;THBD;C1S;CR1;F12;PLAU;PLAT;C9;APOA2;CD55;F2;F2R;PROS1;KNG1;BDKRB1;PLG;CPB2;LMAN1;F5;F3;MASP1;CR2;C6;F8;CD46;F7;CLTC;MASP2,"[96, 216, 280, 296, 364, 470, 479, 582, 641, 770, 771, 805, 981, 1027, 1031, 1102, 1107, 1224, 1395, 2051, 2455, 2744, 2808, 2837, 3112, 3265, 3289, 3378, 4011, 4174, 4215, 4307, 4449, 5250, 5897, 5937, 7104, 7474, 7524, 7751, 8108, 8499, 8507, 9981, 9992, 10266, 10833, 11051, 12028, 12962, 13010, 13595, 14150, 14816, 15879, 16068]",WikiPathways_2024_Human__Dengue 2 Interactions With Complement And Coagulation Cascades WP3896
