TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp.biocarta,BIOCARTA_TID_PATHWAY,prerank,0.7972385294060005,2.0890635703644755,0.0,0.003091610845915282,0.001,6_18,6/18,6.55%,HSPA1A;RELA;NFKBIA;TNFRSF1A;TNFRSF1B;IFNGR2,HSPA1A;RELA;NFKBIA;TNFRSF1A;TNFRSF1B;IFNGR2;IKBKB;NFKB1;TNF;IFNGR1;TAX1BP3;TP53;JAK2;WT1;LIN7A;RB1;USH1C;DNAJA3,"[2, 68, 132, 390, 720, 1147, 2341, 2835, 3515, 5613, 7562, 8693, 8889, 9281, 9388, 9620, 10869, 11060]",c2.cp.biocarta__BIOCARTA_TID_PATHWAY
c2.cp.biocarta,BIOCARTA_DEATH_PATHWAY,prerank,0.649219228245986,1.879441306121964,0.0,0.025248155241641472,0.082,12_28,12/28,16.19%,RELA;CASP7;NFKBIA;TRAF2;BID;BCL2;BIRC3;FADD;CASP6;TNFRSF25;RIPK1;NFKB1,RELA;CASP7;NFKBIA;TRAF2;BID;BCL2;BIRC3;FADD;CASP6;TNFRSF25;RIPK1;NFKB1;CASP10;TRADD;DFFB;LMNA;BIRC2;CASP9;CFLAR;DFFA;SPTAN1;CASP8;XIAP;GAS2;CHUK;CASP3;APAF1;TNFSF10,"[68, 112, 132, 494, 779, 1238, 1994, 2019, 2212, 2404, 2701, 2835, 3306, 4084, 5280, 5411, 6219, 6429, 7112, 7631, 8037, 10378, 11034, 11650, 12017, 12945, 13773, 13874]",c2.cp.biocarta__BIOCARTA_DEATH_PATHWAY
c2.cp.biocarta,BIOCARTA_ASBCELL_PATHWAY,prerank,0.7848206722861254,1.8219138957477337,0.006276150627615063,0.026516508409196456,0.172,5_10,5/10,10.25%,CD4;HLA-DRB1;HLA-DRA;HLA-DRB5;CD40,CD4;HLA-DRB1;HLA-DRA;HLA-DRB5;CD40;CD80;IL10;IL4;FAS;CD28,"[204, 784, 1505, 1667, 1795, 3114, 6941, 8442, 9493, 9793]",c2.cp.biocarta__BIOCARTA_ASBCELL_PATHWAY
c2.cp.biocarta,BIOCARTA_AKT_PATHWAY,prerank,0.6648793454302157,1.8281904288053274,0.0020491803278688526,0.02679396066459911,0.164,9_20,9/20,19.13%,RELA;NFKBIA;HSP90AA1;FOXO4;IKBKB;BAD;NFKB1;AKT1;FOXO1,RELA;NFKBIA;HSP90AA1;FOXO4;IKBKB;BAD;NFKB1;AKT1;FOXO1;CASP9;PIK3CG;PIK3CA;GHR;IKBKG;YWHAH;FOXO3;PDPK1;CHUK;PPP2CA;PIK3R1,"[68, 132, 876, 1318, 2341, 2388, 2835, 3267, 3351, 6429, 6453, 7105, 7202, 7584, 7832, 8003, 10975, 12017, 12732, 14526]",c2.cp.biocarta__BIOCARTA_AKT_PATHWAY
c2.cp.biocarta,BIOCARTA_STRESS_PATHWAY,prerank,0.6721941513026696,1.8833189086771671,0.002053388090349076,0.02782449761323754,0.075,10_23,10/23,16.19%,RELA;NFKBIA;MAP2K3;TNFRSF1A;TRAF2;IKBKB;RIPK1;ATF1;JUN;NFKB1,RELA;NFKBIA;MAP2K3;TNFRSF1A;TRAF2;IKBKB;RIPK1;ATF1;JUN;NFKB1;TNF;TRADD;CASP2;MAP3K1;MAPK14;IKBKG;MAP2K6;MAP2K4;MAP4K2;CRADD;TANK;CHUK;MAPK8,"[68, 132, 292, 390, 494, 2341, 2701, 2770, 2824, 2835, 3515, 4084, 6081, 7054, 7304, 7584, 7672, 8233, 8664, 9669, 10953, 12017, 16304]",c2.cp.biocarta__BIOCARTA_STRESS_PATHWAY
c2.cp.biocarta,BIOCARTA_FMLP_PATHWAY,prerank,0.5779130836664815,1.7801115019564993,0.0,0.028413375869602357,0.274,13_34,13/34,17.32%,RELA;NFKBIA;NFATC4;MAP2K3;NCF1;ELK1;MAPK3;NFATC2;NFATC1;MAP2K2;FPR1;NFKB1;RAF1,RELA;NFKBIA;NFATC4;MAP2K3;NCF1;ELK1;MAPK3;NFATC2;NFATC1;MAP2K2;FPR1;NFKB1;RAF1;PPP3CC;HRAS;GNA15;NCF2;MAP2K1;CAMK1;MAP3K1;MAPK14;MAP2K6;NFATC3;CAMK1G;PPP3CA;RAC1;CALM3;CALM2;PPP3CB;PIK3C2G;MAPK1;PAK1;CALM1;PLCB1,"[68, 132, 262, 292, 461, 973, 1114, 1367, 1675, 2104, 2561, 2835, 3033, 3642, 3976, 4188, 4720, 5701, 6902, 7054, 7304, 7672, 7891, 9758, 11156, 11471, 12212, 12311, 12602, 12690, 12772, 14368, 14779, 14865]",c2.cp.biocarta__BIOCARTA_FMLP_PATHWAY
c2.cp.biocarta,BIOCARTA_TGFB_PATHWAY,prerank,0.6619890439298477,1.7874102360265125,0.0,0.028475363054482863,0.251,8_19,8/19,15.84%,TGFB1;MAPK3;TGFB2;SMAD7;TGFB3;CREBBP;SMAD4;TGFBR2,TGFB1;MAPK3;TGFB2;SMAD7;TGFB3;CREBBP;SMAD4;TGFBR2;TGFBR1;MAP2K1;SMAD3;SMAD2;EP300;SKIL;CDH1;MAP3K7;APC;ZFYVE9;TAB1,"[386, 1114, 1191, 1659, 1861, 1980, 2618, 2773, 5624, 5701, 5844, 6205, 7268, 8425, 8970, 9639, 9884, 11024, 13969]",c2.cp.biocarta__BIOCARTA_TGFB_PATHWAY
c2.cp.biocarta,BIOCARTA_PCAF_PATHWAY,prerank,0.7603836424873383,1.8304634650722886,0.0,0.028527136441854648,0.161,8_13,8/13,16.19%,RELA;IRF7;IRF3;IRF1;IRF5;CREBBP;JUN;NFKB1,RELA;IRF7;IRF3;IRF1;IRF5;CREBBP;JUN;NFKB1;IRF2;ATF2;KAT2B;IRF4;HMGB1,"[68, 161, 315, 538, 1040, 1980, 2824, 2835, 4161, 8136, 8626, 8729, 14226]",c2.cp.biocarta__BIOCARTA_PCAF_PATHWAY
c2.cp.biocarta,BIOCARTA_EPONFKB_PATHWAY,prerank,0.7920042800700671,1.8378649923321801,0.0021321961620469083,0.02875198086701212,0.151,3_11,3/11,0.76%,EPOR;RELA;NFKBIA,EPOR;RELA;NFKBIA;CDKN1A;NFKB1;GRIN1;HIF1A;JAK2;SOD2;EPO;ARNT,"[45, 68, 132, 1714, 2835, 4890, 8234, 8889, 9445, 9692, 11989]",c2.cp.biocarta__BIOCARTA_EPONFKB_PATHWAY
c2.cp.biocarta,BIOCARTA_ARENRF2_PATHWAY,prerank,0.6741054500688894,1.8091156368761545,0.0,0.028818229670853165,0.199,10_19,10/19,16.50%,FXYD2;MAFF;HMOX1;POR;KEAP1;MAFG;NFE2L2;CRYZ;JUN;FOS,FXYD2;MAFF;HMOX1;POR;KEAP1;MAFG;NFE2L2;CRYZ;JUN;FOS;AKR7A2;MAFK;MAPK14;HMOX2;CREB1;PRKCA;MAPK1;PRKCB;MAPK8,"[5, 26, 693, 1133, 1924, 2367, 2684, 2780, 2824, 2889, 5253, 5461, 7304, 8768, 10478, 10873, 12772, 14648, 16304]",c2.cp.biocarta__BIOCARTA_ARENRF2_PATHWAY
c2.cp.biocarta,BIOCARTA_NKT_PATHWAY,prerank,0.6624163500003721,1.7818148796706497,0.0021008403361344537,0.02898385168045577,0.269,7_19,7/19,10.63%,CXCR4;CD4;TGFB1;IL4R;IFNGR2;TGFB2;TGFB3,CXCR4;CD4;TGFB1;IL4R;IFNGR2;TGFB2;TGFB3;IL18R1;CCR1;CCR5;IFNGR1;CCL3;IL4;CCL4;CD28;CCR7;IL12RB1;IL12RB2;IL5,"[77, 204, 386, 462, 1147, 1191, 1861, 3123, 3341, 4246, 5613, 7600, 8442, 9267, 9793, 10347, 12365, 13865, 15390]",c2.cp.biocarta__BIOCARTA_NKT_PATHWAY
c2.cp.biocarta,BIOCARTA_HIVNEF_PATHWAY,prerank,0.53052884066325,1.7749795511667459,0.0,0.02908924750474834,0.291,18_54,18/54,16.19%,RELA;CASP7;NFKBIA;TNFRSF1A;TRAF2;DAXX;TNFRSF1B;BID;CDK11B;CDK11A;BCL2;LMNB2;BIRC3;FADD;CASP6;RIPK1;ARHGDIB;NFKB1,RELA;CASP7;NFKBIA;TNFRSF1A;TRAF2;DAXX;TNFRSF1B;BID;CDK11B;CDK11A;BCL2;LMNB2;BIRC3;FADD;CASP6;RIPK1;ARHGDIB;NFKB1;MAP2K7;TNF;TRADD;MAP3K5;DFFB;LMNA;TRAF1;GSN;CASP2;BIRC2;CASP9;MAP3K1;CFLAR;PAK2;DFFA;SPTAN1;NUMA1;FAS;PRKCD;RB1;CRADD;PARP1;CASP8;LMNB1;PSEN2;XIAP;BAG4;CHUK;CASP3;ACTG1;PSEN1;APAF1;MDM2;MAPK8;PRKDC;RASA1,"[68, 112, 132, 390, 494, 554, 720, 779, 854, 1106, 1238, 1800, 1994, 2019, 2212, 2701, 2833, 2835, 3121, 3515, 4084, 4419, 5280, 5411, 5590, 6007, 6081, 6219, 6429, 7054, 7112, 7446, 7631, 8037, 9366, 9493, 9580, 9620, 9669, 9697, 10378, 10489, 10674, 11034, 11230, 12017, 12945, 13331, 13571, 13773, 15285, 16304, 16539, 16602]",c2.cp.biocarta__BIOCARTA_HIVNEF_PATHWAY
c2.cp.biocarta,BIOCARTA_TOB1_PATHWAY,prerank,0.7117569960497456,1.7879814117797979,0.002074688796680498,0.029971449589567597,0.25,9_15,9/15,19.58%,TGFB1;TGFBR3;TGFB2;TGFB3;TOB2;CD247;SMAD4;TGFBR2;CD3E,TGFB1;TGFBR3;TGFB2;TGFB3;TOB2;CD247;SMAD4;TGFBR2;CD3E;TOB1;TGFBR1;SMAD3;IL4;CD3G;CD28,"[386, 894, 1191, 1861, 2122, 2564, 2618, 2773, 3429, 4156, 5624, 5844, 8442, 8645, 9793]",c2.cp.biocarta__BIOCARTA_TOB1_PATHWAY
c2.cp.biocarta,BIOCARTA_P38MAPK_PATHWAY,prerank,0.5746860187024909,1.791703874225176,0.006342494714587738,0.03009774088229289,0.238,11_36,11/36,7.04%,HSPB1;HSPB2;MAPKAPK2;TGFB1;MAX;TRAF2;DAXX;DDIT3;ELK1;TGFB2;MYC,HSPB1;HSPB2;MAPKAPK2;TGFB1;MAX;TRAF2;DAXX;DDIT3;ELK1;TGFB2;MYC;TGFB3;RIPK1;HRAS;TRADD;MAP3K5;SHC1;TGFBR1;MKNK1;MAP3K1;MAPK14;MAP2K6;ATF2;MAP2K4;PLA2G4A;MAP3K7;CREB1;GRB2;RAC1;RAPGEF2;MAP3K9;CDC42;RPS6KA5;STAT1;HMGN1;MAPKAPK5,"[3, 298, 344, 386, 484, 494, 554, 729, 973, 1191, 1232, 1861, 2701, 3976, 4084, 4419, 4654, 5624, 6710, 7054, 7304, 7672, 8136, 8233, 9214, 9639, 10478, 11405, 11471, 12603, 13184, 16108, 16291, 16938, 16952, 17285]",c2.cp.biocarta__BIOCARTA_P38MAPK_PATHWAY
c2.cp.biocarta,BIOCARTA_P53HYPOXIA_PATHWAY,prerank,0.6582050807371767,1.8007447767361453,0.004366812227074236,0.03050389367969745,0.221,10_21,10/21,18.66%,HSPA1A;DNAJB1;HIC1;HSP90AA1;CDKN1A;BAX;NQO1;NFKBIB;ABCB1;AKT1,HSPA1A;DNAJB1;HIC1;HSP90AA1;CDKN1A;BAX;NQO1;NFKBIB;ABCB1;AKT1;RPA1;GADD45A;EP300;IGFBP3;HIF1A;FHL2;TP53;ATM;MDM2;TAF1;MAPK8,"[2, 9, 124, 876, 1714, 1799, 2676, 2943, 3190, 3267, 6545, 6740, 7268, 7570, 8234, 8535, 8693, 11270, 15285, 16157, 16304]",c2.cp.biocarta__BIOCARTA_P53HYPOXIA_PATHWAY
c2.cp.biocarta,BIOCARTA_TH1TH2_PATHWAY,prerank,0.7172439202212867,1.8390308312090542,0.006185567010309278,0.03160313309157844,0.149,8_17,8/17,10.25%,IL4R;IL18;HLA-DRB1;IFNGR2;HLA-DRA;CD86;HLA-DRB5;CD40,IL4R;IL18;HLA-DRB1;IFNGR2;HLA-DRA;CD86;HLA-DRB5;CD40;IL18R1;IFNGR1;NR1I2;IL12B;IL4;CD28;IL12A;IL12RB1;IL12RB2,"[462, 662, 784, 1147, 1505, 1574, 1667, 1795, 3123, 5613, 6022, 6713, 8442, 9793, 10432, 12365, 13865]",c2.cp.biocarta__BIOCARTA_TH1TH2_PATHWAY
c2.cp.biocarta,BIOCARTA_TCRA_PATHWAY,prerank,0.7703902703429101,1.7921975484506285,0.0020876826722338203,0.03178562400956649,0.238,8_11,8/11,14.64%,CD4;HLA-DRB1;LCK;FYN;HLA-DRA;HLA-DRB5;ZAP70;CD247,CD4;HLA-DRB1;LCK;FYN;HLA-DRA;HLA-DRB5;ZAP70;CD247;CD3E;PTPRC;CD3G,"[204, 784, 1019, 1046, 1505, 1667, 2462, 2564, 3429, 3989, 8645]",c2.cp.biocarta__BIOCARTA_TCRA_PATHWAY
c2.cp.biocarta,BIOCARTA_NTHI_PATHWAY,prerank,0.6514173081324841,1.7584975096500244,0.0022123893805309734,0.03271954811927007,0.338,9_21,9/21,16.19%,RELA;NFKBIA;MAP2K3;CREBBP;IKBKB;MAPK11;SMAD4;TGFBR2;NFKB1,RELA;NFKBIA;MAP2K3;CREBBP;IKBKB;MAPK11;SMAD4;TGFBR2;NFKB1;TNF;MYD88;DUSP1;IL1B;TGFBR1;SMAD3;EP300;MAPK14;MAP2K6;MAP3K7;CHUK;NR3C1,"[68, 132, 292, 1980, 2341, 2344, 2618, 2773, 2835, 3515, 4132, 4446, 4629, 5624, 5844, 7268, 7304, 7672, 9639, 12017, 14123]",c2.cp.biocarta__BIOCARTA_NTHI_PATHWAY
c2.cp.biocarta,BIOCARTA_KERATINOCYTE_PATHWAY,prerank,0.5518407911919951,1.7603353422263401,0.006211180124223602,0.03306679426500693,0.331,17_43,17/43,17.82%,RELA;NFKBIA;MAP2K3;TNFRSF1A;TRAF2;DAXX;TNFRSF1B;MAPK3;BCL2;IKBKB;EGFR;RIPK1;JUN;NFKB1;FOS;RAF1;MAP2K7,RELA;NFKBIA;MAP2K3;TNFRSF1A;TRAF2;DAXX;TNFRSF1B;MAPK3;BCL2;IKBKB;EGFR;RIPK1;JUN;NFKB1;FOS;RAF1;MAP2K7;TNF;ETS1;HRAS;MAP3K5;EGF;SP1;CEBPA;MAP2K1;PRKCH;MAP3K1;MAPK14;MAP2K6;ETS2;MAP2K4;MAPK13;FAS;PRKCD;PRKCG;PRKCA;CHUK;PPP2CA;MAPK1;PRKCE;PRKCB;MAPK8;PRKCQ,"[68, 132, 292, 390, 494, 554, 720, 1114, 1238, 2341, 2347, 2701, 2824, 2835, 2889, 3033, 3121, 3515, 3821, 3976, 4419, 4444, 4488, 5110, 5701, 6300, 7054, 7304, 7672, 7937, 8233, 8706, 9493, 9580, 9622, 10873, 12017, 12732, 12772, 13636, 14648, 16304, 16535]",c2.cp.biocarta__BIOCARTA_KERATINOCYTE_PATHWAY
c2.cp.biocarta,BIOCARTA_RELA_PATHWAY,prerank,0.7355194187936259,1.843526884497035,0.002136752136752137,0.03323481659358928,0.141,9_15,9/15,16.19%,RELA;NFKBIA;TNFRSF1A;TNFRSF1B;CREBBP;FADD;IKBKB;RIPK1;NFKB1,RELA;NFKBIA;TNFRSF1A;TNFRSF1B;CREBBP;FADD;IKBKB;RIPK1;NFKB1;TNF;TRADD;EP300;IKBKG;TRAF6;CHUK,"[68, 132, 390, 720, 1980, 2019, 2341, 2701, 2835, 3515, 4084, 7268, 7584, 11998, 12017]",c2.cp.biocarta__BIOCARTA_RELA_PATHWAY
c2.cp.biocarta,BIOCARTA_IL1R_PATHWAY,prerank,0.6297505382417545,1.888282645281661,0.0,0.03323481659358928,0.071,14_29,14/29,16.19%,RELA;NFKBIA;MAP2K3;TGFB1;IRAK2;TGFB2;IRAK3;TGFB3;IL6;IL1RN;IKBKB;IRAK1;JUN;NFKB1,RELA;NFKBIA;MAP2K3;TGFB1;IRAK2;TGFB2;IRAK3;TGFB3;IL6;IL1RN;IKBKB;IRAK1;JUN;NFKB1;TNF;MYD88;IL1B;IL1R1;MAP3K1;MAPK14;MAP2K6;IFNA1;MAP3K7;TRAF6;CHUK;IL1A;IL1RAP;TAB1;MAPK8,"[68, 132, 292, 386, 990, 1191, 1369, 1861, 2121, 2260, 2341, 2376, 2824, 2835, 3515, 4132, 4629, 5151, 7054, 7304, 7672, 9040, 9639, 11998, 12017, 12614, 13453, 13969, 16304]",c2.cp.biocarta__BIOCARTA_IL1R_PATHWAY
