TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,prerank,0.6354560363787178,2.303518209515418,0.0,0.0,0.0,73_80,73/80,32.86%,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL30,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL30;RPL41;RPS23;RPL10A;RPL21;RPL12;RPL15;RPL26,"[810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5756, 6144, 6216, 6728, 7103, 8558, 11953, 14761]",c2.cp__KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION
c2.cp,REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,prerank,0.8205171283105457,2.5955408225767242,0.0,0.0,0.0,20_37,20/37,12.06%,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSPB2;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6;AKT1S1;CREBBP;HSP90AB1;HSPB8;CRYAB,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSPB2;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6;AKT1S1;CREBBP;HSP90AB1;HSPB8;CRYAB;PTGES3;CAMK2B;UBB;MLST8;CRYBA4;CAMK2G;HSPA2;RPTOR;EP300;HSPA8;CAMK2A;HSBP1;RLN1;COL4A6;MTOR;CAMK2D;TNFRSF21,"[0, 2, 3, 7, 8, 9, 158, 173, 188, 298, 497, 850, 876, 913, 968, 1340, 1980, 1985, 2088, 2111, 2761, 4493, 4750, 5180, 6311, 6774, 6834, 7231, 7268, 7879, 8596, 9489, 10363, 10672, 13065, 13938, 14131]",c2.cp__REACTOME_HSF1_DEPENDENT_TRANSACTIVATION
c2.cp,REACTOME_ATTENUATION_PHASE,prerank,0.8820655922293582,2.6127080281768675,0.0,0.0,0.0,15_27,15/27,5.53%,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSPB2;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSPB2;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6;CREBBP;HSP90AB1;PTGES3;UBB;CRYBA4;HSPA2;EP300;HSPA8;HSBP1;RLN1;COL4A6;TNFRSF21,"[0, 2, 3, 7, 8, 9, 158, 173, 188, 298, 497, 850, 876, 913, 968, 1980, 1985, 2761, 4750, 6311, 6834, 7268, 7879, 9489, 10363, 10672, 14131]",c2.cp__REACTOME_ATTENUATION_PHASE
c2.cp,WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,prerank,0.6981414915655074,2.360601353082938,0.0,0.0,0.0,34_58,34/58,18.96%,CD4;TCIRG1;HCLS1;HLX;PPP1R18;CD37;IL18;TNFRSF1B;RUNX3;C1QC;TYROBP;ITGB2;RBM47;CXCL16;MAF;RNASE6;C3;GPX1;ZFP36L2;ELF4;ITGAM;LHFPL2;SLC1A5;SLC7A7;GIMAP2;LYL1;IL10RA;CAPG;PYCARD;NPC2;CD84;PLEK;GAPT;APBB1IP,CD4;TCIRG1;HCLS1;HLX;PPP1R18;CD37;IL18;TNFRSF1B;RUNX3;C1QC;TYROBP;ITGB2;RBM47;CXCL16;MAF;RNASE6;C3;GPX1;ZFP36L2;ELF4;ITGAM;LHFPL2;SLC1A5;SLC7A7;GIMAP2;LYL1;IL10RA;CAPG;PYCARD;NPC2;CD84;PLEK;GAPT;APBB1IP;BIN2;IL13RA1;STAT5A;ITGAX;GAL3ST4;ABCC4;NCF2;NCKAP1L;RGS1;RPS6KA1;SAMSN1;TMEM106A;TGFBR1;CYTL1;SH2B3;SPP1;IGSF6;ADAP2;LOXL3;CREB3L2;KCNE3;SFT2D2;DPYD;FKBP15,"[204, 208, 286, 337, 340, 617, 662, 720, 751, 771, 865, 902, 921, 983, 1021, 1044, 1102, 1260, 1465, 1471, 1487, 1607, 1927, 1979, 2018, 2171, 2448, 2484, 3056, 3069, 3150, 3296, 3311, 3320, 3511, 3851, 4109, 4130, 4269, 4382, 4720, 4799, 4861, 5141, 5279, 5334, 5624, 6137, 6169, 6253, 6339, 6457, 6824, 7542, 7931, 8750, 12366, 13060]",c2.cp__WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA
c2.cp,KEGG_RIBOSOME,prerank,0.6276643159789072,2.294391660884309,0.0,0.0,0.0,76_86,76/86,32.86%,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30;RPL41;RPS23;RPL10A;RPL21;RPL22L1;RSL24D1;RPL12;RPL15;MRPL13;RPL26,"[810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5753, 5756, 6144, 6216, 6728, 7103, 7773, 8517, 8558, 11953, 12232, 14761]",c2.cp__KEGG_RIBOSOME
c2.cp,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,prerank,0.5862851581065304,2.404910347630463,0.0,0.0,0.0,70_202,70/202,13.98%,IL17RB;EPOR;TNFRSF10D;CXCR4;CSF1;IL1R2;IFNA2;IL2RG;CCL17;CXCL6;TNFSF14;PPBP;TNFRSF4;TGFB1;TNFRSF1A;PDGFRB;FLT3LG;IL4R;IL15RA;TNFRSF12A;FLT4;TNFRSF10B;TNFRSF10A;CXCR1;LTA;LTBR;IL18;TNFRSF11B;CXCR2;TNFRSF1B;CLCF1;HGF;CXCL16;INHBB;IFNGR2;CSF3R;LIF;TGFB2;TNFSF12;CNTFR;VEGFA;IL10RB;VEGFB;FLT1;CSF1R;CXCL11;CCL20;ACVRL1;CXCL1;CSF3;PLEKHO2;CD40;CCL2;TGFB3;EDA;IL6R;CXCL9;BMP7;CCR2;IL6;TNFRSF10C;TPO;IL7R;CTF1;CXCL3;IL9;EGFR;CCL26;TNFRSF25;IL10RA,IL17RB;EPOR;TNFRSF10D;CXCR4;CSF1;IL1R2;IFNA2;IL2RG;CCL17;CXCL6;TNFSF14;PPBP;TNFRSF4;TGFB1;TNFRSF1A;PDGFRB;FLT3LG;IL4R;IL15RA;TNFRSF12A;FLT4;TNFRSF10B;TNFRSF10A;CXCR1;LTA;LTBR;IL18;TNFRSF11B;CXCR2;TNFRSF1B;CLCF1;HGF;CXCL16;INHBB;IFNGR2;CSF3R;LIF;TGFB2;TNFSF12;CNTFR;VEGFA;IL10RB;VEGFB;FLT1;CSF1R;CXCL11;CCL20;ACVRL1;CXCL1;CSF3;PLEKHO2;CD40;CCL2;TGFB3;EDA;IL6R;CXCL9;BMP7;CCR2;IL6;TNFRSF10C;TPO;IL7R;CTF1;CXCL3;IL9;EGFR;CCL26;TNFRSF25;IL10RA;TGFBR2;INHBE;OSMR;IL18R1;AMH;CCR1;TNF;TNFSF13B;IFNL3;CXCL10;TNFRSF14;CCL22;IL11RA;IL13RA1;IL23A;CXCL5;IL18RAP;IL21R;IL17B;BMPR1B;PDGFC;CCR5;EGF;IL1B;IL15;TNFSF9;IFNA13;NGFR;IL17RA;IL1R1;OSM;CXCL13;TNFSF13;IL6ST;CCL25;CXCL2;IFNGR1;TNFRSF17;TGFBR1;LEPR;TNFSF8;CCR9;IFNA21;IL20RA;IL20RB;TNFRSF19;LTB;CCL5;PDGFB;BMPR1A;VEGFC;IL12B;LIFR;IL10;TNFRSF18;CCR10;XCL1;IFNE;GHR;CX3CR1;CCL3;PDGFA;CCL4L2;IL22RA1;CSF2RB;CX3CL1;GDF5;IL11;PF4;ACVR1B;RELT;IL13;IL4;TNFSF4;EDA2R;CXCR6;IFNA1;IL24;CCL28;CCL4;CXCL14;CD70;FAS;IFNA8;EPO;IFNAR2;IFNW1;CNTF;BMPR2;INHBC;ACVR2A;KDR;TSLP;IFNA6;CCR7;TNFRSF13C;PDGFRA;IL12A;IFNLR1;IFNAR1;CD27;CCL8;BMP2;IFNL1;TNFRSF11A;IL25;IL12RB1;CCL1;KITLG;EDAR;IL1A;ACVR1;TNFSF18;PRLR;IL1RAP;CCR6;IL12RB2;TNFSF10;IL5RA;MET;TNFRSF21;IL2RB;IL7;TNFRSF8;CXCL12;IL5;CCL19;KIT;INHBA;MPL;ACVR2B;FLT3,"[34, 45, 48, 77, 137, 148, 178, 180, 210, 232, 291, 294, 373, 386, 390, 420, 438, 462, 491, 503, 525, 539, 591, 599, 631, 640, 662, 664, 680, 720, 750, 893, 983, 1020, 1147, 1164, 1188, 1191, 1308, 1386, 1439, 1462, 1509, 1534, 1549, 1566, 1617, 1627, 1774, 1776, 1790, 1795, 1826, 1861, 1963, 2017, 2028, 2039, 2082, 2121, 2135, 2192, 2230, 2253, 2258, 2276, 2347, 2380, 2404, 2448, 2773, 2822, 3035, 3123, 3211, 3341, 3515, 3536, 3560, 3676, 3763, 3794, 3842, 3851, 3864, 3891, 3895, 3990, 4039, 4114, 4144, 4246, 4444, 4629, 4728, 4887, 4952, 4970, 5027, 5151, 5273, 5314, 5347, 5448, 5547, 5578, 5613, 5623, 5624, 5645, 5653, 5772, 5807, 5945, 6035, 6177, 6278, 6365, 6544, 6579, 6620, 6713, 6831, 6941, 6954, 7090, 7121, 7187, 7202, 7588, 7600, 7604, 7660, 7668, 7860, 7950, 7956, 8041, 8058, 8084, 8099, 8159, 8442, 8620, 8894, 8931, 9040, 9230, 9263, 9267, 9270, 9283, 9493, 9616, 9692, 9792, 9795, 9983, 10005, 10017, 10101, 10163, 10214, 10218, 10347, 10364, 10418, 10432, 10462, 10611, 10630, 10836, 10854, 10977, 11457, 12112, 12365, 12414, 12483, 12495, 12614, 12679, 12731, 12867, 13453, 13588, 13865, 13874, 13885, 13901, 14131, 14160, 14894, 15094, 15207, 15390, 15722, 15737, 16208, 16653, 16673, 17194]",c2.cp__KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
c2.cp,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,prerank,0.6239883898083048,2.2862427906332496,0.0,0.0,0.0,79_92,79/92,32.86%,RPS21;EEF1D;RPL36;RPS19;EEF1G;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30,RPS21;EEF1D;RPL36;RPS19;EEF1G;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30;EEF1A2;RPL41;RPS23;RPL10A;RPL21;EEF1A1;RPL22L1;RPL39L;RPL12;EEF2;RPL15;EEF1B2;RPL26,"[810, 1270, 1282, 1703, 1845, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5753, 5756, 5848, 6144, 6216, 6728, 7103, 7703, 7773, 8325, 8558, 9332, 11953, 12656, 14761]",c2.cp__REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION
c2.cp,REACTOME_HSF1_ACTIVATION,prerank,0.8702780136010866,2.6049615254760683,0.0,0.0,0.0,15_30,15/30,5.53%,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSPB2;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;DEDD2;FKBP4;HSPA1L;HSPB2;HSF1;MRPL18;HSP90AA1;HSPH1;DNAJB6;HSP90AB1;PTGES3;UBB;HDAC6;CRYBA4;RPA1;VCP;EEF1A1;HSBP1;RPA2;RLN1;COL4A6;YWHAE;TNFRSF21;RPA3,"[0, 2, 3, 7, 8, 9, 158, 173, 188, 298, 497, 850, 876, 913, 968, 1985, 2761, 4750, 5473, 6311, 6545, 7245, 7703, 9489, 10282, 10363, 10672, 12907, 14131, 14991]",c2.cp__REACTOME_HSF1_ACTIVATION
c2.cp,WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY,prerank,0.6852297554053829,2.173194861044107,0.0,8.836725293846705e-05,0.001,23_38,23/38,23.16%,CARD9;RELA;CASP7;NFKBIA;CASP1;IL18;HSP90AA1;MEFV;NLRP4;NOD2;NDUFA13;CARD6;SUGT1;IKBKB;COPS6;PYCARD;NOD1;DUOX2;CASP5;CARD8;AAMP;NLRP1;RIPK2,CARD9;RELA;CASP7;NFKBIA;CASP1;IL18;HSP90AA1;MEFV;NLRP4;NOD2;NDUFA13;CARD6;SUGT1;IKBKB;COPS6;PYCARD;NOD1;DUOX2;CASP5;CARD8;AAMP;NLRP1;RIPK2;NLRP12;IL1B;NLRP2;AIM2;NLRC4;CASP9;ACAP1;IKBKG;NLRP3;CASP8;PRDM1;NAIP;XIAP;RAC1;CHUK,"[16, 68, 112, 132, 645, 662, 876, 1190, 1202, 1266, 1357, 1779, 1946, 2341, 2781, 3056, 3101, 3366, 3624, 3717, 3845, 3955, 4056, 4356, 4629, 5443, 5965, 6231, 6429, 7079, 7584, 9658, 10378, 10431, 10862, 11034, 11471, 12017]",c2.cp__WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY
c2.cp,WP_PROSTAGLANDIN_SIGNALING,prerank,0.7289538829861038,2.1857839651183992,0.0,9.425840313436484e-05,0.001,13_28,13/28,12.11%,MMP9;CSF1;IRF7;TGFB1;CASP1;KLRD1;PTGER2;VEGFA;CXCL1;CCL2;CXCL9;CCR2;IL6,MMP9;CSF1;IRF7;TGFB1;CASP1;KLRD1;PTGER2;VEGFA;CXCL1;CCL2;CXCL9;CCR2;IL6;NFKB1;PYCARD;TNF;CXCL10;IL1B;PIK3CG;PTGES;CCL3;IFNA1;AHR;NLRP3;CD28;PTGER4;IL12A;IL1A,"[27, 137, 161, 386, 645, 1325, 1376, 1439, 1774, 1826, 2028, 2082, 2121, 2835, 3056, 3515, 3676, 4629, 6453, 6773, 7600, 9040, 9293, 9658, 9793, 10354, 10432, 12614]",c2.cp__WP_PROSTAGLANDIN_SIGNALING
