TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp.kegg_legacy,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,prerank,0.5894750332295238,2.193613879739364,0.0,0.0,0.0,42_93,42/93,18.66%,RELA;TLR5;NFKBIA;IRF7;IFNA2;MAP2K3;IRF3;PIK3R2;PIK3R5;TLR2;TLR8;PIK3CD;IRF5;LBP;MAPK3;LY96;TICAM1;TLR9;CXCL11;CD86;CD40;CTSK;FADD;CXCL9;TAB2;MAP2K2;IL6;IKBKB;MAPK11;IRAK1;CD14;RIPK1;JUN;NFKB1;TLR7;FOS;MAP3K8;MAPK12;CD80;MAP2K7;IKBKE;AKT1,RELA;TLR5;NFKBIA;IRF7;IFNA2;MAP2K3;IRF3;PIK3R2;PIK3R5;TLR2;TLR8;PIK3CD;IRF5;LBP;MAPK3;LY96;TICAM1;TLR9;CXCL11;CD86;CD40;CTSK;FADD;CXCL9;TAB2;MAP2K2;IL6;IKBKB;MAPK11;IRAK1;CD14;RIPK1;JUN;NFKB1;TLR7;FOS;MAP3K8;MAPK12;CD80;MAP2K7;IKBKE;AKT1;TNF;TLR4;CXCL10;TLR6;AKT2;MYD88;IL1B;IFNA13;MAP2K1;IFNA21;SPP1;CCL5;PIK3CG;IL12B;PIK3R3;PIK3CA;TOLLIP;MAPK14;IKBKG;CCL3;MAP2K6;TRAF3;MAP2K4;IRAK4;TLR1;MAPK13;IFNA1;CCL4;TLR3;IFNA8;MAP3K7;IFNAR2;IFNA6;MAPK10;CASP8;IL12A;IFNAR1;RAC1;TRAF6;CHUK;TBK1;TICAM2;MAPK1;PIK3CB;TAB1;PIK3R1;MAPK9;AKT3;TIRAP;MAPK8;STAT1,"[68, 95, 132, 161, 178, 292, 315, 350, 466, 745, 783, 790, 1040, 1099, 1114, 1117, 1184, 1414, 1566, 1574, 1795, 2008, 2019, 2028, 2058, 2104, 2121, 2341, 2344, 2376, 2611, 2701, 2824, 2835, 2886, 2889, 2891, 2998, 3114, 3121, 3163, 3267, 3515, 3516, 3676, 3775, 3956, 4132, 4629, 4952, 5701, 5807, 6253, 6365, 6453, 6713, 6862, 7105, 7236, 7304, 7584, 7600, 7672, 7749, 8233, 8568, 8679, 8706, 9040, 9267, 9420, 9616, 9639, 9792, 10218, 10309, 10378, 10432, 10611, 11471, 11998, 12017, 12506, 12768, 12772, 13676, 13969, 14526, 14702, 14998, 15108, 16304, 16938]",c2.cp.kegg_legacy__KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
c2.cp.kegg_legacy,KEGG_RIBOSOME,prerank,0.6276643159789072,2.294391660884309,0.0,0.0,0.0,76_86,76/86,32.86%,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPS27L;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL36AL;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPL3L;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL26L1;RPL30;RPL41;RPS23;RPL10A;RPL21;RPL22L1;RSL24D1;RPL12;RPL15;MRPL13;RPL26,"[810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2208, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2623, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3040, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5753, 5756, 6144, 6216, 6728, 7103, 7773, 8517, 8558, 11953, 12232, 14761]",c2.cp.kegg_legacy__KEGG_RIBOSOME
c2.cp.kegg_legacy,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,prerank,0.6374087779981706,2.25430531692707,0.0,0.0,0.0,23_66,23/66,14.24%,HSPA6;HSPA1A;HSPA1B;IFNA2;HSPA1L;CD4;LTA;HLA-DRB1;HSP90AA1;CIITA;CD74;KLRD1;HLA-DRA;HLA-DMB;HLA-DPB1;HLA-DRB5;TAP1;HSPA5;TAPBP;HSP90AB1;HSPA4;CTSS;HLA-DMA,HSPA6;HSPA1A;HSPA1B;IFNA2;HSPA1L;CD4;LTA;HLA-DRB1;HSP90AA1;CIITA;CD74;KLRD1;HLA-DRA;HLA-DMB;HLA-DPB1;HLA-DRB5;TAP1;HSPA5;TAPBP;HSP90AB1;HSPA4;CTSS;HLA-DMA;HLA-DPA1;HLA-E;HLA-DQA1;NFYC;HLA-B;CALR;PSME2;HLA-DOA;HLA-F;CTSB;PSME1;IFNA13;RFXANK;HLA-C;IFNA21;HLA-DQB1;TAP2;HSPA2;HLA-A;PDIA3;HSPA8;IFI30;KLRC4;KLRC3;KLRC2;HLA-G;B2M;HLA-DQA2;IFNA1;CD8A;IFNA8;IFNA6;CREB1;LGMN;NFYB;RFX5;CANX;NFYA;PSME3;RFXAP;KLRC1;CD8B;HLA-DOB,"[0, 2, 7, 178, 188, 204, 631, 784, 876, 1218, 1313, 1325, 1505, 1587, 1615, 1667, 1758, 1765, 1863, 1985, 2101, 2465, 2494, 2875, 3356, 3372, 3395, 3617, 3686, 3856, 4041, 4126, 4381, 4930, 4952, 5078, 5482, 5807, 5810, 6338, 6834, 7039, 7058, 7879, 7881, 7921, 8137, 8155, 8447, 8604, 8932, 9040, 9346, 9616, 10218, 10478, 11720, 12358, 12736, 12788, 14044, 14933, 14979, 15696, 15708, 15856]",c2.cp.kegg_legacy__KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION
c2.cp.kegg_legacy,KEGG_LEISHMANIA_INFECTION,prerank,0.6117745473539192,2.1251268212737617,0.0,0.0,0.0,35_68,35/68,17.12%,RELA;NFKBIA;TGFB1;CYBA;NCF1;NCF4;FCGR3B;FCGR2A;TLR2;HLA-DRB1;ITGB2;ELK1;C3;MAPK3;IFNGR2;TGFB2;ITGAM;HLA-DRA;HLA-DMB;HLA-DPB1;HLA-DRB5;FCGR1A;TGFB3;TAB2;FCGR3A;MAPK11;IRAK1;HLA-DMA;PTPN6;JUN;NFKB1;HLA-DPA1;FOS;NFKBIB;MAPK12,RELA;NFKBIA;TGFB1;CYBA;NCF1;NCF4;FCGR3B;FCGR2A;TLR2;HLA-DRB1;ITGB2;ELK1;C3;MAPK3;IFNGR2;TGFB2;ITGAM;HLA-DRA;HLA-DMB;HLA-DPB1;HLA-DRB5;FCGR1A;TGFB3;TAB2;FCGR3A;MAPK11;IRAK1;HLA-DMA;PTPN6;JUN;NFKB1;HLA-DPA1;FOS;NFKBIB;MAPK12;HLA-DQA1;TNF;TLR4;HLA-DOA;MYD88;CR1;IL1B;NCF2;IFNGR1;HLA-DQB1;IL12B;IL10;MAPK14;IL4;IRAK4;MAPK13;JAK2;HLA-DQA2;JAK1;MAP3K7;IL12A;PTGS2;ITGB1;NOS2;TRAF6;IL1A;MAPK1;TAB1;MARCKSL1;PRKCB;ITGA4;HLA-DOB;STAT1,"[68, 132, 386, 417, 461, 553, 611, 648, 745, 784, 902, 973, 1102, 1114, 1147, 1191, 1487, 1505, 1587, 1615, 1667, 1740, 1861, 2058, 2138, 2344, 2376, 2494, 2686, 2824, 2835, 2875, 2889, 2943, 2998, 3372, 3515, 3516, 4041, 4132, 4307, 4629, 4720, 5613, 5810, 6713, 6941, 7304, 8442, 8568, 8706, 8889, 8932, 9271, 9639, 10432, 11182, 11311, 11576, 11998, 12614, 12772, 13969, 14492, 14648, 15698, 15856, 16938]",c2.cp.kegg_legacy__KEGG_LEISHMANIA_INFECTION
c2.cp.kegg_legacy,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,prerank,0.5862851581065304,2.404910347630463,0.0,0.0,0.0,70_202,70/202,13.98%,IL17RB;EPOR;TNFRSF10D;CXCR4;CSF1;IL1R2;IFNA2;IL2RG;CCL17;CXCL6;TNFSF14;PPBP;TNFRSF4;TGFB1;TNFRSF1A;PDGFRB;FLT3LG;IL4R;IL15RA;TNFRSF12A;FLT4;TNFRSF10B;TNFRSF10A;CXCR1;LTA;LTBR;IL18;TNFRSF11B;CXCR2;TNFRSF1B;CLCF1;HGF;CXCL16;INHBB;IFNGR2;CSF3R;LIF;TGFB2;TNFSF12;CNTFR;VEGFA;IL10RB;VEGFB;FLT1;CSF1R;CXCL11;CCL20;ACVRL1;CXCL1;CSF3;PLEKHO2;CD40;CCL2;TGFB3;EDA;IL6R;CXCL9;BMP7;CCR2;IL6;TNFRSF10C;TPO;IL7R;CTF1;CXCL3;IL9;EGFR;CCL26;TNFRSF25;IL10RA,IL17RB;EPOR;TNFRSF10D;CXCR4;CSF1;IL1R2;IFNA2;IL2RG;CCL17;CXCL6;TNFSF14;PPBP;TNFRSF4;TGFB1;TNFRSF1A;PDGFRB;FLT3LG;IL4R;IL15RA;TNFRSF12A;FLT4;TNFRSF10B;TNFRSF10A;CXCR1;LTA;LTBR;IL18;TNFRSF11B;CXCR2;TNFRSF1B;CLCF1;HGF;CXCL16;INHBB;IFNGR2;CSF3R;LIF;TGFB2;TNFSF12;CNTFR;VEGFA;IL10RB;VEGFB;FLT1;CSF1R;CXCL11;CCL20;ACVRL1;CXCL1;CSF3;PLEKHO2;CD40;CCL2;TGFB3;EDA;IL6R;CXCL9;BMP7;CCR2;IL6;TNFRSF10C;TPO;IL7R;CTF1;CXCL3;IL9;EGFR;CCL26;TNFRSF25;IL10RA;TGFBR2;INHBE;OSMR;IL18R1;AMH;CCR1;TNF;TNFSF13B;IFNL3;CXCL10;TNFRSF14;CCL22;IL11RA;IL13RA1;IL23A;CXCL5;IL18RAP;IL21R;IL17B;BMPR1B;PDGFC;CCR5;EGF;IL1B;IL15;TNFSF9;IFNA13;NGFR;IL17RA;IL1R1;OSM;CXCL13;TNFSF13;IL6ST;CCL25;CXCL2;IFNGR1;TNFRSF17;TGFBR1;LEPR;TNFSF8;CCR9;IFNA21;IL20RA;IL20RB;TNFRSF19;LTB;CCL5;PDGFB;BMPR1A;VEGFC;IL12B;LIFR;IL10;TNFRSF18;CCR10;XCL1;IFNE;GHR;CX3CR1;CCL3;PDGFA;CCL4L2;IL22RA1;CSF2RB;CX3CL1;GDF5;IL11;PF4;ACVR1B;RELT;IL13;IL4;TNFSF4;EDA2R;CXCR6;IFNA1;IL24;CCL28;CCL4;CXCL14;CD70;FAS;IFNA8;EPO;IFNAR2;IFNW1;CNTF;BMPR2;INHBC;ACVR2A;KDR;TSLP;IFNA6;CCR7;TNFRSF13C;PDGFRA;IL12A;IFNLR1;IFNAR1;CD27;CCL8;BMP2;IFNL1;TNFRSF11A;IL25;IL12RB1;CCL1;KITLG;EDAR;IL1A;ACVR1;TNFSF18;PRLR;IL1RAP;CCR6;IL12RB2;TNFSF10;IL5RA;MET;TNFRSF21;IL2RB;IL7;TNFRSF8;CXCL12;IL5;CCL19;KIT;INHBA;MPL;ACVR2B;FLT3,"[34, 45, 48, 77, 137, 148, 178, 180, 210, 232, 291, 294, 373, 386, 390, 420, 438, 462, 491, 503, 525, 539, 591, 599, 631, 640, 662, 664, 680, 720, 750, 893, 983, 1020, 1147, 1164, 1188, 1191, 1308, 1386, 1439, 1462, 1509, 1534, 1549, 1566, 1617, 1627, 1774, 1776, 1790, 1795, 1826, 1861, 1963, 2017, 2028, 2039, 2082, 2121, 2135, 2192, 2230, 2253, 2258, 2276, 2347, 2380, 2404, 2448, 2773, 2822, 3035, 3123, 3211, 3341, 3515, 3536, 3560, 3676, 3763, 3794, 3842, 3851, 3864, 3891, 3895, 3990, 4039, 4114, 4144, 4246, 4444, 4629, 4728, 4887, 4952, 4970, 5027, 5151, 5273, 5314, 5347, 5448, 5547, 5578, 5613, 5623, 5624, 5645, 5653, 5772, 5807, 5945, 6035, 6177, 6278, 6365, 6544, 6579, 6620, 6713, 6831, 6941, 6954, 7090, 7121, 7187, 7202, 7588, 7600, 7604, 7660, 7668, 7860, 7950, 7956, 8041, 8058, 8084, 8099, 8159, 8442, 8620, 8894, 8931, 9040, 9230, 9263, 9267, 9270, 9283, 9493, 9616, 9692, 9792, 9795, 9983, 10005, 10017, 10101, 10163, 10214, 10218, 10347, 10364, 10418, 10432, 10462, 10611, 10630, 10836, 10854, 10977, 11457, 12112, 12365, 12414, 12483, 12495, 12614, 12679, 12731, 12867, 13453, 13588, 13865, 13874, 13885, 13901, 14131, 14160, 14894, 15094, 15207, 15390, 15722, 15737, 16208, 16653, 16673, 17194]",c2.cp.kegg_legacy__KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
c2.cp.kegg_legacy,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,prerank,0.5838779591286586,1.983117004363298,0.0,0.0011938761177957768,0.006,30_61,30/61,19.29%,SERPINF2;CFD;PLAUR;PROC;SERPINC1;C1QA;C3AR1;SERPINA5;F10;C1QC;C5AR1;CFB;KLKB1;C1QB;C3;C7;SERPINA1;CD59;C4B;F13A1;CFH;CFI;C4A;C2;C1R;SERPIND1;VWF;C8G;SERPING1;TFPI,SERPINF2;CFD;PLAUR;PROC;SERPINC1;C1QA;C3AR1;SERPINA5;F10;C1QC;C5AR1;CFB;KLKB1;C1QB;C3;C7;SERPINA1;CD59;C4B;F13A1;CFH;CFI;C4A;C2;C1R;SERPIND1;VWF;C8G;SERPING1;TFPI;SERPINE1;THBD;C1S;CR1;F12;F11;PLAU;PLAT;C9;CD55;F2;F2R;A2M;PROS1;KNG1;BDKRB1;C4BPB;PLG;CPB2;F5;F3;MASP1;CR2;C6;F8;CD46;BDKRB2;F7;C4BPA;MASP2;C5,"[96, 280, 296, 364, 470, 479, 582, 641, 770, 771, 805, 981, 1027, 1031, 1102, 1107, 1224, 1312, 1395, 1558, 2051, 2455, 2614, 2744, 2808, 2837, 3112, 3265, 3289, 3378, 4011, 4174, 4215, 4307, 4449, 5199, 5250, 5897, 5937, 7474, 7524, 7751, 7770, 8108, 8499, 8507, 9210, 9981, 9992, 10833, 11051, 12028, 12962, 13010, 13595, 14150, 14242, 14816, 14849, 16068, 17107]",c2.cp.kegg_legacy__KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
c2.cp.kegg_legacy,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,prerank,0.5842714500332314,1.974762815191548,0.0,0.0012187485369165223,0.007,32_56,32/56,23.16%,CARD9;RELA;NFKBIA;CASP1;IL18;HSP90AA1;MAPK3;PSTPIP1;MEFV;NOD2;CXCL1;CARD6;CCL2;SUGT1;HSP90AB1;BIRC3;TAB2;IL6;TNFAIP3;IKBKB;MAPK11;NFKB1;NFKBIB;MAPK12;PYCARD;NOD1;TNF;CASP5;CARD8;TRIP6;NLRP1;RIPK2,CARD9;RELA;NFKBIA;CASP1;IL18;HSP90AA1;MAPK3;PSTPIP1;MEFV;NOD2;CXCL1;CARD6;CCL2;SUGT1;HSP90AB1;BIRC3;TAB2;IL6;TNFAIP3;IKBKB;MAPK11;NFKB1;NFKBIB;MAPK12;PYCARD;NOD1;TNF;CASP5;CARD8;TRIP6;NLRP1;RIPK2;IL1B;HSP90B1;CXCL2;PYDC1;BIRC2;NLRC4;CCL5;MAPK14;IKBKG;MAPK13;MAP3K7;NLRP3;MAPK10;CASP8;CCL8;NAIP;XIAP;TRAF6;CHUK;MAPK1;TAB1;MAPK9;MAPK8;TAB3,"[16, 68, 132, 645, 662, 876, 1114, 1136, 1190, 1266, 1774, 1779, 1826, 1946, 1985, 1994, 2058, 2121, 2189, 2341, 2344, 2835, 2943, 2998, 3056, 3101, 3515, 3624, 3717, 3877, 3955, 4056, 4629, 5272, 5578, 5755, 6219, 6231, 6365, 7304, 7584, 8706, 9639, 9658, 10309, 10378, 10836, 10862, 11034, 11998, 12017, 12772, 13969, 14702, 16304, 17016]",c2.cp.kegg_legacy__KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY
c2.cp.kegg_legacy,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,prerank,0.5217775294910615,1.9840223505052235,0.0,0.0013928554707617396,0.006,51_112,51/112,20.80%,TNFRSF10D;MICB;IFNA2;LAT;NFATC4;PIK3R2;PLCG1;PIK3R5;TNFRSF10B;TNFRSF10A;FCGR3B;RAC3;BID;PIK3CD;ICAM2;TYROBP;ITGB2;LCK;FYN;MAPK3;IFNGR2;SYK;KLRD1;NFATC2;ULBP2;FCER1G;NFATC1;SHC2;ICAM1;VAV3;MAP2K2;TNFRSF10C;MICA;FCGR3A;ZAP70;SH2D1B;CD247;PTPN6;ITGAL;VAV1;RAC2;RAF1;RAET1G;HCST;HLA-E;LCP2;KLRK1;TNF;SH3BP2;HLA-B;PPP3CC,TNFRSF10D;MICB;IFNA2;LAT;NFATC4;PIK3R2;PLCG1;PIK3R5;TNFRSF10B;TNFRSF10A;FCGR3B;RAC3;BID;PIK3CD;ICAM2;TYROBP;ITGB2;LCK;FYN;MAPK3;IFNGR2;SYK;KLRD1;NFATC2;ULBP2;FCER1G;NFATC1;SHC2;ICAM1;VAV3;MAP2K2;TNFRSF10C;MICA;FCGR3A;ZAP70;SH2D1B;CD247;PTPN6;ITGAL;VAV1;RAC2;RAF1;RAET1G;HCST;HLA-E;LCP2;KLRK1;TNF;SH3BP2;HLA-B;PPP3CC;ARAF;HRAS;CD48;SHC1;PRF1;IFNA13;SH2D1A;HLA-C;IFNGR1;MAP2K1;IFNA21;SOS1;ULBP3;RAET1E;NCR3;PIK3CG;PIK3R3;PTK2B;HLA-A;PIK3CA;ULBP1;CD244;NFATC3;PLCG2;KLRC3;VAV2;KLRC2;HLA-G;GZMB;IFNA1;FAS;IFNA8;PRKCG;IFNAR2;PPP3R2;IFNA6;SHC4;IFNAR1;PRKCA;PPP3CA;GRB2;RAC1;PPP3R1;PPP3CB;SOS2;MAPK1;CASP3;PIK3CB;KRAS;TNFSF10;PAK1;PIK3R1;PRKCB;NFAT5;CHP1;KLRC1;PTPN11;CHP2;NRAS;SHC3;BRAF,"[48, 152, 178, 194, 262, 350, 405, 466, 539, 591, 611, 747, 779, 790, 814, 865, 902, 1019, 1046, 1114, 1147, 1267, 1325, 1367, 1402, 1513, 1675, 1762, 1872, 2050, 2104, 2135, 2136, 2138, 2462, 2525, 2564, 2686, 2736, 2843, 2938, 3033, 3185, 3278, 3356, 3402, 3412, 3515, 3568, 3617, 3642, 3967, 3976, 4535, 4654, 4709, 4952, 5268, 5482, 5613, 5701, 5807, 5826, 6132, 6197, 6362, 6453, 6862, 6883, 7039, 7105, 7580, 7718, 7891, 7982, 8137, 8144, 8155, 8447, 8826, 9040, 9493, 9616, 9622, 9792, 10012, 10218, 10517, 10611, 10873, 11156, 11405, 11471, 11801, 12602, 12680, 12772, 12945, 13676, 13814, 13874, 14368, 14526, 14648, 14755, 15489, 15696, 16007, 16289, 16714, 17200, 17259]",c2.cp.kegg_legacy__KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY
c2.cp.kegg_legacy,KEGG_BASAL_CELL_CARCINOMA,prerank,0.5848436017622244,1.9612480254167337,0.0,0.0013928554707617398,0.009,18_54,18/54,11.96%,FZD9;FZD8;TCF7L1;GLI1;SMO;WNT6;BMP4;FZD2;AXIN1;DVL1;FZD4;LEF1;WNT5B;GLI2;DVL2;SUFU;FZD1;PTCH2,FZD9;FZD8;TCF7L1;GLI1;SMO;WNT6;BMP4;FZD2;AXIN1;DVL1;FZD4;LEF1;WNT5B;GLI2;DVL2;SUFU;FZD1;PTCH2;DVL3;GLI3;WNT3;STK36;WNT4;WNT7A;AXIN2;APC2;TCF7;TCF7L2;WNT10A;FZD5;WNT7B;WNT9A;SHH;WNT16;WNT9B;WNT11;FZD10;FZD7;WNT10B;TP53;WNT5A;PTCH1;WNT2;APC;WNT2B;BMP2;FZD3;WNT8A;HHIP;FZD6;WNT8B;WNT1;GSK3B;CTNNB1,"[83, 225, 230, 369, 393, 579, 730, 841, 877, 1089, 1368, 1377, 1392, 1477, 1798, 1875, 1987, 2094, 2492, 2987, 3325, 3446, 3643, 3834, 3853, 4159, 4349, 4922, 5355, 5568, 5668, 5748, 5805, 5824, 6089, 6105, 7367, 7442, 8235, 8693, 8910, 9019, 9348, 9884, 10827, 10854, 12043, 12291, 12646, 12762, 13192, 14329, 15613, 16018]",c2.cp.kegg_legacy__KEGG_BASAL_CELL_CARCINOMA
c2.cp.kegg_legacy,KEGG_NOTCH_SIGNALING_PATHWAY,prerank,0.58584227825553,1.9041189256538023,0.0,0.003203567582752001,0.023,20_47,20/47,14.23%,RFNG;DLL4;DTX2;DTX3;NOTCH4;KAT2A;DVL1;CTBP2;CTBP1;MFNG;PTCRA;DTX3L;DVL2;CREBBP;JAG2;HDAC1;NOTCH2;DLL1;NOTCH1;DVL3,RFNG;DLL4;DTX2;DTX3;NOTCH4;KAT2A;DVL1;CTBP2;CTBP1;MFNG;PTCRA;DTX3L;DVL2;CREBBP;JAG2;HDAC1;NOTCH2;DLL1;NOTCH1;DVL3;DTX1;HES1;MAML2;NOTCH3;NCOR2;NUMB;JAG1;NUMBL;LFNG;HES5;MAML1;EP300;PSENEN;KAT2B;DLL3;HDAC2;PSEN2;RBPJL;NCSTN;RBPJ;CIR1;APH1A;PSEN1;SNW1;MAML3;ADAM17;DTX4,"[126, 332, 403, 610, 781, 986, 1089, 1322, 1410, 1481, 1559, 1785, 1798, 1980, 2168, 2268, 2279, 2363, 2437, 2492, 2979, 3383, 3619, 3857, 4578, 5201, 5281, 5396, 5856, 6408, 6909, 7268, 8093, 8626, 9053, 9498, 10674, 11314, 11977, 12114, 13043, 13434, 13571, 13833, 14918, 14928, 14973]",c2.cp.kegg_legacy__KEGG_NOTCH_SIGNALING_PATHWAY
