TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,prerank,0.6354560363787178,2.303518209515418,0.0,0.0,0.0,73_80,73/80,32.86%,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL30,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL14;RPL37A;RPL24;RPLP2;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;UBA52;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPS4Y1;RPSA;RPS3A;RPS13;RPS4X;RPL27A;RPL23;RPL11;RPS9;FAU;RPS2;RPL36A;RPL5;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL30;RPL41;RPS23;RPL10A;RPL21;RPL12;RPL15;RPL26,"[810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2534, 2663, 2693, 2774, 2812, 2854, 2893, 2907, 2972, 3103, 3157, 3166, 3230, 3327, 3337, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4185, 4210, 4216, 4265, 4288, 4296, 4415, 4526, 4699, 4734, 4852, 5084, 5122, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5756, 6144, 6216, 6728, 7103, 8558, 11953, 14761]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY,prerank,0.5207482841554469,1.863200635387961,0.0,0.039842977929065555,0.159,21_73,21/73,8.85%,EPHA2;CSF1;ANGPT2;FGF17;PIK3R2;PDGFRB;FLT3LG;IGF1R;FLT4;PIK3CD;EFNA4;IGF2;HGF;EFNA2;PGF;FGF22;FGFR4;VEGFA;VEGFB;FLT1;CSF1R,EPHA2;CSF1;ANGPT2;FGF17;PIK3R2;PDGFRB;FLT3LG;IGF1R;FLT4;PIK3CD;EFNA4;IGF2;HGF;EFNA2;PGF;FGF22;FGFR4;VEGFA;VEGFB;FLT1;CSF1R;FGF2;EGFR;ERBB2;NGF;INSR;EFNA1;AKT1;AKT2;PDGFC;FGFR3;EGF;FGFR1;NGFR;FGF8;EFNA3;FGF20;PDGFB;EFNA5;VEGFC;FGF16;PIK3R3;PDGFD;PIK3CA;NTRK2;PDGFA;TEK;ANGPT4;FGF18;NTRK1;EREG;ERBB3;KDR;PDGFRA;FGFR2;ANGPT1;FGF1;FGF10;FGF7;FGF9;KITLG;PIK3CB;ERBB4;MET;PIK3R1;TGFA;AKT3;NTF3;IGF1;KIT;FGF5;FLT3;BDNF,"[39, 137, 198, 282, 350, 420, 438, 486, 525, 790, 795, 826, 893, 1070, 1138, 1206, 1389, 1439, 1509, 1534, 1549, 2211, 2347, 2593, 3051, 3052, 3065, 3267, 3956, 4144, 4371, 4444, 4624, 4970, 5132, 5941, 6436, 6544, 6617, 6620, 6665, 6862, 6943, 7105, 7280, 7604, 7870, 7876, 8121, 9253, 9491, 9861, 10163, 10418, 11001, 11065, 11280, 12099, 12101, 12107, 12483, 13676, 13750, 13901, 14526, 14919, 14998, 15460, 15473, 15737, 16780, 17194, 17360]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_RIG_I_NFKB_SIGNALING_PATHWAY,prerank,0.7523074621226904,1.8664410083356637,0.002079002079002079,0.042943418720293655,0.15,3_13,3/13,1.02%,RELA;NFKBIA;IFNA2,RELA;NFKBIA;IFNA2;IKBKB;NFKB1;IFNA13;IFNA21;IKBKG;IFNA1;IFNA8;IFNA6;MAVS;CHUK,"[68, 132, 178, 2341, 2835, 4952, 5807, 7584, 9040, 9616, 10218, 11317, 12017]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_RIG_I_NFKB_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY,prerank,0.736878522167138,1.8700185990802454,0.002066115702479339,0.045997584275831775,0.141,8_16,8/16,14.23%,FZD9;FZD8;FZD2;DVL1;FZD4;DVL2;FZD1;DVL3,FZD9;FZD8;FZD2;DVL1;FZD4;DVL2;FZD1;DVL3;FZD5;FZD10;FZD7;ROR2;WNT5A;FZD3;FZD6;ROR1,"[83, 225, 841, 1089, 1368, 1798, 1987, 2492, 5568, 7367, 7442, 7746, 8910, 12043, 12762, 13726]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT,prerank,-0.6475416768919258,-1.9028441652072146,0.0,0.049211278714384306,0.041,13_27,13/27,18.47%,DCTN4;DNAL1;DNAI2;DNAH12;DCTN5;DNAH6;DNAH10;DNAH3;DNAH9;DCTN6;ACTR10;DNAH5;DNAH8,SOD1;DCTN3;DNALI1;DNAL4;ACTR1A;DNAH11;DCTN2;DNAI1;ACTR1B;DNAH2;DCTN1;DNAH7;DNAH17;DNAH1;DNAH8;DNAH5;ACTR10;DCTN6;DNAH9;DNAH3;DNAH10;DNAH6;DCTN5;DNAH12;DNAI2;DNAL1;DCTN4,"[3398, 5735, 7572, 7761, 7889, 7925, 9173, 10376, 11105, 11690, 11827, 11941, 12263, 13011, 14284, 14339, 14687, 14688, 14870, 15253, 16147, 16211, 16434, 16477, 16486, 16689, 17280]",c2.cp.kegg_medicus__KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY,prerank,0.7295219214483434,1.9111655049070022,0.0,0.05010065517367593,0.086,13_18,13/18,19.58%,ITPR3;LAT;CD4;PLCG1;LCK;FYN;VAV3;ZAP70;CD247;GRAP2;VAV1;LCP2;CD3E,ITPR3;LAT;CD4;PLCG1;LCK;FYN;VAV3;ZAP70;CD247;GRAP2;VAV1;LCP2;CD3E;PLCG2;VAV2;CD3G;ITPR2;ITPR1,"[175, 194, 204, 405, 1019, 1046, 2050, 2462, 2564, 2574, 2843, 3402, 3429, 7982, 8144, 8645, 11545, 15616]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY,prerank,0.582205816313018,1.8754106081187338,0.002173913043478261,0.05105084001317668,0.134,15_44,15/44,11.35%,FZD9;FZD8;TCF7L1;FRAT2;WNT6;FZD2;AXIN1;DVL1;MYC;FRAT1;FZD4;LEF1;WNT5B;DVL2;FZD1,FZD9;FZD8;TCF7L1;FRAT2;WNT6;FZD2;AXIN1;DVL1;MYC;FRAT1;FZD4;LEF1;WNT5B;DVL2;FZD1;DVL3;WNT3;WNT4;WNT7A;AXIN2;TCF7;TCF7L2;WNT10A;FZD5;WNT7B;WNT9A;WNT16;WNT9B;FZD10;FZD7;WNT10B;WNT5A;WNT2;APC;WNT2B;FZD3;WNT8A;FZD6;WNT8B;CCND1;LRP6;WNT1;GSK3B;CTNNB1,"[83, 225, 230, 388, 579, 841, 877, 1089, 1232, 1279, 1368, 1377, 1392, 1798, 1987, 2492, 3325, 3643, 3834, 3853, 4349, 4922, 5355, 5568, 5668, 5748, 5824, 6089, 7367, 7442, 8235, 8910, 9348, 9884, 10827, 12043, 12291, 12762, 13192, 13673, 13826, 14329, 15613, 16018]",c2.cp.kegg_medicus__KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY,prerank,0.7090944962746154,1.8340261881550908,0.0041841004184100415,0.053123970572087405,0.209,8_17,8/17,16.19%,RELA;TLR5;NFKBIA;TAB2;IL6;IKBKB;IRAK1;NFKB1,RELA;TLR5;NFKBIA;TAB2;IL6;IKBKB;IRAK1;NFKB1;TNF;MYD88;IL12B;IKBKG;IRAK4;MAP3K7;IL12A;TRAF6;CHUK,"[68, 95, 132, 2058, 2121, 2341, 2376, 2835, 3515, 4132, 6713, 7584, 8568, 9639, 10432, 11998, 12017]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY,prerank,0.5836933889169339,1.8850434769672422,0.0021321961620469083,0.0534478972219172,0.119,16_45,16/45,11.94%,FZD9;FZD8;TCF7L1;FRAT2;WNT6;FZD2;AXIN1;DVL1;MYC;FRAT1;FZD4;LEF1;WNT5B;DVL2;FZD1;LRP5,FZD9;FZD8;TCF7L1;FRAT2;WNT6;FZD2;AXIN1;DVL1;MYC;FRAT1;FZD4;LEF1;WNT5B;DVL2;FZD1;LRP5;DVL3;WNT3;WNT4;WNT7A;AXIN2;TCF7;TCF7L2;WNT10A;FZD5;WNT7B;WNT9A;WNT16;WNT9B;FZD10;FZD7;WNT10B;WNT5A;WNT2;APC;WNT2B;FZD3;WNT8A;FZD6;WNT8B;CCND1;LRP6;WNT1;GSK3B;CTNNB1,"[83, 225, 230, 388, 579, 841, 877, 1089, 1232, 1279, 1368, 1377, 1392, 1798, 1987, 2090, 2492, 3325, 3643, 3834, 3853, 4349, 4922, 5355, 5568, 5668, 5748, 5824, 6089, 7367, 7442, 8235, 8910, 9348, 9884, 10827, 12043, 12291, 12762, 13192, 13673, 13826, 14329, 15613, 16018]",c2.cp.kegg_medicus__KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY
c2.cp.kegg_medicus,KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY,prerank,0.70068816990372,1.8198977649296055,0.004329004329004329,0.056881519710113106,0.246,8_16,8/16,14.81%,DLL4;FLT4;NOTCH4;HEYL;JAG2;DLL1;NOTCH1;ERBB2,DLL4;FLT4;NOTCH4;HEYL;JAG2;DLL1;NOTCH1;ERBB2;HES1;JAG1;HEY2;HES5;HEY1;DLL3;RBPJL;RBPJ,"[332, 525, 781, 830, 2168, 2363, 2437, 2593, 3383, 5281, 5306, 6408, 8866, 9053, 11314, 12114]",c2.cp.kegg_medicus__KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY
