TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp.pid,PID_PTP1B_PATHWAY,prerank,0.6240754921529291,2.061621591812261,0.0,0.004428171813066347,0.005,25_48,25/48,20.05%,CSF1;LAT;FGR;PDGFRB;DOK1;SOCS3;FCGR2A;CSK;LCK;FYN;TYK2;CSF1R;CRK;SRC;EGFR;CAPN1;INSR;YBX1;STAT3;AKT1;HCK;YES1;ITGA2B;CDH2;BCAR1,CSF1;LAT;FGR;PDGFRB;DOK1;SOCS3;FCGR2A;CSK;LCK;FYN;TYK2;CSF1R;CRK;SRC;EGFR;CAPN1;INSR;YBX1;STAT3;AKT1;HCK;YES1;ITGA2B;CDH2;BCAR1;STAT5A;EGF;SHC1;STAT5B;IRS1;LEPR;FER;PDGFB;SPRY2;LYN;PIK3CA;ITGB3;RHOA;JAK2;TXN;GRB2;CAV1;PTPN1;PRLR;BLK;TRPV6;NOX4;PIK3R1,"[137, 194, 341, 420, 477, 619, 648, 829, 1019, 1046, 1122, 1549, 2270, 2278, 2347, 2681, 3052, 3086, 3143, 3267, 3336, 3392, 3407, 3499, 3512, 4109, 4444, 4654, 5095, 5115, 5645, 5664, 6544, 6637, 6930, 7105, 7795, 7817, 8889, 8981, 11405, 12109, 12370, 12867, 13357, 13757, 14437, 14526]",c2.cp.pid__PID_PTP1B_PATHWAY
c2.cp.pid,PID_FRA_PATHWAY,prerank,0.6783125641090324,2.0874898644832145,0.0,0.007085074900906155,0.004,19_34,19/34,14.11%,MMP9;PLAUR;NOS3;ATF4;HMOX1;USF2;CCNA2;LIF;BGLAP;NFATC2;GJA1;NFATC1;CCL2;ITGB4;FOSL2;IL6;FOSL1;DCN;JUND,MMP9;PLAUR;NOS3;ATF4;HMOX1;USF2;CCNA2;LIF;BGLAP;NFATC2;GJA1;NFATC1;CCL2;ITGB4;FOSL2;IL6;FOSL1;DCN;JUND;JUN;CDKN2A;LAMA3;COL1A2;THBD;SP1;PLAU;JUNB;EP300;NFATC3;MGP;MMP2;TXLNG;CCND1;DMTF1,"[27, 296, 335, 381, 693, 700, 799, 1188, 1231, 1367, 1579, 1675, 1826, 1867, 2063, 2121, 2188, 2386, 2470, 2824, 3605, 3919, 3978, 4174, 4488, 5250, 6511, 7268, 7891, 8492, 11784, 12995, 13673, 16907]",c2.cp.pid__PID_FRA_PATHWAY
c2.cp.pid,PID_SMAD2_3NUCLEAR_PATHWAY,prerank,0.546947927136306,1.95166261916618,0.002105263157894737,0.014170149801812313,0.024,32_77,32/77,19.13%,IRF7;E2F4;CEBPB;TGIF1;MAX;ITGB5;TCF3;RUNX3;KAT2A;TGIF2;MYC;FOXO4;RUNX1;PIAS4;CTBP1;CDK2;SMAD7;CDKN1A;CREBBP;SAP30;HDAC1;TFE3;GATA3;SMAD4;ZBTB17;JUN;FOS;CBFB;E2F5;AKT1;MED15;FOXO1,IRF7;E2F4;CEBPB;TGIF1;MAX;ITGB5;TCF3;RUNX3;KAT2A;TGIF2;MYC;FOXO4;RUNX1;PIAS4;CTBP1;CDK2;SMAD7;CDKN1A;CREBBP;SAP30;HDAC1;TFE3;GATA3;SMAD4;ZBTB17;JUN;FOS;CBFB;E2F5;AKT1;MED15;FOXO1;CDKN2B;COL1A2;SERPINE1;SP1;FOXH1;MYOD1;FOXG1;SIN3B;VDR;ATF3;TFDP1;RBL1;SMAD3;SKI;SMAD2;RUNX2;IL10;EP300;AR;LAMC1;CDK4;HSPA8;FOXO3;ATF2;PIAS3;SKIL;RBBP7;KAT2B;NCOA1;HDAC2;HNF4A;CITED1;SAP18;SP3;CREB1;DLX1;MEF2C;NCOR1;SNIP1;NCOA2;NR3C1;IL5;SIN3A;ESR1;RBBP4,"[161, 229, 311, 481, 484, 577, 734, 751, 986, 1215, 1232, 1318, 1384, 1406, 1410, 1573, 1659, 1714, 1980, 2262, 2268, 2359, 2530, 2618, 2776, 2824, 2889, 3010, 3102, 3267, 3312, 3351, 3838, 3978, 4011, 4488, 4521, 4524, 4648, 4857, 4946, 5684, 5705, 5706, 5844, 6189, 6205, 6841, 6941, 7268, 7620, 7640, 7822, 7879, 8003, 8136, 8362, 8425, 8460, 8626, 8813, 9498, 9719, 9851, 10222, 10351, 10478, 11874, 12683, 12807, 12997, 13040, 14123, 15390, 15543, 16134, 17106]",c2.cp.pid__PID_SMAD2_3NUCLEAR_PATHWAY
c2.cp.pid,PID_AMB2_NEUTROPHILS_PATHWAY,prerank,0.5822428024332901,1.7939879297817682,0.0,0.021255224702718466,0.161,20_39,20/39,20.36%,MMP9;PLAUR;FGR;AGER;ITGB2;LCK;FYN;ITGAM;ICAM1;IL6;JAM2;SRC;SELPLG;NFKB1;AKT1;HCK;YES1;LRP1;TNF;TLN1,MMP9;PLAUR;FGR;AGER;ITGB2;LCK;FYN;ITGAM;ICAM1;IL6;JAM2;SRC;SELPLG;NFKB1;AKT1;HCK;YES1;LRP1;TNF;TLN1;MST1;MST1R;PLAU;RAP1A;PLAT;ROCK1;THY1;LYN;RHOA;APOB;PLG;JAM3;MMP2;RAP1B;PRKCZ;BLK;SELP;HMGB1;LPA,"[27, 296, 341, 759, 902, 1019, 1046, 1487, 1872, 2121, 2156, 2278, 2361, 2835, 3267, 3336, 3392, 3463, 3515, 3565, 4234, 4680, 5250, 5616, 5897, 6585, 6789, 6930, 7817, 9399, 9981, 10822, 11784, 12892, 13086, 13357, 13476, 14226, 16652]",c2.cp.pid__PID_AMB2_NEUTROPHILS_PATHWAY
c2.cp.pid,PID_HDAC_CLASSI_PATHWAY,prerank,0.5231913660529895,1.7943359990541206,0.0020964360587002098,0.022554155101217926,0.16,25_64,25/64,13.42%,RELA;HDAC10;SIRT7;NFKBIA;SIRT4;TNFRSF1A;MAX;HDAC7;SMG5;MBD3;SIRT6;HDAC4;MTA2;XPO1;SMAD7;GATAD2A;RANGAP1;YY1;GATA2;MXD1;UBE2I;CREBBP;SAP30;HDAC1;SIRT3,RELA;HDAC10;SIRT7;NFKBIA;SIRT4;TNFRSF1A;MAX;HDAC7;SMG5;MBD3;SIRT6;HDAC4;MTA2;XPO1;SMAD7;GATAD2A;RANGAP1;YY1;GATA2;MXD1;UBE2I;CREBBP;SAP30;HDAC1;SIRT3;NFKB1;STAT3;HDAC8;PPARG;TNF;HDAC3;SIRT1;NCOR2;HDAC5;SIN3B;HDAC6;SIRT2;CHD4;EP300;SUMO1;CHD3;FKBP3;RANBP2;MBD2;RBBP7;KAT2B;RAN;ZFPM1;PRKACA;HDAC2;PRMT5;SAP18;HDAC11;GATAD2B;NCOR1;GATA1;SIN3A;SMURF1;HDAC9;NR2C1;SIRT5;WDR77;RBBP4;TFCP2,"[68, 117, 125, 132, 259, 390, 484, 678, 767, 818, 836, 1124, 1393, 1469, 1659, 1721, 1743, 1746, 1766, 1793, 1857, 1980, 2262, 2268, 2350, 2835, 3143, 3224, 3284, 3515, 3950, 3998, 4578, 4646, 4857, 5473, 6743, 6811, 7268, 7337, 7478, 7814, 8103, 8398, 8460, 8626, 8903, 9318, 9427, 9498, 10089, 10222, 12245, 12672, 12807, 12826, 15543, 15731, 15818, 15904, 16928, 16990, 17106, 17467]",c2.cp.pid__PID_HDAC_CLASSI_PATHWAY
c2.cp.pid,PID_INTEGRIN2_PATHWAY,prerank,0.6751465969691165,1.8692268498260418,0.0020408163265306124,0.02273128197374058,0.073,11_23,11/23,15.62%,PLAUR;PROC;FCGR2A;F10;ICAM2;ITGB2;C3;ITGAM;ICAM1;F11R;ITGAL,PLAUR;PROC;FCGR2A;F10;ICAM2;ITGB2;C3;ITGAM;ICAM1;F11R;ITGAL;GP1BA;ITGAX;PLAU;PLAT;ICAM3;THY1;KNG1;TGFBI;JAM3;VCAM1;ITGAD;SPON2,"[296, 364, 648, 770, 814, 902, 1102, 1487, 1872, 2397, 2736, 3373, 4130, 5250, 5897, 6610, 6789, 8499, 9768, 10822, 11751, 12744, 13655]",c2.cp.pid__PID_INTEGRIN2_PATHWAY
c2.cp.pid,PID_FCER1_PATHWAY,prerank,0.5329894260078233,1.7960020022739662,0.0,0.02327953181726308,0.154,29_57,29/57,21.38%,RELA;LAT;HCLS1;LAT2;PLCG1;DOK1;PXN;FCGR2B;FYN;MAPK3;SYK;NFATC2;FCER1G;FCER1A;MAP2K2;IKBKB;S1PR1;BTK;JUN;NFKB1;VAV1;FOS;RAF1;CBL;MAP2K7;AKT1;LCP2;SPHK1;PLA2G1B,RELA;LAT;HCLS1;LAT2;PLCG1;DOK1;PXN;FCGR2B;FYN;MAPK3;SYK;NFATC2;FCER1G;FCER1A;MAP2K2;IKBKB;S1PR1;BTK;JUN;NFKB1;VAV1;FOS;RAF1;CBL;MAP2K7;AKT1;LCP2;SPHK1;PLA2G1B;HRAS;DUSP1;SHC1;ITK;FER;MAP2K1;SOS1;LYN;MAP3K1;PIK3CA;PAK2;IKBKG;MAP2K4;PLD2;PLA2G4A;PTPN13;GAB2;GRB2;CHUK;MAPK1;CBLB;PIK3R1;PRKCB;WIPF1;PTPN11;PTK2;MAPK8;RASA1,"[68, 194, 286, 325, 405, 477, 628, 716, 1046, 1114, 1267, 1367, 1513, 2001, 2104, 2341, 2528, 2617, 2824, 2835, 2843, 2889, 3033, 3071, 3121, 3267, 3402, 3596, 3744, 3976, 4446, 4654, 5489, 5664, 5701, 5826, 6930, 7054, 7105, 7446, 7584, 8233, 8450, 9214, 10575, 10756, 11405, 12017, 12772, 13235, 14526, 14648, 14990, 16007, 16229, 16304, 16602]",c2.cp.pid__PID_FCER1_PATHWAY
c2.cp.pid,PID_CERAMIDE_PATHWAY,prerank,0.5600631279459246,1.801761054886651,0.0,0.02357149918955317,0.146,19_44,19/44,20.07%,RELA;NFKBIA;TNFRSF1A;TRAF2;BID;MAPK3;MYC;BCL2;BAX;BIRC3;FADD;MAP2K2;BAD;RIPK1;NFKB1;RAF1;AKT1;CTSD;TNF,RELA;NFKBIA;TNFRSF1A;TRAF2;BID;MAPK3;MYC;BCL2;BAX;BIRC3;FADD;MAP2K2;BAD;RIPK1;NFKB1;RAF1;AKT1;CTSD;TNF;TRADD;SPHK2;EGF;MAP2K1;KSR1;MAP3K1;MAP4K4;PDGFA;MAP2K4;PRKCD;CRADD;SMPD3;SMPD1;PAWR;CASP8;MADD;BAG4;EIF2AK2;CYCS;MAPK1;AIFM1;PRKCZ;PRKRA;ASAH1;MAPK8,"[68, 132, 390, 494, 779, 1114, 1232, 1238, 1799, 1994, 2019, 2104, 2388, 2701, 2835, 3033, 3267, 3494, 3515, 4084, 4366, 4444, 5701, 6359, 7054, 7148, 7604, 8233, 9580, 9669, 9867, 9914, 9998, 10378, 10705, 11230, 11535, 11932, 12772, 12943, 13086, 13697, 14148, 16304]",c2.cp.pid__PID_CERAMIDE_PATHWAY
c2.cp.pid,PID_TOLL_ENDOGENOUS_PATHWAY,prerank,0.6348776046438157,1.7793324945722437,0.006369426751592357,0.024068416207490027,0.188,15_23,15/23,23.59%,S100A8;HSPD1;TLR2;IRAK2;LY96;TICAM1;S100A9;IKBKB;IRAK1;CD14;BGN;TLR4;VCAN;TLR6;MYD88,S100A8;HSPD1;TLR2;IRAK2;LY96;TICAM1;S100A9;IKBKB;IRAK1;CD14;BGN;TLR4;VCAN;TLR6;MYD88;IKBKG;RHOA;IRAK4;TLR1;TLR3;CHUK;HMGB1;TIRAP,"[639, 682, 745, 990, 1117, 1184, 2310, 2341, 2376, 2611, 3245, 3516, 3662, 3775, 4132, 7584, 7817, 8568, 8679, 9420, 12017, 14226, 15108]",c2.cp.pid__PID_TOLL_ENDOGENOUS_PATHWAY
c2.cp.pid,PID_GLYPICAN_1PATHWAY,prerank,0.6309993088638385,1.8255474856382032,0.0021231422505307855,0.025191377425444104,0.114,14_25,14/25,19.37%,FGR;TGFB1;SERPINC1;LCK;FYN;TGFB2;VEGFA;FLT1;TGFB3;FGF2;SRC;TGFBR2;HCK;YES1,FGR;TGFB1;SERPINC1;LCK;FYN;TGFB2;VEGFA;FLT1;TGFB3;FGF2;SRC;TGFBR2;HCK;YES1;FGFR1;TGFBR1;SMAD2;LAMA1;LYN;GPC1;NRG1;PRNP;BLK;SLIT2;APP,"[341, 386, 470, 1019, 1046, 1191, 1439, 1534, 1861, 2211, 2278, 2773, 3336, 3392, 4624, 5624, 6205, 6474, 6930, 7908, 10902, 10924, 13357, 14538, 15665]",c2.cp.pid__PID_GLYPICAN_1PATHWAY
