TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c4.3ca,GAVISH_3CA_METAPROGRAM_MACROPHAGES_MES_GLYCOLYSIS,prerank,0.7040125251353159,2.304261004456777,0.0,0.0,0.0,29_48,29/48,18.02%,NUPR1;MT2A;EMP3;MT1G;P4HA1;MT1E;ADM;MT1X;S100A4;PLIN2;S100A8;S100A6;SLC2A3;CSTB;HK2;CD52;ADAM8;RGCC;SDC2;LGALS1;ENO1;S100A9;VIM;MIF;MARCO;S100A10;TIMP1;ANXA2;SLC2A1,NUPR1;MT2A;EMP3;MT1G;P4HA1;MT1E;ADM;MT1X;S100A4;PLIN2;S100A8;S100A6;SLC2A3;CSTB;HK2;CD52;ADAM8;RGCC;SDC2;LGALS1;ENO1;S100A9;VIM;MIF;MARCO;S100A10;TIMP1;ANXA2;SLC2A1;VCAN;GPNMB;APOC1;NDRG1;ANXA1;SPP1;LGALS3;LSP1;FBP1;C15orf48;RALA;UPP1;LDHA;FN1;BNIP3;CD9;FABP5;RNASE1;SCD,"[70, 129, 270, 302, 306, 327, 468, 544, 576, 632, 639, 722, 833, 1263, 1337, 1470, 1533, 1907, 2140, 2269, 2285, 2310, 2436, 2475, 2594, 2652, 2996, 3075, 3156, 3662, 3711, 4775, 6152, 6173, 6253, 6287, 6575, 7260, 7261, 8587, 9224, 9549, 10662, 12352, 13114, 13621, 14461, 15398]",c4.3ca__GAVISH_3CA_METAPROGRAM_MACROPHAGES_MES_GLYCOLYSIS
c4.3ca,GAVISH_3CA_MALIGNANT_METAPROGRAM_5_STRESS,prerank,0.7255383937677405,2.3620798290101153,0.0,0.0,0.0,21_49,21/49,10.61%,HSPA6;HSPA1A;HSPA1B;DNAJB1;DDIT4;MAFF;NFKBIA;SERTAD1;IRF1;SOCS3;DDIT3;HERPUD1;HSPH1;DNAJA1;IER2;ID3;MCL1;GADD45B;CDKN1A;RASD1;SAT1,HSPA6;HSPA1A;HSPA1B;DNAJB1;DDIT4;MAFF;NFKBIA;SERTAD1;IRF1;SOCS3;DDIT3;HERPUD1;HSPH1;DNAJA1;IER2;ID3;MCL1;GADD45B;CDKN1A;RASD1;SAT1;NFKBIZ;KLF4;JUN;PPP1R15A;FOS;KLF6;HES1;IER3;PMAIP1;ZFP36;TOB1;DUSP1;ID2;CXCL2;ATF3;ID1;JUNB;FOSB;RHOB;BTG2;TRIB1;NR4A1;PLK2;CITED2;CCNL1;KLF10;EGR1;EGR2,"[0, 2, 7, 9, 11, 26, 132, 304, 538, 619, 729, 817, 913, 1024, 1118, 1413, 1483, 1626, 1714, 1847, 1858, 2368, 2806, 2824, 2828, 2889, 3324, 3383, 3480, 3544, 3755, 4156, 4446, 4494, 5578, 5684, 6042, 6511, 7855, 8719, 8882, 10208, 10627, 10655, 12866, 13496, 14531, 15627, 16961]",c4.3ca__GAVISH_3CA_MALIGNANT_METAPROGRAM_5_STRESS
c4.3ca,GAVISH_3CA_MALIGNANT_METAPROGRAM_14_EMT_3,prerank,0.6859924886567614,2.2518390136810265,0.0,0.0,0.0,31_48,31/48,20.57%,HSPB1;EMP3;C19orf33;TNFRSF12A;EZR;S100A4;IL32;KRT18;FXYD3;S100A6;S100P;TM4SF1;RHOC;CRIP2;S100A11;ANXA3;CLIC1;TAGLN2;LGALS1;SH3BGRL3;VIM;CKB;S100A10;KRT19;ANXA2;RAB11FIP1;KLF6;EMP1;KRT8;MYL12A;IFI27,HSPB1;EMP3;C19orf33;TNFRSF12A;EZR;S100A4;IL32;KRT18;FXYD3;S100A6;S100P;TM4SF1;RHOC;CRIP2;S100A11;ANXA3;CLIC1;TAGLN2;LGALS1;SH3BGRL3;VIM;CKB;S100A10;KRT19;ANXA2;RAB11FIP1;KLF6;EMP1;KRT8;MYL12A;IFI27;CLDN4;LMNA;ISG15;ANXA1;LGALS3;FLNA;PLP2;S100A14;MDK;S100A16;TMSB4X;CRIP1;PHLDA2;STMN1;MYADM;KRT7;TUBA1A,"[3, 270, 377, 503, 507, 576, 585, 674, 690, 722, 786, 1244, 1447, 1816, 1895, 1938, 1955, 2137, 2269, 2356, 2436, 2545, 2652, 2855, 3075, 3179, 3324, 3435, 3573, 3586, 3603, 4357, 5411, 5552, 6173, 6287, 7192, 7242, 7332, 7550, 7750, 9219, 9221, 9928, 12454, 13373, 14141, 17082]",c4.3ca__GAVISH_3CA_MALIGNANT_METAPROGRAM_14_EMT_3
c4.3ca,GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_STRESS,prerank,0.7530001826046738,2.4624364723197876,0.0,0.0,0.0,31_50,31/50,16.50%,HSPA1A;HSPA1B;DNAJB1;BAG3;MAFF;TNFRSF10D;NFKBIA;ARID5A;SERTAD1;IRF1;HEXIM1;SOCS3;SLC2A3;HSPH1;DNAJA1;IER2;MCL1;GADD45B;CDKN1A;CSRNP1;CCL2;ICAM1;FOSL2;KDM6B;NFKBIZ;ZC3HAV1;JUND;KLF4;JUN;PPP1R15A;FOS,HSPA1A;HSPA1B;DNAJB1;BAG3;MAFF;TNFRSF10D;NFKBIA;ARID5A;SERTAD1;IRF1;HEXIM1;SOCS3;SLC2A3;HSPH1;DNAJA1;IER2;MCL1;GADD45B;CDKN1A;CSRNP1;CCL2;ICAM1;FOSL2;KDM6B;NFKBIZ;ZC3HAV1;JUND;KLF4;JUN;PPP1R15A;FOS;HES1;IER3;ZFP36;APOLD1;C11orf96;RND1;BHLHE40;MIDN;ADAMTS1;CXCL2;ATF3;JUNB;BRD2;FOSB;BTG2;SOD2;NR4A1;CCNL1;EGR1,"[2, 7, 9, 24, 26, 48, 132, 192, 304, 538, 560, 619, 833, 913, 1024, 1118, 1483, 1626, 1714, 1782, 1826, 1872, 2063, 2172, 2368, 2369, 2470, 2806, 2824, 2828, 2889, 3383, 3480, 3755, 3868, 4295, 4614, 4717, 5099, 5129, 5578, 5684, 6511, 6720, 7855, 8882, 9445, 10627, 13496, 15627]",c4.3ca__GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_STRESS
c4.3ca,GAVISH_3CA_METAPROGRAM_MACROPHAGES_MAC_1,prerank,0.6935612914225989,2.271609042917969,0.0,0.0,0.0,28_48,28/48,20.21%,MT2A;STXBP2;CFD;FGR;S100A4;S100A8;LILRA5;ABI3;SERPINA1;COTL1;IFITM2;RHOC;LRRC25;CD52;VAMP5;IFITM3;PLAC8;FCGR3A;S100A9;SPN;APOBEC3A;BCL2A1;RAC2;TIMP1;LILRB2;HCK;HES1;MS4A7,MT2A;STXBP2;CFD;FGR;S100A4;S100A8;LILRA5;ABI3;SERPINA1;COTL1;IFITM2;RHOC;LRRC25;CD52;VAMP5;IFITM3;PLAC8;FCGR3A;S100A9;SPN;APOBEC3A;BCL2A1;RAC2;TIMP1;LILRB2;HCK;HES1;MS4A7;LY6E;LST1;CLEC12A;CD48;TCF7L2;FCN1;CYTIP;MYO1G;POU2F2;MAFB;CFP;CD55;LILRA1;CORO1A;LTA4H;CDKN1C;NAAA;CRIP1;LYST;MTSS1,"[129, 197, 280, 341, 576, 639, 1150, 1200, 1224, 1300, 1436, 1447, 1467, 1470, 1770, 1873, 1971, 2138, 2310, 2541, 2551, 2841, 2938, 2996, 3308, 3336, 3383, 3539, 4334, 4379, 4407, 4535, 4922, 5015, 5717, 5914, 6013, 6394, 7041, 7474, 7636, 8042, 8186, 8377, 8672, 9221, 13016, 14231]",c4.3ca__GAVISH_3CA_METAPROGRAM_MACROPHAGES_MAC_1
c4.3ca,GAVISH_3CA_MALIGNANT_METAPROGRAM_39_METAL_RESPONSE,prerank,0.7036031998109062,2.289467898115254,0.0,0.0,0.0,17_44,17/44,6.39%,DDIT4;MT1F;MT2A;MT1M;FKBP5;EMP3;CEBPB;MT1E;TSC22D3;MT1A;TMEM91;MT1X;FSTL3;STC1;S100A6;MT3;IER2,DDIT4;MT1F;MT2A;MT1M;FKBP5;EMP3;CEBPB;MT1E;TSC22D3;MT1A;TMEM91;MT1X;FSTL3;STC1;S100A6;MT3;IER2;CP;LGALS1;CKB;IGFBP5;KLF4;C1R;GLUL;BGN;VCAN;NOL3;C1S;TMEM45A;ID4;EDN1;ID1;ANXA1;ZBTB16;PLP2;RSL24D1;LOX;TGFBI;VCAM1;CAV1;PMP22;SOX4;NPTX2;TUBA1A,"[11, 55, 129, 162, 246, 270, 311, 327, 366, 463, 498, 544, 583, 634, 722, 967, 1118, 1606, 2269, 2545, 2746, 2806, 2808, 3113, 3245, 3662, 3693, 4215, 4400, 5301, 5566, 6042, 6173, 7188, 7242, 8517, 9652, 9768, 11751, 12109, 12705, 12801, 13326, 17082]",c4.3ca__GAVISH_3CA_MALIGNANT_METAPROGRAM_39_METAL_RESPONSE
c4.3ca,GAVISH_3CA_METAPROGRAM_CD8_T_CELLS_HEAT_SHOCK,prerank,0.7814532060733653,2.58278012055581,0.0,0.0,0.0,34_49,34/49,16.15%,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;BAG3;STIP1;ANKRD37;DEDD2;CHORDC1;FKBP4;AHSA1;TNFSF14;NUDC;HSPD1;DOK2;MRPL18;HSP90AA1;HSPH1;CACYBP;DNAJA1;HSPE1;BATF;GADD45B;HSP90AB1;DNAJA4;HSPA4;TCP1;NEU1;PTGES3;SQSTM1;JUN;PPP1R15A,HSPA6;HSPA1A;HSPB1;HSPA1B;SERPINH1;DNAJB1;BAG3;STIP1;ANKRD37;DEDD2;CHORDC1;FKBP4;AHSA1;TNFSF14;NUDC;HSPD1;DOK2;MRPL18;HSP90AA1;HSPH1;CACYBP;DNAJA1;HSPE1;BATF;GADD45B;HSP90AB1;DNAJA4;HSPA4;TCP1;NEU1;PTGES3;SQSTM1;JUN;PPP1R15A;RGS2;ZFAND2A;PMAIP1;DUSP1;TAF7;CLK1;TSPYL2;TXNIP;NR4A2;CCL3;CCL4L2;FOSB;RHOB;NR4A1;DUSP4,"[0, 2, 3, 7, 8, 9, 24, 115, 143, 158, 164, 173, 183, 291, 598, 682, 821, 850, 876, 913, 1000, 1024, 1194, 1480, 1626, 1985, 2067, 2101, 2233, 2715, 2761, 2762, 2824, 2828, 2984, 3175, 3544, 4446, 5526, 5648, 6410, 6506, 6629, 7600, 7660, 7855, 8719, 10627, 17396]",c4.3ca__GAVISH_3CA_METAPROGRAM_CD8_T_CELLS_HEAT_SHOCK
c4.3ca,GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_ENDO_7,prerank,0.674519223720556,2.1764958708936653,0.0,0.0,0.0,29_45,29/45,20.22%,DDIT4;FAM167B;MT2A;MT1M;ATOH8;DNASE1L3;MT1E;RAMP3;DHRS3;MT1X;STC1;TM4SF18;NOTCH4;CD320;GYPC;CARHSP1;GAS6;RGCC;BTNL9;F2RL3;CDC42EP4;TMEM204;NQO1;CTSH;MLEC;HLA-DQA1;HES1;TSC22D1;FCN3,DDIT4;FAM167B;MT2A;MT1M;ATOH8;DNASE1L3;MT1E;RAMP3;DHRS3;MT1X;STC1;TM4SF18;NOTCH4;CD320;GYPC;CARHSP1;GAS6;RGCC;BTNL9;F2RL3;CDC42EP4;TMEM204;NQO1;CTSH;MLEC;HLA-DQA1;HES1;TSC22D1;FCN3;ID2;SGK1;EDNRB;ITM2A;SPP1;FXYD6;NOSTRIN;AKAP12;COL15A1;VWA1;SIPA1L2;OSBPL1A;TMEM88;RBP7;CA4;CD36,"[11, 19, 129, 162, 228, 307, 327, 378, 406, 544, 634, 675, 781, 908, 1383, 1420, 1651, 1907, 2092, 2216, 2579, 2643, 2676, 2919, 3328, 3372, 3383, 3531, 3542, 4494, 4545, 5580, 6024, 6253, 6624, 6659, 6959, 7382, 9869, 11253, 12739, 12818, 13418, 14112, 17434]",c4.3ca__GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_ENDO_7
c4.3ca,GAVISH_3CA_METAPROGRAM_FIBROBLASTS_CAF_9,prerank,0.6340186557891545,2.078102707107848,0.0,0.0,0.0,21_47,21/47,12.90%,KCNE4;GEM;MT1A;TNFRSF12A;HMOX1;GPRC5A;AKR1C1;PHLDA1;LIF;VASN;MYC;TM4SF1;CD59;VEGFA;THAP2;HSPA5;ITPRIP;CCL2;IL6;FOSL1;CXCL3,KCNE4;GEM;MT1A;TNFRSF12A;HMOX1;GPRC5A;AKR1C1;PHLDA1;LIF;VASN;MYC;TM4SF1;CD59;VEGFA;THAP2;HSPA5;ITPRIP;CCL2;IL6;FOSL1;CXCL3;CREM;EMP1;IER3;APOD;UGDH;SERPINE1;C11orf96;HMGA1;IL1R1;ANXA1;SPSB1;SPRY2;TXNRD1;FTH1;TXN;THBS1;SOD2;IGFBP7;PTGS2;THBS2;PTX3;SLC4A7;DDX21;NR3C1;MAP1B;INHBA,"[4, 323, 463, 503, 693, 941, 1043, 1095, 1188, 1226, 1232, 1244, 1312, 1439, 1708, 1765, 1783, 1826, 2121, 2188, 2258, 2587, 3435, 3480, 3557, 3718, 4011, 4295, 4727, 5151, 6173, 6530, 6637, 7174, 7737, 8981, 9307, 9445, 10189, 11182, 11701, 13208, 13450, 13964, 14123, 15803, 16208]",c4.3ca__GAVISH_3CA_METAPROGRAM_FIBROBLASTS_CAF_9
c4.3ca,GAVISH_3CA_MALIGNANT_METAPROGRAM_22_SECRETED_1,prerank,0.7320749923441369,2.400596452224408,0.0,0.0,0.0,25_45,25/45,12.50%,MAFF;EPHA2;PLAUR;GEM;ZC3H12A;TNFRSF12A;PIM1;ITPKC;PHLDA1;LIF;MYC;TM4SF1;PIM3;PFKFB3;CCL20;CDKN1A;CXCL1;CSRNP1;CCL2;ICAM1;BIRC3;FOSL2;KDM6B;FOSL1;TNFAIP3,MAFF;EPHA2;PLAUR;GEM;ZC3H12A;TNFRSF12A;PIM1;ITPKC;PHLDA1;LIF;MYC;TM4SF1;PIM3;PFKFB3;CCL20;CDKN1A;CXCL1;CSRNP1;CCL2;ICAM1;BIRC3;FOSL2;KDM6B;FOSL1;TNFAIP3;ERRFI1;EMP1;IER3;MIDN;EDN1;CXCL2;ANXA1;ARL5B;FHL2;NAMPT;ARID5B;PHLDA2;TRIB1;ZBTB43;DUSP5;HBEGF;NCOA7;MYADM;DDX21;MLF1,"[26, 39, 296, 323, 480, 503, 858, 970, 1095, 1188, 1232, 1244, 1303, 1594, 1617, 1714, 1774, 1782, 1826, 1872, 1994, 2063, 2172, 2188, 2189, 3005, 3435, 3480, 5099, 5566, 5578, 6173, 7061, 8535, 8789, 9401, 9928, 10208, 11428, 12154, 12285, 12289, 13373, 13964, 14374]",c4.3ca__GAVISH_3CA_MALIGNANT_METAPROGRAM_22_SECRETED_1
