TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c4.cgn,GNF2_CD1D,prerank,0.6898062618691895,2.1901970175262764,0.0,0.0,0.0,25_44,25/44,19.05%,HK3;MS4A6A;CASP1;TNFRSF1B;TLR2;TYROBP;VNN1;STX11;NOD2;COTL1;TBXAS1;CD86;CD33;LILRB3;SLC7A7;CTSS;CD14;TYMP;FOS;RGS2;CD302;PYCARD;PLBD1;LILRB2;HCK,HK3;MS4A6A;CASP1;TNFRSF1B;TLR2;TYROBP;VNN1;STX11;NOD2;COTL1;TBXAS1;CD86;CD33;LILRB3;SLC7A7;CTSS;CD14;TYMP;FOS;RGS2;CD302;PYCARD;PLBD1;LILRB2;HCK;LILRA6;DUSP1;FCN1;LILRA3;IGSF6;MAFB;CYBB;AIF1;CD1D;CFP;TNFAIP2;RNF130;FGL2;CPVL;LILRA1;PSAP;CLEC4A;CPPED1;AP1S2,"[200, 385, 645, 720, 745, 865, 1053, 1199, 1266, 1300, 1346, 1574, 1612, 1620, 1979, 2465, 2611, 2704, 2889, 2984, 3017, 3056, 3210, 3308, 3336, 4233, 4446, 5015, 6044, 6339, 6394, 6563, 6768, 6891, 7041, 7216, 7240, 7289, 7336, 7636, 8185, 10598, 15008, 15420]",c4.cgn__GNF2_CD1D
c4.cgn,GNF2_CD14,prerank,0.7254851812316527,2.247401527760109,0.0,0.0,0.0,21_35,21/35,19.05%,HK3;MS4A6A;SCO2;TLR2;TYROBP;VNN1;STX11;NOD2;TBXAS1;CD33;LILRB3;SLC7A7;CTSS;CD14;TYMP;CD93;RGS2;CD302;PLBD1;LILRB2;HCK,HK3;MS4A6A;SCO2;TLR2;TYROBP;VNN1;STX11;NOD2;TBXAS1;CD33;LILRB3;SLC7A7;CTSS;CD14;TYMP;CD93;RGS2;CD302;PLBD1;LILRB2;HCK;DUSP1;FCN1;LILRA3;MAFB;CD1D;CFP;TNFAIP2;RNF130;FGL2;LILRA1;IFI30;PSAP;SULT1A1;AP1S2,"[200, 385, 524, 745, 865, 1053, 1199, 1266, 1346, 1612, 1620, 1979, 2465, 2611, 2704, 2967, 2984, 3017, 3210, 3308, 3336, 4446, 5015, 6044, 6394, 6891, 7041, 7216, 7240, 7289, 7636, 7881, 8185, 9159, 15420]",c4.cgn__GNF2_CD14
c4.cgn,GNF2_CASP1,prerank,0.6236525118488173,2.368129997695743,0.0,0.0,0.0,55_107,55/107,19.08%,HK3;TCIRG1;HCLS1;FES;MYO1F;FGR;MS4A6A;ZDHHC7;S100A4;CASP1;ARPC1B;TNFRSF1B;TLR2;TLR8;LILRB1;SAMHD1;TYROBP;ITGB2;LILRA2;VNN1;GMFG;IER2;PSTPIP1;TKT;STX11;ARRB2;NOD2;RIN3;COTL1;TBXAS1;MCL1;ITGAM;FCER1G;CD86;CD33;LILRB3;SELL;SH3BGRL3;IL10RA;CTSS;APOBEC3A;MAP3K3;TYMP;CNPY3;PLCB2;RGS2;CD302;PYCARD;PLBD1;PLSCR1;DPEP2;CMTM6;LILRB2;HCK;CCR1,HK3;TCIRG1;HCLS1;FES;MYO1F;FGR;MS4A6A;ZDHHC7;S100A4;CASP1;ARPC1B;TNFRSF1B;TLR2;TLR8;LILRB1;SAMHD1;TYROBP;ITGB2;LILRA2;VNN1;GMFG;IER2;PSTPIP1;TKT;STX11;ARRB2;NOD2;RIN3;COTL1;TBXAS1;MCL1;ITGAM;FCER1G;CD86;CD33;LILRB3;SELL;SH3BGRL3;IL10RA;CTSS;APOBEC3A;MAP3K3;TYMP;CNPY3;PLCB2;RGS2;CD302;PYCARD;PLBD1;PLSCR1;DPEP2;CMTM6;LILRB2;HCK;CCR1;GMIP;AOAH;MYD88;LILRA6;LST1;DUSP1;EVI2B;NCF2;FCN1;MX2;GABARAP;IFNGR1;FMNL1;CD44;HSD17B11;CHST15;IGSF6;MAFB;PILRA;JUNB;CYBB;AIF1;THEMIS2;CD1D;CFP;BST1;TNFAIP2;FGL2;CPVL;LILRA1;RHOG;PSAP;IQGAP1;MNDA;NAAA;TMEM127;PRKCD;USP3;CLEC4A;NAIP;ACAP2;EVI2A;FKBP15;SKAP2;MFSD1;PPT1;DAZAP2;CPPED1;KRR1;AP1S2;FBXL5;CSGALNACT2,"[200, 208, 286, 329, 339, 341, 385, 512, 576, 645, 654, 720, 745, 783, 820, 852, 865, 902, 958, 1053, 1113, 1118, 1136, 1182, 1199, 1250, 1266, 1273, 1300, 1346, 1483, 1487, 1513, 1574, 1612, 1620, 2053, 2356, 2448, 2465, 2551, 2656, 2704, 2772, 2865, 2984, 3017, 3056, 3210, 3220, 3288, 3299, 3308, 3336, 3341, 3750, 3780, 4132, 4233, 4379, 4446, 4543, 4720, 5015, 5294, 5318, 5613, 5729, 5731, 5817, 6099, 6339, 6394, 6494, 6511, 6563, 6768, 6857, 6891, 7041, 7161, 7216, 7289, 7336, 7636, 8079, 8185, 8419, 8616, 8672, 8978, 9580, 10483, 10598, 10862, 11307, 12873, 13060, 13661, 13834, 14691, 14718, 15008, 15386, 15420, 16036, 16511]",c4.cgn__GNF2_CASP1
c4.cgn,GNF2_TNFRSF1B,prerank,0.6877841043337399,2.366701031351431,0.0,0.0,0.0,34_62,34/62,19.08%,STXBP2;TCIRG1;FGR;MS4A6A;S100A4;CASP1;ARPC1B;TNFRSF1B;TLR2;LILRB1;DOK2;TYROBP;ITGB2;LILRA2;PSTPIP1;ARRB2;NOD2;RIN3;COTL1;TBXAS1;FCER1G;LILRB3;SLC7A7;SH3BGRL3;CTSS;TYMP;CNPY3;RGS2;PYCARD;DPEP2;CMTM6;LILRB2;HCK;CCR1,STXBP2;TCIRG1;FGR;MS4A6A;S100A4;CASP1;ARPC1B;TNFRSF1B;TLR2;LILRB1;DOK2;TYROBP;ITGB2;LILRA2;PSTPIP1;ARRB2;NOD2;RIN3;COTL1;TBXAS1;FCER1G;LILRB3;SLC7A7;SH3BGRL3;CTSS;TYMP;CNPY3;RGS2;PYCARD;DPEP2;CMTM6;LILRB2;HCK;CCR1;GMIP;AOAH;MYD88;LILRA6;LST1;DUSP1;NCF2;FCN1;HSD17B11;LILRA3;NAGK;IGSF6;PILRA;CYBB;AIF1;THEMIS2;CD1D;CFP;RNF130;FGL2;CPVL;LILRA1;RHOG;PSAP;TMEM127;CLEC4A;PPT1;AP1S2,"[197, 208, 341, 385, 576, 645, 654, 720, 745, 820, 821, 865, 902, 958, 1136, 1250, 1266, 1273, 1300, 1346, 1513, 1620, 1979, 2356, 2465, 2704, 2772, 2984, 3056, 3288, 3299, 3308, 3336, 3341, 3750, 3780, 4132, 4233, 4379, 4446, 4720, 5015, 5817, 6044, 6319, 6339, 6494, 6563, 6768, 6857, 6891, 7041, 7240, 7289, 7336, 7636, 8079, 8185, 8978, 10598, 14691, 15420]",c4.cgn__GNF2_TNFRSF1B
c4.cgn,GNF2_HLA_C,prerank,0.7424386771240468,2.3957595343139286,0.0,0.0,0.0,26_44,26/44,16.78%,GPSM3;PNRC1;SIPA1;HCLS1;TSC22D3;LRCH4;CYBA;INPP5D;MAX;IRF1;FXYD5;WAS;SASH3;RIN3;LAPTM5;ELF4;TAP1;TAPBP;TRIM22;CD53;STAT6;PTPN6;ARHGDIB;VAV1;SERP1;RAC2,GPSM3;PNRC1;SIPA1;HCLS1;TSC22D3;LRCH4;CYBA;INPP5D;MAX;IRF1;FXYD5;WAS;SASH3;RIN3;LAPTM5;ELF4;TAP1;TAPBP;TRIM22;CD53;STAT6;PTPN6;ARHGDIB;VAV1;SERP1;RAC2;HLA-E;HLA-B;PTPRC;HLA-F;PSD4;CD48;HLA-C;CYTIP;ARF6;GRK6;HLA-A;CORO7;PHF11;CORO1A;PSMB10;HLA-G;B2M;PRR13,"[72, 85, 226, 286, 366, 368, 417, 448, 484, 538, 683, 1067, 1201, 1273, 1292, 1471, 1758, 1863, 2486, 2531, 2644, 2686, 2833, 2843, 2908, 2938, 3356, 3617, 3989, 4126, 4136, 4535, 5482, 5717, 6249, 6438, 7039, 7687, 7833, 8042, 8147, 8447, 8604, 14016]",c4.cgn__GNF2_HLA_C
c4.cgn,GNF2_FGR,prerank,0.7593642542197127,2.314978943135265,0.0,0.0,0.0,23_32,23/32,21.58%,TCIRG1;FGR;S100A4;CASP1;ARPC1B;TNFRSF1B;TYROBP;ITGB2;RGS19;RIN3;COTL1;ITGAM;FCER1G;LILRB3;SH3BGRL3;CTSS;RGS2;PYCARD;CMTM6;LILRB2;HCK;GMIP;AOAH,TCIRG1;FGR;S100A4;CASP1;ARPC1B;TNFRSF1B;TYROBP;ITGB2;RGS19;RIN3;COTL1;ITGAM;FCER1G;LILRB3;SH3BGRL3;CTSS;RGS2;PYCARD;CMTM6;LILRB2;HCK;GMIP;AOAH;EFHD2;AIF1;THEMIS2;CFP;FGL2;LILRA1;IFI30;RHOG;TMEM127,"[208, 341, 576, 645, 654, 720, 865, 902, 914, 1273, 1300, 1487, 1513, 1620, 2356, 2465, 2984, 3056, 3299, 3308, 3336, 3750, 3780, 4117, 6768, 6857, 7041, 7289, 7636, 7881, 8079, 8978]",c4.cgn__GNF2_FGR
c4.cgn,GNF2_PECAM1,prerank,0.6669217151000209,2.266378000660616,0.0,0.0,0.0,29_54,29/54,19.08%,TCIRG1;CEBPB;MS4A6A;CEBPD;S100A4;CASP1;TNFRSF1B;TLR2;TLR8;TYROBP;ITGB2;LILRA2;NOD2;TBXAS1;MCL1;FCER1G;LILRB3;SH3BGRL3;CTSS;TYMP;CD93;RGS2;CD302;PYCARD;PLBD1;CMTM6;LILRB2;HCK;CCR1,TCIRG1;CEBPB;MS4A6A;CEBPD;S100A4;CASP1;TNFRSF1B;TLR2;TLR8;TYROBP;ITGB2;LILRA2;NOD2;TBXAS1;MCL1;FCER1G;LILRB3;SH3BGRL3;CTSS;TYMP;CD93;RGS2;CD302;PYCARD;PLBD1;CMTM6;LILRB2;HCK;CCR1;ZFP36;LILRA6;LST1;DUSP1;NCF2;FCN1;IFNGR1;HSD17B11;CHST15;IGSF6;MAFB;CYBB;AIF1;THEMIS2;CFP;TNFAIP2;RNF130;FGL2;LILRA1;PSAP;TMEM127;CLEC4A;MFSD1;PPT1;AP1S2,"[208, 311, 385, 569, 576, 645, 720, 745, 783, 865, 902, 958, 1266, 1346, 1483, 1513, 1620, 2356, 2465, 2704, 2967, 2984, 3017, 3056, 3210, 3299, 3308, 3336, 3341, 3755, 4233, 4379, 4446, 4720, 5015, 5613, 5817, 6099, 6339, 6394, 6563, 6768, 6857, 7041, 7216, 7240, 7289, 7636, 8185, 8978, 10598, 13834, 14691, 15420]",c4.cgn__GNF2_PECAM1
c4.cgn,GNF2_ITGB2,prerank,0.6977749140157418,2.34875206406826,0.0,0.0,0.0,38_53,38/53,23.59%,TCIRG1;HCLS1;MYO1F;FGR;IRF1;S100A4;CASP1;TNFRSF1B;DOK2;TYROBP;ITGB2;WAS;GMFG;PSTPIP1;ARRB2;RIN3;APOBR;ELF4;MCL1;ITGAM;FCER1G;ADAM8;SH3BGRL3;SELPLG;IL10RA;PLCB2;RGS2;PYCARD;DPEP2;CMTM6;RAB27A;HCK;BIN2;GMIP;AOAH;EFHD2;ITGAX;MYD88,TCIRG1;HCLS1;MYO1F;FGR;IRF1;S100A4;CASP1;TNFRSF1B;DOK2;TYROBP;ITGB2;WAS;GMFG;PSTPIP1;ARRB2;RIN3;APOBR;ELF4;MCL1;ITGAM;FCER1G;ADAM8;SH3BGRL3;SELPLG;IL10RA;PLCB2;RGS2;PYCARD;DPEP2;CMTM6;RAB27A;HCK;BIN2;GMIP;AOAH;EFHD2;ITGAX;MYD88;LST1;MSN;FMNL1;HSD17B11;ICAM3;AIF1;THEMIS2;LILRA1;RHOG;IQGAP1;TMEM127;OSTF1;PTGER4;ACAP2;FBXL5,"[208, 286, 339, 341, 538, 576, 645, 720, 821, 865, 902, 1067, 1113, 1136, 1250, 1273, 1434, 1471, 1483, 1487, 1513, 1533, 2356, 2361, 2448, 2865, 2984, 3056, 3288, 3299, 3307, 3336, 3511, 3750, 3780, 4117, 4130, 4132, 4379, 5230, 5729, 5817, 6610, 6768, 6857, 7636, 8079, 8419, 8978, 10320, 10354, 11307, 16036]",c4.cgn__GNF2_ITGB2
c4.cgn,GNF2_S100A4,prerank,0.7297403269227554,2.3359348145902854,0.0,0.0,0.0,29_46,29/46,19.08%,STXBP2;TCIRG1;MYO1F;FGR;S100A4;CASP1;TNFRSF1B;DOK2;TYROBP;ITGB2;LILRA2;PSTPIP1;ARRB2;NOD2;RIN3;COTL1;TBXAS1;MCL1;FCER1G;LILRB3;SH3BGRL3;APOBEC3A;TYMP;RGS2;PYCARD;DPEP2;LILRB2;HCK;CCR1,STXBP2;TCIRG1;MYO1F;FGR;S100A4;CASP1;TNFRSF1B;DOK2;TYROBP;ITGB2;LILRA2;PSTPIP1;ARRB2;NOD2;RIN3;COTL1;TBXAS1;MCL1;FCER1G;LILRB3;SH3BGRL3;APOBEC3A;TYMP;RGS2;PYCARD;DPEP2;LILRB2;HCK;CCR1;GMIP;GLRX;LST1;NCF2;FCN1;HSD17B11;IGSF6;PILRA;AIF1;THEMIS2;CFP;FGL2;CPVL;LILRA1;TMEM127;CLEC4A;TNFSF10,"[197, 208, 339, 341, 576, 645, 720, 821, 865, 902, 958, 1136, 1250, 1266, 1273, 1300, 1346, 1483, 1513, 1620, 2356, 2551, 2704, 2984, 3056, 3288, 3308, 3336, 3341, 3750, 4181, 4379, 4720, 5015, 5817, 6339, 6494, 6768, 6857, 7041, 7289, 7336, 7636, 8978, 10598, 13874]",c4.cgn__GNF2_S100A4
c4.cgn,GCM_RAN,prerank,-0.5341705124689835,-2.150260960901228,0.0,0.0,0.0,93_184,93/184,27.58%,BOD1L1;KLHL42;DCTN4;LANCL1;OGFOD1;CLASP2;CCDC88A;TTL;KIDINS220;MFSD8;WSB1;ZNF529;NUP133;KLHL11;EXOSC6;PJA2;CLCN3;ADO;FADS1;RALGAPA1;ABI2;ZFP14;TAF9B;HECTD1;ATG2B;PTK2;MTMR4;USP33;TSNAX;UFSP2;MAP1B;TMEM30A;ARPP19;IPO9;GSK3B;DYNC1I2;C2CD5;GPR107;SIK3;ZNF565;BRD9;RTN4;PREPL;FBXO21;TRIM33;STAMBP;CCDC82;CALM1;TUBGCP3;ZNF84;ISCA1;FAM8A1;ANKRD17;ZFAND5;DNAJB14;CAND1;CRNKL1;ZNF512;FAN1;ATP2B2;PPIG;CHTOP;RBM8A;YIPF5;NAPG;UBE2N;WSB2;KPNA3;XPO6;IPO7;TRIM37;HERC2;ACSL3;TP53INP2;KIF3B;SPAST;PHYHIPL;GORASP1;VPS52;IPO5;ATP6V1A;NLK;LEMD3;APPBP2;SPAG9;OCIAD1;RALGPS1;SS18L1;GPRASP2;FAM168B;FN3KRP;BTRC;ATP6V1B2,BCL2L1;RERE;ZER1;RABL2B;CIZ1;BRPF3;CCDC92;POGK;NF2;SESN3;FBXO30;SH2B1;GBA2;SNX15;ZNF275;MAP6;CSRNP2;IQCK;CLEC16A;PITPNC1;PHF2;PIP4K2B;SNX27;TBCK;VPS26B;USP19;MAPK8IP3;STMN3;MAP4K4;RNF41;MTMR3;FAM219A;NAA30;WBP2;DFFA;PHF10;TBC1D10B;PHC1;FOXO3;POMT2;AAAS;TMEM245;ATXN7L3;PPM1B;ASCC1;RAN;SAP30L;TNPO2;EPC2;UBE2E3;EIF4ENIF1;ABHD6;CS;NCAM1;TMEM183A;GSPT1;HIPK1;NGRN;PHAX;BMPR2;KLHL12;MECP2;SLC8A2;UBR7;RAP2A;KIF5C;TSPYL4;FBXW11;POGZ;GOLGA7;MOAP1;GABBR2;DDX17;KDM3B;SPIRE1;YWHAG;KIF1B;TMEM237;RMDN3;NDRG3;CHD9;JKAMP;RABGEF1;RBPJ;PDXP;PRRC2B;ZNF710;GZF1;NAB1;UBE2K;MAPK8IP1;ATP6V1B2;BTRC;FN3KRP;FAM168B;GPRASP2;SS18L1;RALGPS1;OCIAD1;SPAG9;APPBP2;LEMD3;NLK;ATP6V1A;IPO5;VPS52;GORASP1;PHYHIPL;SPAST;KIF3B;TP53INP2;ACSL3;HERC2;TRIM37;IPO7;XPO6;KPNA3;WSB2;UBE2N;NAPG;YIPF5;RBM8A;CHTOP;PPIG;ATP2B2;FAN1;ZNF512;CRNKL1;CAND1;DNAJB14;ZFAND5;ANKRD17;FAM8A1;ISCA1;ZNF84;TUBGCP3;CALM1;CCDC82;STAMBP;TRIM33;FBXO21;PREPL;RTN4;BRD9;ZNF565;SIK3;GPR107;C2CD5;DYNC1I2;GSK3B;IPO9;ARPP19;TMEM30A;MAP1B;UFSP2;TSNAX;USP33;MTMR4;PTK2;ATG2B;HECTD1;TAF9B;ZFP14;ABI2;RALGAPA1;FADS1;ADO;CLCN3;PJA2;EXOSC6;KLHL11;NUP133;ZNF529;WSB1;MFSD8;KIDINS220;TTL;CCDC88A;CLASP2;OGFOD1;LANCL1;DCTN4;KLHL42;BOD1L1,"[1087, 1640, 2103, 2175, 2460, 2902, 3225, 3397, 3658, 3906, 3937, 4052, 4280, 4333, 4547, 4751, 4957, 5004, 5143, 5618, 5659, 5956, 5983, 6085, 6170, 6412, 6821, 6953, 7148, 7198, 7235, 7303, 7412, 7460, 7631, 7676, 7764, 7839, 8003, 8134, 8169, 8286, 8702, 8873, 8883, 8903, 9148, 9233, 9355, 9381, 9395, 9430, 9436, 9574, 9637, 9773, 9817, 9865, 9932, 10005, 10057, 10143, 10176, 10306, 10369, 10618, 10637, 10709, 10813, 10832, 11002, 11031, 11153, 11224, 11229, 11291, 11534, 11825, 11831, 11883, 11886, 11968, 12006, 12114, 12121, 12128, 12161, 12281, 12337, 12419, 12556, 12688, 12697, 12702, 12738, 12774, 12794, 12831, 13049, 13077, 13142, 13265, 13369, 13379, 13385, 13389, 13439, 13506, 13551, 13608, 13610, 13614, 13619, 13662, 13808, 13847, 13887, 14034, 14060, 14122, 14152, 14188, 14266, 14267, 14287, 14343, 14411, 14459, 14466, 14585, 14591, 14611, 14635, 14639, 14654, 14712, 14779, 14862, 14885, 14904, 14917, 14964, 14995, 15128, 15214, 15426, 15507, 15522, 15533, 15613, 15618, 15742, 15754, 15803, 15983, 16017, 16101, 16200, 16229, 16230, 16243, 16286, 16319, 16343, 16374, 16481, 16540, 16560, 16665, 16692, 16701, 17025, 17072, 17092, 17120, 17129, 17130, 17150, 17170, 17191, 17264, 17280, 17304, 17376]",c4.cgn__GCM_RAN
