feature_name,rank
HSPA6,13.75311411629014
G0S2,10.99551256958515
HSPA1A,10.351099196741215
HSPB1,9.496277062784065
KCNE4,8.920655733142524
FXYD2,8.907295250271938
SLC6A12,8.54322768827573
HSPA1B,8.52870218834177
SERPINH1,8.408792611028312
DNAJB1,8.256792786591689
FAM65C,8.199925144460288
DDIT4,7.79560013941459
P4HA2,7.739319751176519
RCC1,7.543827129403554
NANOS2,7.2261733656093226
SPR,6.96828403772512
CARD9,6.964721592802462
TCAP,6.953369901062301
ISYNA1,6.581179547412128
FAM167B,6.484513750291224
ADAM33,6.357630163894635
MRPS6,6.343566755558389
SLC7A9,6.318224412518095
C7orf61,6.298397042203845
BAG3,6.212577840373946
LSMEM1,6.105049952693384
MAFF,6.066469028862096
MMP9,6.028497980152482
C22orf34,6.023767558353601
GPER,5.951461376674347
NPC1L1,5.9199920831568065
JMJD6,5.9172910416885856
PRICKLE4,5.776418235243585
JDP2,5.685240083489433
IL17RB,5.621005428463603
C5orf48,5.606397455366689
MLKL,5.603144435651972
S100A12,5.479106955330881
CCDC102A,5.395298530973736
EPHA2,5.38798680808469
SLC3A2,5.383865385521799
TRIM8,5.344186306181182
RAB24,5.312228888903987
AL138781.1,5.305997417992031
NADK,5.275194073036604
EPOR,5.2469618341575766
SLCO4A1,5.243234550818203
OTOS,5.237389302078921
TNFRSF10D,5.226451408789307
SMTN,5.2028329910331275
CCDC151,5.173700547258591
GPR4,5.1621195764875605
ITGA10,5.153099382770261
MIA,5.108374481749984
PLOD1,5.0698051953098995
MT1F,5.033626829601646
NFKB2,5.0020031055554535
TRIP10,4.9572898758121315
STARD10,4.918739974703532
SLC5A3,4.918005121309662
LCN10,4.916190906600868
HIF3A,4.90636179884977
ACRC,4.900486175885186
C11orf84,4.8936581088326125
C10orf85,4.880133550250507
SLC4A11,4.875261583845849
HIGD1B,4.872500216990516
KLK14,4.8620326170854336
RELA,4.82742554578599
ETV4,4.810668280127342
NUPR1,4.799834086466031
MLPH,4.7857526873104455
GPSM3,4.781517238995653
PEAR1,4.755406240335416
GAREML,4.752705245389619
HSPB9,4.7377906451073715
ABCB6,4.706368870345047
CXCR4,4.627240647096599
CELSR1,4.612826601391241
EVA1B,4.57973795220165
SMOX,4.558784903015921
MKNK2,4.553552558585075
SLC1A7,4.516586932796278
FZD9,4.514954667991244
SCT,4.502288832371761
PNRC1,4.500335348832661
SAFB2,4.483500919521269
FAM229A,4.473086404615536
HMHA1,4.458241428925361
MMP23B,4.44359631791174
EVC2,4.439799979017408
CD177,4.433965510268444
ARHGEF19,4.432288495503048
BANP,4.431888252396324
PLIN4,4.401405718675066
TLR5,4.396273783732834
SERPINF2,4.391981120996172
KLC3,4.327958326615151
SPECC1L,4.326139077004308
TFAP2C,4.3197432049597815
MGAT1,4.318581967583749
